TimeElapsed,optimgain,TimestepsSoFar,entloss,ev_tdlam_before,meankl,EpLenMean,EpRewMean,entropy,EpTrueRewMean,EpisodesSoFar,EpThisIter,surrgain
10.134817123413086,0.20428722,3117,0.0,0.5002606213092804,0.006689068,23.5,18.103428,24.126204,110.11144597036505,45,45,0.20428722
18.77741050720215,0.19692032,6150,0.0,0.6262893974781036,0.0070106285,23.1,17.05187,24.126404,108.17825471003978,89,44,0.19692032
27.408042430877686,0.160818,9252,0.0,0.6047549843788147,0.0071299206,23.65,14.752089,24.11548,111.08394788046648,132,43,0.160818
35.59021997451782,0.16765195,12357,0.0,0.53067946434021,0.007029314,28.375,18.176035,24.106918,131.8056740743194,168,36,0.16765195
43.710360288619995,0.15032429,15507,0.0,0.4257173538208008,0.0075189117,27.175,16.328568,24.109943,126.61441700452626,206,38,0.15032429
50.41008973121643,0.14150959,18534,0.0,0.5558050870895386,0.0072748093,30.45,17.416763,24.087727,143.79297748341457,237,31,0.14150959
56.80952310562134,0.15133151,21549,0.0,0.4166017174720764,0.0072585507,32.35,18.806286,24.058529,154.49784671410436,267,30,0.15133151
63.30619978904724,0.16054702,24648,0.0,0.49115681648254395,0.007881906,35.975,24.046711,24.050373,171.4599760269723,294,27,0.16054702
69.76299953460693,0.158538,27801,0.0,0.46812528371810913,0.007849639,37.7,29.405832,24.02588,182.70487118096224,320,26,0.158538
76.1229293346405,0.1546591,30891,0.0,0.4543013572692871,0.007979492,39.65,26.233852,23.976141,191.3019840744052,346,26,0.1546591
82.61495351791382,0.15779871,33834,0.0,0.5801178514957428,0.0077414336,41.475,24.57423,23.953201,200.068487460886,368,22,0.15779871
89.07033944129944,0.22942553,36879,0.0,0.49241143465042114,0.0073641944,44.85,28.147564,23.949457,217.5943695502564,390,22,0.22942553
95.66560101509094,0.16949469,40065,0.0,0.4638128876686096,0.0077186497,47.475,34.057365,23.925613,231.27138797413318,412,22,0.16949469
102.24338722229004,0.16622317,43125,0.0,0.46990013122558594,0.007545704,52.05,37.33616,23.944845,252.59052603298989,430,18,0.16622317
108.79767894744873,0.18128449,46257,0.0,0.6332673728466034,0.007503532,57.425,41.12278,23.932293,283.11506938820276,447,17,0.18128449
115.34300494194031,0.21396029,49263,0.0,0.5749288499355316,0.0077225463,56.625,38.221535,23.91213,280.71603308913035,466,19,0.21396029
121.96646928787231,0.1627503,52344,0.0,0.5335013568401337,0.007956799,52.25,32.49404,23.906267,256.90612970143536,486,20,0.1627503
128.55799627304077,0.17603701,55386,0.0,0.6690309047698975,0.0076639215,52.6,34.68284,23.875956,257.47962709525535,505,19,0.17603701
135.14050245285034,0.17734027,58434,0.0,0.5562507212162018,0.008281276,53.675,36.145924,23.856916,260.0714660764439,524,19,0.17734027
141.66117787361145,0.1633511,61482,0.0,0.41234445571899414,0.0076922067,54.35,32.46905,23.842999,265.5169622884308,542,18,0.1633511
148.15612173080444,0.16757354,64533,0.0,0.7084915637969971,0.00838091,60.175,43.795753,23.843994,296.4488695300491,558,16,0.16757354
154.70278477668762,0.19082236,67533,0.0,0.6501727402210236,0.00809243,63.35,48.905888,23.834208,311.4690985059694,573,15,0.19082236
161.1869478225708,0.18268108,70782,0.0,0.6423483490943909,0.008532795,66.975,56.35498,23.831053,328.34184736812904,589,16,0.18268108
167.78095364570618,0.19836432,73920,0.0,0.6601717174053192,0.0085134385,68.425,54.406197,23.826889,331.35957244813727,604,15,0.19836432
174.31724500656128,0.22184652,76878,0.0,0.5635991096496582,0.009075506,70.475,54.80417,23.823503,344.61672233559057,617,13,0.22184652
180.8477475643158,0.2040222,80112,0.0,0.7441400289535522,0.008691439,69.2,49.245293,23.790606,337.67604092555166,633,16,0.2040222
187.29602122306824,0.20287953,83337,0.0,0.7485937774181366,0.008137112,69.825,50.233875,23.778742,341.0705116909606,649,16,0.20287953
193.84994745254517,0.20164652,86202,0.0,0.7047224342823029,0.008458967,68.15,47.282093,23.81878,334.976964531316,664,15,0.20164652
200.34973073005676,0.29108825,89244,0.0,0.684248149394989,0.008306016,64.725,42.77349,23.81429,318.7374877250082,680,16,0.29108825
206.89026498794556,0.18880257,92175,0.0,0.794174998998642,0.008713334,65.15,39.60185,23.782248,316.0813427572331,694,14,0.18880257
213.65844058990479,0.21337134,95202,0.0,0.6843834519386292,0.00887092,68.65,46.02675,23.800217,334.1565388843025,708,14,0.21337134
220.3148958683014,0.19612482,98205,0.0,0.7602868229150772,0.00847499,71.375,49.091198,23.776592,352.9399568936809,722,14,0.19612482
227.02002954483032,0.18513829,101421,0.0,0.7292838096618652,0.00912527,70.6,49.276367,23.775068,348.4636154254981,738,16,0.18513829
233.72818517684937,0.2087014,104658,0.0,0.6825236082077026,0.00897103,68.0,47.639122,23.757261,333.99948772523743,754,16,0.2087014
240.42937517166138,0.19879219,107616,0.0,0.7316909730434418,0.008588774,68.9,54.375866,23.74909,334.2914051432879,768,14,0.19879219
247.09378123283386,0.21186489,110571,0.0,0.7763077914714813,0.009843454,69.475,56.605934,23.754866,337.8966282478777,781,13,0.21186489
253.84544229507446,0.23749024,113805,0.0,0.8182428032159805,0.00852685,72.625,63.050587,23.738764,350.7135822484546,796,15,0.23749024
