ev_tdlam_before,EpRewMean,entropy,meankl,surrgain,TimestepsSoFar,entloss,EpisodesSoFar,optimgain,EpThisIter,EpTrueRewMean,TimeElapsed,EpLenMean
0.25508707761764526,35.55512,8.47461,0.0074198963,0.05652691,3060,0.0,37,0.05652691,37,1.6848780323415986,7.5933568477630615,27.56756756756757
0.5360791385173798,35.016598,8.458205,0.0071547637,0.059034184,6120,0.0,68,0.059034184,31,2.626766406289618,13.851818799972534,30.125
0.5179044008255005,47.97533,8.404298,0.0063447705,0.058610804,9276,0.0,86,0.058610804,18,8.65276927352691,20.05931067466736,42.775
0.5514856278896332,66.01544,8.390458,0.0067806914,0.061289012,12291,0.0,98,0.061289012,12,19.505302652299537,26.300034046173096,59.225
0.7496219873428345,86.08957,8.353469,0.00622893,0.061651118,15606,0.0,109,0.061651118,11,27.613859880345046,32.579533100128174,77.525
0.7469426393508911,104.34346,8.376712,0.006435599,0.065090954,18723,0.0,117,0.065090954,8,43.72474200446328,38.82502841949463,92.625
0.8759392276406288,120.366135,8.35991,0.006712731,0.065079734,21768,0.0,125,0.065079734,8,50.287334309334845,45.08326029777527,107.825
0.8095305263996124,130.80508,8.355958,0.00620607,0.06384379,24345,0.0,130,0.06384379,5,63.131292606463624,51.33475184440613,116.225
0.9143245294690132,143.49628,8.366319,0.0062124142,0.06323229,27741,0.0,137,0.06323229,7,80.96802858798058,57.57407999038696,129.45
0.8987409844994545,152.47586,8.327285,0.0068371072,0.06677838,30420,0.0,142,0.06677838,5,89.78825087455746,63.80121874809265,139.15
0.8704177588224411,168.50272,8.302798,0.006328337,0.060534872,33378,0.0,146,0.060534872,4,112.7231110310324,69.98585891723633,154.05
0.9041888415813446,182.40105,8.28442,0.006673951,0.058479562,36729,0.0,151,0.058479562,5,132.16257898886715,76.16925287246704,170.3
0.8171136826276779,192.85008,8.297973,0.0065687876,0.07150046,39141,0.0,154,0.07150046,3,149.4093550610643,82.34036755561829,182.175
0.909327358007431,207.09273,8.228287,0.0064757215,0.0629586,42720,0.0,158,0.0629586,4,174.2988444925483,88.57857990264893,196.85
0.9297010600566864,218.64136,8.208482,0.006324173,0.06906678,46725,0.0,163,0.06906678,5,192.3939955173942,94.77839589118958,211.85
0.9242037087678909,216.67172,8.173473,0.007427264,0.0651936,50118,0.0,170,0.0651936,7,195.87442731736454,101.00608611106873,214.775
0.8980358093976974,214.54887,8.151485,0.0065738577,0.063584894,53295,0.0,177,0.063584894,7,205.65300887467484,107.20005512237549,212.95
0.8626800775527954,213.36258,8.174926,0.0066065136,0.063642785,56157,0.0,182,0.063642785,5,209.86567920307834,113.44217896461487,214.475
0.8969367071986198,214.20515,8.17151,0.006364448,0.05988422,59844,0.0,186,0.05988422,4,215.879640812392,119.76138162612915,220.55
0.9374078288674355,215.82613,8.210556,0.00589895,0.06394684,62532,0.0,189,0.06394684,3,225.4457164362337,126.09414744377136,224.55
0.9199391677975655,219.1104,8.204648,0.0063255522,0.064049505,64059,0.0,191,0.064049505,2,233.58097707414737,132.44191884994507,227.75
0.9192882180213928,229.37112,8.177979,0.0063044084,0.07357303,67689,0.0,193,0.07357303,2,241.7358493322044,138.79111790657043,244.475
0.930710457265377,221.05986,8.14178,0.0063715,0.072009996,69417,0.0,195,0.072009996,2,236.3190727591803,145.0714943408966,235.85
0.8803039044141769,224.17715,8.120679,0.0068266215,0.06282815,71679,0.0,197,0.06282815,2,238.38527407951034,151.36281609535217,244.95
0.892421580851078,238.92929,8.1366625,0.005467921,0.11248236,74655,0.0,198,0.11248236,1,255.77701124980408,157.60587859153748,266.125
0.7611786425113678,236.89767,8.105343,0.0069695227,0.07595631,77409,0.0,200,0.07595631,2,258.49944667943254,163.91036105155945,270.4
0.8472900390625,244.54996,8.11438,0.0060502123,0.0861744,80046,0.0,203,0.0861744,3,271.75035523813057,170.18922328948975,277.675
0.04422837495803833,254.66899,8.084413,0.00804089,0.05168188,83046,0.0,204,0.05168188,1,289.1262440481435,176.47860765457153,295.025
0.8310046643018723,271.84088,8.053207,0.006930024,0.10125625,86028,0.0,205,0.10125625,1,311.12242079414,182.77575492858887,316.275
0.5267103910446167,286.46802,8.109744,0.0069939387,0.049201548,89553,0.0,207,0.049201548,2,327.26713980990263,189.02787852287292,339.35
0.9023086950182915,296.2789,8.13245,0.0057160305,0.07284877,91146,0.0,208,0.07284877,1,342.5181898763762,195.31640315055847,350.175
0.8490837514400482,311.49796,8.130802,0.0059886025,0.09934235,93819,0.0,209,0.09934235,1,363.1676587301192,201.62977814674377,368.225
0.8795383647084236,333.9076,8.138138,0.006693894,0.0899547,97920,0.0,212,0.0899547,3,395.0302754166255,207.92733573913574,391.1
0.8250773549079895,361.40668,8.109374,0.0059911897,0.104934335,102975,0.0,214,0.104934335,2,435.65007171992784,214.23927068710327,426.3
0.023534059524536133,372.9833,8.138673,0.0071815327,0.048831016,105975,0.0,215,0.048831016,1,448.50609053547106,220.53428554534912,447.725
0.8807464465498924,384.18393,8.155226,0.0058517875,0.07501377,109608,0.0,218,0.07501377,3,470.44733332670984,226.83262610435486,463.25
0.9065605774521828,385.13956,8.172107,0.0064369473,0.12826176,110355,0.0,219,0.12826176,1,473.345623163949,233.11700320243835,464.3
0.5117796957492828,406.69977,8.201157,0.006405827,0.06182988,115329,0.0,221,0.06182988,2,504.69092122520925,239.4304964542389,499.65
0.4936619997024536,417.3112,8.229613,0.006017683,0.07329904,119361,0.0,223,0.07329904,2,522.1152346973038,245.6912806034088,519.475
