TimestepsSoFar,entloss,optimgain,EpisodesSoFar,ev_tdlam_before,meankl,EpRewMean,EpLenMean,EpThisIter,TimeElapsed,surrgain,EpTrueRewMean,entropy
713601,0.0,0.043541435,521,0.033774495124816895,0.009194981,257.53848,776.975,1,5862.054522752762,0.043541435,2752.304659001702,2.6436958
716508,0.0,0.059363145,522,0.9635660834610462,0.010019768,262.30707,792.25,1,5887.1293914318085,0.059363145,2808.969248568047,2.7523756
717765,0.0,0.058910936,523,0.990621404722333,0.010784757,258.23932,779.875,1,5911.737368583679,0.058910936,2764.7385990780595,2.7237914
720765,0.0,0.061003454,524,0.9765608869493008,0.009505695,262.46918,792.25,1,5937.13013625145,0.061003454,2812.781360906552,2.736942
722502,0.0,0.0627124,525,0.97925147973001,0.010313068,262.76874,794.95,1,5961.961671590805,0.0627124,2823.117826919086,2.6956491
725421,0.0,0.063607946,527,0.9907720917835832,0.010278898,260.9353,791.55,2,5987.064158201218,0.063607946,2812.417358382004,2.6967602
727221,0.0,0.052620556,528,0.964594341814518,0.009993603,264.1431,801.3,1,6011.69365811348,0.052620556,2848.3868418002157,2.7183456
729195,0.0,0.053748347,529,0.9914197092875838,0.0105717145,267.28918,811.15,1,6037.174642562866,0.053748347,2886.2730015489774,2.7446325
734319,0.0,0.045628842,531,0.7532544285058975,0.010136131,272.68268,829.2,2,6061.984047412872,0.045628842,2951.947786836174,2.7547941
739041,0.0,0.04038589,533,0.6889482140541077,0.009105469,271.85492,829.25,2,6087.012937545776,0.04038589,2953.880979487857,2.7074754
742041,0.0,0.040502608,534,-0.1553109884262085,0.0109865405,271.34564,829.25,1,6111.641157388687,0.040502608,2953.5117540952033,2.6855237
745041,0.0,0.04571163,535,-0.10530722141265869,0.012362605,274.23038,840.075,1,6137.44145989418,0.04571163,2990.7943221541736,2.7026732
747111,0.0,0.063735,536,0.9900360191240907,0.010042155,271.81277,832.325,1,6161.746325492859,0.063735,2966.673790572115,2.731069
750111,0.0,0.05761206,537,0.799644336104393,0.010173328,271.62253,832.325,1,6187.122430801392,0.05761206,2967.6450603958115,2.6728556
755316,0.0,0.046833728,539,0.7513427883386612,0.009729918,275.13422,843.8,2,6211.255767822266,0.046833728,3010.4572393351436,2.720945
757776,0.0,0.06924122,540,0.9629893191158772,0.009151528,280.049,858.575,1,6237.164527654648,0.06924122,3064.639733293602,2.7307527
760776,0.0,0.03899564,541,0.014366388320922852,0.008987829,279.91574,858.575,1,6261.114754199982,0.03899564,3065.6265528314734,2.7270586
762591,0.0,0.057553135,542,0.9798661023378372,0.011269883,276.64047,848.7,1,6286.320481300354,0.057553135,3032.3904166908487,2.7221754
766701,0.0,0.054349747,545,0.9916970850899816,0.009245802,266.75128,816.475,3,6310.55890583992,0.054349747,2920.6637360418777,2.7295568
767976,0.0,0.06288395,546,0.9715341217815876,0.010014104,262.93353,805.3,1,6335.851925849915,0.06288395,2879.144587429876,2.7847402
773166,0.0,0.04943078,548,0.8328728079795837,0.010480279,261.55865,801.175,2,6360.385123252869,0.04943078,2865.573909008927,2.7530985
777456,0.0,0.044380587,550,0.7757466286420822,0.009537021,261.6652,801.05,2,6384.797936439514,0.044380587,2865.9303159790447,2.7647772
781620,0.0,0.054824963,552,0.9839811827987432,0.009845619,259.06317,791.825,2,6410.2554976940155,0.054824963,2836.6957410068762,2.7636175
783762,0.0,0.10064262,553,0.9932895782403648,0.009417158,256.9174,784.675,1,6434.5200917720795,0.10064262,2814.809973442452,2.7616086
786762,0.0,0.044035286,554,0.4466820955276489,0.009405553,257.41226,784.675,1,6459.900202512741,0.044035286,2816.0344743724554,2.814442
788949,0.0,0.05542941,555,0.9759976901113987,0.009893815,255.76437,777.9,1,6484.189861297607,0.05542941,2794.5895496479907,2.8002074
791949,0.0,0.046009514,556,0.2589699625968933,0.0125767775,255.98799,777.9,1,6510.1781578063965,0.046009514,2794.3536910851135,2.8176787
794949,0.0,0.040299844,557,0.11255866289138794,0.010439507,256.1821,777.9,1,6534.470083475113,0.040299844,2794.3991451571983,2.7618408
797949,0.0,0.04448757,558,0.06672465801239014,0.0107644675,256.9955,777.9,1,6560.26012301445,0.04448757,2795.630776271044,2.731949
800949,0.0,0.061853774,559,0.9708443656563759,0.010302006,257.69934,777.9,1,6583.808210372925,0.061853774,2798.8118918081577,2.7266655
803949,0.0,0.048679344,560,-0.00606691837310791,0.010476421,257.6734,777.9,1,6609.446630477905,0.048679344,2798.1684721836928,2.7295494
806949,0.0,0.03850803,561,-0.04104292392730713,0.009333404,257.5335,777.9,1,6633.635687112808,0.03850803,2796.9323030992755,2.7867422
809472,0.0,0.059306506,562,0.9870388992130756,0.00862511,256.41187,774.7,1,6659.412313938141,0.059306506,2785.5340280214996,2.7267165
810513,0.0,0.08243252,563,0.9830593466758728,0.008882184,255.92126,772.9,1,6683.276178359985,0.08243252,2779.160330837557,2.7163203
813054,0.0,0.049936876,564,0.9326758831739426,0.011355069,253.91367,769.075,1,6709.089166879654,0.049936876,2762.51199380216,2.7016795
816054,0.0,0.04141246,565,0.0104941725730896,0.011005045,256.10455,779.6,1,6733.495622396469,0.04141246,2797.1562500046643,2.67412
819054,0.0,0.04191701,566,0.5152445137500763,0.009481207,259.60416,792.575,1,6759.121161222458,0.04191701,2843.017953847547,2.6864588
821934,0.0,0.06455915,567,0.9817836508154869,0.009613431,263.33008,804.275,1,6783.138320684433,0.06455915,2885.033152358303,2.6842616
824256,0.0,0.050071444,568,0.9823476914316416,0.00969748,264.96384,808.625,1,6808.873279571533,0.050071444,2902.1050529552435,2.69345
825981,0.0,0.060614504,569,0.9912969172000885,0.009369589,264.79312,806.55,1,6833.274591684341,0.060614504,2893.8283428918685,2.705868
828912,0.0,0.068887234,571,0.9910115534439683,0.010339406,259.74496,788.275,2,6859.081669092178,0.068887234,2828.7201237937384,2.7060735
833496,0.0,0.05523615,573,0.9959526094608009,0.010846712,260.57877,787.125,2,6883.286147117615,0.05523615,2827.8533211157096,2.7205522
836499,0.0,0.065458864,575,0.9814055040478706,0.0101589495,254.08456,762.15,2,6908.396403551102,0.065458864,2742.134906960301,2.7255366
838122,0.0,0.05122047,576,0.9897229615598917,0.009970654,252.85323,758.425,1,6933.470744848251,0.05122047,2728.040442512997,2.7282426
841521,0.0,0.053092964,578,0.9570346213877201,0.010209927,246.33762,736.75,2,6959.47065615654,0.053092964,2654.170729103661,2.674452
844521,0.0,0.043819226,579,-0.03074491024017334,0.009686911,248.19548,743.375,1,6983.312350988388,0.043819226,2674.9280671518377,2.6903079
847356,0.0,0.053903785,581,0.9745503608137369,0.009659557,241.36678,721.5,2,7008.467904806137,0.053903785,2596.3262431792887,2.7136736
851310,0.0,0.05413101,583,0.9788589607924223,0.010711513,242.70499,724.575,2,7033.477160692215,0.05413101,2608.8967848878833,2.7413435
