EpThisIter,EpRewMean,entloss,meankl,optimgain,EpTrueRewMean,EpLenMean,surrgain,EpisodesSoFar,TimeElapsed,TimestepsSoFar,ev_tdlam_before,entropy
47,17.671991,0.0,0.006232306,0.23683399,103.20543974476445,22.075,0.23683399,47,6.954489707946777,3057,0.478107750415802,24.1228
46,21.42572,0.0,0.0063209515,0.18683974,106.74573473196513,22.5,0.18683974,93,12.964245557785034,6192,0.5339381396770477,24.147629
44,22.306747,0.0,0.0074973996,0.13920534,111.5397466514708,23.725,0.13920534,137,18.612678289413452,9270,0.5636131763458252,24.105246
39,21.971031,0.0,0.00758796,0.15977529,123.77218804384486,26.075,0.15977529,176,23.82904577255249,12345,0.5050843060016632,24.065838
31,24.550175,0.0,0.007103713,0.14268333,141.10931795266077,30.7,0.14268333,207,29.157464504241943,15336,0.6139722764492035,24.0235
31,27.891932,0.0,0.0074826046,0.14558119,151.12987598581532,32.675,0.14558119,238,34.50608801841736,18405,0.5201207101345062,24.027328
27,37.568542,0.0,0.0073100687,0.19973049,172.3398875583606,36.475,0.19973049,265,39.84646272659302,21516,0.2753177285194397,23.995138
24,42.424038,0.0,0.0073795775,0.15279809,190.29249495471555,39.825,0.15279809,289,45.18264889717102,24540,0.4956849217414856,23.94891
23,48.11374,0.0,0.008320114,0.16108963,213.58240906776246,44.675,0.16108963,312,50.579492807388306,27624,0.5558614134788513,23.955145
21,49.05416,0.0,0.0075757382,0.1573753,221.72350765961565,46.125,0.1573753,333,56.030977964401245,30651,0.6726624667644501,23.939701
19,55.382,0.0,0.007909573,0.18117008,245.80624211500927,50.95,0.18117008,352,61.30140805244446,33738,0.7294454872608185,23.912603
19,58.760582,0.0,0.008099621,0.16938332,258.5440224103089,53.725,0.16938332,371,66.82259941101074,36759,0.6031888425350189,23.892645
20,52.97467,0.0,0.007573297,0.18892057,253.89913594734304,52.55,0.18892057,391,72.23806810379028,39858,0.7341263890266418,23.883793
19,52.755756,0.0,0.008366285,0.15805769,255.67027996111773,52.775,0.15805769,410,77.66333603858948,42834,0.7286840975284576,23.847591
18,53.799694,0.0,0.008268436,0.17761737,261.39382313229464,53.475,0.17761737,428,83.04936814308167,45915,0.7263252139091492,23.817215
17,58.386406,0.0,0.007992464,0.1655843,286.0989024788847,58.4,0.1655843,445,88.38304138183594,49011,0.794372633099556,23.790266
18,59.58274,0.0,0.008192964,0.17629297,287.8603994014108,58.825,0.17629297,463,93.81833481788635,52038,0.7415458261966705,23.781256
15,60.10664,0.0,0.0077642715,0.19182561,297.3958319820532,61.75,0.19182561,478,99.22208213806152,55119,0.552088737487793,23.788897
17,65.8932,0.0,0.00849599,0.18460709,310.5370348033554,63.9,0.18460709,495,104.78913140296936,58257,0.7785689830780029,23.749594
16,73.48012,0.0,0.008052274,0.17845085,314.9235558092475,64.875,0.17845085,511,110.28079128265381,61404,0.7910789996385574,23.73665
14,81.6863,0.0,0.008456509,0.19301769,324.9610468892962,66.35,0.19301769,525,115.69397163391113,64299,0.7914498597383499,23.731953
15,77.53073,0.0,0.008820958,0.21804494,333.18618722011723,67.175,0.21804494,540,121.13113069534302,67335,0.7641909718513489,23.717306
16,70.81685,0.0,0.008774465,0.16971526,327.7241688391629,66.475,0.16971526,556,126.63691639900208,70374,0.770039439201355,23.705547
17,63.861977,0.0,0.008266613,0.17821005,312.2103895029206,63.525,0.17821005,573,132.09191513061523,73581,0.7626019716262817,23.700119
13,68.857956,0.0,0.008534475,0.18344107,326.1568033597055,66.475,0.18344107,586,137.58925652503967,76527,0.808422178030014,23.676275
14,75.081894,0.0,0.008691367,0.18132916,346.8417719356645,71.7,0.18132916,600,143.0774667263031,79644,0.7150140702724457,23.674055
14,78.63946,0.0,0.008554708,0.18447113,359.9379037624579,74.85,0.18447113,614,148.52341294288635,82728,0.74437615275383,23.677713
14,73.38966,0.0,0.00892728,0.25892213,350.29484822220576,73.0,0.25892213,628,153.9558665752411,85698,0.8284465968608856,23.668879
14,71.17804,0.0,0.009127464,0.20277712,348.02824576941464,71.325,0.20277712,642,159.4077661037445,88716,0.7652678340673447,23.660421
14,68.440544,0.0,0.009151282,0.1827766,348.4733715433416,71.425,0.1827766,656,164.93318796157837,91686,0.7861357182264328,23.676779
13,70.93703,0.0,0.009135614,0.19199775,356.26140587429376,73.05,0.19199775,669,170.42241072654724,94668,0.8119737654924393,23.66081
16,66.48682,0.0,0.008882089,0.18159795,343.73711029421645,70.625,0.18159795,685,175.87621474266052,97782,0.8274914622306824,23.632792
15,68.95333,0.0,0.009019656,0.19906522,345.56117417354864,70.8,0.19906522,700,181.36466145515442,100929,0.8481965214014053,23.586752
15,66.39593,0.0,0.009843355,0.22498325,331.93480797435626,68.5,0.22498325,715,186.9018132686615,104013,0.8658809512853622,23.560308
15,67.867905,0.0,0.009554254,0.20424905,332.0741294287586,68.55,0.20424905,730,192.67448163032532,107157,0.8480135798454285,23.564455
13,70.30135,0.0,0.009172885,0.19876516,352.5284431202841,72.975,0.19876516,743,198.29714012145996,110280,0.8338250666856766,23.53493
14,75.87672,0.0,0.009698689,0.2388027,356.1562501563297,74.55,0.2388027,757,203.8345181941986,113355,0.8758465722203255,23.510435
15,77.72054,0.0,0.009624454,0.19539677,352.69294472042867,74.45,0.19539677,772,209.42075109481812,116550,0.7745338529348373,23.502684
13,75.10069,0.0,0.010579936,0.26433435,350.60433762156316,74.775,0.26433435,785,215.03927636146545,119748,0.899135947227478,23.478779
14,74.37212,0.0,0.009718688,0.19710843,349.5592619843218,74.0,0.19710843,799,220.6510672569275,122694,0.811129167675972,23.490984
12,78.14017,0.0,0.009603791,0.20631376,363.5615129332544,75.925,0.20631376,811,226.29897785186768,125526,0.806664913892746,23.473795
17,73.19301,0.0,0.010613803,0.21177123,344.4918823284379,70.375,0.21177123,828,232.08768820762634,128769,0.8275768160820007,23.438803
14,69.126564,0.0,0.0095778275,0.23203242,345.0720788068613,69.875,0.23203242,842,238.17938804626465,131853,0.8314045518636703,23.443134
13,67.9411,0.0,0.009562742,0.19584113,341.50491250988995,70.775,0.19584113,855,244.29843187332153,134859,0.8449167758226395,23.43205
15,66.33929,0.0,0.010255788,0.19756791,348.20126839946874,72.875,0.19756791,870,250.03879737854004,137955,0.8239002972841263,23.404718
13,67.56195,0.0,0.009769914,0.22811738,354.7955614659213,74.125,0.22811738,883,255.72208976745605,140961,0.8606445789337158,23.388693
14,68.064926,0.0,0.010441124,0.22774924,354.4150941275904,73.925,0.22774924,897,261.36470675468445,144051,0.7718155384063721,23.356768
13,71.14995,0.0,0.010245296,0.22239585,364.1100231297191,76.2,0.22239585,910,267.3453595638275,147099,0.8004894703626633,23.34936
14,68.61747,0.0,0.00960752,0.22171858,353.9426213149459,74.3,0.22171858,924,272.99776434898376,150108,0.8295353204011917,23.318296
14,69.95614,0.0,0.010044865,0.21665621,362.10236220513536,74.975,0.21665621,938,278.66064381599426,153216,0.8043478578329086,23.29354
14,70.7019,0.0,0.00980073,0.2405614,360.1235535759174,73.1,0.2405614,952,284.4434247016907,156339,0.8118215799331665,23.306904
14,71.41278,0.0,0.0110193975,0.24493882,362.1844121625151,73.775,0.24493882,966,290.00525879859924,159429,0.8194068968296051,23.319822
14,69.96225,0.0,0.010627637,0.21394545,358.28395705287363,73.825,0.21394545,980,295.64475083351135,162588,0.8345970213413239,23.323793
13,72.892105,0.0,0.010801728,0.25519404,369.12619021816374,77.375,0.25519404,993,301.3000478744507,165855,0.7673870623111725,23.321291
13,74.82393,0.0,0.009936153,0.23465276,384.2683409421691,80.175,0.23465276,1006,306.9803042411804,169050,0.7776432782411575,23.317873
13,76.68284,0.0,0.010376838,0.21676815,394.2129770022945,82.125,0.21676815,1019,312.6410949230194,172209,0.8612617552280426,23.312922
14,74.36897,0.0,0.010066971,0.20406565,385.7937371279637,79.3,0.20406565,1033,318.2660081386566,175371,0.8426014184951782,23.265364
13,77.09544,0.0,0.010104194,0.24627477,381.3973801502149,78.2,0.24627477,1046,323.8856840133667,178434,0.7915177047252655,23.24217
14,71.915184,0.0,0.010950947,0.19632934,363.75014526486683,74.175,0.19632934,1060,329.6043882369995,181398,0.8002281486988068,23.24933
13,72.92501,0.0,0.010180876,0.23615584,365.22312494935414,75.05,0.23615584,1073,335.30378580093384,184377,0.8421245962381363,23.246742
13,71.05337,0.0,0.011163866,0.26051033,356.75639168160404,74.025,0.26051033,1086,341.04465770721436,187317,0.8134241849184036,23.232672
13,73.71386,0.0,0.010697333,0.21343055,362.9279804991801,75.1,0.21343055,1099,346.6755723953247,190266,0.8239200860261917,23.21502
14,74.88473,0.0,0.011205437,0.25465125,365.0968349585845,75.525,0.25465125,1113,352.6086232662201,193440,0.788280576467514,23.20093
11,77.12926,0.0,0.011650525,0.293463,389.1393383333284,80.2,0.293463,1124,358.6345360279083,196566,0.8579771667718887,23.180504
14,76.874596,0.0,0.010361912,0.20938385,386.5644518970959,80.25,0.20938385,1138,364.65208196640015,199668,0.851871058344841,23.183903
14,72.0426,0.0,0.010832597,0.22793408,379.97224790456414,79.025,0.22793408,1152,370.8027219772339,202761,0.8214262574911118,23.168928
