meankl,EpTrueRewMean,entropy,ev_tdlam_before,EpRewMean,TimestepsSoFar,entloss,EpLenMean,TimeElapsed,optimgain,surrgain,EpThisIter,EpisodesSoFar
0.006776428,26.118803344330985,4.1896214,0.3829788565635681,24.669998,992,0.0,25.435897435897434,34.40491056442261,0.0372364,0.0372364,39,39
0.007306174,42.0868953668332,4.226394,0.5050662457942963,22.884644,1987,0.0,34.65,63.28332805633545,0.04338893,0.04338893,23,62
0.006743568,80.7224509406528,4.1915774,0.3512258529663086,30.861063,3069,0.0,54.65,90.96349239349365,0.04050207,0.04050207,12,74
0.00673128,117.49184344677033,4.158523,0.7036761045455933,39.300262,4007,0.0,72.7,122.21647310256958,0.042787552,0.042787552,8,82
0.006926667,157.1361476147935,4.1543865,0.8796514645218849,52.05959,5174,0.0,95.325,150.04033279418945,0.040479437,0.040479437,7,89
0.006756893,184.85979205478256,4.1396375,0.9203357324004173,61.781624,6197,0.0,117.025,179.33436131477356,0.045381784,0.045381784,3,92
0.0061829616,198.89341115140434,4.08229,0.7078843116760254,66.6981,6665,0.0,127.925,209.07855701446533,0.050374284,0.050374284,1,93
0.006497949,222.76165087053732,4.080814,-0.12222492694854736,76.861694,7665,0.0,151.375,236.77018904685974,0.04206027,0.04206027,1,94
0.0060536074,237.20373120671542,4.0924077,0.35148394107818604,83.60538,8324,0.0,165.525,268.7675542831421,0.046858713,0.046858713,1,95
0.007381799,286.53289199069815,4.079759,-0.014565587043762207,103.38065,10324,0.0,213.95,295.5912125110626,0.02617088,0.02617088,2,97
0.0058407416,311.27393314725504,4.1132092,-0.05456745624542236,113.34766,11324,0.0,238.125,325.0884623527527,0.029434413,0.029434413,1,98
0.005220894,334.8541578614795,4.099806,0.025420427322387695,123.133835,12324,0.0,261.8,355.11591958999634,0.03997521,0.03997521,1,99
0.0066644126,358.07820880023473,4.1499004,-0.02132713794708252,132.77463,13324,0.0,285.225,382.5609550476074,0.03098011,0.03098011,1,100
0.0070278337,382.4248949446712,4.1039605,0.0036576390266418457,142.27655,14324,0.0,309.35,414.52638030052185,0.030688163,0.030688163,1,101
0.005766717,407.18997954298766,4.081615,0.6599263846874237,151.08635,15487,0.0,334.45,442.47926902770996,0.038818337,0.038818337,2,103
0.0070609297,425.0675933737069,4.145802,0.015243351459503174,157.9849,16487,0.0,355.75,472.3945233821869,0.038078204,0.038078204,1,104
0.004340815,445.4671916059903,4.1030726,0.09596753120422363,165.30191,17487,0.0,377.475,501.1005918979645,0.03418654,0.03418654,1,105
0.007261001,467.93013873713505,4.163421,-0.009935140609741211,173.54375,18487,0.0,400.425,528.2966635227203,0.028621398,0.028621398,1,106
0.007555057,490.49521041617555,4.1633763,0.016528546810150146,181.32993,19487,0.0,423.025,559.867990732193,0.03358053,0.03358053,1,107
0.0075642797,509.860164518973,4.1367,-0.012443900108337402,187.9458,20487,0.0,445.225,587.5066857337952,0.022730976,0.022730976,1,108
0.005862196,535.0890591100465,4.059143,0.0009317994117736816,195.9902,21487,0.0,469.7,616.5567290782928,0.041814234,0.041814234,1,109
0.0072678514,558.6416685647058,4.0946636,-0.03687846660614014,203.6635,22487,0.0,493.7,646.379807472229,0.03121207,0.03121207,1,110
0.0052921036,583.4421499892903,4.0883756,0.02981013059616089,211.38339,23487,0.0,517.975,675.2801253795624,0.028051361,0.028051361,1,111
0.005230013,606.0118792318633,4.0930104,-0.06369268894195557,218.2756,24487,0.0,540.475,705.4842207431793,0.034342013,0.034342013,1,112
0.0067260913,625.4095258529135,4.0718994,0.06792503595352173,223.96658,25487,0.0,562.225,734.2010958194733,0.03407063,0.03407063,1,113
0.0071735047,647.7501242823868,4.1226287,0.03333902359008789,230.42017,26487,0.0,585.45,762.3674614429474,0.026641488,0.026641488,1,114
0.0077199014,687.5636686078011,4.156521,-0.0038770437240600586,241.94858,28487,0.0,629.925,792.5314700603485,0.03018941,0.03018941,2,116
0.006607253,705.8313437687842,4.128536,-0.031152844429016113,246.43169,29487,0.0,649.55,821.4240469932556,0.028542154,0.028542154,1,117
0.0061870352,720.0552904473858,4.1340694,-0.004743814468383789,250.09077,30201,0.0,665.075,852.2298753261566,0.04673157,0.04673157,1,118
0.0071664075,739.1578663228304,4.198254,-0.1692202091217041,254.63565,31201,0.0,686.075,879.2110486030579,0.033388745,0.033388745,1,119
0.0066612065,759.4459605426124,4.2094607,-0.04580807685852051,259.76065,32201,0.0,708.25,909.0309240818024,0.03689257,0.03689257,1,120
