entloss,EpisodesSoFar,ev_tdlam_before,EpThisIter,TimestepsSoFar,EpLenMean,entropy,TimeElapsed,meankl,EpRewMean,surrgain,optimgain,EpTrueRewMean
0.0,339,0.8698461204767227,6,238758,233.875,3.428682,2002.7838985919952,0.0084925005,41.022774,0.058879122,0.058879122,649.8317522585255
0.0,343,0.8361939340829849,4,241800,236.725,3.4002917,2027.47287607193,0.007992569,42.026505,0.06316821,0.06316821,663.458754238541
0.0,347,0.9081220999360085,4,244890,242.875,3.378307,2053.667397737503,0.008997622,43.260048,0.05757217,0.05757217,685.319505166363
0.0,351,0.8942106813192368,4,247692,238.75,3.3842812,2077.7880759239197,0.008812788,43.099262,0.06362488,0.06362488,679.8724853741703
0.0,357,0.4441142678260803,6,250248,222.75,3.374067,2103.965742588043,0.008905935,40.60381,0.06325294,0.06325294,627.6764845680796
0.0,363,0.7272549271583557,6,252741,210.05,3.410929,2128.4922335147858,0.009342332,40.614586,0.06853166,0.06853166,599.3557717792212
0.0,369,0.7351410090923309,6,256299,204.025,3.3493764,2154.7774505615234,0.008683823,38.325832,0.06662274,0.06662274,580.9165828636563
0.0,374,0.7679547071456909,5,259326,193.825,3.313269,2178.8122622966766,0.008571774,36.28355,0.056705087,0.056705087,558.6883286060438
0.0,379,0.6529722511768341,5,262095,194.475,3.3088799,2205.0951602458954,0.008403941,37.145996,0.05945553,0.05945553,564.1498664338969
0.0,383,0.822856143116951,4,264498,189.15,3.284244,2229.9165885448456,0.0091169365,36.578106,0.056804564,0.056804564,552.3842695610825
0.0,387,0.8438717871904373,4,267207,185.975,3.2630544,2255.6682879924774,0.0084751155,36.826744,0.062410504,0.062410504,549.2541675312937
0.0,391,0.9438756741583347,4,270003,185.925,3.2996542,2280.2366921901703,0.009147718,37.37086,0.060666274,0.060666274,547.4424223507059
0.0,395,0.9202188104391098,4,272928,195.325,3.2553558,2306.1047275066376,0.008837845,40.711296,0.067564666,0.067564666,583.0857497371704
0.0,399,0.8239861279726028,4,275886,203.2,3.243297,2331.0618619918823,0.009245705,42.452393,0.05531881,0.05531881,608.6861862247388
0.0,403,0.7478734254837036,4,278505,214.7,3.19631,2356.6369943618774,0.008080464,45.62254,0.05356411,0.05356411,649.0107266619798
0.0,407,0.7860428690910339,4,281175,215.875,3.1936018,2381.4251837730408,0.009038546,45.75531,0.064411536,0.064411536,656.2191903073491
0.0,412,0.9389275833964348,5,284535,221.0,3.1627142,2407.2511076927185,0.009209471,48.659843,0.06855183,0.06855183,683.1748441020011
0.0,416,0.9077591747045517,4,287643,225.425,3.1158104,2432.3204090595245,0.009820667,49.156635,0.05090896,0.05090896,696.4576745929113
0.0,419,0.9046264961361885,3,289986,232.425,3.1074486,2457.7619223594666,0.009479903,51.6361,0.06051802,0.06051802,724.3669273775156
0.0,423,0.8788867816329002,4,293505,241.725,3.0473728,2482.3286724090576,0.009853627,53.629047,0.056641407,0.056641407,758.3362909425332
0.0,427,0.8726660013198853,4,296499,244.1,3.050175,2507.966006755829,0.008863066,54.217674,0.06409297,0.06409297,764.4874553457997
0.0,431,0.9452309831976891,4,299826,248.525,3.0780134,2532.4394252300262,0.00894253,55.4104,0.054418918,0.054418918,781.1952551108376
0.0,435,0.9180246666073799,4,303048,251.0,3.0021842,2558.827353954315,0.009595487,56.788994,0.064823225,0.064823225,795.6415232631117
