EpThisIter,meankl,EpisodesSoFar,EpTrueRewMean,surrgain,EpRewMean,entloss,EpLenMean,TimestepsSoFar,ev_tdlam_before,TimeElapsed,entropy,optimgain
45,0.007353276,45,109.21245756707859,0.13179362,8.911661,0.0,22.575,3018,0.632500559091568,39.017719984054565,24.129026,0.13179362
43,0.0069421204,88,115.785346345116,0.12903787,8.204432,0.0,23.775,6078,0.652021050453186,74.94250798225403,24.094814,0.12903787
42,0.0071878186,130,119.11160359112682,0.13785033,6.680391,0.0,24.35,9165,0.5497872531414032,112.11980319023132,24.09001,0.13785033
37,0.007222303,167,131.30832311172688,0.13115959,7.373053,0.0,27.25,12237,0.4427194595336914,148.81240725517273,24.087461,0.13115959
36,0.006973441,203,141.26635025528873,0.13811357,7.7972784,0.0,28.55,15357,0.1080966591835022,184.3925220966339,24.069172,0.13811357
32,0.007644286,235,156.03781318721053,0.13737203,8.447445,0.0,31.525,18438,0.5824545919895172,221.71100068092346,24.058363,0.13737203
25,0.007270272,260,182.3765193724468,0.13538712,11.305511,0.0,36.2,21348,0.4316568374633789,259.03182458877563,24.04934,0.13538712
25,0.007428917,285,208.1369369664646,0.13912733,14.69295,0.0,41.2,24441,0.5862787067890167,294.1693391799927,24.023476,0.13912733
23,0.007686035,308,219.39690807725202,0.15631193,16.2025,0.0,43.025,27546,0.48915648460388184,332.0016579627991,23.99373,0.15631193
24,0.007643994,332,216.51249271650278,0.15705568,14.0668125,0.0,42.4,30549,0.5022774934768677,368.8373112678528,23.97482,0.15705568
20,0.0073802737,352,234.35251959677151,0.14745985,13.110804,0.0,45.8,33582,0.6199124455451965,402.99581122398376,23.895094,0.14745985
20,0.007673959,372,256.8698426142235,0.16558489,15.049085,0.0,50.125,36564,0.47218388319015503,436.96421337127686,23.87668,0.16558489
17,0.0077648256,389,274.6156474165659,0.15692785,16.429607,0.0,53.675,39597,0.5746718347072601,467.6871826648712,23.850136,0.15692785
19,0.008248087,408,281.58749377753554,0.1461475,14.964462,0.0,54.975,42639,0.500035434961319,496.79048323631287,23.839432,0.1461475
18,0.0075239064,426,281.73995402171596,0.1469011,14.287239,0.0,55.0,45579,0.586894303560257,525.7190780639648,23.83348,0.1469011
18,0.00795098,444,276.09426365929164,0.16388015,14.291441,0.0,54.4,48654,0.48885053396224976,552.9088168144226,23.798306,0.16388015
17,0.0076945755,461,300.06425317551015,0.1625126,17.25043,0.0,59.25,51813,0.6619473993778229,581.9501905441284,23.767235,0.1625126
16,0.0079056965,477,313.6316073937295,0.1633146,21.698324,0.0,62.1,54987,0.6458345651626587,609.0091977119446,23.734663,0.1633146
17,0.0075344974,494,310.2044831051952,0.16134797,22.035633,0.0,61.375,58017,0.6173175275325775,637.5002608299255,23.71701,0.16134797
14,0.008046313,508,328.2301026369031,0.17179948,22.747555,0.0,64.625,61047,0.5503382682800293,665.3726871013641,23.694855,0.17179948
15,0.00836144,523,349.71409424983085,0.1658589,26.435257,0.0,68.7,64200,0.6088822185993195,693.7882645130157,23.646772,0.1658589
16,0.008249966,539,342.3857128838473,0.18566519,24.249418,0.0,67.9,67167,0.5630471110343933,721.7875831127167,23.631151,0.18566519
16,0.00828838,555,322.40297250419474,0.1677631,21.158772,0.0,64.0,70155,0.7389386296272278,749.869099855423,23.618212,0.1677631
