TimeElapsed,EpThisIter,EpRewMean,EpisodesSoFar,surrgain,EpLenMean,meankl,TimestepsSoFar,entropy,EpTrueRewMean,ev_tdlam_before,optimgain,entloss
7.683924674987793,46,17.68452,46,0.18511756,22.175,0.0066401074,1022,24.128008,105.70959996071403,0.2766631841659546,0.18511756,0.0
14.296856880187988,45,15.504343,91,0.18618204,22.65,0.0065727336,2047,24.134771,106.61525826310728,0.49023252725601196,0.18618204,0.0
20.987633228302002,45,14.748894,136,0.15918732,22.025,0.007077928,3082,24.115414,104.4553953328985,0.4774118661880493,0.15918732,0.0
27.685035228729248,41,16.036274,177,0.15622145,25.35,0.0073659616,4119,24.126486,119.47053304008048,0.5304005146026611,0.15622145,0.0
34.4610435962677,34,18.1333,211,0.15403946,29.075,0.0071471003,5146,24.082098,138.55680167731458,0.5098367035388947,0.15403946,0.0
41.18335795402527,33,19.022192,244,0.16297142,30.775,0.0068405615,6173,24.070004,144.41500434203073,0.5028285682201385,0.16297142,0.0
47.943718671798706,27,23.610262,271,0.16798739,35.9,0.0072560115,7198,24.07365,169.06404154975803,0.5093297958374023,0.16798739,0.0
54.68518948554993,25,28.474579,296,0.14418592,40.175,0.007588353,8242,24.098879,189.18002732895593,0.6176410615444183,0.14418592,0.0
61.39545226097107,24,31.920313,320,0.1780026,43.1,0.0077342503,9263,24.091246,203.57393467323453,0.5911506712436676,0.1780026,0.0
68.18127918243408,21,33.37283,341,0.17742279,44.725,0.0071793892,10272,24.097595,210.9416871744621,0.6212574541568756,0.17742279,0.0
75.0367660522461,22,34.356495,363,0.18029425,46.425,0.0078146355,11319,24.074465,222.18891605380068,0.5209349989891052,0.18029425,0.0
81.94345927238464,20,36.482098,383,0.17424783,48.75,0.0070172297,12339,24.07399,231.79613441776124,0.7453812062740326,0.17424783,0.0
88.83446431159973,18,43.718952,401,0.2116637,53.575,0.008507868,13369,24.079828,254.55034205921953,0.5858050882816315,0.2116637,0.0
95.76204943656921,21,43.364758,422,0.17437066,52.5,0.007648866,14384,24.062494,251.51288099974454,0.6720476746559143,0.17437066,0.0
102.64449763298035,20,40.85075,442,0.17162347,49.325,0.008638371,15370,24.063885,237.07137570090185,0.7220020592212677,0.17162347,0.0
109.56123161315918,17,44.939636,459,0.16550761,53.15,0.0079729725,16381,24.032959,253.43044084627405,0.7151824235916138,0.16550761,0.0
116.47088479995728,16,52.099922,475,0.1769463,58.75,0.008076616,17377,24.039536,279.78221363099453,0.7253545820713043,0.1769463,0.0
123.4307930469513,17,55.11687,492,0.22667345,61.525,0.008346168,18429,24.036394,292.7320358575468,0.7586771845817566,0.22667345,0.0
130.44792127609253,16,56.71588,508,0.2096301,61.65,0.008600935,19447,24.029373,298.16638474727705,0.4750949740409851,0.2096301,0.0
137.3796901702881,16,58.00929,524,0.19181347,62.5,0.008240461,20432,23.968016,302.9170748429334,0.741460919380188,0.19181347,0.0
144.32775783538818,15,59.933586,539,0.19157052,64.75,0.008425,21432,23.896162,313.6461395173025,0.7174670994281769,0.19157052,0.0
151.348149061203,15,60.7516,554,0.17340636,67.8,0.008598092,22526,23.850018,327.10734203375944,0.7009665668010712,0.17340636,0.0
158.32900547981262,15,61.37213,569,0.17976567,69.725,0.008396823,23594,23.854979,339.9771168723737,0.7567116171121597,0.17976567,0.0
165.35249304771423,17,58.68943,586,0.20883852,66.95,0.007952299,24640,23.851564,327.20506879372687,0.7471086084842682,0.20883852,0.0
172.3568320274353,15,57.02959,601,0.18327856,65.575,0.008888239,25732,23.864277,317.1512255625256,0.7192003130912781,0.18327856,0.0
179.35921573638916,16,54.782692,617,0.18197551,65.4,0.008802129,26752,23.867674,314.6026764167461,0.7139764428138733,0.18197551,0.0
186.31727385520935,14,54.594948,631,0.2341812,68.75,0.0088770855,27788,23.850336,326.13331191583285,0.765122190117836,0.2341812,0.0
193.2877824306488,16,52.79378,647,0.1605624,68.375,0.008898316,28843,23.829102,330.52139058319364,0.7527564913034439,0.1605624,0.0
200.31826066970825,15,55.334595,662,0.18517703,67.775,0.008444387,29852,23.820145,335.2926083104773,0.8147199004888535,0.18517703,0.0
207.35072302818298,15,57.296265,677,0.19713086,68.25,0.008705989,30927,23.803545,339.371595030134,0.7034127414226532,0.19713086,0.0
214.32520055770874,15,58.4244,692,0.23467222,70.25,0.009598751,31971,23.779135,346.95199812820726,0.7440264821052551,0.23467222,0.0
221.43696975708008,13,58.928772,705,0.18476823,72.25,0.009411866,32995,23.762922,352.6384077678833,0.7768222689628601,0.18476823,0.0
228.4662709236145,15,60.32482,720,0.24816108,71.775,0.008664504,34018,23.751642,350.1015593979512,0.7211210131645203,0.24816108,0.0
235.5056254863739,14,63.944878,734,0.20273694,73.1,0.009260535,35027,23.728277,355.5941592518461,0.7788210958242416,0.20273694,0.0
242.50834131240845,13,65.28314,747,0.2179249,73.125,0.009706078,36050,23.706297,357.8306826366953,0.8361771255731583,0.2179249,0.0
249.52809238433838,14,65.9902,761,0.18647286,73.625,0.010915423,37028,23.705095,357.58401793040844,0.7871960550546646,0.18647286,0.0
256.5374205112457,14,66.47197,775,0.24569061,75.3,0.009179297,38103,23.683756,366.0394676201231,0.7562897354364395,0.24569061,0.0
263.5556139945984,13,65.72455,788,0.44622993,74.7,0.010246969,39112,23.668232,367.3425398297416,0.6708780527114868,0.44622993,0.0
270.5730092525482,12,68.26174,800,0.23678383,77.325,0.010562351,40059,23.704182,384.40952863568657,0.844390481710434,0.23678383,0.0
277.59089970588684,14,67.263145,814,0.23992574,75.475,0.009228524,41059,23.688234,376.29708652888564,0.8408486098051071,0.23992574,0.0
284.63651871681213,14,62.79081,828,0.19958924,74.525,0.009961767,42093,23.655764,370.05044367632183,0.7787207216024399,0.19958924,0.0
291.6485369205475,13,57.204308,841,0.22358832,72.425,0.009983691,43037,23.6402,354.993182728741,0.7917258143424988,0.22358832,0.0
298.728093624115,14,56.37212,855,0.20275986,73.725,0.010324339,44082,23.624775,366.28544726900117,0.7738610953092575,0.20275986,0.0
306.6080422401428,14,57.85337,869,0.22417809,72.95,0.00950192,45099,23.614422,362.6956247600383,0.8330728262662888,0.22417809,0.0
314.72822856903076,13,59.63274,882,0.21727009,76.25,0.009648759,46161,23.640932,379.6409483398279,0.7973630875349045,0.21727009,0.0
322.903502702713,13,57.795097,895,0.2060968,76.725,0.010518875,47151,23.653482,376.8006275078318,0.8231772184371948,0.2060968,0.0
331.0669455528259,15,54.499676,910,0.20351462,75.35,0.010177141,48184,23.652119,371.752705580411,0.7968262583017349,0.20351462,0.0
339.2538688182831,13,55.0059,923,0.20511273,73.75,0.009367195,49191,23.65241,365.03185576842435,0.8186275810003281,0.20511273,0.0
347.34449338912964,15,54.700905,938,0.20001784,72.3,0.010455276,50258,23.641424,359.65283355502436,0.8491933792829514,0.20001784,0.0
355.2342655658722,15,51.129753,953,0.19869658,69.675,0.010649627,51248,23.621906,349.8531711291448,0.7828606516122818,0.19869658,0.0
