entloss,EpThisIter,meankl,TimestepsSoFar,entropy,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,EpRewMean,EpLenMean,optimgain,surrgain,TimeElapsed
0.0,38,0.008646656,1012,4.234054,38,21.83102163703584,0.42985594272613525,21.142204,26.63157894736842,0.04796458,0.04796458,34.59794473648071
0.0,23,0.008169298,2069,4.180613,61,34.92590139374401,0.5071717202663422,24.618626,38.85,0.045848757,0.045848757,62.63785648345947
0.0,12,0.0066027865,3205,4.1844807,73,67.71491656399367,0.726108580827713,33.897694,58.325,0.040487934,0.040487934,91.37300229072571
0.0,6,0.006886747,4250,4.1383896,79,90.63073104533694,0.47416985034942627,43.168007,79.1,0.043161683,0.043161683,123.19257998466492
0.0,1,0.0064149485,5199,4.1024017,80,110.95412748035828,0.6769768297672272,52.880554,99.95,0.05170473,0.05170473,151.11810302734375
0.0,1,0.006189754,6199,4.0850244,81,135.84119303801066,-0.009574651718139648,64.302025,124.475,0.026142625,0.026142625,182.93192410469055
0.0,1,0.008774021,7199,4.058455,82,161.55576653626724,-0.0323641300201416,75.25189,148.7,0.03914193,0.03914193,211.11214685440063
0.0,1,0.0067831865,8199,4.0522313,83,186.31285709725458,-0.044829726219177246,86.19315,172.9,0.028919814,0.028919814,238.35309314727783
0.0,1,0.007697167,9199,4.0015044,84,211.79399413287,0.01658177375793457,96.61231,197.5,0.030121256,0.030121256,270.32727551460266
0.0,1,0.0067594373,10199,4.0023894,85,237.3274493102229,-0.20614635944366455,106.24834,221.95,0.034813844,0.034813844,298.43718791007996
0.0,1,0.0050648963,11199,3.9963222,86,260.7160048490899,5.602836608886719e-06,115.14211,245.075,0.03798657,0.03798657,329.4972240924835
0.0,1,0.0077566095,12199,3.9922028,87,285.2960294965207,-0.17320358753204346,123.50452,268.325,0.03224406,0.03224406,358.3366274833679
0.0,1,0.0069081225,13199,4.0073075,88,310.6513474279442,-0.034371376037597656,131.84123,292.4,0.026826158,0.026826158,387.15174651145935
0.0,1,0.006354989,14199,3.98579,89,335.6437845291299,-0.0464707612991333,139.72562,316.5,0.026430966,0.026430966,419.11446356773376
0.0,2,0.006880969,16199,4.0360756,91,381.4509975922358,-0.0005601644515991211,154.369,362.9,0.028597295,0.028597295,448.24502182006836
0.0,2,0.0060487697,17328,4.0016956,93,409.0194706085885,0.11913102865219116,162.37114,388.95,0.04209207,0.04209207,478.632883310318
0.0,1,0.0059736706,18328,3.9575732,94,433.21598049560527,-0.03410780429840088,169.2579,412.125,0.05260904,0.05260904,507.56499314308167
0.0,1,0.0059483536,18887,3.9761999,95,446.7252906463964,0.46836864948272705,173.02745,425.05,0.048270255,0.048270255,536.5162358283997
0.0,1,0.0058188997,19887,4.0164504,96,471.600606928466,0.007702767848968506,179.8908,449.2,0.035563737,0.035563737,567.3224108219147
0.0,1,0.005413382,20887,4.032741,97,496.76413588515186,0.002099454402923584,186.6973,473.85,0.028717421,0.028717421,595.7644674777985
0.0,1,0.0070951562,21887,3.9808502,98,521.0390676983791,0.021313250064849854,193.03146,497.9,0.03559009,0.03559009,626.5505604743958
0.0,1,0.006425923,22386,3.955036,99,533.8687352031272,-0.01030576229095459,196.16006,509.575,0.048110545,0.048110545,655.3197338581085
0.0,1,0.0057075415,23386,3.9546125,100,558.866108907992,-0.301843523979187,201.85796,533.6,0.050791413,0.050791413,683.8331620693207
0.0,1,0.0069926917,24386,3.92543,101,584.3700668336627,-0.06942760944366455,207.54655,557.925,0.047911294,0.047911294,714.5040020942688
0.0,2,0.006700784,25796,3.914536,103,611.9616577664575,0.3461717367172241,212.06616,586.45,0.04009365,0.04009365,743.2068643569946
0.0,1,0.00702166,26796,3.9225116,104,635.3889630360989,-0.010094165802001953,216.69556,609.325,0.035356544,0.035356544,773.4631235599518
0.0,1,0.006669059,27796,3.9474065,105,657.6253944045409,0.00789862871170044,220.846,631.925,0.029513747,0.029513747,801.4947936534882
0.0,1,0.006220026,28796,3.9624293,106,678.8442891035772,-0.014803409576416016,225.11703,654.725,0.05071879,0.05071879,832.443528175354
0.0,1,0.0075508812,29796,3.9748285,107,701.090263850484,-0.005237579345703125,229.12024,677.65,0.040234055,0.040234055,862.4000101089478
0.0,1,0.008269244,30796,3.9797742,108,723.7438242975686,-0.006780028343200684,233.12935,700.975,0.034485005,0.034485005,890.9173617362976
0.0,1,0.005370873,31398,3.9670672,109,738.0150247557358,0.44211626052856445,235.55356,715.05,0.058305558,0.058305558,920.8045275211334
0.0,1,0.007425065,32398,4.0235324,110,759.2053879550011,-0.049045562744140625,238.24692,736.05,0.031861097,0.031861097,948.1115171909332
0.0,1,0.008157574,33398,4.0093036,111,783.2374110570697,0.007961452007293701,242.07492,759.975,0.02988377,0.02988377,978.5912222862244
0.0,2,0.0055240304,35398,4.048638,113,828.2646571208367,-0.04453873634338379,248.27011,804.825,0.045213465,0.045213465,1008.9081704616547
0.0,1,0.0070137493,36398,4.0442376,114,841.2177533009996,-0.03060281276702881,246.52847,818.3,0.038195353,0.038195353,1038.0594964027405
0.0,1,0.004870588,37025,4.0444293,115,855.4394907729347,0.05866289138793945,248.49052,832.25,0.04207657,0.04207657,1067.2259724140167
0.0,1,0.0069671995,38000,4.046797,116,880.2462085541462,0.1414896845817566,252.14304,855.65,0.05278759,0.05278759,1094.8659920692444
0.0,2,0.006368005,39374,4.0241466,118,909.8496940710369,0.04396945238113403,254.79729,883.7,0.049802173,0.049802173,1125.5422196388245
0.0,1,0.0074414816,39692,4.024386,119,912.195669058198,-0.0876082181930542,253.41928,886.05,0.060557388,0.060557388,1155.2069959640503
0.0,1,0.006771911,40552,4.0423107,120,910.3719126868513,0.03432571887969971,245.38094,883.825,0.03921225,0.03921225,1183.9988074302673
0.0,1,0.00736491,41552,4.037653,121,911.3392909974082,-0.41092121601104736,237.82797,883.825,0.09107211,0.09107211,1214.5054230690002
0.0,1,0.0076409257,42552,4.052931,122,911.2582635485571,-0.023759007453918457,230.23282,883.825,0.038112123,0.038112123,1242.356386423111
0.0,1,0.0070248493,43552,4.034064,123,912.2275495683037,0.025112271308898926,222.62683,883.825,0.048536453,0.048536453,1272.6358852386475
0.0,3,0.007125047,45241,4.0312195,126,879.6875967563672,0.008788466453552246,198.4177,851.05,0.064092875,0.064092875,1302.5557944774628
0.0,1,0.007597249,46241,4.016187,127,880.5788010944598,-0.17885243892669678,192.95615,851.05,0.056133647,0.056133647,1330.5688247680664
0.0,1,0.0064771995,47241,4.0085487,128,881.2156540465041,-0.23097383975982666,187.9545,851.05,0.05649369,0.05649369,1361.508628129959
