ev_tdlam_before,surrgain,TimeElapsed,EpisodesSoFar,EpTrueRewMean,TimestepsSoFar,entropy,entloss,EpLenMean,EpThisIter,meankl,optimgain,EpRewMean
0.903005838394165,0.13978621,1123.5433189868927,2712,484.2704078149224,608340,23.56258,0.0,98.55,10,0.0040582716,0.13978621,484.2704078149224
0.9193211570382118,0.28201038,1129.2549948692322,2723,478.55490614458523,611634,23.561504,0.0,98.5,11,0.014534525,0.28201038,478.55490614458523
0.9059928879141808,0.14798321,1134.9475514888763,2733,491.5256320222117,614559,23.559088,0.0,100.075,10,0.003768016,0.14798321,491.5256320222117
0.8644279092550278,0.27023345,1140.8130130767822,2744,484.6406284098621,617634,23.552912,0.0,98.6,11,0.01475748,0.27023345,484.6406284098621
0.8950095176696777,0.16266847,1146.6436398029327,2753,490.5356122776837,620532,23.546808,0.0,99.55,9,0.0038864156,0.16266847,490.5356122776837
0.8508360683917999,0.16580856,1152.356535434723,2762,508.7849456181707,623424,23.543638,0.0,102.45,9,0.0037819133,0.16580856,508.7849456181707
0.9195423126220703,0.14559542,1158.1647231578827,2774,492.66364374333745,626739,23.544432,0.0,99.15,12,0.0038691186,0.14559542,492.66364374333745
0.9104801341891289,0.28340903,1163.8946776390076,2785,490.37519517542717,629805,23.547342,0.0,99.4,11,0.01358784,0.28340903,490.37519517542717
0.915946863591671,0.3337256,1169.6918799877167,2795,472.28178937778705,632826,23.546469,0.0,96.05,10,0.014430206,0.3337256,472.28178937778705
0.8661134541034698,0.3260272,1175.4508159160614,2805,484.23440303148436,636243,23.549238,0.0,98.775,10,0.014716784,0.3260272,484.23440303148436
0.9133410602807999,0.13856438,1181.2689454555511,2815,496.1551525488985,639243,23.549786,0.0,101.95,10,0.003968755,0.13856438,496.1551525488985
0.9019296541810036,0.15529774,1186.9409368038177,2827,496.02516642633736,642516,23.550274,0.0,101.825,12,0.0040877974,0.15529774,496.02516642633736
