meankl,TimeElapsed,EpLenMean,entropy,surrgain,EpisodesSoFar,EpTrueRewMean,EpRewMean,EpThisIter,optimgain,entloss,ev_tdlam_before,TimestepsSoFar
0.0063593467,7.737831354141235,23.325,24.122297,0.16525765,44,110.2110070157338,17.084644,44,0.16525765,0.0,0.43026793003082275,1024
0.0073488196,14.353917837142944,23.425,24.107601,0.18559198,87,109.97115816080819,19.098206,43,0.18559198,0.0,0.44862139225006104,2028
0.006938505,21.015015840530396,25.775,24.112383,0.15504196,127,122.01776696430133,19.64714,40,0.15504196,0.0,0.5529652535915375,3059
0.007502458,27.732321977615356,27.5,24.100344,0.16653773,163,128.85160904505625,21.117828,36,0.16653773,0.0,0.4683433175086975,4082
0.0074937874,34.4443302154541,30.05,24.053225,0.14171073,196,139.2700390056853,22.5655,33,0.14171073,0.0,0.4961479902267456,5133
0.0074912254,41.25597429275513,35.6,24.044903,0.15682545,224,166.03963401358973,26.908789,28,0.15682545,0.0,0.6165916323661804,6151
0.0072699953,48.0427782535553,36.9,24.025652,0.15376486,251,172.45971036418663,27.38562,27,0.15376486,0.0,0.565133810043335,7187
0.00784763,54.808300495147705,41.925,24.014814,0.16741443,275,196.43455328293652,31.761389,24,0.16741443,0.0,0.4860496520996094,8196
0.0075394004,61.58417272567749,41.025,23.999994,0.16751015,298,191.83776905966755,30.674753,23,0.16751015,0.0,0.5798679888248444,9217
0.007365304,68.38819479942322,46.125,23.991226,0.1753205,319,218.65924973153187,39.036285,21,0.1753205,0.0,0.5853228569030762,10203
0.008015886,75.25954174995422,48.5,24.013992,0.16926047,339,229.0716899437702,43.409595,20,0.16926047,0.0,0.6323689818382263,11221
0.007990912,82.16636323928833,51.625,24.029785,0.16439743,357,242.92801631084708,47.617115,18,0.16439743,0.0,0.6552459001541138,12186
0.007980248,89.05413961410522,55.925,24.000555,0.1716136,374,262.3370568838901,54.442116,17,0.1716136,0.0,0.5981867015361786,13198
0.007736767,95.93404579162598,60.025,23.992674,0.16940224,390,284.7743956589688,57.912285,16,0.16940224,0.0,0.7569008767604828,14221
0.008514462,102.79977035522461,64.15,23.958332,0.18333685,406,305.64379214459916,63.151684,16,0.18333685,0.0,0.6712118983268738,15244
0.008067063,109.6948630809784,62.625,23.97145,0.16474359,424,299.50663969888024,60.50598,18,0.16474359,0.0,0.7150115370750427,16267
0.008082112,116.63957715034485,58.825,23.942377,0.1701724,440,280.8141301464627,54.785187,16,0.1701724,0.0,0.7653117775917053,17259
0.008173277,123.51576089859009,60.6,23.932795,0.1818636,457,289.10279467876796,57.4075,17,0.1818636,0.0,0.7564792484045029,18291
0.008425986,130.4922637939453,62.075,23.904522,0.17409524,473,296.73771924223223,59.457447,16,0.17409524,0.0,0.7504033446311951,19320
0.009474315,137.4378683567047,64.0,23.874506,0.17289567,489,306.15675788060673,60.46345,16,0.17289567,0.0,0.7859876304864883,20361
0.008421558,144.3281590938568,65.75,23.84808,0.19543856,504,316.41664808171424,61.97273,15,0.19543856,0.0,0.742474228143692,21383
0.008691652,151.21622562408447,64.9,23.815916,0.17894815,520,310.39561081895334,58.950752,16,0.17894815,0.0,0.8066619485616684,22393
0.008992609,158.1282353401184,67.5,23.80182,0.17944282,534,321.4311595564644,60.524864,14,0.17944282,0.0,0.8474985510110855,23387
0.009283472,165.02728056907654,66.65,23.77497,0.19744524,550,312.4496238504808,53.799328,16,0.19744524,0.0,0.7316510677337646,24451
0.00875449,172.01060128211975,69.525,23.771994,0.19856125,564,328.24212244315515,54.973156,14,0.19856125,0.0,0.7825683653354645,25468
0.009660497,178.97506093978882,69.375,23.766134,0.23212767,579,325.6185992433676,53.640392,15,0.23212767,0.0,0.7432765662670135,26530
0.0088903885,185.89193296432495,71.075,23.795,0.19085285,594,335.22187580542777,57.142944,15,0.19085285,0.0,0.6826040744781494,27582
0.009238865,192.8273208141327,74.35,23.8006,0.18724054,608,345.51252244480213,59.16253,14,0.18724054,0.0,0.7935216426849365,28649
0.009648776,199.78980493545532,73.2,23.813068,0.18334275,622,344.7259595564301,58.283833,14,0.18334275,0.0,0.8089621961116791,29663
0.009334968,206.73347926139832,75.8,23.827332,0.17736927,635,361.87385295124335,61.690807,13,0.17736927,0.0,0.8183095753192902,30678
0.009919453,213.69461488723755,74.6,23.816671,0.19634189,650,360.1109450606318,60.22707,15,0.19634189,0.0,0.7829667925834656,31777
0.0092957355,220.6908118724823,72.425,23.77899,0.18109804,665,349.51385698158407,57.323986,15,0.18109804,0.0,0.8297982960939407,32785
0.0096411165,227.66973757743835,68.875,23.79539,0.30625892,680,329.9183706638174,54.046986,15,0.30625892,0.0,0.7148194313049316,33797
0.009924591,234.62848138809204,71.2,23.794191,0.18927063,693,343.85228488003474,59.68852,13,0.18927063,0.0,0.829713299870491,34806
0.009649236,241.56239318847656,75.675,23.778484,0.21993065,706,368.06850436720794,64.37986,13,0.21993065,0.0,0.7268933057785034,35897
0.009291365,248.517676115036,77.45,23.772724,0.20171621,721,381.5632547189819,66.54036,15,0.20171621,0.0,0.8144448548555374,36949
0.009411346,255.5040159225464,73.425,23.77541,0.17600657,736,364.63275000629085,66.65979,15,0.17600657,0.0,0.7838090062141418,37982
0.009234538,262.5011546611786,67.225,23.777508,0.19067237,752,332.8286535229489,59.79545,16,0.19067237,0.0,0.774048775434494,39015
0.010490449,269.5238358974457,68.6,23.765606,0.18174866,766,341.140603117991,62.063774,14,0.18174866,0.0,0.7254755795001984,40026
0.009627445,276.53048276901245,69.175,23.74359,0.19706748,781,344.1431547657285,60.9635,15,0.19706748,0.0,0.7949777543544769,41043
0.010236785,283.5672450065613,69.8,23.720705,0.18588258,795,345.4273795312032,58.004555,14,0.18588258,0.0,0.8057536780834198,42061
0.0095390845,290.5671398639679,71.775,23.70988,0.2586732,809,352.2376920466839,59.826008,14,0.2586732,0.0,0.807281494140625,43101
0.009922719,297.59179878234863,70.9,23.716719,0.17763312,825,350.61155645513725,59.39376,16,0.17763312,0.0,0.6596782207489014,44146
0.010089909,305.26649618148804,72.95,23.716288,0.23283394,837,363.8253092552303,64.427055,12,0.23283394,0.0,0.7852190732955933,45128
0.01030278,313.3990156650543,72.375,23.714678,0.22167467,851,361.13044850262395,61.741444,14,0.22167467,0.0,0.7736885398626328,46125
0.010315699,321.60957431793213,74.35,23.702902,0.25816172,865,370.5233249235679,62.00228,14,0.25816172,0.0,0.784553587436676,47120
0.010162947,329.7556552886963,73.475,23.689459,0.23303556,877,368.526820993569,63.689095,12,0.23303556,0.0,0.7813853323459625,48067
0.010569369,337.8333353996277,72.275,23.68268,0.23714973,892,362.37055891381414,63.1923,15,0.23714973,0.0,0.7759005576372147,49091
0.010812679,345.84843611717224,71.75,23.669207,0.25756615,907,357.44030950826016,61.04046,15,0.25756615,0.0,0.6977822184562683,50158
0.010119494,353.88912177085876,72.35,23.6695,0.22225678,921,356.0163554654472,56.8573,14,0.22225678,0.0,0.7819586396217346,51241
0.010814575,361.4671618938446,70.825,23.670961,0.2084868,936,349.8561118640147,54.91615,15,0.2084868,0.0,0.7761149406433105,52241
0.010328239,368.94368863105774,70.175,23.646467,0.1970846,950,344.5555557273998,54.243347,14,0.1970846,0.0,0.8194029331207275,53239
0.010127364,376.51162362098694,71.025,23.640364,0.20660084,963,351.093431380212,57.624035,13,0.20660084,0.0,0.7621409446001053,54207
0.011133675,384.0612359046936,75.75,23.640703,0.25777692,975,371.11861531546987,61.731544,12,0.25777692,0.0,0.7294532358646393,55185
0.011325012,391.66972827911377,78.3,23.628664,0.2386449,988,382.4600976486449,65.1187,13,0.2386449,0.0,0.74831822514534,56251
0.010237309,399.2514786720276,79.1,23.610857,0.23836815,1002,387.26042475437487,69.147644,14,0.23836815,0.0,0.692306399345398,57285
0.011321972,406.83011651039124,74.15,23.61629,0.23364893,1016,367.80501236435043,62.831566,14,0.23364893,0.0,0.834073007106781,58247
0.011249494,414.43712854385376,70.625,23.614178,0.23588024,1031,350.3948301060701,58.305656,15,0.23588024,0.0,0.712236076593399,59282
0.010580663,422.06843280792236,72.95,23.612139,0.22373536,1043,360.743787926338,60.112335,12,0.22373536,0.0,0.7491815686225891,60281
0.011292008,429.38248443603516,77.375,23.602602,0.2311281,1056,380.6640350658726,68.29365,13,0.2311281,0.0,0.7557228207588196,61342
0.011575505,436.325941324234,77.375,23.605635,0.20012572,1071,379.6752441471158,68.78058,15,0.20012572,0.0,0.8258479535579681,62377
0.010506545,443.2401385307312,76.775,23.614195,0.24540964,1084,380.6064654418158,66.75026,13,0.24540964,0.0,0.8184840232133865,63406
0.010458127,450.1463985443115,75.175,23.610086,0.22488628,1098,375.5863239105718,65.04988,14,0.22488628,0.0,0.8287752717733383,64511
0.010238433,457.10103130340576,76.95,23.603998,0.22601199,1112,383.32013225326546,68.3954,14,0.22601199,0.0,0.8097921758890152,65529
0.010506958,464.0755865573883,79.25,23.587893,0.2525432,1124,393.9832770711447,72.701454,12,0.2525432,0.0,0.7535502761602402,66576
0.01164134,471.04041481018066,82.9,23.597822,0.25884625,1136,407.7751501099756,74.197464,12,0.25884625,0.0,0.827532023191452,67640
0.011306321,477.9817204475403,84.1,23.605955,0.2159264,1150,411.77563547132667,72.713005,14,0.2159264,0.0,0.8282389789819717,68691
0.0109572075,484.9454219341278,78.675,23.61432,0.21016684,1164,381.126866448892,67.197205,14,0.21016684,0.0,0.8403009921312332,69723
0.011811731,491.86463475227356,79.775,23.612223,0.22296932,1175,390.82053916403464,67.33882,11,0.22296932,0.0,0.8369342088699341,70731
0.012435872,498.82094860076904,81.25,23.611895,0.2452443,1188,399.17724130943196,68.3431,13,0.2452443,0.0,0.8441840261220932,71771
0.010973278,505.76193857192993,80.35,23.601397,0.26296142,1200,399.2432111592878,68.3912,12,0.26296142,0.0,0.8586191534996033,72690
0.011040291,512.9760315418243,81.9,23.599058,0.18452841,1211,408.69912813463156,70.21352,11,0.18452841,0.0,0.8474439531564713,73705
0.011957914,519.9055354595184,82.6,23.60964,0.26619333,1223,410.0341372995892,66.31407,12,0.26619333,0.0,0.804309293627739,74703
0.010769834,526.8207828998566,80.775,23.6023,0.21978366,1237,398.28395488243086,62.99949,14,0.21978366,0.0,0.8535571545362473,75711
0.01171726,533.774120092392,77.425,23.599592,0.2580783,1251,381.4379002002489,62.431927,14,0.2580783,0.0,0.8348770439624786,76802
0.01151422,540.7560935020447,73.275,23.600359,0.23307963,1265,362.18121911100536,61.18791,14,0.23307963,0.0,0.771514892578125,77802
0.010919109,547.7426660060883,77.85,23.602556,0.22143835,1277,387.0748985942918,68.464294,12,0.22143835,0.0,0.7845778912305832,78825
0.010984298,554.7574512958527,76.65,23.602945,0.20664278,1291,384.05773684911185,66.734985,14,0.20664278,0.0,0.8731871247291565,79868
0.011435127,561.7342505455017,77.55,23.597189,0.27547568,1305,388.84893280554223,70.252975,14,0.27547568,0.0,0.855158269405365,80904
0.01309249,568.7827632427216,76.75,23.59155,0.23599237,1317,382.39964462707064,65.39649,12,0.23599237,0.0,0.8975895643234253,81895
0.011423722,575.7492504119873,75.975,23.601788,0.2140363,1331,377.6581638708873,62.6172,14,0.2140363,0.0,0.8468912094831467,82907
0.012086907,582.6982038021088,80.125,23.598797,0.23525774,1342,399.181077731121,64.87279,11,0.23525774,0.0,0.8209418058395386,83898
0.011600269,589.7220637798309,77.625,23.60296,0.246015,1356,387.1860692279146,63.157177,14,0.246015,0.0,0.8467393517494202,84930
0.012318751,596.6681115627289,79.525,23.6084,0.25798678,1369,392.50776282107483,64.29048,13,0.25798678,0.0,0.884734034538269,85964
0.012199441,603.6795156002045,79.525,23.617125,0.24549499,1381,390.9189482288734,61.53927,12,0.24549499,0.0,0.8406506478786469,86998
0.012325527,610.6631002426147,78.65,23.6096,0.2656458,1394,387.7658624635846,57.71526,13,0.2656458,0.0,0.8469403088092804,87963
0.010554399,617.6562964916229,79.875,23.611818,0.23742892,1406,397.24203419845924,56.945484,12,0.23742892,0.0,0.823007345199585,88937
0.011567806,624.6616146564484,83.35,23.611818,0.24285266,1417,411.3801530679639,58.515984,11,0.24285266,0.0,0.8596505969762802,89967
0.011803921,631.6311337947845,83.05,23.603106,0.24547297,1430,406.15769673486756,58.748085,13,0.24547297,0.0,0.8598272502422333,90967
0.012199792,638.6111764907837,81.6,23.599874,0.24078733,1443,400.6054384715045,56.235035,13,0.24078733,0.0,0.8866861686110497,92021
0.012124561,645.5539634227753,80.275,23.612123,0.3024201,1455,394.85045468781175,56.096638,12,0.3024201,0.0,0.8444724828004837,93058
0.01191112,652.4443280696869,80.2,23.612482,0.24490252,1468,391.8314568401599,54.924065,13,0.24490252,0.0,0.8129053860902786,94026
0.013001842,659.4065749645233,81.375,23.621332,0.24861243,1480,393.2138786300248,53.826233,12,0.24861243,0.0,0.8848604112863541,95071
0.012904447,666.355991601944,81.25,23.616938,0.25395307,1493,396.2270128045003,53.383778,13,0.25395307,0.0,0.8225432634353638,96146
0.012427004,673.3291099071503,82.775,23.616705,0.31539947,1506,411.77272595206114,55.453663,13,0.31539947,0.0,0.7326952517032623,97219
0.011812834,680.2994074821472,83.65,23.610357,0.22507545,1518,414.1691054426843,53.41105,12,0.22507545,0.0,0.8193643689155579,98261
0.0127180945,687.2926173210144,81.625,23.615656,0.28179935,1532,402.82293848129376,51.794495,14,0.28179935,0.0,0.7729929685592651,99310
0.012718621,694.2839112281799,82.675,23.620426,0.29057005,1543,403.05773090169464,52.044006,11,0.29057005,0.0,0.7554310709238052,100302
0.012910976,701.3198611736298,79.9,23.614992,0.23688516,1556,391.41067747179693,49.647312,13,0.23688516,0.0,0.8206247985363007,101325
0.01282651,708.3671517372131,80.475,23.607489,0.25336576,1569,393.2904823911382,50.537193,13,0.25336576,0.0,0.6588264405727386,102306
0.013086917,715.7091884613037,80.275,23.61501,0.41007495,1581,391.87041049047804,49.621593,12,0.41007495,0.0,0.7839676290750504,103324
0.013108737,722.7939028739929,83.425,23.606707,0.29328036,1593,407.4819985272085,51.730022,12,0.29328036,0.0,0.8176888078451157,104433
0.01192084,729.8873569965363,86.1,23.606367,0.28023934,1605,416.30171679879675,53.824135,12,0.28023934,0.0,0.7120346128940582,105435
0.011714815,737.0208292007446,89.35,23.613852,0.25863165,1615,429.41757480820206,60.109974,10,0.25863165,0.0,0.7494692504405975,106426
0.013419317,744.1530728340149,86.05,23.613285,0.26555973,1628,419.74413993580066,57.821983,13,0.26555973,0.0,0.7294324338436127,107391
0.012140835,751.2546627521515,83.3,23.610594,0.2313147,1641,407.55138805215944,54.171886,13,0.2313147,0.0,0.7609988003969193,108392
0.012226418,758.3609080314636,78.675,23.612858,0.2596594,1654,388.698211277857,47.827957,13,0.2596594,0.0,0.7543431520462036,109469
0.012496859,765.518815279007,84.75,23.617353,0.2783633,1664,413.33884761219196,57.01126,10,0.2783633,0.0,0.8220434784889221,110483
0.011854426,772.6741154193878,89.025,23.616533,0.23407702,1676,425.51825845076036,62.688526,12,0.23407702,0.0,0.738626092672348,111557
0.012960215,779.8557648658752,88.375,23.615948,0.2956665,1689,422.7075654737987,63.91802,13,0.2956665,0.0,0.664360374212265,112608
0.013004543,786.9666700363159,85.05,23.612041,0.23717263,1702,412.5098677255166,58.531555,13,0.23717263,0.0,0.6752389967441559,113679
0.012778005,794.0698008537292,85.2,23.608707,0.25436243,1713,416.75562881953226,56.558968,11,0.25436243,0.0,0.8244694024324417,114703
0.0127643645,801.2803344726562,86.175,23.603521,0.2574871,1725,422.24432492605104,55.872215,12,0.2574871,0.0,0.8224460035562515,115755
0.0118491035,808.4361310005188,91.525,23.597477,0.25245968,1735,444.5666669200312,58.335785,10,0.25245968,0.0,0.7974893152713776,116727
0.012319684,815.6082971096039,90.15,23.613346,0.3030373,1747,442.859767624097,61.504433,12,0.3030373,0.0,0.8226489722728729,117803
0.012179997,822.8209612369537,89.3,23.609358,0.22430012,1760,441.6862469335814,63.945404,13,0.22430012,0.0,0.8032516837120056,118906
0.012889797,830.0064840316772,91.825,23.610287,0.3212715,1770,452.61413467661475,71.47725,10,0.3212715,0.0,0.845943495631218,119905
0.011720341,837.2599494457245,91.775,23.597677,0.23826629,1781,449.399450441162,68.58701,11,0.23826629,0.0,0.7751431465148926,120945
0.013676401,844.4425508975983,93.65,23.5935,0.280294,1792,451.12885548786096,69.32015,11,0.280294,0.0,0.7680648118257523,122001
0.012320843,851.620991230011,93.875,23.595701,0.23974782,1805,448.8302207201299,66.67406,13,0.23974782,0.0,0.8181236833333969,123121
0.012699651,858.8033320903778,86.75,23.605536,0.25031412,1818,407.74013880442476,57.65453,13,0.25031412,0.0,0.6408046782016754,124133
0.0117019415,865.9944949150085,85.375,23.598696,0.29669076,1829,405.11201568812885,57.47718,11,0.29669076,0.0,0.8423259258270264,125149
0.011951539,873.1376259326935,83.525,23.597591,0.42283177,1841,390.7776794357913,51.944508,12,0.42283177,0.0,0.7802522629499435,126150
0.012148354,880.2685215473175,86.5,23.59759,0.33842206,1853,410.183974547111,56.976307,12,0.33842206,0.0,0.8150503933429718,127162
0.0129235,887.4196131229401,87.7,23.593988,0.2598717,1863,422.48279565257815,56.84667,10,0.2598717,0.0,0.8017300814390182,128122
0.012079035,894.6185028553009,90.55,23.592607,0.26649323,1873,437.3175359192731,62.83064,10,0.26649323,0.0,0.7816579043865204,129117
0.012406278,901.7791593074799,90.725,23.580568,0.24211349,1886,445.1234778214145,64.366844,13,0.24211349,0.0,0.7652585506439209,130200
0.012379738,908.9931695461273,92.225,23.576923,0.23947693,1897,449.0419091414562,64.10426,11,0.23947693,0.0,0.7953460663557053,131205
0.012522171,916.2146806716919,86.375,23.573164,0.25357062,1909,422.9049519272071,55.556602,12,0.25357062,0.0,0.792180061340332,132185
0.013070451,923.3579697608948,85.025,23.573812,0.29850635,1921,414.08014995213887,51.357494,12,0.29850635,0.0,0.8394925743341446,133200
0.012873432,930.5589237213135,85.725,23.574469,0.28580448,1933,417.939922635346,54.7136,12,0.28580448,0.0,0.7768848538398743,134309
0.011354033,937.7701551914215,87.325,23.576742,0.2550604,1945,427.4958375796059,55.608917,12,0.2550604,0.0,0.7510121017694473,135370
0.012621984,944.9933686256409,85.5,23.567379,0.2718537,1958,417.3288514039168,54.648357,13,0.2718537,0.0,0.6702432036399841,136369
0.012551801,952.1822319030762,85.2,23.569742,0.2599792,1969,414.31606216028933,51.99657,11,0.2599792,0.0,0.8356117010116577,137379
0.011766515,959.5224556922913,84.275,23.566387,0.2549008,1981,404.1259445758302,50.30958,12,0.2549008,0.0,0.817383274435997,138430
0.012848957,966.9320459365845,85.175,23.562258,0.25113428,1994,409.23616248472035,49.380608,13,0.25113428,0.0,0.7728397399187088,139468
0.011811267,974.0774004459381,86.75,23.56413,0.37515596,2004,415.9661907802223,51.316425,10,0.37515596,0.0,0.8047131597995758,140454
0.012984854,981.9275825023651,90.375,23.560854,0.23579144,2015,432.30962925465644,51.48474,11,0.23579144,0.0,0.8067330718040466,141501
0.012455881,989.4955432415009,92.75,23.558416,0.2472429,2026,440.63031757463415,50.841087,11,0.2472429,0.0,0.7351372539997101,142575
0.012089383,996.8464844226837,95.675,23.562176,0.2600028,2037,454.8477517205598,52.555347,11,0.2600028,0.0,0.7559700161218643,143531
0.012611193,1004.4921536445618,94.475,23.558283,0.2643934,2047,446.7471339475179,50.40873,10,0.2643934,0.0,0.6630003750324249,144537
0.013668257,1012.1227736473083,88.3,23.563948,0.2505512,2061,420.07544988247173,47.003204,14,0.2505512,0.0,0.8063250333070755,145604
0.0125094745,1019.8548140525818,89.725,23.570864,0.33285356,2071,426.88279463463834,45.92112,10,0.33285356,0.0,0.8483187705278397,146605
0.012865598,1027.159110546112,86.6,23.573978,0.25566134,2083,415.03206887560384,43.340736,12,0.25566134,0.0,0.8278704881668091,147604
0.012784237,1034.4836208820343,88.275,23.57991,0.26552925,2094,424.0880291367122,44.32199,11,0.26552925,0.0,0.8043933510780334,148550
0.013932921,1041.7879528999329,89.55,23.583086,0.28793934,2105,430.87759159144264,43.655617,11,0.28793934,0.0,0.7936191558837891,149560
0.012842936,1049.0837438106537,87.85,23.582687,0.33481222,2116,424.0545129946683,44.031425,11,0.33481222,0.0,0.806166023015976,150583
0.013207889,1056.2418293952942,89.75,23.579025,0.37226388,2127,437.1910266205017,46.840096,11,0.37226388,0.0,0.7552412450313568,151544
