entloss,EpisodesSoFar,entropy,EpTrueRewMean,EpThisIter,surrgain,EpRewMean,TimeElapsed,ev_tdlam_before,TimestepsSoFar,meankl,optimgain,EpLenMean
0.0,642,7.092632,2196.65302959374,1,0.087938264,208.32979,5804.8379282951355,0.014193534851074219,689076,0.010449734,0.087938264,707.525
0.0,643,7.0962214,2217.8446515369483,1,0.08354584,210.14902,5831.070845365524,-0.007782101631164551,692076,0.009198125,0.08354584,712.575
0.0,645,7.1327024,2128.5151797920407,2,0.105060466,202.60855,5856.003030061722,0.8686321675777435,695094,0.010959427,0.105060466,687.725
0.0,646,7.1521945,2122.6536713676855,1,0.084337786,202.1561,5881.8748342990875,-0.08468759059906006,698094,0.010726456,0.084337786,687.725
0.0,647,7.134964,2104.6686039337096,1,0.118375756,200.6239,5907.325196266174,0.9154380559921265,699918,0.012175096,0.118375756,681.725
0.0,649,7.092452,2170.519325796461,2,0.1103463,206.1195,5933.655422210693,0.880619689822197,704001,0.010655176,0.1103463,701.725
0.0,650,7.0599256,2157.32486826824,1,0.09047306,205.29623,5958.254393815994,-0.09153127670288086,707001,0.009698188,0.09047306,701.725
0.0,651,7.0572968,2184.2177183231215,1,0.10044979,207.22575,5984.341645240784,0.8879704400897026,708894,0.01476405,0.10044979,709.05
0.0,652,7.0611606,2197.2041850557894,1,0.11447364,208.1761,6010.091600418091,0.8518264591693878,711870,0.009514577,0.11447364,713.9
0.0,653,7.0725365,2161.4221681224276,1,0.118423104,204.99883,6035.846138238907,0.8119451105594635,713787,0.009351142,0.118423104,704.875
0.0,654,7.056838,2161.4910229620255,1,0.100805394,205.04434,6060.690186738968,0.8658202886581421,715446,0.0105765965,0.100805394,703.525
0.0,655,7.0745893,2241.7646207028147,1,0.09602991,211.42497,6087.247351884842,0.09513437747955322,718446,0.009248128,0.09602991,721.225
0.0,657,7.0798917,2222.476281934426,2,0.12016926,209.85336,6112.238155841827,0.9471051581203938,721515,0.010069883,0.12016926,722.325
0.0,658,7.0697484,2208.8585311265356,1,0.17337804,208.61931,6138.90389752388,0.7674092650413513,724158,0.010800024,0.17337804,719.35
0.0,660,7.080914,2173.6163545291142,2,0.16888973,205.63689,6163.876349925995,0.7433494925498962,726798,0.009360588,0.16888973,707.55
0.0,661,7.066112,2172.913017225767,1,0.10575086,205.2937,6190.510210752487,0.9013846293091774,728436,0.009999037,0.10575086,707.125
0.0,662,7.054023,2168.424026803037,1,0.09190375,204.62643,6215.6372311115265,0.8851827010512352,731100,0.011749319,0.09190375,704.325
0.0,664,7.031945,2127.5224185014513,2,0.12121483,201.0553,6242.493551015854,0.7487251460552216,734622,0.010309883,0.12121483,695.475
0.0,665,7.057923,2130.3683495564146,1,0.075446725,201.04024,6266.796917915344,0.022095561027526855,737622,0.009268857,0.075446725,695.475
0.0,666,7.0503545,2126.343418906078,1,0.082293056,200.28792,6293.2907881736755,0.014160513877868652,740622,0.0092692785,0.082293056,695.475
0.0,669,7.0758867,2145.003731051978,3,0.093887866,202.07675,6318.349126815796,0.7717328667640686,745368,0.009955325,0.093887866,705.4
0.0,670,7.0476384,2166.8740160314856,1,0.08422097,203.48303,6344.828521728516,-0.09800374507904053,748368,0.009111246,0.08422097,713.3
0.0,671,7.0438657,2109.4877401908698,1,0.11189146,199.02208,6369.2058527469635,0.9326624870300293,750069,0.011631138,0.11189146,702.475
0.0,672,7.02208,2134.318178287601,1,0.114023164,201.35234,6395.5749979019165,0.8172901123762131,751641,0.010722844,0.114023164,709.225
0.0,673,7.027695,2181.713160423721,1,0.10050481,205.45029,6420.835205554962,0.8624133765697479,754383,0.009553511,0.10050481,720.95
0.0,674,6.998497,2176.0743377154026,1,0.16818325,204.90898,6447.406736373901,0.7959460467100143,756942,0.011682129,0.16818325,717.275
0.0,675,7.0032506,2206.3718286541125,1,0.082888134,206.97285,6471.644607782364,-0.08574044704437256,759942,0.009136081,0.082888134,726.975
0.0,676,7.026097,2204.184692309876,1,0.08463385,206.35234,6497.888158798218,-0.009183049201965332,762942,0.008921059,0.08463385,726.975
0.0,678,7.0359035,2186.745294580907,2,0.11451974,204.18454,6523.287971258163,0.9050353318452835,766977,0.0098788785,0.11451974,718.7
0.0,679,7.034272,2246.810232495831,1,0.084201686,208.8908,6549.211789369583,0.14256131649017334,769977,0.010464689,0.084201686,736.9
0.0,680,7.03933,2287.251192374664,1,0.10741994,212.56328,6574.1029217243195,-0.28820908069610596,772977,0.009492386,0.10741994,749.175
0.0,681,7.0038486,2294.068797736238,1,0.19486298,212.5667,6600.59946346283,0.764068529009819,775854,0.010902064,0.19486298,748.15
0.0,682,6.987751,2294.428519477422,1,0.10164462,211.92416,6625.786757230759,0.1098548173904419,778854,0.010317002,0.10164462,748.15
0.0,683,6.9826818,2293.1126088559095,1,0.08996235,211.66699,6652.23512172699,0.12885147333145142,781854,0.010373354,0.08996235,748.15
0.0,684,6.9847326,2328.653353978779,1,0.13011135,214.23393,6676.533036470413,0.930483765900135,784632,0.009741863,0.13011135,757.875
0.0,686,6.9701686,2351.6647487524097,2,0.08890327,215.79826,6702.850885629654,0.5489116013050079,790032,0.011014354,0.08890327,766.15
0.0,687,6.95224,2377.6830289177988,1,0.084405385,217.59053,6728.309819698334,0.036360085010528564,793032,0.010209121,0.084405385,775.95
0.0,689,6.9708858,2343.2231134349795,2,0.084060915,214.4871,6754.764356851578,0.8150992840528488,796017,0.009974686,0.084060915,766.8
0.0,690,6.9277263,2332.6324054440906,1,0.10106775,213.46445,6779.0208151340485,0.8683155030012131,798390,0.0089387,0.10106775,761.575
0.0,691,6.940514,2359.995889271198,1,0.08532716,215.77914,6805.870431900024,-0.1728750467300415,801390,0.009527712,0.08532716,770.8
0.0,693,6.9366794,2312.420979502056,2,0.13311327,211.9252,6831.747924566269,0.9074375554919243,804663,0.010967323,0.13311327,757.3
0.0,695,6.940345,2281.206825280979,2,0.09235598,208.75801,6857.919556856155,0.6203671991825104,808584,0.010016632,0.09235598,751.15
0.0,696,6.9369974,2357.9421988477106,1,0.09191537,214.56596,6882.800230503082,0.42184966802597046,811584,0.01266164,0.09191537,766.7
0.0,698,6.961877,2333.2203355999563,2,0.11760559,212.74683,6909.171351671219,0.8829916194081306,815205,0.010673348,0.11760559,758.725
0.0,700,6.955075,2317.050396567732,2,0.09009302,210.91049,6934.635538578033,0.7329046130180359,817494,0.009770593,0.09009302,755.8
0.0,701,6.977206,2353.1354722348206,1,0.098898605,214.17273,6960.833906173706,-0.10442972183227539,820494,0.010476208,0.098898605,767.15
0.0,702,6.976585,2304.0340937456526,1,0.10330154,209.62167,6985.810369253159,0.6551219820976257,821412,0.011114492,0.10330154,752.6
0.0,703,7.0067625,2317.18576675044,1,0.0894831,210.2373,7011.881302595139,0.11723631620407104,824412,0.00988901,0.0894831,755.75
0.0,706,7.003452,2237.4736112374653,3,0.120260745,202.84578,7037.309621095657,0.8352016657590866,828240,0.014273658,0.120260745,730.15
0.0,707,7.00705,2231.1647119673685,1,0.12119529,201.79428,7063.797216176987,0.8891771286725998,830763,0.010756617,0.12119529,726.175
0.0,708,7.0045404,2266.114112210592,1,0.11681876,204.53474,7088.175917863846,0.7708947360515594,833280,0.011405252,0.11681876,736.9
0.0,709,7.0315785,2349.7629604730346,1,0.091294274,211.3757,7114.60285115242,0.03841465711593628,836280,0.010049992,0.091294274,757.6
0.0,710,7.032978,2350.2878495161267,1,0.10923155,211.36636,7139.7578003406525,0.8849016427993774,839004,0.009836749,0.10923155,755.3
0.0,712,7.0321813,2386.365472166702,2,0.09822731,212.90689,7165.862552165985,0.6811647117137909,842610,0.010127746,0.09822731,758.075
0.0,713,7.0315323,2390.0787488776587,1,0.10194492,212.38388,7190.459959030151,0.03708982467651367,845610,0.011117195,0.10194492,760.225
0.0,714,7.0184054,2356.6650572575245,1,0.1205012,209.019,7216.835835933685,0.9102448672056198,846999,0.0107089775,0.1205012,750.475
0.0,716,7.004589,2279.3383558544715,2,0.09702645,203.02184,7242.232219696045,0.45888805389404297,850665,0.009771189,0.09702645,731.025
0.0,718,6.983356,2260.0739815158668,2,0.097454235,201.22054,7268.488480806351,0.6429086923599243,854808,0.011132428,0.097454235,731.925
