EpLenMean,surrgain,TimeElapsed,EpThisIter,meankl,EpTrueRewMean,entropy,ev_tdlam_before,EpRewMean,EpisodesSoFar,entloss,TimestepsSoFar,optimgain
26.28205128205128,0.04094411,5.185631990432739,39,0.007859159,26.37049949109086,4.204317,0.23232191801071167,34.995472,39,0.0,3075,0.04094411
42.8,0.043855753,9.546583414077759,16,0.0075160936,50.42546678657901,4.098975,0.10855329036712646,58.274956,55,0.0,6348,0.043855753
61.55,0.042000964,13.88515830039978,12,0.0064914753,88.54139619830913,4.0731816,0.36075514554977417,83.98262,67,0.0,9612,0.042000964
79.275,0.041641295,18.055692434310913,10,0.007324365,123.92986693803664,4.0614643,0.377498984336853,106.9042,77,0.0,12486,0.041641295
95.5,0.046006203,22.180092334747314,8,0.0063682133,160.56185511200778,4.006294,0.852165624499321,127.0436,85,0.0,15915,0.046006203
112.075,0.039779395,26.436119079589844,6,0.005444522,195.3861523667576,4.0118694,0.9000701233744621,146.03934,91,0.0,19119,0.039779395
127.775,0.034252003,30.61056399345398,7,0.0056457594,229.46153551262404,4.0129757,0.9031138569116592,162.4216,98,0.0,22398,0.034252003
141.0,0.04814183,34.82414627075195,7,0.0064180205,254.02206416931048,4.011757,0.8868657648563385,174.82553,105,0.0,25911,0.04814183
151.5,0.04581049,39.02045273780823,6,0.0061182906,277.1373987063847,3.952515,0.7904246002435684,185.09213,111,0.0,28953,0.04581049
163.275,0.05397941,43.193578481674194,5,0.0061569456,295.9773399844851,3.938286,0.7524806410074234,194.82553,116,0.0,31848,0.05397941
172.575,0.048782524,47.427146434783936,5,0.00635841,309.32350838483796,3.9198284,0.9377158805727959,200.8731,121,0.0,34962,0.048782524
185.6,0.04976923,51.66942358016968,4,0.006569249,327.14271041676625,3.8847966,0.9476667083799839,212.37369,125,0.0,38187,0.04976923
194.775,0.08988184,55.86791205406189,3,0.006605142,344.7804785720347,3.8560197,0.8962124809622765,221.99649,128,0.0,40968,0.08988184
200.725,0.055184692,60.114423513412476,2,0.0057955887,350.53841359670724,3.7863789,0.6031690239906311,226.49976,130,0.0,42771,0.055184692
219.35,0.042128995,64.36526823043823,1,0.0061655487,373.5609492816302,3.779517,0.9685417339205742,244.7421,131,0.0,45441,0.042128995
240.475,0.05680286,68.58020162582397,1,0.006083969,406.61287713753546,3.7768245,0.9305299445986748,266.98843,132,0.0,48441,0.05680286
261.8,0.03209015,72.84213876724243,1,0.0061833356,432.99404848646435,3.7745686,-0.13039076328277588,286.54196,133,0.0,51441,0.03209015
287.375,0.04424575,77.1011791229248,2,0.0055469954,464.3957884590949,3.7691362,0.011621534824371338,309.7984,135,0.0,55449,0.04424575
307.925,0.052030124,81.2329912185669,1,0.0071425475,488.3184828997302,3.7657697,0.10548388957977295,327.58597,136,0.0,58449,0.052030124
328.075,0.041139305,85.39731502532959,1,0.006231884,508.2477373162934,3.8134382,-0.026111483573913574,343.27893,137,0.0,61449,0.041139305
350.425,0.045528024,89.57829570770264,1,0.0062323827,531.3512533135439,3.8127987,0.1632481813430786,360.94928,138,0.0,64449,0.045528024
370.775,0.036037322,93.74632930755615,1,0.0074392213,550.6374619745096,3.8074262,-0.0024700164794921875,376.70673,139,0.0,67449,0.036037322
390.95,0.031831056,97.90641260147095,1,0.0064722896,570.941277696198,3.836883,-0.0019268989562988281,391.275,140,0.0,70449,0.031831056
412.1,0.04106671,102.14262866973877,1,0.0064971596,592.7495747879882,3.8976986,0.3255360722541809,407.1589,141,0.0,73449,0.04106671
425.975,0.055162992,106.39225745201111,1,0.0063959486,606.8766027459332,3.9074082,0.5232329666614532,417.9066,142,0.0,75504,0.055162992
444.825,0.03636767,110.62730979919434,1,0.006826779,624.7170197064772,3.920744,-0.03581380844116211,431.01495,143,0.0,78504,0.03636767
467.825,0.03806462,114.85414576530457,1,0.0070017558,649.7702145794251,3.9241943,0.033824920654296875,448.631,144,0.0,81504,0.03806462
488.275,0.02683856,119.07232546806335,1,0.0077889557,669.3681474344598,4.00009,-0.019901752471923828,462.8841,145,0.0,84504,0.02683856
508.2,0.042845625,123.30477690696716,1,0.005611569,687.8207105048323,4.0022883,-0.009489059448242188,476.02676,146,0.0,87504,0.042845625
529.125,0.023633828,127.5302095413208,1,0.0069508674,709.5817274379639,3.9829333,0.005913734436035156,491.0397,147,0.0,90504,0.023633828
566.325,0.040633425,131.7874641418457,2,0.0060503697,743.5226006736577,4.004448,0.009177982807159424,516.9909,149,0.0,95877,0.040633425
587.25,0.03880816,136.04773426055908,1,0.0073133223,762.9308593756301,3.9677658,-0.004278421401977539,531.46936,150,0.0,98877,0.03880816
607.7,0.024442542,140.2824628353119,1,0.0060059344,780.9369249507652,3.978941,0.0007371902465820312,544.73334,151,0.0,101877,0.024442542
627.175,0.038314085,144.51784372329712,1,0.007540684,798.8973132888794,3.9853444,-0.00023186206817626953,558.1491,152,0.0,104877,0.038314085
647.4,0.031146439,148.72755074501038,1,0.0063846274,816.8055512615849,3.970491,-0.0007932186126708984,572.1642,153,0.0,107877,0.031146439
668.725,0.03131689,152.99541234970093,1,0.0069566863,837.6819938092601,3.9619143,-0.0018596649169921875,587.3907,154,0.0,110877,0.03131689
687.375,0.027596537,157.25100564956665,1,0.0071447296,853.0695486198563,3.9854798,0.002430140972137451,599.5714,155,0.0,113877,0.027596537
708.575,0.034285404,161.4646351337433,1,0.0065271547,873.9911765664252,3.9941401,-0.0041626691818237305,614.1841,156,0.0,116877,0.034285404
