TimeElapsed,optimgain,TimestepsSoFar,surrgain,ev_tdlam_before,EpLenMean,EpRewMean,EpTrueRewMean,EpThisIter,entropy,EpisodesSoFar,meankl,entloss
165.25580310821533,0.08157696,109554,0.08157696,0.8547510653734207,286.825,211.88326,441.5611782635071,4,7.884582,258,0.006002548,0.0
169.82328748703003,0.10813264,112383,0.10813264,0.9202009439468384,287.15,215.16739,453.3739089246025,3,7.880982,261,0.0069780676,0.0
174.3316526412964,0.10177093,114288,0.10177093,0.2829694151878357,297.325,221.31279,467.64933879616984,1,7.858261,262,0.00675387,0.0
178.89193725585938,0.08797697,115788,0.08797697,0.9052393361926079,298.475,221.00298,464.08687735291335,2,7.877758,264,0.0063622985,0.0
183.43882393836975,0.089693844,118581,0.089693844,0.8374058753252029,314.225,233.31848,493.171905979676,1,7.862656,265,0.0060867677,0.0
187.99589204788208,0.10734923,120801,0.10734923,0.8849030584096909,316.825,238.40474,508.85038847336835,2,7.8482785,267,0.0066058035,0.0
192.58427238464355,0.12420343,123591,0.12420343,0.516487181186676,331.1,256.14874,554.0266952923214,1,7.8336334,268,0.0068126395,0.0
197.12644863128662,0.091284305,126936,0.091284305,0.8492970764636993,349.525,268.48755,587.3823950750003,2,7.8307037,270,0.006469689,0.0
201.64860224723816,0.086659506,130116,0.086659506,0.44645529985427856,359.975,274.29916,606.6041487998737,2,7.828259,272,0.0078088148,0.0
206.21999192237854,0.10936974,132954,0.10936974,0.7250475585460663,372.575,287.87527,642.8628711715106,2,7.819961,274,0.006618603,0.0
210.7575604915619,0.08072879,135702,0.08072879,0.6522190570831299,381.475,294.19562,664.2797409224358,1,7.8150053,275,0.0064378614,0.0
215.32426810264587,0.07762386,137064,0.07762386,0.7477537393569946,385.9,296.22675,670.5050771308806,1,7.800854,276,0.0062204255,0.0
219.89229679107666,0.09106714,139836,0.09106714,0.5849460959434509,395.375,303.8277,697.6085146757263,2,7.789674,278,0.0067423647,0.0
224.45363640785217,0.08711204,142674,0.08711204,0.8735186755657196,404.65,309.6449,717.5399370040357,2,7.787597,280,0.0067642983,0.0
229.0067160129547,0.11232258,145515,0.11232258,0.6512055099010468,418.9,322.26385,756.3090522235437,1,7.7671514,281,0.007097128,0.0
233.49934148788452,0.16979526,148869,0.16979526,0.8104344010353088,434.0,340.25436,799.9634864597311,2,7.76033,283,0.007842036,0.0
238.00775384902954,0.0813275,153825,0.0813275,0.5483104586601257,452.6,356.99573,851.9900814421738,3,7.7527456,286,0.007372025,0.0
242.61666059494019,0.07733789,158169,0.07733789,0.7904474437236786,469.95,372.9892,898.6038550538739,3,7.735108,289,0.007260482,0.0
247.14226722717285,0.101791844,160836,0.101791844,0.7297801971435547,485.45,388.84692,945.5761827762921,1,7.714538,290,0.0071983915,0.0
