EpRewMean,EpLenMean,EpThisIter,TimestepsSoFar,TimeElapsed,EpisodesSoFar,ev_tdlam_before,entloss,meankl,entropy,surrgain,EpTrueRewMean,optimgain
442.61566,929.425,1,882138,1228.6508057117462,403,-0.059465646743774414,0.0,0.008777676,4.179625,0.047095545,1000.8500036085161,0.047095545
442.81894,929.425,1,885138,1233.1907773017883,404,-0.0076274871826171875,0.0,0.009907693,4.179961,0.044532284,1003.8553375052354,0.044532284
439.11783,921.575,1,887196,1237.6254291534424,405,0.13284271955490112,0.0,0.009877647,4.2032704,0.051755045,998.2921627217304,0.051755045
436.398,916.15,1,889545,1242.0904955863953,406,0.4097778797149658,0.0,0.00996704,4.1869826,0.072065465,992.3298447549674,0.072065465
436.30865,916.15,1,892545,1246.4880831241608,407,-0.0075304508209228516,0.0,0.010356778,4.1861863,0.048483446,996.0447022704815,0.048483446
429.5578,902.625,2,896922,1251.0115914344788,409,-0.12345027923583984,0.0,0.009547122,4.144714,0.06291022,984.4934240593426,0.06291022
437.54865,919.9,1,899922,1255.5948746204376,410,-0.0008643865585327148,0.0,0.010618032,4.1218877,0.055370744,1005.1351012925883,0.055370744
437.39755,919.9,1,902922,1260.1074976921082,411,-0.0010526180267333984,0.0,0.010731645,4.1169806,0.053406503,1007.0329534395189,0.053406503
437.5385,919.9,1,905922,1264.56596493721,412,-0.0013446807861328125,0.0,0.008881865,4.1529818,0.046656348,1008.5435985639018,0.046656348
442.49457,930.55,1,908922,1269.0687549114227,413,-0.01050257682800293,0.0,0.009314139,4.158608,0.04724593,1025.2549099211894,0.04724593
442.5705,930.55,1,911922,1273.5890219211578,414,-0.0037232637405395508,0.0,0.01041549,4.1948023,0.038234115,1029.956166934007,0.038234115
442.8453,930.55,1,914922,1278.023137807846,415,0.004438042640686035,0.0,0.008879438,4.181396,0.046723917,1031.010451717826,0.046723917
442.56363,930.55,1,917922,1282.4344334602356,416,-0.07717931270599365,0.0,0.009333435,4.1932096,0.051187668,1031.2134695018926,0.051187668
442.2259,930.55,1,920922,1286.8613367080688,417,-0.0004450082778930664,0.0,0.010777587,4.192444,0.050105497,1032.701949962725,0.050105497
442.42978,930.55,1,923922,1291.25071310997,418,0.014620602130889893,0.0,0.009224683,4.191801,0.05934355,1034.3423382349883,0.05934355
433.07294,911.4,2,927624,1295.7127063274384,420,0.4670175313949585,0.0,0.009960595,4.203651,0.066973284,1012.1699615593492,0.066973284
432.99396,911.4,1,930624,1300.1790640354156,421,-0.009216070175170898,0.0,0.010505157,4.184815,0.05622178,1012.728862450704,0.05622178
432.35205,911.4,1,933624,1304.5767831802368,422,-0.0009160041809082031,0.0,0.009671524,4.176659,0.040778976,1012.2354773257928,0.040778976
432.1543,911.4,1,936624,1309.0372562408447,423,-0.01950693130493164,0.0,0.011019336,4.1583476,0.069328815,1011.247962867875,0.069328815
432.2381,911.4,1,939624,1313.7343273162842,424,-0.03227341175079346,0.0,0.008815045,4.155334,0.046211917,1011.4646643915355,0.046211917
428.14874,903.425,1,941667,1318.1185603141785,425,0.30301612615585327,0.0,0.009615538,4.1373568,0.05142036,1003.0754617949397,0.05142036
428.17148,903.425,1,944667,1322.6216411590576,426,-0.012715339660644531,0.0,0.010679379,4.140776,0.056654938,1001.1719504227747,0.056654938
412.8759,870.6,2,946728,1327.0240154266357,428,0.10787999629974365,0.0,0.011736302,4.1346974,0.045595735,966.5212088934255,0.045595735
412.46988,870.6,1,949728,1331.4625713825226,429,-0.1522008180618286,0.0,0.009654203,4.140352,0.051548287,967.2580351545796,0.051548287
412.1814,870.6,1,952728,1335.8106889724731,430,0.03588426113128662,0.0,0.010250421,4.1703725,0.05710177,965.943593986443,0.05710177
