EpThisIter,EpLenMean,TimeElapsed,EpisodesSoFar,surrgain,meankl,EpRewMean,EpTrueRewMean,TimestepsSoFar,entropy,ev_tdlam_before,entloss,optimgain
10,134.25,6577.852108478546,9187,0.17436025,0.0049934904,80.26919,671.2198739694159,941762,23.26198,0.8665937930345535,0.0,0.17436025
7,134.85,6585.054445028305,9194,0.17218587,0.0050383843,79.41799,673.2335902936404,942747,23.262138,0.8860287815332413,0.0,0.17218587
9,128.0,6592.2707533836365,9203,0.22416395,0.005650111,75.871826,633.6694894782729,943783,23.262228,0.8905546590685844,0.0,0.22416395
7,129.075,6599.427535772324,9210,0.17702267,0.005428359,77.026054,650.4846451097852,944851,23.260748,0.904754638671875,0.0,0.17702267
7,130.8,6606.982949495316,9217,0.17316262,0.00497531,76.807655,662.9171199054551,945925,23.26214,0.9013751223683357,0.0,0.17316262
9,131.35,6614.141206741333,9226,0.18402314,0.005280055,79.54335,673.2131268994852,946925,23.260515,0.9258530661463737,0.0,0.18402314
7,131.825,6621.435844898224,9233,0.18548158,0.0047230124,79.306,667.1688536439308,947893,23.257,0.835734948515892,0.0,0.18548158
9,131.0,6628.653188943863,9242,0.1955603,0.0058127157,79.10327,666.8059895614417,948892,23.255438,0.8769481331110001,0.0,0.1955603
8,125.975,6635.929476261139,9250,0.18207754,0.0052582733,76.706276,634.329386853237,949890,23.255695,0.9276962578296661,0.0,0.18207754
8,123.925,6643.208077907562,9258,0.17461473,0.005082673,75.342766,621.2575637857935,950979,23.256899,0.8992336243391037,0.0,0.17461473
8,126.325,6650.408236026764,9266,0.19699791,0.005340688,74.059616,630.0303150681996,951978,23.256838,0.9045940265059471,0.0,0.19699791
7,126.8,6657.595699548721,9273,0.17716122,0.005719551,74.90077,640.3049934037269,952965,23.25617,0.8903994336724281,0.0,0.17716122
9,124.5,6664.760087966919,9282,0.17249626,0.0053043775,74.71661,629.85564233431,953872,23.256815,0.9031241610646248,0.0,0.17249626
8,125.2,6672.032992362976,9290,0.15781838,0.0046692416,73.69966,632.3508800449097,954898,23.259012,0.8850278705358505,0.0,0.15781838
7,125.975,6679.303417444229,9297,0.1689983,0.0049887076,74.11327,634.8626195699792,955836,23.259016,0.889451265335083,0.0,0.1689983
7,129.075,6686.5910432338715,9304,0.18686292,0.004938895,75.27805,646.2366044052969,956863,23.25871,0.861336886882782,0.0,0.18686292
7,128.125,6693.7621059417725,9311,0.16736478,0.0055044037,73.96887,648.4330136889306,957872,23.259356,0.8699876219034195,0.0,0.16736478
9,132.0,6700.958838701248,9320,0.19144413,0.0063066366,71.67051,660.6529426719004,958954,23.259275,0.9122012853622437,0.0,0.19144413
7,134.625,6708.156702518463,9327,0.17837724,0.0059364615,73.32151,676.9520006017098,959930,23.259521,0.9022961035370827,0.0,0.17837724
8,137.3,6715.359833240509,9335,0.19063242,0.005867765,73.35625,694.2814500794184,961005,23.257563,0.8873181790113449,0.0,0.19063242
7,135.1,6722.5987894535065,9342,0.1853531,0.0047942363,73.57725,693.5535394884558,962003,23.258867,0.8934571966528893,0.0,0.1853531
7,136.75,6729.774017095566,9349,0.17224838,0.0051329224,72.94434,699.6362630539132,963066,23.25804,0.8828253149986267,0.0,0.17224838
8,135.5,6736.955765962601,9357,0.22207847,0.005632462,73.67866,697.2939437973387,964089,23.259275,0.8041399866342545,0.0,0.22207847
8,137.55,6744.224648237228,9365,0.19004978,0.005465769,76.55281,700.4799512268348,965132,23.258705,0.8994873985648155,0.0,0.19004978
8,135.2,6751.386028051376,9373,0.15778606,0.00507065,74.09227,687.9122314663806,966208,23.258478,0.9181181788444519,0.0,0.15778606
8,132.325,6758.549436569214,9381,0.17653665,0.0049850955,73.298996,670.6131452469962,967093,23.256327,0.8718368411064148,0.0,0.17653665
7,126.925,6765.722778081894,9388,0.17063516,0.0047135325,73.24433,637.3101442461855,968059,23.25726,0.8514093607664108,0.0,0.17063516
8,127.725,6772.895500898361,9396,0.1893503,0.005194282,74.64073,635.0892493846567,969111,23.254904,0.8820975348353386,0.0,0.1893503
8,129.65,6780.093556404114,9404,0.1587737,0.005200533,73.36871,652.0543716166372,970142,23.254961,0.9202649742364883,0.0,0.1587737
9,123.05,6787.213998794556,9413,0.17901191,0.0054114037,71.50459,622.7907799183663,971130,23.253927,0.8888615965843201,0.0,0.17901191
7,127.65,6794.277450799942,9420,0.19538578,0.0055618966,73.926315,647.0056236363502,972127,23.252691,0.8595230877399445,0.0,0.19538578
11,116.4,6801.488431692123,9431,0.1905294,0.0048440336,68.42165,589.8365186956695,973180,23.25244,0.8516388833522797,0.0,0.1905294
9,114.9,6808.757843494415,9440,0.18511522,0.0057658516,69.418594,583.3533823788518,974260,23.254066,0.8686971813440323,0.0,0.18511522
6,123.25,6815.998991727829,9446,0.18384176,0.004991114,74.21745,620.4895236522887,975266,23.254412,0.8767678588628769,0.0,0.18384176
8,127.35,6823.176321744919,9454,0.19159368,0.005466017,76.25038,636.4956809207164,976315,23.253424,0.8853298425674438,0.0,0.19159368
8,125.3,6830.4742295742035,9462,0.24148667,0.0053839576,75.51554,622.0638166706929,977334,23.25042,0.7564026862382889,0.0,0.24148667
8,133.975,6837.6205043792725,9470,0.17403767,0.005358857,79.8976,673.5506925684731,978429,23.24827,0.8931982889771461,0.0,0.17403767
9,132.125,6844.773604154587,9479,0.1757855,0.0049178437,80.686966,661.0304089816433,979396,23.245932,0.9138500168919563,0.0,0.1757855
