TimestepsSoFar,meankl,optimgain,ev_tdlam_before,EpRewMean,surrgain,EpThisIter,entloss,EpisodesSoFar,TimeElapsed,entropy,EpTrueRewMean,EpLenMean
472947,0.014886,0.4031183,0.8437817841768265,64.67055,0.4031183,12,0.0,2190,1004.0296697616577,23.302229,493.066273035697,97.575
476037,0.014240457,0.26908362,0.9068590700626373,61.61018,0.26908362,11,0.0,2201,1010.5361015796661,23.296896,474.84396824667846,94.275
479151,0.014228738,0.27831906,0.8834826871752739,59.909496,0.27831906,11,0.0,2212,1017.1615135669708,23.294758,480.0364358226223,95.2
482019,0.013281242,0.28880993,0.8645535558462143,59.181274,0.28880993,9,0.0,2221,1023.6433684825897,23.296139,469.20109425273085,95.0
484944,0.0037976592,0.13779649,0.8734677284955978,61.644165,0.13779649,10,0.0,2231,1030.3249235153198,23.295,481.5177163324206,98.125
488487,0.014798903,0.62383157,0.8665629029273987,65.46763,0.62383157,11,0.0,2242,1036.943414926529,23.29207,500.9772602125713,101.15
491364,0.013633884,0.32239413,0.7654320299625397,69.11141,0.32239413,10,0.0,2252,1043.5968890190125,23.297586,506.4207217590266,101.775
494478,0.013091723,0.2998119,0.8334310948848724,66.71531,0.2998119,11,0.0,2263,1050.1704771518707,23.299498,504.79504674612815,99.975
497577,0.014814116,0.28925365,0.8530445545911789,64.37304,0.28925365,11,0.0,2274,1056.705129146576,23.296858,488.4560800036126,96.825
500520,0.014144003,0.25713834,0.8768699914216995,59.250233,0.25713834,11,0.0,2285,1063.4209005832672,23.29128,459.2044574867401,92.4
503499,0.013991015,0.2731769,0.9146465212106705,60.723766,0.2731769,10,0.0,2295,1069.9848492145538,23.294699,465.70868099247053,93.95
506451,0.0040016095,0.13683501,0.8634248226881027,59.75129,0.13683501,11,0.0,2306,1076.608425617218,23.295244,459.9569639155587,92.275
509268,0.0039216625,0.1338485,0.8370570093393326,59.08656,0.1338485,11,0.0,2317,1083.2868874073029,23.293882,460.9922395141568,91.4
512355,0.014764176,0.24701647,0.8844204545021057,58.941383,0.24701647,11,0.0,2328,1089.922964334488,23.298763,456.3679641004239,91.25
515352,0.013056529,0.2706058,0.8105663955211639,58.04659,0.2706058,10,0.0,2338,1096.5294163227081,23.29621,455.7404821150015,91.95
