EpRewMean,EpTrueRewMean,TimeElapsed,EpisodesSoFar,optimgain,entropy,TimestepsSoFar,entloss,ev_tdlam_before,EpThisIter,meankl,surrgain,EpLenMean
481.9063,2218.841288954836,1089.9539971351624,725,0.104406595,6.90959,771591,0.0,0.8793037533760071,1,0.010490715,0.104406595,725.475
482.45605,2223.232214678917,1094.3654146194458,726,0.069857255,6.891557,774591,0.0,-0.13021373748779297,1,0.009127888,0.069857255,725.475
488.02042,2249.663458825195,1098.7649066448212,727,0.08515235,6.949097,777591,0.0,-0.017880558967590332,1,0.009671321,0.08515235,733.95
472.5843,2164.9400066072167,1103.1937017440796,729,0.10750971,6.90901,781062,0.0,0.6471419036388397,2,0.010410579,0.10750971,712.875
465.50653,2128.525951783252,1107.5819203853607,731,0.092864394,6.8998427,784524,0.0,0.6862089335918427,2,0.010131565,0.092864394,704.7
465.63647,2125.436115191594,1111.95729804039,732,0.10364224,6.8888106,784878,0.0,0.8872496858239174,1,0.010112438,0.10364224,706.025
479.87955,2200.2252644772416,1116.4068822860718,733,0.078771874,6.890151,787878,0.0,0.06281054019927979,1,0.008531416,0.078771874,725.15
493.7435,2268.9983018234566,1120.905412197113,734,0.08159825,6.9036875,790878,0.0,0.11855942010879517,1,0.009448532,0.08159825,744.975
494.5291,2280.7086741286344,1125.3914742469788,735,0.107215784,6.9034257,792774,0.0,0.8301994055509567,1,0.009761233,0.107215784,745.725
502.07495,2328.980257096891,1129.8376672267914,736,0.08452502,6.9075937,795774,0.0,0.40239012241363525,1,0.010137316,0.08452502,756.625
514.6743,2404.445987165219,1134.299821138382,737,0.06963182,6.9318886,798774,0.0,-0.04520571231842041,1,0.009583531,0.06963182,775.85
528.62805,2485.3043604060085,1138.7592606544495,738,0.08038767,6.8427567,801774,0.0,-0.058106422424316406,1,0.008807525,0.08038767,796.1
527.64386,2495.5505856680015,1143.23970079422,739,0.07512078,6.8526034,804774,0.0,-0.02096724510192871,1,0.009195984,0.07512078,796.1
542.19073,2577.7101824845004,1147.7139134407043,740,0.08461095,6.860121,807774,0.0,0.0003389120101928711,1,0.009349382,0.08461095,819.25
556.8977,2661.2368267084107,1152.1892931461334,741,0.07913655,6.833622,810774,0.0,0.033977508544921875,1,0.010299074,0.07913655,840.7
556.4644,2682.1061763155494,1156.5597717761993,742,0.07796759,6.863694,813774,0.0,0.18148672580718994,1,0.009806,0.07796759,843.625
555.092,2697.665256580072,1161.0497081279755,743,0.06295693,6.886274,816774,0.0,0.09519416093826294,1,0.009892562,0.06295693,844.025
547.7515,2682.885642816364,1165.4698116779327,745,0.09027089,6.8638163,821133,0.0,0.5499860048294067,2,0.010942105,0.09027089,838.375
531.9823,2630.113711221845,1169.9139430522919,747,0.09804472,6.812137,824748,0.0,0.8209601938724518,2,0.01016699,0.09804472,818.5
