entropy,optimgain,TimestepsSoFar,EpThisIter,EpTrueRewMean,EpisodesSoFar,TimeElapsed,surrgain,entloss,EpLenMean,ev_tdlam_before,EpRewMean,meankl
8.484483,0.057814043,3051,42,4.191313779578228,42,7.499450922012329,0.057814043,0.0,24.475,0.256639301776886,4.191313779578228,0.006811482
8.410821,0.059153948,6162,31,8.897021470308248,73,13.687560558319092,0.059153948,0.0,30.025,0.3475968837738037,8.897021470308248,0.0069732927
8.371771,0.06038201,9102,17,32.55923307057126,90,19.90198850631714,0.06038201,0.0,43.75,0.318906307220459,32.55923307057126,0.006290038
8.292237,0.061897926,12135,17,49.10860303961196,107,26.124043703079224,0.061897926,0.0,54.0,0.41654008626937866,49.10860303961196,0.0066476897
8.291804,0.06558862,14982,16,56.40824130445012,123,32.32489538192749,0.06558862,0.0,61.85,0.38948893547058105,56.40824130445012,0.0062431237
8.252453,0.06534462,18030,11,55.490075123944266,134,38.53543186187744,0.06534462,0.0,71.15,0.6478160917758942,55.490075123944266,0.0063883914
8.233932,0.064963765,21072,11,66.03250016085454,145,44.73246765136719,0.064963765,0.0,77.4,0.5515221953392029,66.03250016085454,0.006572461
8.219559,0.06740284,23841,7,82.73871804914836,152,50.89679217338562,0.06740284,0.0,89.7,0.625926673412323,82.73871804914836,0.0062712496
8.216367,0.06659108,26403,6,101.01244429367931,158,57.10172700881958,0.06659108,0.0,101.175,0.7553872168064117,101.01244429367931,0.005738134
8.239547,0.071378395,29523,7,136.6566581061874,165,63.258922815322876,0.071378395,0.0,118.2,0.7609567791223526,136.6566581061874,0.0062856376
8.241458,0.06491723,32916,7,167.15096945673562,172,69.33447194099426,0.06491723,0.0,129.35,0.8597397655248642,167.15096945673562,0.0055321353
8.263353,0.06957003,36333,7,193.97219369518317,179,75.49259352684021,0.06957003,0.0,136.425,0.905058778822422,193.97219369518317,0.006063069
8.222123,0.06747118,39177,5,203.14358346316317,184,81.59628677368164,0.06747118,0.0,152.05,0.7403714656829834,203.14358346316317,0.0056343847
8.216864,0.06736141,42621,7,230.76966501293023,191,87.71529054641724,0.06736141,0.0,160.825,0.9105174839496613,230.76966501293023,0.005489867
8.234859,0.06635453,46008,7,228.6517372967566,198,93.87948393821716,0.06635453,0.0,163.375,0.8170633614063263,228.6517372967566,0.0056690434
8.258368,0.06537088,49410,7,233.97974561062028,205,100.0313401222229,0.06537088,0.0,165.725,0.9488721080124378,233.97974561062028,0.006413161
8.242354,0.07162896,52392,7,233.84288092926045,212,106.1803617477417,0.07162896,0.0,162.3,0.940384317189455,233.84288092926045,0.0051934985
8.20726,0.0628462,55353,5,230.9080931124075,217,112.35306859016418,0.0628462,0.0,165.575,0.9198974594473839,230.9080931124075,0.005953801
8.192738,0.06693718,58419,6,236.12199472025387,223,118.57865929603577,0.06693718,0.0,163.2,0.8845180422067642,236.12199472025387,0.005748352
8.206602,0.06811382,61467,6,231.05854600834374,229,124.85766100883484,0.06811382,0.0,162.15,0.8443605452775955,231.05854600834374,0.006103256
8.188722,0.06478529,64452,5,241.04869264153587,234,131.1180739402771,0.06478529,0.0,167.775,0.9526216872036457,241.04869264153587,0.0060647815
8.154298,0.06611876,67335,5,254.2816236757015,239,137.42497897148132,0.06611876,0.0,173.55,0.7794025242328644,254.2816236757015,0.0070493426
8.178455,0.06411858,70545,4,262.8051602050392,243,143.62504744529724,0.06411858,0.0,184.15,0.8846284970641136,262.8051602050392,0.006786571
