TimeElapsed,surrgain,TimestepsSoFar,EpTrueRewMean,EpThisIter,EpRewMean,EpisodesSoFar,EpLenMean,entloss,meankl,entropy,optimgain,ev_tdlam_before
28.365390300750732,0.03872174,2943,26.84817187389211,34,10.073434,34,28.852941176470587,0.0,0.007163608,4.244904,0.03872174,0.41101425886154175
52.88837027549744,0.04401165,6024,49.52529941135833,19,13.449774,53,41.15,0.0,0.007667349,4.1815257,0.04401165,0.38959038257598877
78.06283926963806,0.03990087,9009,88.92361797873754,12,19.1293,65,57.55,0.0,0.0068364083,4.1549835,0.03990087,0.6426222622394562
103.13904976844788,0.04007958,12138,135.4550028333318,9,25.063349,74,76.625,0.0,0.0064010606,4.154743,0.04007958,0.8688371628522873
128.48367261886597,0.04477157,15096,170.23095804023257,7,28.752813,81,91.425,0.0,0.0064320858,4.1326222,0.04477157,0.9084929525852203
153.14456582069397,0.047598563,18495,210.96675514441364,8,31.9864,89,106.875,0.0,0.007019158,4.1254425,0.047598563,0.9688762910664082
178.08201909065247,0.04164412,21687,246.18630608087193,7,34.797607,96,123.25,0.0,0.006158105,4.036881,0.04164412,0.9387123957276344
203.35085535049438,0.054617338,24711,277.76939358442957,6,36.656906,102,136.775,0.0,0.005967533,3.9870722,0.054617338,0.94353336840868
228.77485346794128,0.043695297,27132,299.59535332062217,5,37.693768,107,145.875,0.0,0.0059913835,3.9734132,0.043695297,0.9693019594997168
253.4708068370819,0.047031797,30414,332.43845743974987,5,39.141056,112,158.475,0.0,0.0068110917,3.9272017,0.047031797,0.9679417461156845
279.1469900608063,0.044288266,33531,355.67759027122474,4,39.68541,116,168.425,0.0,0.006500863,3.8816867,0.044288266,0.9421522803604603
303.77352237701416,0.043961737,35649,389.6330105744887,2,42.573326,118,180.05,0.0,0.0066257366,3.8353136,0.043961737,0.8758547008037567
329.33679819107056,0.037929896,39090,447.4822681257539,3,47.923634,121,199.95,0.0,0.0066925203,3.8105981,0.037929896,0.8502427190542221
353.8397569656372,0.037391163,42129,483.9221572949617,3,51.120422,124,214.475,0.0,0.006466155,3.7851405,0.037391163,0.9174617007374763
378.8436794281006,0.04883447,43686,510.4448552134485,1,53.68764,125,224.375,0.0,0.0067077456,3.8127096,0.04883447,0.8435390442609787
403.6189069747925,0.044008397,47286,560.8170817565255,3,58.20752,128,243.45,0.0,0.0076766475,3.759504,0.044008397,0.6191800832748413
428.43010544776917,0.044070527,50034,599.8052410556841,2,61.08537,130,259.2,0.0,0.007273335,3.774511,0.044070527,0.7955164313316345
453.6357443332672,0.048759833,53691,649.1093656792892,4,64.62057,134,273.9,0.0,0.00677785,3.7781467,0.048759833,0.8252410739660263
478.0469512939453,0.049142115,56112,687.6097115926217,2,67.60895,136,286.875,0.0,0.006689861,3.7534406,0.049142115,0.5655598044395447
504.0179705619812,0.05258634,58971,716.4355518759794,3,69.23549,139,297.225,0.0,0.006923294,3.7407777,0.05258634,0.8492441177368164
528.1944923400879,0.052991822,61542,760.3562821493058,2,72.42839,141,311.625,0.0,0.0077716713,3.75145,0.052991822,0.9009826183319092
553.8689520359039,0.044583082,65355,815.39952819929,3,75.51477,144,331.575,0.0,0.0062827137,3.7380657,0.044583082,0.7375837564468384
577.9893736839294,0.041521817,67233,846.6326401856279,1,77.38065,145,343.05,0.0,0.0072286082,3.7248225,0.041521817,0.9316978380084038
603.6866457462311,0.052801564,69609,895.4061603451355,1,81.35533,146,358.0,0.0,0.008018706,3.7245142,0.052801564,0.9000573456287384
627.9616913795471,0.04365487,75348,1004.7768918347414,2,89.17405,148,393.0,0.0,0.0072317864,3.687294,0.04365487,0.7688679546117783
653.8800625801086,0.047675245,77172,1035.8983026883607,1,91.28009,149,403.475,0.0,0.006460634,3.697761,0.047675245,0.9341508373618126
677.8422966003418,0.05106616,78909,1067.00555473755,1,93.37253,150,413.15,0.0,0.0066237557,3.6882539,0.05106616,0.8211708068847656
703.8832569122314,0.05850075,82977,1133.350103063666,3,98.55902,153,430.8,0.0,0.008004992,3.6636238,0.05850075,0.7935448735952377
727.9409725666046,0.0507849,85845,1127.573128097881,4,97.08267,157,424.65,0.0,0.007825483,3.6540055,0.0507849,0.6756202280521393
753.9916079044342,0.08464073,91026,1198.3437092035165,3,102.24928,160,444.55,0.0,0.00649972,3.6397436,0.08464073,0.9423625655472279
777.7815737724304,0.05957358,93729,1214.0672482473913,2,102.78103,162,446.85,0.0,0.008142463,3.6690714,0.05957358,0.9229964166879654
804.0547676086426,0.052217618,96072,1200.9568579685806,3,101.25228,165,436.55,0.0,0.0069218017,3.656622,0.052217618,0.7786953747272491
828.2185502052307,0.057439804,98412,1237.2845075790708,2,104.580055,167,444.35,0.0,0.007000318,3.6551042,0.057439804,0.8922821581363678
854.0050647258759,0.064541936,101418,1209.8817146703507,3,102.23305,170,428.2,0.0,0.0070928275,3.6640925,0.064541936,0.7838529795408249
878.1922423839569,0.065813504,104628,1207.8646740511535,4,104.01902,174,424.475,0.0,0.008724556,3.6671736,0.065813504,0.5504199862480164
904.3130347728729,0.05682636,106815,1212.3717927200669,2,106.32417,176,422.525,0.0,0.007239221,3.6320033,0.05682636,0.9219275936484337
928.4863274097443,0.05766002,110364,1204.5193307849906,4,109.74843,180,414.45,0.0,0.008053712,3.6051006,0.05766002,0.8827545493841171
954.4105882644653,0.057006147,112908,1159.072725886734,4,108.78302,184,396.275,0.0,0.0075724036,3.5967975,0.057006147,0.8313043713569641
978.1741302013397,0.055921946,116073,957.1395536737043,5,95.21244,189,324.175,0.0,0.0073522883,3.6152997,0.055921946,0.8105340749025345
1004.281806230545,0.05616207,119286,925.3535757406647,3,94.08778,192,311.675,0.0,0.008094046,3.5979762,0.05616207,0.9535905569791794
1028.3345618247986,0.059875213,121938,940.3115605995021,3,95.76108,195,316.5,0.0,0.0076436647,3.610272,0.059875213,0.9514530263841152
1054.1682164669037,0.056027114,124689,971.6450228573415,2,100.03865,197,323.7,0.0,0.007547992,3.6040208,0.056027114,0.967410396784544
1078.274761915207,0.069086775,127311,904.356323792654,3,94.9023,200,302.375,0.0,0.008233791,3.6122546,0.069086775,0.9353336170315742
1104.4156906604767,0.056820482,129849,902.7900206579413,2,95.6584,202,301.0,0.0,0.007499669,3.6236265,0.056820482,0.9347609132528305
1128.6479671001434,0.051762436,132723,951.2398209471448,2,100.60054,204,315.6,0.0,0.0080988,3.5991764,0.051762436,0.9496626742184162
1154.4562575817108,0.048606135,136473,982.0729848514256,2,105.02285,206,325.625,0.0,0.008096916,3.5848222,0.048606135,0.7936026155948639
1178.8907504081726,0.064357355,139464,1029.7607576018383,2,110.05442,208,340.775,0.0,0.008714482,3.5829222,0.064357355,0.880640834569931
1204.5614354610443,0.062206488,141024,1046.8889288628006,1,112.36997,209,346.45,0.0,0.008248323,3.583919,0.062206488,0.9413803480565548
1229.1555588245392,0.062792465,141879,1019.3668884346496,1,108.87239,210,337.175,0.0,0.0072874073,3.555422,0.062792465,0.9388779476284981
1253.9100289344788,0.05152866,147678,1092.5638772936986,4,114.508934,214,358.75,0.0,0.008928744,3.541821,0.05152866,0.5996874868869781
1279.037925004959,0.058644,151308,1134.4630716856161,2,117.33787,216,370.775,0.0,0.008566092,3.5061014,0.058644,0.8990195691585541
1303.371174812317,0.05579616,153876,1150.061243828683,1,119.122826,217,373.925,0.0,0.007674851,3.507826,0.05579616,0.9232741966843605
1329.0038130283356,0.06223985,157008,1203.8649485440321,3,121.54945,220,388.7,0.0,0.008937517,3.5155718,0.06223985,0.9371676817536354
1353.255028963089,0.061397396,160710,1259.1981694183487,3,126.10911,223,402.8,0.0,0.008879921,3.4703805,0.061397396,0.9285671785473824
1378.5676214694977,0.051855158,163041,1281.00229958693,3,126.94353,226,409.275,0.0,0.008900885,3.4393365,0.051855158,0.819315031170845
1403.0537416934967,0.05827778,165276,1312.2975763655636,2,129.74599,228,417.925,0.0,0.009960491,3.3980024,0.05827778,0.8039004951715469
1428.8595132827759,0.057517372,168807,1355.4224460118978,2,134.06831,230,428.9,0.0,0.008711916,3.3784392,0.057517372,0.8898316770792007
1452.7914714813232,0.06290131,171669,1387.622637231344,2,137.49411,232,436.525,0.0,0.007984445,3.3843858,0.06290131,0.9519709944725037
1478.795646429062,0.051563654,174669,1443.2008429473356,1,141.89424,233,453.925,0.0,0.00937202,3.3277965,0.051563654,0.08024799823760986
1503.132893562317,0.05536654,177669,1508.7091184359197,1,147.04254,234,474.3,0.0,0.008528765,3.3575385,0.05536654,0.09725892543792725
1528.9043426513672,0.05935681,182592,1571.9958541221215,2,151.6771,236,491.7,0.0,0.008664321,3.293005,0.05935681,0.9472697041928768
1552.9848930835724,0.058806993,185697,1583.661307433148,3,153.23146,239,494.0,0.0,0.009046472,3.3106093,0.058806993,0.9110217243432999
1578.3508975505829,0.056990534,187404,1610.854837382577,1,155.1961,240,500.775,0.0,0.008415613,3.3050535,0.056990534,0.9649317860603333
1602.4686601161957,0.042875305,190404,1652.713097375687,1,157.52136,241,513.175,0.0,0.008685099,3.3332691,0.042875305,0.05629432201385498
1628.0019001960754,0.044809017,193404,1709.302073295757,1,161.3492,242,529.625,0.0,0.008613257,3.3116994,0.044809017,0.12748271226882935
1652.0956218242645,0.056448758,195609,1625.337040397654,3,152.67635,245,505.125,0.0,0.008587499,3.329265,0.056448758,0.7726000547409058
1677.50888133049,0.064219154,200664,1654.1500667096939,3,154.88593,248,510.0,0.0,0.008886313,3.334835,0.064219154,0.9171850830316544
