optimgain,EpTrueRewMean,entloss,entropy,surrgain,EpisodesSoFar,TimestepsSoFar,meankl,EpLenMean,ev_tdlam_before,EpThisIter,TimeElapsed,EpRewMean
0.13523903,2500.792066051973,0.0,7.1954355,0.13523903,617,801060,0.010616703,831.5,0.7727175503969193,1,1060.2715210914612,818.1193
0.08822204,2464.348887830598,0.0,7.1973224,0.08822204,619,805740,0.008854272,820.5,0.5735982358455658,2,1064.3954632282257,804.1753
0.075371414,2467.0104740606416,0.0,7.1963058,0.075371414,621,809433,0.009523844,826.8,0.13790863752365112,2,1068.4656047821045,806.06354
0.10450222,2423.8448039984432,0.0,7.1850543,0.10450222,622,810885,0.008649981,813.9,0.9243076518177986,1,1072.6223485469818,791.41516
0.08779079,2383.96126509277,0.0,7.204208,0.08779079,624,814875,0.010191172,806.25,0.6124011278152466,2,1076.6396131515503,777.8147
0.1033716,2378.585104888504,0.0,7.2005453,0.1033716,625,817875,0.009825399,806.25,0.8046654164791107,1,1080.7608437538147,776.9535
0.089899674,2376.097589073276,0.0,7.210324,0.089899674,626,820875,0.0103053,807.025,0.059188246726989746,1,1084.9335050582886,776.02515
0.09404511,2376.2611143063623,0.0,7.2046647,0.09404511,627,823875,0.009884965,808.5,-0.03448987007141113,1,1089.0100061893463,776.0626
0.09195132,2361.7873747537137,0.0,7.1986527,0.09195132,628,826875,0.009739432,808.5,0.38213974237442017,1,1093.796952009201,773.7212
0.08233546,2358.893304132394,0.0,7.2068033,0.08233546,629,829875,0.009405581,808.5,0.052455782890319824,1,1099.896504163742,772.17334
0.0785275,2357.3873566267366,0.0,7.2144933,0.0785275,630,832875,0.009425516,808.5,0.0705154538154602,1,1105.8512094020844,770.808
0.11566379,2327.296577868315,0.0,7.2011557,0.11566379,632,837846,0.010029174,799.925,0.8038695305585861,2,1112.2207839488983,760.99493
0.090543926,2321.907900453195,0.0,7.180241,0.090543926,633,840846,0.009203389,799.925,-0.10809624195098877,1,1118.749677181244,757.9875
0.0983033,2307.3885052692453,0.0,7.183476,0.0983033,635,845871,0.009662935,795.0,0.6311207115650177,2,1125.294541835785,752.71747
0.1000606,2307.485914869919,0.0,7.170955,0.1000606,636,848871,0.009996119,795.0,-0.1276705265045166,1,1131.8918850421906,751.1204
0.07631242,2377.9968421889885,0.0,7.1809554,0.07631242,637,851871,0.00866778,813.9,-0.1275240182876587,1,1138.5378365516663,770.48065
0.09703639,2432.552950168197,0.0,7.1799483,0.09703639,638,854871,0.010089663,829.575,0.25089406967163086,1,1145.154061794281,786.0286
