TimestepsSoFar,entropy,entloss,TimeElapsed,EpisodesSoFar,optimgain,EpThisIter,EpTrueRewMean,EpRewMean,meankl,surrgain,EpLenMean,ev_tdlam_before
817617,23.058615,0.0,1752.4985768795013,3373,0.15536286,8,564.773866960184,75.06133,0.0042653377,0.15536286,109.925,0.9056323245167732
820833,23.059076,0.0,1759.2082126140594,3384,0.1421624,11,550.649587289292,74.45499,0.004224445,0.1421624,107.375,0.9017211943864822
823773,23.057062,0.0,1765.804575920105,3393,0.1518879,9,542.0267127821061,72.59649,0.004254966,0.1518879,106.725,0.8751514032483101
827082,23.053225,0.0,1772.4870591163635,3402,0.150897,9,552.8353837668644,74.681076,0.004048761,0.150897,110.275,0.8688869774341583
830064,23.053545,0.0,1779.233188867569,3412,0.17511182,10,546.5450115243973,73.19611,0.004313669,0.17511182,109.225,0.8976048603653908
833316,23.055487,0.0,1785.9442608356476,3423,0.14720723,11,532.0810284335005,70.71852,0.0040287306,0.14720723,105.9,0.8739644587039948
836274,23.055992,0.0,1792.698320865631,3433,0.15279551,10,528.4138941104547,70.93186,0.0038101594,0.15279551,104.175,0.861130952835083
839514,23.05298,0.0,1799.4382812976837,3443,0.1409586,10,514.4741730546993,68.188644,0.003875289,0.1409586,101.6,0.8924511522054672
842358,23.04876,0.0,1806.0755472183228,3453,0.3162973,10,508.9430996875577,67.07749,0.014748013,0.3162973,100.3,0.8782549202442169
845397,23.049295,0.0,1812.8028631210327,3461,0.3448804,8,538.8893734319763,70.57915,0.014906647,0.3448804,106.65,0.8544588834047318
848577,23.055887,0.0,1819.4285287857056,3470,0.36224338,9,553.0533222395917,71.81879,0.014985719,0.36224338,109.45,0.867202416062355
851820,23.055742,0.0,1825.9410650730133,3480,0.1495656,10,560.9377359594498,71.46737,0.004240594,0.1495656,111.2,0.8596141189336777
855060,23.05851,0.0,1832.5889856815338,3490,0.14783299,10,573.9743397392738,72.59412,0.0038521271,0.14783299,113.2,0.8945173546671867
858054,23.061846,0.0,1839.2239320278168,3499,0.15727864,9,571.688161381705,72.29509,0.0039462997,0.15727864,112.925,0.8684896528720856
861063,23.059649,0.0,1845.95325922966,3509,0.14265606,10,546.0561216681854,69.26897,0.003866689,0.14265606,107.425,0.8921826556324959
864135,23.058775,0.0,1852.549586057663,3517,0.15073851,8,576.9214763779346,72.7183,0.00416418,0.15073851,112.575,0.8879987448453903
867240,23.05274,0.0,1859.1999361515045,3527,0.16354795,10,560.8945385884015,70.9518,0.0042456947,0.16354795,109.45,0.8709391206502914
870138,23.050543,0.0,1865.8251070976257,3536,0.15268047,9,555.8800199127238,69.29036,0.004146127,0.15268047,107.425,0.8838707432150841
873309,23.050474,0.0,1872.5085887908936,3546,0.15250862,10,561.6262717316192,68.15298,0.0044873757,0.15250862,108.625,0.9243818894028664
