EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,optimgain,EpLenMean,entloss,TimeElapsed,entropy,EpThisIter,TimestepsSoFar,EpRewMean,surrgain,meankl
290,787.3623856874037,-0.08764266967773438,0.11234875,499.825,0.0,408.0520339012146,7.6800528,1,204660,433.80072,0.11234875,0.0065374067
292,782.399205483693,0.8234887719154358,0.090363756,485.075,0.0,414.082111120224,7.6784024,2,207417,426.3443,0.090363756,0.006511857
294,829.159052532603,0.8066333830356598,0.11617106,502.475,0.0,420.1560912132263,7.6784062,2,210516,447.99347,0.11617106,0.0071090916
297,838.0413898513931,0.9277487695217133,0.11806622,502.1,0.0,426.2293748855591,7.6794276,3,213579,451.6223,0.11806622,0.007794872
300,859.8633063564378,0.9473072625696659,0.09573437,509.175,0.0,432.27369379997253,7.6666226,3,216828,462.576,0.09573437,0.008066911
303,869.1713323587117,0.8698806315660477,0.08863583,504.575,0.0,438.30670189857483,7.672561,3,219990,463.05682,0.08863583,0.006909157
306,879.9258207652098,0.8312361240386963,0.09901811,486.65,0.0,444.36159014701843,7.689213,3,223401,462.54355,0.09901811,0.007420018
308,892.937771701501,0.9383082240819931,0.10513738,497.3,0.0,450.4224908351898,7.6747565,2,226776,467.94183,0.10513738,0.007189517
309,907.5580650363543,0.9395236670970917,0.0932201,508.15,0.0,456.4609372615814,7.6852536,1,228795,473.48145,0.0932201,0.007867499
312,866.5267257231193,0.8065015822649002,0.09359481,487.85,0.0,462.5381119251251,7.6821895,3,231984,449.34595,0.09359481,0.006709941
315,867.9616447865095,0.9312151670455933,0.11392415,470.55,0.0,468.58039927482605,7.6756597,3,235743,445.92807,0.11392415,0.007837184
318,836.7158941133879,0.8679563254117966,0.09948481,447.225,0.0,474.65980863571167,7.6661534,3,239697,428.02594,0.09948481,0.0071094874
321,839.3934644587523,0.9316148906946182,0.121340916,448.05,0.0,480.71091628074646,7.6696205,3,243777,427.20294,0.121340916,0.0075439294
323,857.751278575224,0.5626121461391449,0.09264168,462.925,0.0,486.75576734542847,7.659925,2,247563,434.99228,0.09264168,0.007665024
327,821.4614105808057,0.754811555147171,0.1061337,433.75,0.0,492.747793674469,7.6608925,4,251835,421.0717,0.1061337,0.007589439
330,795.6376748036353,0.8355309516191483,0.097637184,419.825,0.0,498.7951593399048,7.637802,3,255039,408.0207,0.097637184,0.0075184433
333,772.011344315259,0.6694548726081848,0.110366136,409.875,0.0,504.80644726753235,7.63368,3,258492,395.10858,0.110366136,0.0074544344
336,763.7640865865363,0.8913042992353439,0.09783059,409.7,0.0,510.8209891319275,7.622876,3,261699,387.19623,0.09783059,0.007793631
337,773.4343310892573,0.6168543696403503,0.101937965,415.025,0.0,516.9072806835175,7.6367064,1,263382,392.11426,0.101937965,0.0074608778
339,782.2953559529624,0.7334665060043335,0.08386439,424.275,0.0,522.9922666549683,7.6394663,2,266145,394.41742,0.08386439,0.006880509
341,794.4625447814776,0.6588131785392761,0.10502294,421.05,0.0,528.9959321022034,7.634762,2,268662,404.5374,0.10502294,0.0071333386
343,818.4947852216068,0.8763592839241028,0.12180479,432.675,0.0,534.9931840896606,7.6377597,2,271911,415.5376,0.12180479,0.00737847
345,801.3800127292736,0.8931459560990334,0.10743782,432.325,0.0,541.0293908119202,7.6385374,2,274242,407.628,0.10743782,0.0073088566
348,801.5096313142683,0.49948471784591675,0.08428342,434.7,0.0,547.0650465488434,7.647266,3,278940,404.70923,0.08428342,0.0072971457
350,824.7254834786876,0.6720020473003387,0.10597095,436.725,0.0,553.108808517456,7.639339,2,282141,415.3894,0.10597095,0.00696777
352,865.1576509342624,0.8680723607540131,0.13991164,444.875,0.0,559.1408817768097,7.6313515,2,285369,432.733,0.13991164,0.008114796
354,855.0441001466373,0.8254068046808243,0.09810136,438.2,0.0,565.2046916484833,7.6237946,2,287544,425.71533,0.09810136,0.007862148
356,870.9370247515908,0.8225590884685516,0.12250259,445.525,0.0,571.2276699542999,7.625839,2,290322,434.4431,0.12250259,0.008557389
358,880.339287107164,0.7618989795446396,0.12597615,449.975,0.0,577.2704577445984,7.6231074,2,293694,440.4401,0.12597615,0.007654605
360,888.9229623560952,0.8572479784488678,0.10560094,448.9,0.0,583.3054890632629,7.6323814,2,296865,443.94327,0.10560094,0.008007737
362,881.6763370548084,0.7763220220804214,0.09283495,451.1,0.0,589.3218898773193,7.627137,2,300195,441.84238,0.09283495,0.00688872
364,871.887777067101,0.880221538245678,0.09844212,444.875,0.0,595.3948361873627,7.6208014,2,302613,434.77753,0.09844212,0.008082626
366,900.555482566059,0.9397833310067654,0.12640497,461.275,0.0,601.4148635864258,7.6238246,2,306384,446.90103,0.12640497,0.008214099
368,929.0782749025562,0.7718747854232788,0.1661557,475.55,0.0,607.4805419445038,7.62848,2,309474,459.31607,0.1661557,0.008878062
