ev_tdlam_before,TimeElapsed,TimestepsSoFar,entropy,entloss,EpTrueRewMean,EpLenMean,optimgain,meankl,EpisodesSoFar,EpThisIter,surrgain,EpRewMean
0.8856977447867393,4323.100999593735,497250,7.143921,0.0,1708.823736250549,536.8,0.10764527,0.009537941,637,3,0.10764527,163.99614
0.09544605016708374,4349.297803401947,500250,7.10913,0.0,1741.4966199068192,548.875,0.07999072,0.0083194785,638,1,0.07999072,166.10251
0.09934449195861816,4374.504782915115,503250,7.1453104,0.0,1777.2800542384455,558.475,0.07043636,0.010787666,639,1,0.07043636,168.20885
0.5208302736282349,4399.640264749527,507558,7.1325307,0.0,1837.7363326578584,576.725,0.09736169,0.009369548,641,2,0.09736169,172.82475
0.16049307584762573,4424.81881403923,510558,7.100854,0.0,1880.2666201933644,591.45,0.07195189,0.009701939,642,1,0.07195189,175.53981
0.7673521488904953,4450.576411724091,514440,7.0830717,0.0,1903.837688170655,596.175,0.09850746,0.010555384,644,2,0.09850746,176.70804
0.11382102966308594,4475.749376296997,517440,7.0924387,0.0,1970.107231092133,616.425,0.0766584,0.009736348,645,1,0.0766584,182.06206
0.33236485719680786,4501.662265539169,520440,7.117139,0.0,2040.0532719288306,635.175,0.081941396,0.007893784,646,1,0.081941396,187.53426
0.1296095848083496,4526.960001945496,523440,7.1361966,0.0,2087.7665373952523,645.4,0.07552098,0.009534447,647,1,0.07552098,190.67021
-0.09426331520080566,4552.313759088516,526440,7.128613,0.0,2154.843579066763,666.375,0.08529047,0.009499076,648,1,0.08529047,196.3126
-0.035900235176086426,4577.995551109314,532440,7.2146378,0.0,2259.5775617557288,693.725,0.072188236,0.008722622,650,2,0.072188236,203.61417
0.8584299385547638,4603.6063866615295,535338,7.270074,0.0,2294.886371104719,704.25,0.09678808,0.009006989,651,1,0.09678808,206.52963
0.9278706833720207,4628.491358757019,540045,7.2934732,0.0,2280.9343601240494,701.75,0.09904331,0.00959286,653,2,0.09904331,204.5433
0.8548698425292969,4654.246959924698,542502,7.305301,0.0,2246.5088905668413,691.025,0.09790503,0.008906932,655,2,0.09790503,201.43582
0.3061533570289612,4679.617177248001,545502,7.2458735,0.0,2243.6810787091863,694.325,0.0881456,0.008370139,656,1,0.0881456,200.67761
0.15266579389572144,4705.084894895554,548502,7.229249,0.0,2234.7711444813895,694.325,0.07128759,0.009517695,657,1,0.07128759,199.76645
0.6693204939365387,4730.251210927963,553185,7.1878233,0.0,2237.4262259778943,698.25,0.086495,0.009643166,659,2,0.086495,201.08499
0.570901483297348,4756.331973791122,557079,7.178275,0.0,2256.943702646908,706.425,0.09040587,0.009421832,661,2,0.09040587,202.32025
0.43792974948883057,4781.57935500145,560079,7.1943364,0.0,2295.739317245026,715.7,0.094056405,0.008465437,662,1,0.094056405,205.4185
0.9013915285468102,4807.440015077591,562821,7.1872225,0.0,2363.2779592854217,733.975,0.10421451,0.0090471,663,1,0.10421451,211.44185
-0.25499534606933594,4832.0491824150085,565821,7.18177,0.0,2375.9927231753813,738.6,0.081615925,0.008968369,664,1,0.081615925,211.48979
0.9180790409445763,4858.005056619644,567042,7.199311,0.0,2398.8543741856765,744.25,0.09223225,0.008688064,665,1,0.09223225,213.40097
0.09340310096740723,4883.0245242118835,570042,7.1995764,0.0,2466.7116525388615,763.075,0.09173882,0.008519042,666,1,0.09173882,218.33765
0.9256904572248459,4909.6435713768005,574083,7.1615214,0.0,2444.5217472901027,757.825,0.09896889,0.009445314,668,2,0.09896889,216.78389
0.8566690534353256,4933.8704199790955,575853,7.168857,0.0,2484.494115669132,768.5,0.0835333,0.008963852,669,1,0.0835333,219.96638
0.03209567070007324,4960.5436108112335,578853,7.121685,0.0,2532.488915124822,780.1,0.08292436,0.009601079,670,1,0.08292436,222.90244
