EpThisIter,EpLenMean,EpTrueRewMean,surrgain,TimestepsSoFar,EpRewMean,ev_tdlam_before,entropy,EpisodesSoFar,entloss,optimgain,TimeElapsed,meankl
2,730.4,2587.0979849872315,0.055462662,954354,638.2677,0.9848476788029075,1.8446804,656,0.0,0.055462662,1368.3185079097748,0.0114310365
1,730.4,2588.011117231204,0.039861593,957354,638.1418,-0.007814645767211914,1.8382304,657,0.0,0.039861593,1372.7031190395355,0.00950101
2,714.275,2535.605126790669,0.040196225,961419,625.9842,0.7929617166519165,1.8286434,659,0.0,0.040196225,1377.0591850280762,0.010342177
1,726.025,2577.5279669588845,0.052306868,964419,635.3688,0.8843759968876839,1.8369912,660,0.0,0.052306868,1381.2629654407501,0.009057662
2,722.325,2573.571566143004,0.04006643,969975,634.2118,0.7529902011156082,1.8403318,662,0.0,0.04006643,1385.5014135837555,0.010418678
1,729.575,2598.95038744704,0.052955806,972078,638.9525,0.9876881800591946,1.7819674,663,0.0,0.052955806,1389.4313764572144,0.010874573
1,729.575,2599.786277917664,0.039676778,975078,638.2086,-0.07076263427734375,1.7958409,664,0.0,0.039676778,1393.042492866516,0.010676874
1,731.525,2604.7423105924327,0.040439695,978078,638.1605,0.2880675792694092,1.7867769,665,0.0,0.040439695,1396.5769979953766,0.010594672
1,731.525,2605.849298700924,0.05655899,981078,637.98206,0.5710345208644867,1.841617,666,0.0,0.05655899,1401.195687532425,0.010121137
2,727.925,2593.35488858651,0.04766661,986646,632.4523,0.7394832372665405,1.8909006,668,0.0,0.04766661,1406.3462374210358,0.01192091
2,723.8,2581.485236129292,0.057990693,989442,629.82733,0.9744379222393036,1.8959007,670,0.0,0.057990693,1411.3712236881256,0.010670221
1,733.475,2612.7614686833076,0.049147964,992442,636.329,0.5811795294284821,1.844575,671,0.0,0.049147964,1416.1334791183472,0.011042322
2,736.275,2622.444049916992,0.058380276,995514,638.8342,0.9854692360386252,1.8766664,673,0.0,0.058380276,1420.9356405735016,0.009879655
1,748.725,2662.9108160513056,0.043023452,998514,647.4688,0.00611644983291626,1.9063456,674,0.0,0.043023452,1425.7597608566284,0.011848646
1,754.275,2678.453060879556,0.04177635,1001514,651.5071,-0.03110063076019287,1.8876199,675,0.0,0.04177635,1430.5474355220795,0.012200555
