entropy,meankl,ev_tdlam_before,EpLenMean,EpisodesSoFar,entloss,TimeElapsed,surrgain,optimgain,EpTrueRewMean,EpRewMean,EpThisIter,TimestepsSoFar
4.157935,0.007463325,0.20111721754074097,27.0,38,0.0,6.910672903060913,0.043450408,0.043450408,28.806505374438082,29.792616,38,3078
4.062897,0.0065133516,0.03237485885620117,43.175,52,0.0,12.453615665435791,0.044424884,0.044424884,54.51461866093389,49.10783,14,6330
4.061098,0.006258394,0.5459000766277313,60.3,64,0.0,17.22316336631775,0.040322684,0.040322684,92.41294499438554,68.92788,12,9336
4.034609,0.00589726,0.8191250115633011,80.275,73,0.0,21.736450672149658,0.04128762,0.04128762,136.3590462220243,91.091255,9,12396
4.0402536,0.0069233323,0.895479828119278,98.45,79,0.0,25.93410348892212,0.047753997,0.047753997,171.21587631093263,108.348366,6,15555
4.056425,0.006354318,0.781450018286705,113.25,86,0.0,30.151989698410034,0.044405304,0.044405304,197.61013360501778,120.049706,7,18708
4.0246034,0.0064237723,0.9407867901027203,129.575,92,0.0,34.364195346832275,0.045936015,0.045936015,230.99828505464225,132.5894,6,21879
4.028296,0.00645374,0.751971647143364,145.025,98,0.0,38.546621322631836,0.05213245,0.05213245,255.30423213044773,143.91733,6,25053
4.0099106,0.0056261458,0.8492856025695801,156.125,103,0.0,42.74310350418091,0.04066536,0.04066536,275.2518397793233,150.59424,5,27894
3.98163,0.005487821,0.6271155774593353,168.725,107,0.0,46.92142367362976,0.044737816,0.044737816,292.10638742341285,159.8446,4,30525
3.955565,0.006523082,0.7394691705703735,185.75,111,0.0,51.13597822189331,0.053664044,0.053664044,320.2598976409825,172.07433,4,34047
3.962103,0.006542283,0.7285873293876648,190.575,116,0.0,55.38969945907593,0.049780313,0.049780313,326.13932404843047,171.89053,5,37254
3.9000533,0.0062645203,0.8908510357141495,205.075,119,0.0,59.626283407211304,0.044534452,0.044534452,347.2906195838277,183.87732,3,40164
3.8787305,0.006771752,0.8046240359544754,213.875,122,0.0,63.83606576919556,0.052992404,0.052992404,362.35152377014754,189.09122,3,42636
3.880957,0.0056104977,0.681857705116272,238.575,124,0.0,68.05553722381592,0.053758755,0.053758755,402.04617026680455,208.79037,2,46365
3.9067097,0.006444363,0.15745288133621216,274.8,127,0.0,72.24224972724915,0.040243488,0.040243488,453.8742540921563,233.2342,3,52089
3.9406414,0.0063856626,0.5106028318405151,295.775,128,0.0,76.43042588233948,0.045173805,0.045173805,481.3286824729662,246.81201,1,55089
3.9335268,0.0058442582,0.6043044924736023,316.5,131,0.0,80.64675426483154,0.054010317,0.054010317,526.3080645442369,263.03302,3,59292
3.940283,0.0070628733,0.764208659529686,325.625,135,0.0,84.91167974472046,0.06594024,0.06594024,544.5442240193028,269.40735,4,62268
3.9066532,0.005219449,0.17704826593399048,345.975,136,0.0,89.1289234161377,0.037722833,0.037722833,576.0032667163644,282.8217,1,65268
3.89749,0.006412605,0.37187570333480835,370.4,139,0.0,93.26631617546082,0.04464132,0.04464132,613.598020344651,296.6023,3,70278
3.9216979,0.007017999,0.45354121923446655,392.125,140,0.0,97.49300122261047,0.045875076,0.045875076,651.2554580775073,310.60077,1,73278
3.9103985,0.006235025,0.8080980330705643,399.8,141,0.0,101.68491768836975,0.052922476,0.052922476,673.4844370225289,318.70856,1,74811
3.920351,0.0066015115,0.4554869532585144,433.65,143,0.0,105.94090914726257,0.042332385,0.042332385,732.3208953458718,339.90186,2,79932
3.9213867,0.0065554716,0.5982905626296997,443.625,144,0.0,110.13855242729187,0.05944361,0.05944361,751.2971653787779,350.10114,1,81720
3.9134517,0.007000372,0.7154800891876221,433.675,149,0.0,114.4426908493042,0.05803972,0.05803972,751.4897494308065,351.23212,5,84585
3.9335697,0.007301071,0.9417554959654808,440.35,153,0.0,118.70513081550598,0.05056578,0.05056578,776.7325230454959,366.31323,4,87993
3.9159238,0.007978134,0.9500072412192822,431.0,159,0.0,122.99173307418823,0.040924296,0.040924296,791.0293314485989,366.268,6,91884
3.9182453,0.0074021136,0.8974593207240105,382.05,165,0.0,127.20152044296265,0.042302154,0.042302154,738.6410932123185,336.52344,6,95211
3.9117122,0.0074776774,0.9610729962587357,356.075,168,0.0,131.4608826637268,0.05746166,0.05746166,724.3171159217394,321.66708,3,97818
3.8616312,0.0070613576,0.9291390031576157,352.175,170,0.0,135.7079472541809,0.050635338,0.050635338,728.8334191647875,319.8539,2,100872
3.83606,0.0074392078,0.9317115992307663,328.875,176,0.0,140.02886176109314,0.048357584,0.048357584,715.3568833873491,303.10205,6,104733
3.7803879,0.0066717993,0.6117256283760071,343.725,178,0.0,144.2353184223175,0.04745563,0.04745563,769.5048284665627,318.05182,2,109878
3.780792,0.00733443,0.6534803509712219,337.875,180,0.0,148.45939421653748,0.05268171,0.05268171,776.975663787314,314.4275,2,113823
3.789642,0.007344395,0.7548932135105133,284.95,185,0.0,152.7512218952179,0.05979701,0.05979701,682.6382347383084,267.06976,5,116349
3.77878,0.007124162,0.41444236040115356,301.475,187,0.0,156.96009349822998,0.04526273,0.04526273,726.5818560652951,278.21622,2,119727
3.7766397,0.007074261,0.05010098218917847,321.325,188,0.0,161.16367959976196,0.033204306,0.033204306,764.623333594224,286.75055,1,122727
3.7503965,0.006911169,0.5684733986854553,347.825,190,0.0,165.41894364356995,0.050086968,0.050086968,831.2193480429362,302.65497,2,127458
3.7462175,0.0070678405,0.71219402551651,353.925,193,0.0,169.68652844429016,0.05953286,0.05953286,843.4992912449077,298.6204,3,130464
3.7307982,0.007530339,-0.008200764656066895,367.95,194,0.0,173.91171026229858,0.032647684,0.032647684,872.1154202667192,304.18988,1,133464
3.7281108,0.007874807,0.647432804107666,383.125,196,0.0,178.16736507415771,0.061638534,0.061638534,905.294472158562,313.21844,2,136281
3.7259603,0.0081913015,0.03741985559463501,402.675,197,0.0,182.38526892662048,0.04605834,0.04605834,950.2727758543039,325.3161,1,139281
3.7091131,0.007456657,0.6613340377807617,412.2,198,0.0,186.63622403144836,0.06269972,0.06269972,970.1812819192237,330.1225,1,140901
3.7060628,0.0067871716,0.7948971390724182,429.125,200,0.0,190.88554692268372,0.05446261,0.05446261,1011.2923890408401,338.10147,2,144084
3.7384343,0.007613629,0.9237029254436493,454.0,202,0.0,195.175532579422,0.058056228,0.058056228,1082.8453364344577,360.49228,2,147909
3.7658696,0.0070940824,0.7900692224502563,479.975,204,0.0,199.43580985069275,0.06475572,0.06475572,1155.5757608078616,382.3128,2,152280
3.7766037,0.008017888,0.8862525075674057,487.6,207,0.0,203.69752049446106,0.049467947,0.049467947,1183.5363748317582,391.4542,3,155238
3.7811522,0.0066859554,0.7819850444793701,466.35,211,0.0,207.87658309936523,0.04924567,0.04924567,1135.1707111772935,374.66147,4,158013
3.790495,0.008005018,0.8680378496646881,476.875,215,0.0,212.17296028137207,0.07068479,0.07068479,1166.8662421361064,386.87582,4,160959
3.7897568,0.0070579182,0.946604784578085,455.325,217,0.0,216.3607292175293,0.049878255,0.049878255,1123.3898848831009,372.69962,2,162372
3.7731016,0.0074643763,0.7277240753173828,426.75,221,0.0,220.5762665271759,0.06375727,0.06375727,1070.7083020858215,357.64755,4,165603
3.7614822,0.007011119,0.9396884813904762,429.825,222,0.0,224.76451754570007,0.05198273,0.05198273,1081.4831020413005,361.11435,1,166728
3.7693477,0.0075855027,0.8908957988023758,449.2,224,0.0,228.9648413658142,0.05773764,0.05773764,1144.7359418031526,383.56778,2,169848
3.760378,0.0073424717,0.6203122437000275,425.65,228,0.0,233.153382062912,0.04575684,0.04575684,1115.4914760501565,376.11932,4,173805
3.752739,0.008463743,0.8219898641109467,391.075,233,0.0,237.33564496040344,0.061887287,0.061887287,1048.8670229013421,355.29428,5,177393
