entropy,optimgain,EpThisIter,EpRewMean,EpLenMean,TimestepsSoFar,EpTrueRewMean,ev_tdlam_before,meankl,surrgain,entloss,TimeElapsed,EpisodesSoFar
6.6520348,0.12842616,1,390.3811,564.4,739308,1671.5716854422376,0.521979808807373,0.009668737,0.12842616,0.0,1057.0873210430145,854
6.65407,0.12656245,1,392.61932,567.3,741507,1682.917298868569,0.8937088847160339,0.008777408,0.12656245,0.0,1061.4802134037018,855
6.6624007,0.099050686,3,398.6146,579.675,746019,1710.6006448688197,0.75528384745121,0.012606826,0.099050686,0.0,1065.91481757164,858
6.6530113,0.10769999,1,391.71426,571.475,746907,1682.0657905732085,0.8840549513697624,0.010300893,0.10769999,0.0,1070.31467628479,859
6.639422,0.10748698,1,394.2166,571.475,749907,1687.6093960332935,0.6939770877361298,0.009507252,0.10748698,0.0,1074.7182168960571,860
6.628371,0.108431056,1,403.4851,581.85,752619,1724.5750087434214,0.8331849426031113,0.009691423,0.108431056,0.0,1079.154227733612,861
6.636291,0.0924218,1,414.36273,600.425,755619,1775.8493640717047,0.15187424421310425,0.010416152,0.0924218,0.0,1083.5919258594513,862
6.6332393,0.09972132,1,420.924,610.575,758619,1804.3394657179313,0.06380623579025269,0.00994326,0.09972132,0.0,1087.9745514392853,863
6.644654,0.12806845,1,430.8047,624.925,760743,1851.7716016050622,0.8562413901090622,0.010303114,0.12806845,0.0,1092.3512256145477,864
6.6699967,0.1536433,1,441.6084,640.675,763641,1901.5452080304415,0.9202902615070343,0.010708863,0.1536433,0.0,1096.728952884674,865
6.692387,0.18002072,1,438.24838,636.25,766107,1889.0931930389168,0.9472714029252529,0.010269966,0.18002072,0.0,1101.1978211402893,866
6.6985903,0.25244936,2,428.98615,615.425,769608,1843.3535261723287,0.8698373287916183,0.01212718,0.25244936,0.0,1105.593932390213,868
6.70111,0.124070734,2,426.72403,611.425,772200,1837.7852787246804,0.8989031836390495,0.011148682,0.124070734,0.0,1110.0581889152527,870
6.7099147,0.095372364,2,414.03253,593.95,774366,1779.1475033720612,0.9163729697465897,0.010601379,0.095372364,0.0,1114.508301973343,872
6.6981053,0.1137119,2,408.7503,585.65,776556,1758.0266260888056,0.9401056915521622,0.01042651,0.1137119,0.0,1119.0099008083344,874
6.6781793,0.17093204,1,417.33197,596.65,779403,1800.1414348782178,0.7866984009742737,0.011355863,0.17093204,0.0,1123.5035185813904,875
6.6588926,0.15102805,1,425.0705,606.725,782124,1833.629900741137,0.7667434215545654,0.009709555,0.15102805,0.0,1128.0383875370026,876
6.6516294,0.15928951,2,415.7343,598.85,784491,1796.4191511146214,0.9287867471575737,0.010023981,0.15928951,0.0,1132.5079433918,878
6.6575136,0.10647723,3,416.35,603.0,788637,1799.9554888453797,0.7235321402549744,0.009829568,0.10647723,0.0,1136.9490361213684,881
6.629441,0.09919827,1,415.90097,605.125,791637,1793.1625582187485,0.09242582321166992,0.009344007,0.09919827,0.0,1141.444608926773,882
6.628905,0.110839635,1,428.2348,624.25,794637,1848.1655327710473,0.21933400630950928,0.009387778,0.110839635,0.0,1145.9230279922485,883
6.6490016,0.082952276,2,439.04315,642.475,798990,1901.1865392600077,0.42718732357025146,0.010651715,0.082952276,0.0,1150.4015846252441,885
6.6397557,0.12877208,2,445.4397,650.125,802977,1926.3783927269135,0.8895398676395416,0.011101396,0.12877208,0.0,1154.8890500068665,887
6.6519027,0.11291218,2,434.53012,635.3,805695,1879.349792137677,0.770700991153717,0.010343093,0.11291218,0.0,1159.4230244159698,889
6.6592455,0.10491466,1,445.47885,655.7,808695,1930.8344646697005,0.49720335006713867,0.009699313,0.10491466,0.0,1163.842334985733,890
6.6625514,0.1245048,1,436.97028,647.075,810534,1883.7091937509401,0.9226570203900337,0.012215222,0.1245048,0.0,1168.332016468048,891
6.655931,0.13172066,2,441.47226,650.2,814863,1910.4416480285388,0.8947229385375977,0.011153591,0.13172066,0.0,1172.7691254615784,893
6.6614556,0.15168846,1,434.6042,639.45,816042,1879.1408723810805,0.7113286554813385,0.013718449,0.15168846,0.0,1177.2378351688385,894
6.71661,0.11685854,1,440.76114,646.125,819042,1897.2616707049815,-0.23418331146240234,0.009952734,0.11685854,0.0,1181.7318623065948,895
6.721575,0.11806148,2,435.88312,633.55,821466,1864.3966166041184,0.8416511714458466,0.011009281,0.11806148,0.0,1186.1957323551178,897
6.710004,0.08166796,1,447.7425,653.725,824466,1922.3163123731981,0.01600933074951172,0.011251715,0.08166796,0.0,1190.6510016918182,898
6.652405,0.1215738,1,454.9257,666.35,826869,1963.7685458738038,0.7928556352853775,0.010126937,0.1215738,0.0,1195.1609551906586,899
6.6125665,0.10999146,1,453.49454,665.85,829809,1961.946554816333,0.9266706481575966,0.010420469,0.10999146,0.0,1199.601013660431,900
