surrgain,entloss,EpThisIter,entropy,EpRewMean,TimeElapsed,TimestepsSoFar,optimgain,EpLenMean,EpTrueRewMean,ev_tdlam_before,meankl,EpisodesSoFar
0.14859682,0.0,12,23.39478,421.9472495389691,1001.4099028110504,539013,0.14859682,84.95,421.9472495389691,0.920305959880352,0.00377441,2508
0.31605673,0.0,11,23.397627,429.5164794900605,1007.2419030666351,541968,0.31605673,85.975,429.5164794900605,0.9206298813223839,0.0141227385,2519
0.3423717,0.0,10,23.396402,454.21554673862374,1013.0371811389923,544959,0.3423717,90.65,454.21554673862374,0.9029741436243057,0.013939587,2529
0.13090774,0.0,10,23.396322,466.1323782033531,1018.6785173416138,548019,0.13090774,93.2,466.1323782033531,0.8956006839871407,0.0042374143,2539
0.29066938,0.0,10,23.399168,482.6402568160297,1024.4156930446625,550947,0.29066938,97.55,482.6402568160297,0.9302257597446442,0.013521144,2549
0.27826595,0.0,12,23.39184,464.46529882300746,1030.2468013763428,554004,0.27826595,94.325,464.46529882300746,0.9381003975868225,0.014961464,2561
0.14963767,0.0,11,23.39362,467.32405242778225,1035.9598178863525,557160,0.14963767,94.525,467.32405242778225,0.8960895612835884,0.0038043812,2572
0.34251237,0.0,12,23.395285,449.6738047136549,1041.7117068767548,560424,0.34251237,91.025,449.6738047136549,0.9229729995131493,0.014659479,2584
0.47263482,0.0,11,23.391848,455.52352611965324,1047.292803287506,563487,0.47263482,91.275,455.52352611965324,0.9136780276894569,0.014563133,2595
0.32523668,0.0,10,23.392511,479.92072822791226,1052.8806509971619,566451,0.32523668,94.875,479.92072822791226,0.9448979645967484,0.014584277,2605
0.16689026,0.0,10,23.396406,486.522708190065,1058.5980937480927,569529,0.16689026,95.425,486.522708190065,0.9329284876585007,0.0041827513,2615
0.15905838,0.0,11,23.394533,503.4725257897718,1064.3358244895935,572844,0.15905838,98.775,503.4725257897718,0.9374852553009987,0.0038499525,2626
0.1411263,0.0,10,23.390299,501.7936211218783,1070.22700548172,575637,0.1411263,99.1,501.7936211218783,0.9097701609134674,0.0039600944,2636
0.14124423,0.0,11,23.386251,478.73106289047536,1075.9662392139435,578658,0.14124423,95.6,478.73106289047536,0.8778263330459595,0.003957628,2647
