EpisodesSoFar,optimgain,EpThisIter,TimestepsSoFar,EpRewMean,entropy,ev_tdlam_before,EpLenMean,surrgain,TimeElapsed,meankl,EpTrueRewMean,entloss
1842,0.14751056,1,880939,346.51758,6.3084865,0.8723068386316299,781.75,0.14751056,3655.2974321842194,0.014708717,2633.8413799236505,0.0
1843,0.08948457,1,881939,352.74594,6.3083687,0.07884132862091064,797.65,0.08948457,3659.6246156692505,0.014767248,2687.4325821934085,0.0
1844,0.094329916,1,882939,345.92047,6.2516627,0.8837045431137085,797.65,0.094329916,3663.9739072322845,0.012232905,2647.755433658649,0.0
1846,0.06576142,2,884614,343.52106,6.240249,0.6033961772918701,789.525,0.06576142,3668.330085515976,0.004558024,2615.1329689274785,0.0
1847,0.067984685,1,885535,342.96613,6.233624,0.711980789899826,787.55,0.067984685,3672.6526358127594,0.0038898177,2606.9631412560634,0.0
1848,0.06252979,1,886535,342.53534,6.2247305,0.24510711431503296,787.55,0.06252979,3676.9629356861115,0.00397797,2605.238931507248,0.0
1849,0.08693827,1,887384,347.62045,6.225566,0.9352754950523376,797.925,0.08693827,3681.3392674922943,0.004959348,2640.872045653944,0.0
1850,0.06967844,1,888384,347.3552,6.240192,0.632183700799942,797.925,0.06967844,3685.6762030124664,0.0041836174,2632.0120113384837,0.0
1851,0.070304416,1,889384,351.7161,6.2478623,0.10779237747192383,810.6,0.070304416,3690.027907371521,0.0037935532,2671.4594367341424,0.0
1852,0.10284392,1,890384,353.6609,6.2203965,0.05470806360244751,816.225,0.10284392,3694.3798999786377,0.013151952,2687.0954407835798,0.0
1853,0.12702265,1,891384,362.8081,6.229351,0.5083011984825134,837.65,0.12702265,3698.7869350910187,0.014094164,2751.9719592536617,0.0
1854,0.12402116,1,892240,361.6783,6.228984,0.8126748353242874,834.05,0.12402116,3703.1762342453003,0.012670409,2733.235316785115,0.0
1856,0.078297295,2,893439,352.57358,6.2470546,0.9333193600177765,814.025,0.078297295,3707.5703480243683,0.0043755267,2666.75193053805,0.0
1858,0.10948719,2,894993,349.2924,6.2287793,0.613104909658432,806.025,0.10948719,3711.9415805339813,0.01347946,2644.274973184229,0.0
1859,0.07485943,1,895349,349.22833,6.187566,0.8981461450457573,805.35,0.07485943,3716.287961244583,0.0037516644,2639.56163118075,0.0
1860,0.10775148,1,896349,355.47723,6.1198125,0.1400597095489502,819.625,0.10775148,3720.5923771858215,0.013085157,2686.581503904845,0.0
1862,0.09903756,2,897812,358.16138,6.1095595,0.6799353957176208,824.375,0.09903756,3724.9365458488464,0.013072293,2699.3639441703353,0.0
1863,0.101215556,1,898812,359.60635,6.117657,0.16412514448165894,824.575,0.101215556,3729.25993847847,0.013455563,2694.63765050412,0.0
1864,0.076809436,1,899544,357.15103,6.1319594,0.7987780123949051,817.875,0.076809436,3733.5860772132874,0.0042009326,2664.5143733640293,0.0
1865,0.07487109,1,899854,351.0916,6.1688695,0.7823826521635056,803.1,0.07487109,3737.858721971512,0.0044002384,2609.663313189669,0.0
1866,0.08079791,1,900822,348.98544,6.186603,0.8852106556296349,802.3,0.08079791,3742.163999557495,0.0038313668,2606.679200761715,0.0
1867,0.099238575,1,901822,348.42075,6.1875415,0.052728354930877686,802.3,0.099238575,3746.7112922668457,0.01363943,2600.9631731968498,0.0
1868,0.104288645,1,902822,356.67038,6.196396,0.04089188575744629,823.3,0.104288645,3751.5843980312347,0.014499737,2675.444765844669,0.0
1869,0.09607822,1,903822,355.08292,6.2417607,0.15861058235168457,823.3,0.09607822,3756.131366968155,0.014226845,2677.9081087228624,0.0
1870,0.11653652,1,904822,354.78314,6.251874,0.9334220215678215,833.55,0.11653652,3760.864619731903,0.014808854,2685.514132356331,0.0
1871,0.13241804,1,905822,360.58038,6.2420607,0.6401949226856232,848.375,0.13241804,3765.4388179779053,0.014849812,2740.416865316759,0.0
1873,0.11874668,2,907279,356.39795,6.199031,0.5794733464717865,840.675,0.11874668,3770.173679113388,0.014717855,2710.835950915304,0.0
1874,0.12710078,1,907467,349.0472,6.201478,0.8209729045629501,820.375,0.12710078,3775.1719057559967,0.013723053,2646.4215947864714,0.0
1876,0.07650785,2,908442,348.5053,6.1926928,0.9289687275886536,810.225,0.07650785,3779.7569007873535,0.0042393133,2615.4734333878428,0.0
1879,0.13348472,3,909854,339.2234,6.1583815,0.8877464085817337,779.225,0.13348472,3784.545719385147,0.013549274,2515.253335072627,0.0
1881,0.15760198,2,910850,336.29877,6.157045,0.9253903403878212,768.9,0.15760198,3789.321295976639,0.014459927,2480.4498517445963,0.0
1883,0.14121689,2,912338,333.68353,6.1320148,0.5429938733577728,759.975,0.14121689,3794.079952955246,0.014379408,2456.771120654447,0.0
1884,0.07471466,1,913338,341.68048,6.1123815,-0.0023446083068847656,759.975,0.07471466,3798.830076932907,0.0039082672,2500.304263989735,0.0
1885,0.13208756,1,913946,338.23407,6.0946245,0.6855604648590088,750.175,0.13208756,3803.603826522827,0.012866098,2469.863023165435,0.0
1886,0.14784265,1,914818,340.44882,6.081478,0.857588529586792,755.1,0.14784265,3808.444130897522,0.014977867,2487.052771072852,0.0
1887,0.08215323,1,915440,337.3647,6.1014357,0.6666240394115448,747.625,0.08215323,3813.1920399665833,0.00459853,2466.0330834023603,0.0
1888,0.11022887,1,916440,337.42505,6.1399083,0.05710172653198242,747.625,0.11022887,3817.90980219841,0.0135982195,2469.8042801802585,0.0
1889,0.09867498,1,917440,336.0597,6.103942,0.19724708795547485,751.4,0.09867498,3822.677072286606,0.014686966,2478.2037182244717,0.0
1890,0.117681175,1,918440,327.6953,6.1016393,0.9123714119195938,751.4,0.117681175,3827.414538383484,0.0141259935,2435.2109457723577,0.0
1891,0.07455031,1,919045,323.95035,6.136104,0.8596942722797394,741.525,0.07455031,3832.2185668945312,0.0040232823,2409.3127629225237,0.0
1892,0.0760604,1,919873,322.80438,6.1217666,0.9114714786410332,737.225,0.0760604,3836.935999393463,0.0037616785,2404.489338764328,0.0
1893,0.12233282,1,920873,323.0982,6.076127,0.23790639638900757,737.225,0.12233282,3841.7873709201813,0.014292117,2421.8857388762367,0.0
1895,0.074982956,2,922216,319.64508,6.0769086,0.8731844425201416,729.375,0.074982956,3846.592812538147,0.0049547823,2405.0471953564943,0.0
1896,0.086329095,1,922402,318.0838,6.060894,0.7909257262945175,724.075,0.086329095,3851.357400417328,0.0044327695,2387.7623444956093,0.0
1897,0.08529856,1,923273,316.74088,6.068294,0.8935457020998001,720.85,0.08529856,3856.165188550949,0.0040708454,2373.2930602600086,0.0
1898,0.10985978,1,924273,321.54306,6.0782475,0.09581887722015381,732.0,0.10985978,3860.8877654075623,0.013822365,2408.926900430552,0.0
1899,0.057047248,1,925273,327.6569,6.080199,0.17445194721221924,748.1,0.057047248,3865.5866889953613,0.004012162,2469.430900866025,0.0
1900,0.10852298,1,926273,327.31647,6.097224,0.23426979780197144,748.1,0.10852298,3870.275244951248,0.012654407,2465.6322422696694,0.0
1901,0.1255427,1,927129,325.96783,6.090154,0.9207897856831551,744.5,0.1255427,3875.133338212967,0.013972236,2453.9642328119676,0.0
1902,0.062439732,1,928129,331.3789,6.0817914,-0.07147729396820068,757.925,0.062439732,3879.73814868927,0.0045316457,2502.074047257228,0.0
1905,0.06717265,3,929600,325.60342,6.075439,0.864565372467041,743.65,0.06717265,3884.54665184021,0.003743263,2462.54840149109,0.0
1906,0.11043355,1,930600,326.58908,6.1028857,-0.08651173114776611,744.45,0.11043355,3889.2691838741302,0.013164561,2458.1345332296382,0.0
1907,0.114835285,1,931600,326.04703,6.0696564,-0.02371537685394287,744.45,0.114835285,3893.95401763916,0.014470786,2457.708218206909,0.0
1908,0.05635751,1,932600,325.00714,6.0876274,0.23229974508285522,744.45,0.05635751,3898.634855747223,0.004636214,2454.597514140522,0.0
1910,0.110614784,2,934127,319.33313,6.065995,0.9612929783761501,732.625,0.110614784,3903.0943257808685,0.014269191,2401.079561567602,0.0
1912,0.112803355,2,935642,314.30957,6.086385,0.6659353375434875,720.5,0.112803355,3907.5306844711304,0.014372844,2354.3672760016198,0.0
1914,0.08609331,2,936697,317.26254,6.0731964,0.8986829742789268,730.75,0.08609331,3911.9813256263733,0.0039539333,2389.9021461945886,0.0
1915,0.12870091,1,937697,315.95377,6.068161,0.42968857288360596,737.275,0.12870091,3916.4222931861877,0.013873703,2413.5108203132413,0.0
1917,0.0676758,2,938956,315.1184,6.040142,0.7114041745662689,741.2,0.0676758,3920.8744904994965,0.00410878,2422.765967281793,0.0
1919,0.12888844,2,940209,319.1291,6.0226283,0.9384517408907413,758.875,0.12888844,3925.313329935074,0.0141099505,2455.8490154094497,0.0
1922,0.106272206,3,941054,305.30414,6.0073686,0.8803177401423454,730.1,0.106272206,3929.7552556991577,0.013768954,2334.7323537369616,0.0
1924,0.0666391,2,942393,303.76035,5.9964585,0.5502137839794159,726.375,0.0666391,3934.2249388694763,0.005426911,2323.970716554913,0.0
1925,0.1822879,1,943393,300.4002,6.0031905,0.9874241352081299,736.175,0.1822879,3938.712568283081,0.012670117,2310.063237613572,0.0
1926,0.20199557,1,944175,300.28033,6.0041666,0.5998215675354004,733.925,0.20199557,3943.1502737998962,0.0140787205,2292.5371284959947,0.0
1928,0.07296567,2,945523,298.37537,6.0154614,0.6303596496582031,727.075,0.07296567,3947.6036937236786,0.004563817,2258.6872007012016,0.0
1930,0.08878603,2,946573,299.18512,6.026718,0.8293669521808624,703.325,0.08878603,3952.0168392658234,0.0046327207,2224.1758729768235,0.0
1931,0.061418224,1,947573,303.9574,6.0342417,0.17005836963653564,713.2,0.061418224,3956.461092233658,0.0046555502,2255.303178416975,0.0
1932,0.07445422,1,948205,302.8348,6.033695,0.9363244846463203,708.3,0.07445422,3960.891795873642,0.0043352786,2233.7304758870982,0.0
