EpRewMean,EpisodesSoFar,entloss,entropy,EpTrueRewMean,surrgain,TimestepsSoFar,EpLenMean,ev_tdlam_before,EpThisIter,TimeElapsed,optimgain,meankl
78.7309,470,0.0,7.4251623,761.098473314066,0.11234623,274995,264.95,0.8689323514699936,3,2288.0770621299744,0.11234623,0.007833673
79.226524,473,0.0,7.42543,770.8232610389434,0.116349466,277668,268.375,0.8744584918022156,3,2314.035572052002,0.116349466,0.008930724
78.66503,477,0.0,7.4192386,767.096030291634,0.100697175,281130,265.525,0.9256107807159424,4,2339.160791873932,0.100697175,0.008695988
80.87738,481,0.0,7.429993,792.9289464063604,0.0975326,284673,275.175,0.9381198473274708,4,2364.8315377235413,0.0975326,0.008661887
82.00979,484,0.0,7.439903,805.5257179165562,0.09650351,287796,281.95,0.9000574871897697,3,2389.429112434387,0.09650351,0.007891737
82.006004,487,0.0,7.4451528,800.7106947755323,0.10258076,290505,285.45,0.8967583253979683,3,2415.560248851776,0.10258076,0.008494284
82.34104,491,0.0,7.4628406,802.0384437369306,0.13166472,294504,284.2,0.9253184497356415,4,2440.261810064316,0.13166472,0.0089814365
86.15957,494,0.0,7.49323,834.0714291335487,0.12006919,296988,294.575,0.9312787428498268,3,2465.8107013702393,0.12006919,0.00796587
87.66335,498,0.0,7.459056,838.8310883980046,0.10187057,301122,299.65,0.8724468350410461,4,2490.6182045936584,0.10187057,0.008067091
91.53734,501,0.0,7.435559,868.217196536971,0.11641293,303948,307.625,0.9151064455509186,3,2516.467493057251,0.11641293,0.008353235
94.6566,503,0.0,7.422417,891.6244742918001,0.10122838,306300,316.275,0.927067443728447,2,2541.059137582779,0.10122838,0.008392314
92.62112,507,0.0,7.3995585,875.9484067668243,0.12753847,309822,311.075,0.9214823618531227,4,2567.654927253723,0.12753847,0.009348625
92.32998,511,0.0,7.3961253,864.8499032916355,0.0942311,313416,311.125,0.882994256913662,4,2592.1360912323,0.0942311,0.008156652
91.96251,513,0.0,7.390801,860.8462325220196,0.09745807,315069,311.675,0.8090826272964478,2,2618.4532454013824,0.09745807,0.008679934
94.89572,515,0.0,7.3629375,880.3189793102407,0.15712762,318111,324.85,0.7874769270420074,2,2643.4035749435425,0.15712762,0.009010635
97.75177,517,0.0,7.352299,909.2102739878404,0.1125406,321357,335.225,0.8358633071184158,2,2669.0933434963226,0.1125406,0.009731278
98.53591,520,0.0,7.357262,911.6006600124787,0.10412022,323874,335.025,0.895751416683197,3,2694.0797555446625,0.10412022,0.00961252
99.24208,522,0.0,7.3567767,912.6782455872199,0.09571464,326262,334.35,0.9124961718916893,2,2719.9430453777313,0.09571464,0.009699041
99.24672,525,0.0,7.343995,917.7910812710173,0.10368356,328899,334.55,0.8941980972886086,3,2745.337872505188,0.10368356,0.008429505
102.00377,528,0.0,7.3474317,944.5859799387368,0.11470926,332814,341.45,0.8929514139890671,3,2770.7423577308655,0.11470926,0.0089642
104.03908,531,0.0,7.3416867,970.520026544434,0.10342196,336771,352.225,0.9268913492560387,3,2795.4600434303284,0.10342196,0.008459186
102.04985,535,0.0,7.3400035,957.0556112887982,0.09801234,340443,350.05,0.9289194345474243,4,2821.452951669693,0.09801234,0.008903963
102.90813,538,0.0,7.336705,972.253478139565,0.12194803,343515,353.275,0.868851438164711,3,2846.7756040096283,0.12194803,0.009325549
103.50464,540,0.0,7.3364305,981.2237418891184,1.2410939,345984,357.225,0.929208442568779,2,2872.1845757961273,1.2410939,0.008856087
102.27964,543,0.0,7.3284345,969.9587566827453,0.11100139,348660,353.0,0.9579616412520409,3,2897.2935338020325,0.11100139,0.009518384
104.74894,545,0.0,7.314724,983.7830037386735,0.107651636,351027,358.925,0.9153597429394722,2,2923.2940096855164,0.107651636,0.008523067
104.33738,549,0.0,7.294595,978.6865377205897,0.10574238,354615,358.075,0.8804043829441071,4,2948.239166736603,0.10574238,0.010166522
106.94154,552,0.0,7.264484,1000.4096054808242,0.114341006,357714,361.025,0.8996810764074326,3,2973.681748151779,0.114341006,0.009718325
107.384865,555,0.0,7.2566595,1006.3679583743066,0.10186918,361182,358.925,0.9023443982005119,3,2998.395786046982,0.10186918,0.009166173
107.61267,557,0.0,7.238503,1006.8413597835221,0.12076394,364113,356.3,0.8998192027211189,2,3024.061064004898,0.12076394,0.009867357
111.54995,559,0.0,7.243217,1044.6927283026453,0.1379163,367350,370.7,0.9567448943853378,2,3049.1757435798645,0.1379163,0.008351216
112.234055,561,0.0,7.2258825,1057.6630617643466,0.109760046,369768,373.1,0.9090839251875877,2,3075.077625274658,0.109760046,0.008972396
115.57733,564,0.0,7.2240915,1090.3014048008663,0.13279998,373758,380.125,0.9108428657054901,3,3099.6377894878387,0.13279998,0.009706062
116.161255,565,0.0,7.208587,1094.8864398554367,0.12142466,374610,380.925,0.7884359061717987,1,3125.9282643795013,0.12142466,0.00858877
115.16423,568,0.0,7.1769104,1086.4889099080228,0.10803184,378210,378.3,0.8860085532069206,3,3151.0025045871735,0.10803184,0.008972638
115.74288,571,0.0,7.1875987,1087.6973775636645,0.12227638,381714,374.525,0.929601326584816,3,3176.5580587387085,0.12227638,0.009331856
117.930786,573,0.0,7.191425,1110.1480239144707,0.11126153,384162,377.1,0.9226396009325981,2,3201.9199316501617,0.11126153,0.009457633
120.60799,576,0.0,7.209907,1126.917932749064,0.10162509,387408,382.925,0.8801541924476624,3,3228.0731222629547,0.10162509,0.011272613
121.201004,578,0.0,7.203793,1128.9425750130695,0.09765147,389952,386.975,0.9320574104785919,2,3252.8223543167114,0.09765147,0.009504352
121.66721,581,0.0,7.2023544,1133.195110704092,0.112306334,393324,388.425,0.8315909504890442,3,3278.165880203247,0.112306334,0.009147451
124.760765,583,0.0,7.2172174,1155.574753355027,0.11457059,397152,404.1,0.8966423571109772,2,3303.087910413742,0.11457059,0.009573378
124.570656,585,0.0,7.1810536,1150.402463653393,0.122492254,399540,404.275,0.9500841498374939,2,3329.0244715213776,0.122492254,0.009272047
126.72538,588,0.0,7.1600237,1164.731567046011,0.1197468,402795,407.55,0.9274936839938164,3,3354.1601247787476,0.1197468,0.008824812
129.60675,590,0.0,7.128745,1185.962003024187,0.10695473,405891,415.075,0.9144754931330681,2,3379.4776923656464,0.10695473,0.0090739215
132.41426,592,0.0,7.114014,1212.8049815623315,0.10213464,408336,421.85,0.9263979867100716,2,3404.350687265396,0.10213464,0.008986531
