TimestepsSoFar,entloss,meankl,EpRewMean,EpisodesSoFar,ev_tdlam_before,optimgain,TimeElapsed,entropy,surrgain,EpTrueRewMean,EpThisIter,EpLenMean
582864,0.0,0.0038981813,103.98667,2539,0.8789217174053192,0.15470746,1081.7994465827942,23.299799,0.15470746,512.2980339837062,9,100.275
586104,0.0,0.013981104,108.915405,2549,0.8930965214967728,0.36272395,1087.7236368656158,23.297613,0.36272395,539.5097000993449,10,105.375
588918,0.0,0.014239967,110.12614,2558,0.9171527400612831,0.27099353,1093.4477746486664,23.296549,0.27099353,538.8968506056628,9,105.325
592071,0.0,0.003845877,106.27258,2569,0.8794649988412857,0.14482172,1099.154778957367,23.296711,0.14482172,530.5833954929061,11,103.6
594942,0.0,0.004086281,102.32423,2579,0.8526960164308548,0.15534453,1104.800332069397,23.29598,0.15534453,512.6983953331805,10,100.65
597900,0.0,0.014300389,99.908875,2589,0.8659522384405136,0.32575238,1110.6480405330658,23.30078,0.32575238,502.4851142639005,10,98.3
601002,0.0,0.014222164,101.22025,2598,0.8463717699050903,0.28149933,1116.2973501682281,23.296076,0.28149933,518.4792613838245,9,100.7
604581,0.0,0.014238365,107.12828,2608,0.8381942957639694,0.30532107,1122.0536482334137,23.297201,0.30532107,545.5390875203196,10,106.975
607842,0.0,0.014687678,110.48346,2618,0.8825876265764236,0.29844382,1127.7434132099152,23.292646,0.29844382,560.5971153675476,10,110.175
610854,0.0,0.004086311,113.445114,2627,0.867110088467598,0.16368333,1133.5393104553223,23.285894,0.16368333,573.1846644601296,9,113.0
613737,0.0,0.0143200625,114.77647,2635,0.8809536397457123,0.3077811,1139.361411333084,23.284685,0.3077811,575.3066021719226,8,114.225
616626,0.0,0.003914848,109.36357,2645,0.8720238506793976,0.15922098,1145.5124287605286,23.285482,0.15922098,552.3408171908164,10,108.225
619824,0.0,0.0041925604,106.131424,2656,0.8889196217060089,0.176477,1151.1958286762238,23.288324,0.176477,537.4999775179737,11,104.75
622839,0.0,0.013954424,101.899345,2666,0.9007947072386742,0.28829983,1156.8599772453308,23.286638,0.28829983,517.7552990217648,10,101.675
625944,0.0,0.014167062,104.20681,2675,0.8781751468777657,0.29505304,1162.6034708023071,23.283222,0.29505304,522.0007153057837,9,101.725
629034,0.0,0.0041786144,102.446045,2686,0.90135607868433,0.15219548,1168.459588766098,23.281267,0.15219548,519.110620483559,11,101.625
632022,0.0,0.003940492,102.87644,2696,0.8277541100978851,0.14897418,1174.2874190807343,23.281498,0.14897418,516.9475057451585,10,101.65
635043,0.0,0.0040954016,104.37058,2706,0.8669327646493912,0.16323744,1179.9439735412598,23.284176,0.16323744,523.6993700446958,10,101.7
638127,0.0,0.003797927,99.33962,2717,0.8841390386223793,0.14174053,1185.7145645618439,23.28532,0.14174053,499.40812530164914,11,97.325
641298,0.0,0.003856209,98.18949,2728,0.9090297445654869,0.13969043,1191.5961439609528,23.281332,0.13969043,491.9293645666161,11,95.85
644334,0.0,0.0039605307,100.20461,2738,0.862630158662796,0.13690199,1197.4474029541016,23.284243,0.13690199,505.05139915686976,10,98.675
647478,0.0,0.0148746185,98.10863,2748,0.8789900988340378,0.29824716,1203.1825304031372,23.283138,0.29824716,502.58117455270923,10,98.0
650295,0.0,0.0039100023,104.028114,2756,0.883070558309555,0.14916329,1208.9662096500397,23.285152,0.14916329,524.955944347695,8,102.85
653520,0.0,0.004016707,105.39439,2766,0.8854392617940903,0.15015924,1214.8160400390625,23.28729,0.15015924,538.079255721333,10,105.95
656613,0.0,0.0040473016,104.92322,2776,0.8952341824769974,0.1384037,1220.568617105484,23.289309,0.1384037,549.1210704409126,10,106.675
659487,0.0,0.003941324,106.22017,2785,0.8759977221488953,0.14859006,1226.364655971527,23.287092,0.14859006,556.384744316239,9,107.625
662655,0.0,0.0049734768,103.624435,2794,0.8633440583944321,0.18201908,1232.1391744613647,23.288591,0.18201908,556.9712869040301,9,107.95
665613,0.0,0.004012319,100.74936,2805,0.8894092664122581,0.14982173,1237.8527357578278,23.289774,0.14982173,528.046899625535,11,102.675
668907,0.0,0.004989377,107.851234,2814,0.8632095605134964,0.23930165,1243.532401561737,23.289373,0.23930165,562.0537589525953,9,109.675
671940,0.0,0.0038957926,102.70329,2825,0.9005491212010384,0.14136139,1249.3329272270203,23.290262,0.14136139,526.0928453568688,11,103.775
674841,0.0,0.0038679768,101.73979,2834,0.8808423802256584,0.14643475,1255.1196541786194,23.29173,0.14643475,514.3306503702477,9,101.55
677703,0.0,0.0039029245,101.498764,2844,0.8671506643295288,0.14381915,1260.8351302146912,23.292475,0.14381915,520.9802364239079,10,102.65
680595,0.0,0.0042082127,96.44759,2854,0.901800848543644,0.15753427,1266.6148891448975,23.29075,0.15753427,489.43573056617277,10,97.4
683535,0.0,0.004421491,99.94627,2863,0.8627360016107559,0.17019366,1272.4022557735443,23.291666,0.17019366,514.6629496757062,9,101.325
686517,0.0,0.0038576536,104.797806,2871,0.8841718137264252,0.14942785,1278.2318263053894,23.293695,0.14942785,525.4430574262776,8,104.375
689643,0.0,0.013797621,108.77682,2881,0.8332594037055969,0.3151224,1284.0166368484497,23.292242,0.3151224,527.7375226025936,10,106.55
692727,0.0,0.014715367,111.609375,2891,0.9362923949956894,0.3236974,1289.8315834999084,23.291487,0.3236974,544.1526868065323,10,109.075
695985,0.0,0.0039725807,115.05076,2900,0.8931495547294617,0.16118011,1295.4240322113037,23.292902,0.16118011,552.5178971616751,9,111.125
699108,0.0,0.014367009,112.19778,2910,0.8835045173764229,0.29449755,1301.2374322414398,23.288641,0.29449755,550.9272103890389,10,109.525
702096,0.0,0.004213844,104.23016,2921,0.8921727985143661,0.14701861,1306.9097883701324,23.286299,0.14701861,529.5729709322584,11,103.775
705252,0.0,0.014670221,100.802826,2932,0.9080187827348709,0.2756579,1312.6254572868347,23.287271,0.2756579,510.52710434776,11,100.775
708321,0.0,0.004116345,97.14688,2942,0.8312178254127502,0.16472551,1318.320285320282,23.28758,0.16472551,499.2860723930453,10,97.6
711477,0.0,0.003804197,100.88295,2952,0.9099023640155792,0.14783645,1324.142986536026,23.290018,0.14783645,500.33676757814453,10,98.6
714498,0.0,0.0038927493,100.319565,2963,0.8922695815563202,0.13379264,1329.8988604545593,23.286394,0.13379264,497.3039264769138,11,99.125
717573,0.0,0.004615603,102.717285,2972,0.9017375707626343,0.19271536,1335.7040691375732,23.287107,0.19271536,522.7076049019685,9,102.675
719979,0.0,0.003801912,101.184204,2980,0.8138891011476517,0.14648254,1341.4504408836365,23.287664,0.14648254,514.4351724631701,8,101.7
723207,0.0,0.0038741112,100.70945,2990,0.912736289203167,0.14573616,1347.2449531555176,23.288252,0.14573616,528.6008937056356,10,104.725
726411,0.0,0.0040265964,106.28737,2998,0.8781583085656166,0.15264603,1353.021779537201,23.284441,0.15264603,559.7170657295986,8,110.25
729552,0.0,0.004042665,107.7021,3008,0.8747599273920059,0.16095246,1358.9489777088165,23.28327,0.16095246,566.564852893156,10,111.5
732801,0.0,0.014724748,108.728226,3019,0.8998538926243782,0.29549554,1364.7109599113464,23.282393,0.29549554,563.0302876540071,11,110.425
735798,0.0,0.004083594,112.36094,3026,0.8174500614404678,0.14291553,1370.5905394554138,23.283451,0.14291553,585.7112658680082,7,114.275
738717,0.0,0.00407683,107.78927,3035,0.8722483664751053,0.16352654,1376.3437385559082,23.284159,0.16352654,574.8734388845227,9,111.075
742002,0.0,0.004364548,105.70951,3046,0.8986924514174461,0.1540452,1382.0644733905792,23.2815,0.1540452,569.2296526323698,11,109.825
745275,0.0,0.0038363885,105.900185,3056,0.8714396357536316,0.14889224,1387.8234560489655,23.28222,0.14889224,580.0753685820875,10,111.575
748653,0.0,0.0038657442,100.62398,3066,0.8985270634293556,0.14379032,1393.4684314727783,23.283445,0.14379032,551.0365849045191,10,107.125
751500,0.0,0.0040902914,101.11006,3075,0.9015547707676888,0.14627537,1399.0996186733246,23.283426,0.14627537,539.973403985969,9,106.525
