surrgain,entropy,EpThisIter,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,EpLenMean,TimestepsSoFar,TimeElapsed,entloss,optimgain,meankl,EpRewMean
0.05353739,1.8420259,2,381,2553.181740560217,0.984342722222209,722.3,519012,703.5031206607819,0.0,0.05353739,0.010134485,612.03766
0.053331487,1.8311197,1,382,2505.2247918336166,0.9907539784908295,707.8,520272,707.7137880325317,0.0,0.053331487,0.010640327,599.9103
0.03363853,1.8133534,2,384,2502.7200199947374,0.4737955331802368,706.375,525129,711.9492030143738,0.0,0.03363853,0.0102856895,597.7028
0.036565974,1.769759,2,386,2617.2509068201434,-0.015179991722106934,737.375,531129,716.19562292099,0.0,0.036565974,0.010510752,622.3646
0.054678205,1.693024,2,388,2663.6464540330617,0.9729448799043894,749.85,534324,720.4508669376373,0.0,0.054678205,0.010009132,632.71814
0.04744398,1.6980437,1,389,2651.1062328025955,0.9875371195375919,745.825,536841,724.6505920886993,0.0,0.04744398,0.0095829675,630.2078
0.03088228,1.7845196,1,390,2696.360868677216,-0.011069655418395996,758.7,539841,728.9467036724091,0.0,0.03088228,0.0092474595,639.9765
0.053865466,1.7934297,1,391,2769.363514041271,0.9423804134130478,778.125,542841,733.2124681472778,0.0,0.053865466,0.009578962,656.53735
0.042986132,1.753017,1,392,2770.9045571930724,0.010372757911682129,778.125,545841,737.5260756015778,0.0,0.042986132,0.010258146,656.19073
0.06181158,1.757526,1,393,2743.3130355606686,0.9795530494302511,767.0,547506,741.7788331508636,0.0,0.06181158,0.010387308,649.2106
0.044774033,1.7274519,2,395,2792.4732830545436,0.6532464921474457,779.65,552435,745.9583373069763,0.0,0.044774033,0.009569207,659.999
0.051376067,1.6885691,3,398,2801.378799359769,0.894482433795929,782.725,557778,750.1750612258911,0.0,0.051376067,0.00990873,663.61334
0.04112496,1.6655263,1,399,2872.8259072951373,0.17287999391555786,802.25,560778,754.4487910270691,0.0,0.04112496,0.008899676,680.35126
0.04827625,1.6386096,4,403,2719.6615305104838,0.8880177736282349,760.05,566145,758.7611508369446,0.0,0.04827625,0.010708183,646.75134
0.025664961,1.6088221,1,404,2718.672757035803,-0.02114391326904297,760.05,569145,763.0114631652832,0.0,0.025664961,0.010043522,647.53827
0.05963213,1.607167,1,405,2708.4685086548207,0.9632562808692455,757.2,570966,767.2198452949524,0.0,0.05963213,0.010757938,645.755
0.052606344,1.6059685,2,407,2703.4213390632144,0.9838838577270508,755.0,575388,771.4962048530579,0.0,0.052606344,0.010701077,645.5365
0.049738783,1.6561736,2,409,2605.8586872300402,0.9882197650149465,726.45,577962,775.6816875934601,0.0,0.049738783,0.010028686,624.2678
0.053664673,1.6222843,1,410,2562.5478155275828,0.9947006762959063,713.95,579462,779.9088654518127,0.0,0.053664673,0.010165207,615.8375
0.04797785,1.6232103,3,413,2414.644473967453,0.9803381431847811,673.0,582528,784.1182401180267,0.0,0.04797785,0.0099150175,582.71893
0.037953503,1.6179035,1,414,2411.728690356274,0.03470689058303833,673.0,585528,788.402670621872,0.0,0.037953503,0.009813617,582.27246
0.03942446,1.6498117,2,416,2411.154188566179,0.7595683038234711,673.95,589785,792.6130194664001,0.0,0.03942446,0.009952124,581.11584
0.052172825,1.6224058,3,419,2348.471995560619,0.9461824893951416,656.725,594096,796.8571152687073,0.0,0.052172825,0.009625024,566.3622
0.04531253,1.6209526,1,420,2366.6917448165887,0.23495322465896606,662.575,597096,801.0919694900513,0.0,0.04531253,0.010492184,569.9202
0.046539076,1.5593308,1,421,2424.6543145698497,0.44910091161727905,675.7,600096,805.3493571281433,0.0,0.046539076,0.009880022,580.9935
0.060014587,1.5562326,1,422,2417.9725223375513,0.9613900519907475,674.125,601167,809.6115338802338,0.0,0.060014587,0.009722507,578.7179
0.033855483,1.5272831,1,423,2448.9542604630487,0.0045223236083984375,683.65,604167,813.8697712421417,0.0,0.033855483,0.010563664,584.9207
0.04076223,1.5224597,2,425,2408.771311728749,0.7502179890871048,673.275,608922,818.059561252594,0.0,0.04076223,0.010241421,576.0063
0.046608455,1.48372,2,427,2448.6965011045186,0.7900901436805725,684.25,614076,822.319522857666,0.0,0.046608455,0.009702465,585.46515
0.038637258,1.4659923,1,428,2464.974298928451,0.041082143783569336,689.6,617076,826.6035747528076,0.0,0.038637258,0.00945339,589.3429
0.051193614,1.4888867,2,430,2378.125317341727,0.9910730477422476,664.925,619632,830.9011814594269,0.0,0.051193614,0.0107849995,570.48645
0.052253775,1.4710797,1,431,2353.134609217339,0.9788925014436245,658.225,621828,835.1656811237335,0.0,0.052253775,0.0112950895,565.39777
0.035616204,1.5060261,1,432,2351.8597202888477,0.21249037981033325,658.225,624828,839.3879942893982,0.0,0.035616204,0.0102799395,565.421
0.050330013,1.5221697,1,433,2372.3082458643053,0.9753248114138842,663.625,627141,843.630966424942,0.0,0.050330013,0.010266942,569.87415
0.03661779,1.5313427,1,434,2402.6121554004785,0.05807328224182129,672.55,630141,847.9043824672699,0.0,0.03661779,0.009984575,576.222
0.057086136,1.5514947,2,436,2326.1472945340006,0.9854365969076753,649.45,633369,852.2521133422852,0.0,0.057086136,0.010186946,559.381
0.040944688,1.4880868,1,437,2370.483101444828,0.46529126167297363,661.9,636369,856.7473065853119,0.0,0.040944688,0.010140004,567.911
0.042069253,1.4652354,1,438,2435.204571617868,0.05052274465560913,679.925,639369,860.9907383918762,0.0,0.042069253,0.01067985,581.41486
0.041561875,1.4402516,1,439,2435.4547360689494,-0.02027106285095215,679.925,642369,865.2918138504028,0.0,0.041561875,0.009943815,580.81445
0.038244434,1.4773356,1,440,2435.1554536925696,0.03722470998764038,679.925,645369,869.5271825790405,0.0,0.038244434,0.009098352,579.67175
0.039264854,1.4843863,1,441,2504.5650811596524,-0.0016411542892456055,698.725,648369,873.8188097476959,0.0,0.039264854,0.011937005,594.1986
0.05307459,1.4590198,1,442,2570.884089878112,0.5731824934482574,717.05,651369,878.1370975971222,0.0,0.05307459,0.0094508715,608.69006
0.041264556,1.4699667,1,443,2634.993666442024,0.01170051097869873,735.2,654369,882.4168391227722,0.0,0.041264556,0.011571445,621.66565
0.053853117,1.4324647,1,444,2636.0354770994186,-0.0693742036819458,735.2,657369,886.7297675609589,0.0,0.053853117,0.011473859,619.908
0.040111832,1.4402012,2,446,2637.9024089622235,0.6457458138465881,736.125,661296,890.991934299469,0.0,0.040111832,0.009719498,618.2961
0.047269154,1.3980557,1,447,2653.301133626817,0.5234386026859283,740.9,664296,895.2942981719971,0.0,0.047269154,0.012082104,620.5515
0.038150627,1.4124703,1,448,2694.2703398445083,0.04184412956237793,753.05,667296,899.5586469173431,0.0,0.038150627,0.009898393,627.9585
