EpTrueRewMean,TimeElapsed,meankl,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,entropy,EpThisIter,optimgain,EpLenMean,EpRewMean,surrgain,entloss
500.1279864540338,982.125518321991,0.013595166,460332,2120,0.8423289209604263,23.752375,10,0.26330692,99.525,67.21847,0.26330692,0.0
474.32305962282027,988.7654013633728,0.013219081,463233,2132,0.8052004426717758,23.739435,12,0.26639274,94.6,63.605408,0.26639274,0.0
470.83114721148047,995.5073285102844,0.013383582,466299,2142,0.7690555602312088,23.745687,10,0.30173066,93.875,62.038635,0.30173066,0.0
471.6708357506621,1002.1586985588074,0.0135395825,469431,2153,0.833538606762886,23.748556,11,0.40289474,95.05,63.31138,0.40289474,0.0
451.7415393866304,1008.7225584983826,0.012388442,472665,2166,0.8397306948900223,23.743818,13,0.27875346,90.0,60.969715,0.27875346,0.0
448.7010675823094,1015.3289196491241,0.012966215,475734,2177,0.840647503733635,23.742697,11,0.26949942,89.025,60.771217,0.26949942,0.0
470.2724913326194,1022.1199879646301,0.01321197,478572,2186,0.8169005215167999,23.746645,9,0.28474724,94.45,64.35832,0.28474724,0.0
461.35805536912676,1028.752599477768,0.013791245,481716,2197,0.7750364392995834,23.741434,11,0.27324653,92.925,62.511578,0.27324653,0.0
488.02868764052346,1035.361712694168,0.013504126,484938,2208,0.8445641994476318,23.73747,11,0.28459537,97.925,66.22237,0.28459537,0.0
486.6095728332881,1041.9075541496277,0.014134565,487911,2218,0.8364987820386887,23.726095,10,0.27358675,98.5,66.98303,0.27358675,0.0
475.5289394886531,1048.4641416072845,0.013279239,490686,2228,0.8699169754981995,23.72272,10,0.27001947,95.825,63.704975,0.27001947,0.0
467.7622695834315,1055.0100936889648,0.01172757,493890,2239,0.9076171070337296,23.719969,11,0.25031784,95.9,60.786156,0.25031784,0.0
447.89225266456344,1061.6372134685516,0.0134762395,496965,2251,0.8260879963636398,23.707827,12,0.25885454,91.65,57.387352,0.25885454,0.0
453.09417589513225,1068.2099523544312,0.013857515,499956,2262,0.7607873529195786,23.708006,11,0.293575,91.075,60.150524,0.293575,0.0
462.85405496659666,1074.9116036891937,0.013527453,502935,2272,0.8196877092123032,23.70648,10,0.46616033,92.25,62.272255,0.46616033,0.0
476.4463299486577,1081.5405497550964,0.013395308,505905,2282,0.7820190489292145,23.706476,10,0.30594146,94.075,64.4258,0.30594146,0.0
502.9108230780259,1088.1996819972992,0.01469253,509184,2292,0.8020934760570526,23.70099,10,0.29029933,99.65,67.771286,0.29029933,0.0
494.7978109367506,1094.7256300449371,0.014394274,512202,2303,0.8435847908258438,23.693094,11,0.28237522,98.2,65.05739,0.28237522,0.0
499.0602076281095,1101.3405873775482,0.0038142935,515571,2315,0.8682415336370468,23.696611,12,0.14628077,98.875,65.05827,0.14628077,0.0
493.86433876198987,1108.004639863968,0.014225183,518643,2325,0.8564861118793488,23.696222,10,0.26290894,98.05,65.743195,0.26290894,0.0
512.917044041531,1114.676510810852,0.014517626,521709,2333,0.8348309695720673,23.698263,8,0.29178867,101.975,69.694626,0.29178867,0.0
519.1276836819362,1121.3278260231018,0.013926381,524952,2344,0.8582240492105484,23.693686,11,0.28473204,103.15,73.18838,0.28473204,0.0
524.3472071298081,1127.9368159770966,0.014056042,528033,2355,0.8457462042570114,23.685076,11,0.26895422,103.85,74.698,0.26895422,0.0
514.7275784484136,1134.490688085556,0.013340659,530841,2365,0.8300492763519287,23.68066,10,0.27088124,101.65,71.36306,0.27088124,0.0
477.64145440047105,1141.0861189365387,0.012921027,533919,2376,0.8629252761602402,23.682371,11,0.2721923,93.75,63.425587,0.2721923,0.0
444.98027620820557,1147.5413136482239,0.012826776,537015,2390,0.8572244495153427,23.683832,14,0.2631369,86.975,58.928093,0.2631369,0.0
466.1908984605481,1154.084635257721,0.014042734,540366,2400,0.8781757801771164,23.67993,10,0.26093882,91.05,61.030144,0.26093882,0.0
488.31031747116594,1160.642492055893,0.0038637405,543618,2410,0.8697616159915924,23.67497,10,0.16096961,94.95,63.31831,0.16096961,0.0
502.12622224751357,1167.2002947330475,0.014361696,546747,2422,0.8636527359485626,23.67918,12,0.2861426,97.1,64.342384,0.2861426,0.0
502.9346656964609,1173.6169714927673,0.0139465835,549870,2433,0.8159631192684174,23.673906,11,0.2598883,98.375,65.46352,0.2598883,0.0
493.3584259666497,1180.225886106491,0.014438115,553158,2444,0.8212591707706451,23.671564,11,0.27567828,96.55,65.04027,0.27567828,0.0
479.23853457573057,1186.900978088379,0.0143837035,556245,2455,0.8689006567001343,23.667643,11,0.34332103,94.775,64.16301,0.34332103,0.0
491.3591711579241,1193.4907715320587,0.0038749499,559500,2466,0.8174709975719452,23.665525,11,0.13701737,97.55,66.31261,0.13701737,0.0
478.123151001921,1199.9958848953247,0.013345769,562596,2477,0.8737509399652481,23.670229,11,0.29242602,94.8,63.4294,0.29242602,0.0
474.71860662966594,1206.5428280830383,0.003776634,565494,2488,0.8781697675585747,23.666422,11,0.15123218,93.85,62.79612,0.15123218,0.0
475.8019174615241,1213.063328742981,0.014940213,568659,2499,0.8275676220655441,23.660908,11,0.2951759,93.875,61.003426,0.2951759,0.0
462.2456193930657,1219.69744348526,0.012735279,571977,2511,0.8378118723630905,23.663408,12,0.29300475,91.8,59.485706,0.29300475,0.0
496.0339609654764,1226.210985660553,0.0039379494,575166,2520,0.7858500182628632,23.658709,9,0.1605598,98.125,64.11615,0.1605598,0.0
519.8045023519305,1232.7760543823242,0.014673924,578265,2530,0.7923527508974075,23.65528,10,0.3368923,102.4,67.56026,0.3368923,0.0
521.9309233996462,1239.4084923267365,0.004013338,581226,2540,0.8317196220159531,23.655256,10,0.18793559,102.5,68.8332,0.18793559,0.0
