ev_tdlam_before,entropy,meankl,EpTrueRewMean,TimestepsSoFar,EpLenMean,optimgain,EpThisIter,EpisodesSoFar,EpRewMean,entloss,surrgain,TimeElapsed
0.4779459834098816,24.15013,0.006825304,104.22205663815137,1012,22.2,0.16938767,46,46,18.354921,0.0,0.16938767,7.713943719863892
0.5009238719940186,24.125797,0.006813192,112.88993353939614,2030,23.925,0.19873051,42,88,18.828915,0.0,0.19873051,14.271171569824219
0.6522933840751648,24.077082,0.006692484,120.4583748848349,3034,25.7,0.16240062,39,127,18.824457,0.0,0.16240062,20.862791061401367
0.5585392415523529,24.096111,0.006317374,132.88889755071574,4066,28.15,0.21420656,36,163,20.142614,0.0,0.21420656,27.52370262145996
0.4632496237754822,24.042727,0.006790585,128.99879165540193,5097,27.175,0.13894655,38,201,18.898344,0.0,0.13894655,34.18842434883118
0.46997904777526855,24.048582,0.006827168,154.15390132080503,6123,32.35,0.18576947,31,232,21.771555,0.0,0.18576947,40.8819043636322
0.5784828662872314,24.041243,0.0075752754,169.35974741053707,7142,35.375,0.15713443,28,260,23.790071,0.0,0.15713443,47.585280895233154
0.5708620846271515,24.001055,0.0076258956,179.0739888417308,8183,36.75,0.16215783,28,288,25.04726,0.0,0.16215783,54.323028564453125
0.4795722961425781,23.968527,0.0077950098,188.96623952943656,9210,38.725,0.16612402,25,313,26.505075,0.0,0.16612402,61.049155712127686
0.619562178850174,23.94562,0.007126097,194.1679678420025,10255,40.0,0.18041815,25,338,26.95607,0.0,0.18041815,67.76570630073547
0.5824297964572906,23.938715,0.0077479486,224.7160896312454,11290,45.875,0.16596931,21,359,31.836456,0.0,0.16596931,74.59006571769714
0.6583752930164337,23.920486,0.008200281,242.89917545638932,12342,49.325,0.2208825,21,380,36.191536,0.0,0.2208825,81.44429922103882
0.7113918662071228,23.900066,0.0076889433,246.97508331166173,13358,50.275,0.15348552,20,400,37.536507,0.0,0.15348552,88.30117702484131
0.5505810081958771,23.87475,0.007951863,248.9961963227811,14369,50.675,0.16321003,20,420,36.55426,0.0,0.16321003,95.12399196624756
0.5637673139572144,23.83836,0.008023625,229.75824727842792,15415,46.35,0.15705025,23,443,34.6239,0.0,0.15705025,101.98944020271301
0.6986896693706512,23.808355,0.008181203,259.2151731877113,16456,52.175,0.17669551,17,460,43.96806,0.0,0.17669551,108.87396216392517
0.6663792729377747,23.798521,0.007806326,286.1407681383847,17468,57.675,0.18005112,17,477,50.430176,0.0,0.18005112,115.72617173194885
0.7237977087497711,23.757732,0.008200527,289.82080202515886,18479,59.125,0.17177731,17,494,53.658546,0.0,0.17177731,122.6563184261322
0.6691584587097168,23.759771,0.008573957,301.4988354704684,19469,61.1,0.19567738,16,510,60.831432,0.0,0.19567738,129.60281610488892
0.7793670147657394,23.7971,0.008375423,305.76602007522064,20511,61.25,0.1842199,16,526,62.073265,0.0,0.1842199,136.57858157157898
0.7189427018165588,23.777082,0.008811221,318.2713464038839,21519,63.2,0.16886288,16,542,62.34062,0.0,0.16886288,143.48629546165466
0.6914125382900238,23.791521,0.009973651,310.88198699484,22505,62.3,0.18077423,16,558,59.03832,0.0,0.18077423,150.40438294410706
0.7995544821023941,23.776388,0.008993195,310.14066961097006,23474,63.4,0.17221546,15,573,61.671986,0.0,0.17221546,157.35612726211548
0.7860492914915085,23.738997,0.008989946,300.53295411252714,24498,61.7,0.17739418,17,590,56.95055,0.0,0.17739418,164.30946564674377
0.7244341373443604,23.731752,0.008741749,314.58212030937267,25520,63.7,0.20114003,15,605,57.541664,0.0,0.20114003,171.2925078868866
0.6690410673618317,23.729717,0.00922643,339.1224750258872,26502,68.65,0.18674195,12,617,61.17082,0.0,0.18674195,178.30887866020203
0.775533065199852,23.726007,0.008968286,348.75331268838886,27562,71.85,0.17113245,16,633,64.85518,0.0,0.17113245,185.24626517295837
0.7880371063947678,23.727457,0.008811908,331.68020658724697,28617,68.25,0.20554452,16,649,56.62032,0.0,0.20554452,192.23124527931213
0.7366304397583008,23.708563,0.00860601,319.04200082209024,29681,65.85,0.18697318,16,665,51.7028,0.0,0.18697318,199.22568702697754
0.6383969187736511,23.691832,0.00897984,322.7782921458189,30663,67.525,0.18570244,14,679,49.036354,0.0,0.18570244,206.21615147590637
0.763957217335701,23.686056,0.009378241,314.0719495318716,31720,67.275,0.19909422,15,694,48.391964,0.0,0.19909422,213.16489839553833
0.7803458571434021,23.69578,0.008441707,348.072113443537,32754,73.4,0.19963571,13,707,54.735985,0.0,0.19963571,220.21351623535156
0.7035883665084839,23.68947,0.009752964,348.3755944338387,33820,73.45,0.1753371,15,722,55.084515,0.0,0.1753371,227.22007513046265
0.7168371677398682,23.689127,0.009069895,358.4515431855583,34852,74.875,0.1923945,13,735,53.870045,0.0,0.1923945,234.26723861694336
