entloss,entropy,EpTrueRewMean,surrgain,TimestepsSoFar,meankl,EpisodesSoFar,EpLenMean,ev_tdlam_before,EpRewMean,TimeElapsed,EpThisIter,optimgain
0.0,1.668845,2620.5506755034808,0.052374363,486534,0.011863801,1054,748.5,0.6734950244426727,432.2531,10172.094962596893,2,0.052374363
0.0,1.6635312,2675.7141156902385,0.04008534,487534,0.010138396,1055,764.6,0.08462953567504883,441.35025,10181.706463098526,1,0.04008534
0.0,1.676224,2700.236385286689,0.03529793,488534,0.011521716,1056,772.725,0.07831990718841553,445.82895,10191.217180967331,1,0.03529793
0.0,1.7077657,2707.061670444895,0.03333941,489534,0.010365971,1057,775.8,0.10300654172897339,446.9729,10200.66578245163,1,0.03333941
0.0,1.7176855,2709.789510337806,0.029286359,490534,0.011208491,1058,777.05,0.0842447280883789,447.76544,10210.49363064766,1,0.029286359
0.0,1.7050905,2622.483273207255,0.061523642,491332,0.0111826835,1061,752.925,0.9655618630349636,432.87656,10220.090244054794,3,0.061523642
0.0,1.6756517,2598.039837793764,0.046480034,492504,0.010615325,1063,747.25,0.7210734486579895,427.87402,10229.604105949402,2,0.046480034
0.0,1.6759349,2636.816838817769,0.047012217,494175,0.011543839,1065,760.0,0.7764066755771637,432.17343,10239.087317943573,2,0.047012217
0.0,1.6471747,2593.701601417382,0.05670333,494686,0.010357025,1066,747.775,0.9878024710342288,424.06973,10249.94515156746,1,0.05670333
0.0,1.648038,2591.3753660497355,0.03651759,495686,0.010591169,1067,747.775,0.1020551323890686,423.5577,10261.756342411041,1,0.03651759
0.0,1.6686352,2572.742391676707,0.05022195,496464,0.010671593,1068,742.225,0.9885527342557907,419.61273,10271.307903766632,1,0.05022195
0.0,1.6992195,2500.311910361337,0.054434657,497601,0.0115036685,1070,722.15,0.9747740384191275,406.5318,10280.832075357437,2,0.054434657
0.0,1.7276267,2409.163062512539,0.04935815,499004,0.010517079,1073,697.7,0.7662304937839508,390.47638,10290.547836780548,3,0.04935815
0.0,1.7466508,2408.026735291967,0.04430396,500370,0.01155974,1075,697.45,0.7664119303226471,389.1364,10300.242233991623,2,0.04430396
0.0,1.752345,2432.9022537548967,0.05074805,501314,0.010427179,1076,704.275,0.9410814009606838,392.3913,10309.691433429718,1,0.05074805
0.0,1.7439536,2450.8374966857773,0.058683977,501537,0.010882539,1077,709.1,0.9585591107606888,395.0726,10319.48903799057,1,0.058683977
0.0,1.7777861,2530.2265610715144,0.040770672,502838,0.010758088,1079,732.125,0.7605583220720291,407.74518,10329.094297885895,2,0.040770672
0.0,1.8056624,2465.2837057098304,0.038555108,504051,0.010735929,1081,715.025,0.7617600709199905,395.37222,10338.56203365326,2,0.038555108
0.0,1.7900074,2505.784750444901,0.03552635,505051,0.010094512,1082,727.125,0.1504930853843689,402.73395,10348.075601577759,1,0.03552635
0.0,1.8161571,2505.457565777642,0.03608936,506051,0.0096841445,1083,727.125,0.12894552946090698,403.2592,10357.662135839462,1,0.03608936
0.0,1.8361224,2505.7752093361596,0.03968816,507051,0.010743675,1084,727.125,0.16468799114227295,403.75525,10367.181586742401,1,0.03968816
0.0,1.8320333,2504.182438422551,0.034851152,508051,0.011153822,1085,727.125,0.04342019557952881,403.47632,10376.667649269104,1,0.034851152
0.0,1.8309585,2504.659626195254,0.03794138,509051,0.009786234,1086,727.125,0.08902806043624878,403.30283,10386.475227355957,1,0.03794138
0.0,1.8353368,2505.095112977559,0.038704377,510051,0.010345664,1087,727.125,0.12935370206832886,403.5851,10396.228922367096,1,0.038704377
0.0,1.8364608,2393.0775538332473,0.05762035,510757,0.010567686,1089,694.775,0.9391145929694176,384.92447,10405.769170045853,2,0.05762035
0.0,1.8741428,2393.8813376554535,0.042222977,511757,0.010469377,1090,694.775,0.09313994646072388,385.82413,10415.267159223557,1,0.042222977
0.0,1.8867205,2395.699520807534,0.04125706,512757,0.010264144,1091,694.775,0.37467843294143677,387.13306,10424.926213979721,1,0.04125706
0.0,1.8741285,2403.4401885836587,0.04806197,514186,0.010318241,1093,696.625,0.8225881904363632,389.8314,10434.66477060318,2,0.04806197
0.0,1.8597554,2419.6821930872275,0.047009014,514547,0.011470744,1094,700.325,0.9752493817359209,392.79178,10444.1710460186,1,0.047009014
0.0,1.8656063,2419.791973575365,0.041389413,515547,0.01040467,1095,700.325,0.09841305017471313,393.92255,10453.64748764038,1,0.041389413
0.0,1.8849258,2393.336836627348,0.054002374,516207,0.011099417,1096,691.825,0.980948731303215,389.9038,10463.07867383957,1,0.054002374
0.0,1.8769665,2394.3834253997547,0.040624417,517207,0.01108487,1097,691.825,0.028306543827056885,390.76593,10472.651149988174,1,0.040624417
0.0,1.8725262,2395.7555203080606,0.034014538,518207,0.010975886,1098,691.825,0.11656379699707031,391.5517,10482.144428014755,1,0.034014538
0.0,1.8465892,2464.6587058563136,0.051595658,519165,0.010645195,1099,710.55,0.9825993236154318,403.26483,10493.638019323349,1,0.051595658
0.0,1.8228132,2500.126702380119,0.04665134,519888,0.012197749,1100,720.0,0.9717249535024166,409.47333,10504.843747854233,1,0.04665134
0.0,1.7782745,2566.864832376358,0.042168923,520888,0.011120651,1101,738.9,0.109172523021698,421.18146,10514.257434368134,1,0.042168923
0.0,1.755026,2511.0490701823796,0.051774856,521429,0.0105123,1103,723.125,0.7779334634542465,411.85342,10523.704060554504,2,0.051774856
0.0,1.748809,2518.6970115075333,0.0440272,523139,0.010514925,1105,724.1,0.7750666290521622,415.0245,10533.296634674072,2,0.0440272
0.0,1.739424,2561.077536545154,0.038369715,524139,0.011273287,1106,736.325,0.06829798221588135,423.21524,10543.248509407043,1,0.038369715
0.0,1.7489215,2538.286262114835,0.042136084,525641,0.01070909,1108,729.425,0.765990138053894,419.903,10552.770295858383,2,0.042136084
0.0,1.7694986,2545.0460737491344,0.033209596,526641,0.010260864,1109,731.85,0.15738952159881592,422.20898,10562.503415584564,1,0.033209596
0.0,1.7840968,2541.955455337714,0.051990215,527872,0.012204966,1111,731.775,0.352713406085968,421.85175,10572.206831216812,2,0.051990215
0.0,1.8007,2616.6999422088593,0.04223317,528872,0.010634113,1112,752.775,0.054239869117736816,434.76886,10581.880010843277,1,0.04223317
0.0,1.8064024,2683.088188402544,0.043018296,529872,0.010869369,1113,771.7,0.14591330289840698,445.63077,10591.291695356369,1,0.043018296
0.0,1.7972096,2685.9472246716346,0.060734887,530872,0.011653283,1114,771.7,0.9457802996039391,446.2088,10600.818001270294,1,0.060734887
0.0,1.7791917,2706.8184582108915,0.047105297,532450,0.010667447,1116,778.4,0.7636237442493439,450.34244,10610.56553196907,2,0.047105297
0.0,1.7928655,2774.4427370026197,0.040295005,533450,0.010415007,1117,797.825,0.11633449792861938,462.05118,10620.172374248505,1,0.040295005
0.0,1.7796879,2729.16186347752,0.060601264,533920,0.011075229,1118,784.575,0.9232616648077965,454.97186,10629.685117959976,1,0.060601264
0.0,1.734596,2789.1127729925947,0.0398961,534920,0.00997323,1119,802.05,0.15030694007873535,465.05548,10639.324207305908,1,0.0398961
0.0,1.7203139,2790.4593399494734,0.051855445,535920,0.010759428,1120,802.05,0.9582405127584934,465.00922,10648.964993715286,1,0.051855445
0.0,1.6974452,2801.2794973166892,0.04556008,537254,0.01131963,1122,805.075,0.78836590051651,465.81134,10658.53361916542,2,0.04556008
0.0,1.6709766,2801.360941733155,0.034779288,538254,0.009768303,1123,805.075,0.048260629177093506,464.79083,10668.09213924408,1,0.034779288
0.0,1.6552593,2790.869465932842,0.050745107,539116,0.010419595,1124,801.625,0.9598463587462902,461.70514,10677.748789787292,1,0.050745107
0.0,1.6130275,2793.7991308088294,0.053473964,540116,0.010937395,1125,801.625,0.9654355049133301,461.44043,10687.294130563736,1,0.053473964
0.0,1.5994264,2794.0186709136647,0.039766546,541116,0.010809957,1126,801.625,0.08571362495422363,460.94745,10696.816420316696,1,0.039766546
0.0,1.5972403,2793.761056039109,0.030221244,542116,0.010233605,1127,801.625,0.10403883457183838,460.16486,10706.269282341003,1,0.030221244
0.0,1.6022308,2775.7353378395806,0.04541167,542450,0.010450555,1128,796.675,0.9733747113496065,456.44458,10715.889253377914,1,0.04541167
0.0,1.597041,2846.4634797775084,0.032142367,543450,0.009892128,1129,817.325,0.13381725549697876,468.35928,10725.495509624481,1,0.032142367
0.0,1.623392,2846.1730356700527,0.046003427,544450,0.009612981,1130,817.325,0.13119351863861084,467.5587,10736.565133571625,1,0.046003427
0.0,1.6319196,2838.1996785418696,0.055220075,545346,0.011075161,1131,814.725,0.9899846017360687,465.16913,10748.064259767532,1,0.055220075
0.0,1.5893127,2834.6296463120393,0.03685952,546346,0.010260024,1132,814.725,0.1193285584449768,463.6124,10757.748990058899,1,0.03685952
0.0,1.5664598,2882.424967062405,0.04294535,547346,0.012012144,1133,829.0,0.11137658357620239,471.35913,10767.37894153595,1,0.04294535
0.0,1.573106,2936.0726970674996,0.03945766,548346,0.010732053,1134,844.975,0.14960765838623047,479.9083,10777.214077711105,1,0.03945766
0.0,1.5546693,2934.9597786885015,0.03995613,549346,0.011126837,1135,844.975,0.12026596069335938,478.4493,10786.914604902267,1,0.03995613
0.0,1.5533715,2962.095273561786,0.03938654,550346,0.011444889,1136,853.475,0.14634644985198975,483.23007,10796.55499625206,1,0.03938654
0.0,1.5506259,2873.212742430519,0.05581043,551374,0.010609391,1138,829.175,0.28276461362838745,467.2128,10806.19844508171,2,0.05581043
0.0,1.525173,2872.4933514812724,0.036443934,552374,0.010452328,1139,830.225,0.15386563539505005,466.7684,10815.773870706558,1,0.036443934
0.0,1.5450785,2848.3882400497155,0.049264215,552849,0.010489624,1140,824.025,0.9732287153601646,462.4042,10825.412020921707,1,0.049264215
0.0,1.5448859,2845.256937528587,0.045915507,553849,0.01086534,1141,824.025,0.20074564218521118,460.9498,10834.9017868042,1,0.045915507
0.0,1.5454736,2894.1192515951216,0.05050093,554849,0.01072187,1142,839.175,0.14626485109329224,469.24365,10844.3887424469,1,0.05050093
0.0,1.4967277,2972.8752870499643,0.041448466,555849,0.010593443,1143,860.5,0.12081867456436157,481.62387,10853.93717098236,1,0.041448466
0.0,1.5135276,2970.592072009643,0.033098184,556849,0.01097479,1144,860.5,0.17788034677505493,480.42896,10863.706827878952,1,0.033098184
0.0,1.4881985,2991.9504220085955,0.040469646,557849,0.0115632815,1145,867.75,0.16202658414840698,483.43964,10873.251134634018,1,0.040469646
0.0,1.5169587,2946.1781897724313,0.04493747,559326,0.010368003,1147,854.675,0.7568143308162689,474.7868,10882.744562149048,2,0.04493747
0.0,1.5187826,2988.2038675213566,0.049746662,560326,0.010106224,1148,867.125,0.8002980947494507,481.79755,10892.197315216064,1,0.049746662
0.0,1.5344152,2985.190025196892,0.03104999,561326,0.011102641,1149,867.125,0.06502985954284668,480.1609,10901.766894340515,1,0.03104999
0.0,1.521877,2995.1423068146078,0.047847804,562673,0.009920656,1151,870.025,0.6980964541435242,480.90326,10911.259280920029,2,0.047847804
0.0,1.5080111,2992.9972016900256,0.033349372,563673,0.01122422,1152,870.025,0.164112389087677,479.53223,10920.719315052032,1,0.033349372
0.0,1.5111678,2992.9111136981396,0.03742176,564673,0.010801308,1153,870.025,0.15888899564743042,479.36334,10930.131360292435,1,0.03742176
0.0,1.5045815,2988.879746847666,0.034419652,565673,0.0112941265,1154,870.025,0.12782883644104004,477.67276,10939.82711648941,1,0.034419652
0.0,1.5120517,2988.5015056580714,0.03369847,566673,0.010486351,1155,870.025,0.1571340560913086,476.25555,10949.306334018707,1,0.03369847
0.0,1.5215894,3023.498101802864,0.03720101,567673,0.0098462,1156,880.575,0.4148319959640503,481.896,10958.84790301323,1,0.03720101
0.0,1.5409795,3022.3410601799637,0.029298842,568673,0.0106559815,1157,880.575,0.1428402066230774,480.48846,10968.435988903046,1,0.029298842
0.0,1.5373553,3068.158194626978,0.03613245,569673,0.010792531,1158,893.825,0.12590473890304565,486.87238,10978.800830125809,1,0.03613245
0.0,1.5114956,3068.809661252303,0.059641734,570673,0.012694737,1159,893.825,0.8625999242067337,486.2802,10991.308313369751,1,0.059641734
0.0,1.5239154,3065.7700898580943,0.030701417,571673,0.010183092,1160,893.825,0.13234776258468628,484.62323,11000.78948712349,1,0.030701417
0.0,1.5556687,3063.084114418855,0.03884215,572673,0.010299975,1161,893.825,0.12067890167236328,482.85223,11010.416119337082,1,0.03884215
0.0,1.547536,3119.7782405691737,0.043687217,573673,0.010955927,1162,910.475,0.12058466672897339,491.49176,11020.039491653442,1,0.043687217
0.0,1.5580252,3116.9295862849167,0.038792104,574673,0.010819381,1163,910.475,0.15316206216812134,490.01675,11029.748717308044,1,0.038792104
0.0,1.55367,3123.43588621706,0.04100672,576673,0.010147147,1165,913.925,0.05731618404388428,489.30435,11039.289589881897,2,0.04100672
0.0,1.5329602,3076.475841842096,0.06427193,577135,0.0101381345,1166,900.475,0.9744844865053892,481.3436,11048.95079445839,1,0.06427193
0.0,1.508272,2998.5812868682647,0.05174946,578556,0.011866001,1169,877.65,0.7863045781850815,467.97382,11058.597968816757,3,0.05174946
0.0,1.4901809,2874.614868542748,0.06087081,579045,0.0113506,1171,842.475,0.9570942409336567,447.6793,11068.07564163208,2,0.06087081
0.0,1.5079919,2705.1699021433915,0.048744783,580054,0.010415882,1174,792.7,0.9791666623204947,420.221,11077.566923856735,3,0.048744783
0.0,1.5312632,2704.760058605597,0.035999708,581054,0.009390076,1175,792.7,0.13681352138519287,419.49408,11087.27183675766,1,0.035999708
0.0,1.5416728,2654.1919974091265,0.03850168,582479,0.010101377,1177,778.325,0.6541305780410767,410.4956,11096.835814476013,2,0.03850168
0.0,1.5205108,2730.1764247251704,0.04460213,583352,0.010359203,1178,799.45,0.9464366063475609,422.50244,11106.331279993057,1,0.04460213
0.0,1.5350512,2707.7293156159617,0.053499423,584563,0.011148271,1180,792.85,0.4867900609970093,418.13092,11115.80606174469,2,0.053499423
0.0,1.5066015,2583.5730689523198,0.03903146,586099,0.011402786,1183,756.25,0.7907821536064148,397.4073,11125.442331075668,3,0.03903146
0.0,1.4908237,2584.0882864745063,0.045439154,587099,0.010882245,1184,756.25,0.13956719636917114,397.13922,11134.915240764618,1,0.045439154
0.0,1.5027266,2473.4132622236475,0.056233812,587812,0.010129066,1186,724.075,0.9825556389987469,378.70404,11144.417021036148,2,0.056233812
0.0,1.5023687,2518.0079832504402,0.04307816,588812,0.011582039,1187,737.15,0.07718157768249512,385.7374,11154.171580314636,1,0.04307816
0.0,1.4966041,2394.9694928038534,0.054892767,589358,0.011913809,1189,700.8,0.9744546692818403,365.68,11163.679599523544,2,0.054892767
0.0,1.4890854,2394.8127573736047,0.04821399,590358,0.011439357,1190,700.8,0.16142058372497559,365.3663,11173.270680904388,1,0.04821399
0.0,1.4992607,2451.7916762112613,0.03411633,591358,0.010431463,1191,717.125,0.13228225708007812,374.13873,11182.9054749012,1,0.03411633
0.0,1.5134572,2452.4736293757583,0.05350962,592358,0.011253382,1192,717.125,0.43746256828308105,373.99237,11192.549431800842,1,0.05350962
0.0,1.5113403,2361.3504574771264,0.058343064,593290,0.010510417,1194,690.425,0.9071409925818443,358.9312,11202.1395778656,2,0.058343064
0.0,1.5296178,2360.8183415573885,0.037431408,594290,0.010119516,1195,690.425,0.20016717910766602,359.36777,11211.701442956924,1,0.037431408
0.0,1.5158569,2361.044363796073,0.049449526,595290,0.011362619,1196,690.425,0.1003565788269043,359.10825,11221.230023145676,1,0.049449526
0.0,1.4796802,2341.906436352555,0.049097788,596049,0.01154465,1197,684.4,0.9653134495019913,356.04535,11234.160288572311,1,0.049097788
0.0,1.4650903,2258.6455481608673,0.061042853,597114,0.010435305,1199,661.025,0.32019180059432983,342.8985,11243.881598472595,2,0.061042853
0.0,1.4262143,2259.6222976863824,0.05197211,598114,0.010699148,1200,661.025,0.7217700183391571,343.35754,11253.497658491135,1,0.05197211
0.0,1.430506,2253.3899269286076,0.056166984,598971,0.012889073,1201,657.45,0.9798297714442015,342.95023,11263.477962493896,1,0.056166984
0.0,1.4206159,2228.6808561796543,0.06564246,599634,0.0111958375,1202,649.025,0.9829447288066149,339.794,11273.057566165924,1,0.06564246
0.0,1.4120656,2231.782004494121,0.03474075,600634,0.010303226,1203,649.025,0.5860416889190674,340.97662,11282.611904144287,1,0.03474075
0.0,1.4505503,2232.8726808744664,0.03288438,601634,0.010481429,1204,649.025,0.062421202659606934,341.4863,11292.337312221527,1,0.03288438
0.0,1.4135906,2245.4904957298522,0.049285557,603216,0.010927077,1206,652.025,0.7832185328006744,342.77524,11302.052642822266,2,0.049285557
0.0,1.387535,2240.435571105549,0.04737266,604392,0.010147132,1208,650.85,0.5311295390129089,341.45782,11311.517117977142,2,0.04737266
0.0,1.3452885,2311.134652855623,0.039856166,605392,0.010868304,1209,670.9,0.03527331352233887,352.29962,11321.04205608368,1,0.039856166
0.0,1.3480471,2376.1392014789885,0.03588874,606392,0.0106697865,1210,689.825,0.08517599105834961,361.95703,11330.519506931305,1,0.03588874
0.0,1.3701766,2400.7509442014134,0.051720135,606906,0.010728655,1211,696.525,0.921104297041893,365.17017,11340.140220165253,1,0.051720135
