meankl,ev_tdlam_before,entloss,EpisodesSoFar,optimgain,EpLenMean,EpTrueRewMean,EpThisIter,entropy,TimestepsSoFar,surrgain,TimeElapsed,EpRewMean
0.0068097143,0.017085611820220947,0.0,266,0.053882778,856.925,880.8067989535473,1,4.2400527,440625,0.053882778,514.3531782627106,829.33563
0.006593975,-0.0037555694580078125,0.0,267,0.03630272,856.925,881.0578899676032,1,4.2628155,443625,0.03630272,518.0406680107117,828.4048
0.0076879254,-0.010424494743347168,0.0,268,0.045627836,856.925,882.4676043797601,1,4.2891865,446625,0.045627836,521.7316455841064,827.4471
0.0076827817,0.06280797719955444,0.0,270,0.059063546,861.45,889.0670200268902,2,4.2912617,450756,0.059063546,525.366218328476,830.8815
0.010250689,0.01403355598449707,0.0,271,0.0625127,866.575,894.4651036683229,1,4.2918644,453756,0.0625127,528.9766001701355,835.47986
0.0064258194,-0.03331923484802246,0.0,272,0.048022073,866.575,894.6209178090797,1,4.2818336,456756,0.048022073,532.5513279438019,836.77997
0.008514037,-0.030028104782104492,0.0,273,0.04606989,866.575,895.5902471108687,1,4.288149,459756,0.04606989,536.21923828125,835.8332
0.007057578,-0.03770124912261963,0.0,274,0.04937824,866.575,896.5862194029575,1,4.306023,462756,0.04937824,539.8527281284332,834.75684
0.009068264,0.13994455337524414,0.0,276,0.0733403,849.75,882.2561550552389,2,4.2947106,466737,0.0733403,543.4901838302612,817.9685
0.008923728,0.014695882797241211,0.0,277,0.054090567,849.75,882.837222945406,1,4.2930965,469737,0.054090567,547.123316526413,818.3253
0.006989626,-0.10838115215301514,0.0,278,0.05999755,860.275,894.0822274087062,1,4.2802057,472737,0.05999755,550.7484583854675,828.6211
0.007561519,-0.008904814720153809,0.0,279,0.04264232,860.275,895.1534261846184,1,4.2944965,475737,0.04264232,554.2570970058441,828.3008
0.0068715815,-0.0022276639938354492,0.0,280,0.049579218,860.275,895.0138017515179,1,4.2961407,478737,0.049579218,557.8090953826904,827.7709
0.006973709,-0.06771326065063477,0.0,281,0.051867593,860.275,897.4260856608307,1,4.3100033,481737,0.051867593,561.5343754291534,827.96545
0.0069451784,0.027858078479766846,0.0,282,0.060454,860.275,898.2275607045424,1,4.315574,484737,0.060454,565.097606420517,828.66504
0.0074556144,0.002481698989868164,0.0,283,0.054335956,860.275,901.680338416489,1,4.3209906,487737,0.054335956,568.520852804184,828.5426
0.0077170553,-0.006772756576538086,0.0,284,0.050099805,860.275,903.2070623133808,1,4.308689,490737,0.050099805,572.1408052444458,828.5293
0.007302217,-0.11937272548675537,0.0,285,0.045338176,874.35,918.2743108376184,1,4.315946,493737,0.045338176,575.7699499130249,841.8747
0.007811281,-0.004830598831176758,0.0,286,0.043687478,874.35,919.9133369428234,1,4.3141475,496737,0.043687478,579.3533470630646,842.7754
0.007402855,-0.0020657777786254883,0.0,287,0.05240055,874.35,921.7318602214779,1,4.300774,499737,0.05240055,582.9452126026154,842.5397
0.0078179,0.29351192712783813,0.0,288,0.049033083,874.35,923.026608410152,1,4.3043547,502737,0.049033083,586.5300343036652,842.0963
0.009419542,-0.057315826416015625,0.0,289,0.061540283,867.475,915.5327073968917,1,4.2879424,504912,0.061540283,590.207266330719,835.51044
0.0064335186,0.7452571392059326,0.0,291,0.053544663,855.05,904.6183722993486,2,4.2908607,509421,0.053544663,593.9042291641235,829.16833
0.007862998,-0.13561582565307617,0.0,292,0.052037127,855.05,904.8344954108659,1,4.2860436,512421,0.052037127,597.6654279232025,829.2616
0.007151812,-0.05905783176422119,0.0,293,0.042942636,856.55,906.1718502613718,1,4.3012624,515421,0.042942636,601.3790287971497,829.8428
