entloss,EpRewMean,EpisodesSoFar,optimgain,entropy,EpTrueRewMean,EpLenMean,ev_tdlam_before,meankl,TimestepsSoFar,EpThisIter,surrgain,TimeElapsed
0.0,302.1699,268,0.057594016,3.988319,1022.0611994845809,373.375,0.8944006338715553,0.008014537,281526,2,0.057594016,392.7817749977112
0.0,316.208,271,0.056752034,3.974335,1070.552900717463,385.35,0.7455078661441803,0.008265957,286374,3,0.056752034,396.95195841789246
0.0,334.12646,273,0.05971957,3.9829025,1143.163775644581,405.25,0.9269741922616959,0.008145678,290241,2,0.05971957,401.2001712322235
0.0,341.96082,276,0.064590685,3.948738,1173.2348944242099,408.15,0.9630632847547531,0.008945396,293397,3,0.064590685,405.3823482990265
0.0,350.8245,278,0.060931534,3.937592,1204.2796340044551,413.275,0.9578029438853264,0.009070672,295725,2,0.060931534,409.51471400260925
0.0,355.25018,280,0.06228667,3.9239132,1229.2855414493333,417.775,0.9728976674377918,0.008899764,298158,2,0.06228667,413.6874625682831
0.0,344.82254,283,0.054496143,3.9283693,1198.0818099319515,399.4,0.9539117366075516,0.007874863,301677,3,0.054496143,417.8413841724396
0.0,353.48508,285,0.057407428,3.878607,1235.765917778485,407.9,0.7849101722240448,0.0074538058,304536,2,0.057407428,422.02723813056946
0.0,369.91266,287,0.059644613,3.8494868,1287.0809685364775,417.675,0.9809033330529928,0.008254666,308100,2,0.059644613,426.20106053352356
0.0,385.6815,289,0.042326882,3.8561404,1359.7710262469955,441.575,0.7552625387907028,0.009003566,312402,2,0.042326882,430.67046308517456
0.0,412.2591,291,0.05019397,3.8296878,1459.9938356334874,470.4,0.7457770705223083,0.009073865,317355,2,0.05019397,434.7832782268524
0.0,412.88495,293,0.05736911,3.8134477,1488.8511661892421,479.475,0.9323849976062775,0.008942464,320877,2,0.05736911,439.0082857608795
0.0,421.37305,295,0.045914307,3.8172977,1519.3711955915,486.075,0.7064379453659058,0.00842534,323952,2,0.045914307,443.2523157596588
0.0,429.14957,296,0.0645331,3.7999878,1557.7874123735678,496.6,0.9659191183745861,0.008419783,326409,1,0.0645331,447.44555163383484
0.0,438.90082,297,0.044213638,3.767548,1606.0051808913079,511.3,0.01766568422317505,0.009409258,329409,1,0.044213638,451.65611696243286
0.0,448.40576,299,0.06306637,3.7404547,1637.6653459592933,517.775,0.9750622790306807,0.007796404,332034,2,0.06306637,455.8336935043335
0.0,451.65048,302,0.06787696,3.704315,1660.8751154762838,521.425,0.9764460977166891,0.00975747,336021,3,0.06787696,460.07552123069763
0.0,453.7751,304,0.0613317,3.671655,1696.721863900863,531.425,0.9803946726024151,0.009029662,339651,2,0.0613317,464.3248553276062
0.0,445.42548,306,0.06008603,3.6545935,1678.3518034557214,522.425,0.9714995659887791,0.008408327,342141,2,0.06008603,468.5678241252899
0.0,451.03867,308,0.059704144,3.6108701,1716.2607073607614,530.975,0.9740772191435099,0.008889427,345243,2,0.059704144,472.7956142425537
0.0,433.8753,311,0.06408855,3.591309,1666.471590431723,512.825,0.9853808097541332,0.009219006,347913,3,0.06408855,477.0765702724457
