EpThisIter,optimgain,EpRewMean,meankl,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entropy,entloss,surrgain,TimeElapsed,EpLenMean,TimestepsSoFar
2,0.05366938,459.90854,0.010020181,377,2072.965518105121,0.9802160616964102,2.970063,0.0,0.05366938,630.4949748516083,624.125,456933
2,0.04720982,443.95148,0.010350914,379,2005.6447279209435,0.9727527536451817,2.990652,0.0,0.04720982,634.7841796875,601.9,460266
1,0.03530106,453.50983,0.009913992,380,2053.688135874776,-0.014941215515136719,2.8947346,0.0,0.03530106,639.1203730106354,617.275,463266
1,0.053623967,460.75342,0.010092696,381,2093.2094164927094,0.931384801864624,2.954325,0.0,0.053623967,643.4197113513947,629.375,466266
1,0.05976658,462.8719,0.009052748,382,2110.417137281045,0.9658355303108692,2.9643576,0.0,0.05976658,647.670079946518,634.75,468156
1,0.042357028,462.2604,0.011089451,383,2115.403785899264,0.08962249755859375,2.9274821,0.0,0.042357028,651.9459538459778,637.575,471156
2,0.053109184,443.9096,0.010955469,385,2040.3080792222877,0.9568939208984375,2.939237,0.0,0.053109184,656.2810170650482,614.7,473433
2,0.04778358,447.48648,0.010656944,387,2065.7042842071905,0.9698222242295742,2.9813256,0.0,0.04778358,660.5649464130402,621.9,476178
1,0.05232297,445.50644,0.010896103,388,2056.0844568058155,0.9875616785138845,2.9823587,0.0,0.05232297,664.9103741645813,618.825,478809
1,0.052469335,451.5686,0.011721286,389,2081.7959982545567,0.9430978484451771,2.964843,0.0,0.052469335,669.2225646972656,626.075,481788
1,0.050786246,453.8226,0.009462177,390,2092.0244887424183,0.9556759856641293,2.949526,0.0,0.050786246,673.5059571266174,629.05,484743
1,0.05368706,450.54263,0.009875434,391,2071.2137066788773,0.9811335485428572,2.899783,0.0,0.05368706,677.8343548774719,622.825,486996
1,0.045920074,462.45367,0.010628177,392,2120.778333606583,0.09653717279434204,2.8299859,0.0,0.045920074,682.1194477081299,638.625,489996
1,0.037231676,472.38712,0.009667366,393,2163.1549776176375,-0.057425618171691895,2.8199666,0.0,0.037231676,686.3529744148254,652.15,492996
1,0.06453209,463.48135,0.011090548,394,2117.5807010786257,0.9607302471995354,2.789521,0.0,0.06453209,690.6931149959564,639.025,494094
2,0.044782087,479.22443,0.011053827,396,2192.025758075972,0.7508502155542374,2.701621,0.0,0.044782087,695.0507075786591,661.9,499413
1,0.044889994,481.04706,0.0089408215,397,2195.505718880021,0.6832624971866608,2.779111,0.0,0.044889994,699.3396270275116,663.825,502413
1,0.05344576,478.9396,0.010303974,398,2181.190283948702,0.96679962053895,2.7274086,0.0,0.05344576,703.6064200401306,659.25,504864
1,0.03848864,478.48886,0.0095514925,399,2179.782068666236,-0.01691734790802002,2.743345,0.0,0.03848864,707.9173681735992,659.25,507864
1,0.04887315,480.8104,0.009428738,400,2193.3099516496495,0.01895087957382202,2.8029807,0.0,0.04887315,712.1734490394592,664.425,510864
1,0.049475968,487.92938,0.0097891,401,2224.498004451177,0.9496028870344162,2.738841,0.0,0.049475968,716.472532749176,674.025,513324
1,0.046995603,486.6935,0.009223737,402,2222.1570227144985,0.004800021648406982,2.7315345,0.0,0.046995603,720.7289056777954,674.025,516324
2,0.04682761,500.3431,0.010183793,404,2286.20304630085,0.5842638611793518,2.7274806,0.0,0.04682761,725.0461592674255,694.25,520359
1,0.041703828,509.9787,0.013212815,405,2337.0058730279125,0.0043967366218566895,2.724426,0.0,0.041703828,729.3066830635071,710.725,523359
1,0.041775774,511.74286,0.010022296,406,2352.422881119521,0.022591769695281982,2.7071009,0.0,0.041775774,733.5784158706665,716.9,526359
2,0.07153799,513.3172,0.010096772,408,2349.4714838272243,0.9672895818948746,2.7494097,0.0,0.07153799,737.8765420913696,716.975,529722
1,0.03972937,511.998,0.010774234,409,2349.08313222545,-0.007542610168457031,2.7019966,0.0,0.03972937,742.1192984580994,716.975,532722
2,0.052837238,528.44727,0.009998714,411,2416.4327193459108,0.850217655301094,2.6539829,0.0,0.052837238,746.3566157817841,737.7,537183
3,0.0562613,533.7393,0.009946735,414,2413.8769985444405,0.975585239008069,2.759563,0.0,0.0562613,750.6840209960938,735.875,540078
1,0.03795867,539.1399,0.0103604905,415,2435.618932553761,-0.016834020614624023,2.7599385,0.0,0.03795867,754.9565689563751,743.0,543078
