entropy,EpTrueRewMean,optimgain,EpThisIter,EpRewMean,TimestepsSoFar,surrgain,meankl,entloss,TimeElapsed,ev_tdlam_before,EpisodesSoFar,EpLenMean
4.0301437,880.521346112823,0.029878717,1,615.57135,528318,0.029878717,0.009054728,0.0,737.5589962005615,-0.0003535747528076172,302,889.8
4.034757,856.7040788676701,0.051954214,2,599.5592,531546,0.051954214,0.008353446,0.0,741.9535887241364,0.30971091985702515,304,866.7
4.0227947,856.5368489302,0.03232136,1,599.702,534546,0.03232136,0.008975584,0.0,746.3213920593262,-0.004423856735229492,305,866.7
4.044128,856.5807472745249,0.03285061,1,599.64856,537546,0.03285061,0.0072824564,0.0,750.6725368499756,0.001813650131225586,306,866.7
4.058937,856.3057137829235,0.03496553,1,599.5613,540546,0.03496553,0.009382915,0.0,755.0614528656006,-0.03561985492706299,307,866.7
4.032463,856.1098429514071,0.032268494,1,599.4917,543546,0.032268494,0.009687224,0.0,759.4316356182098,-0.00022554397583007812,308,866.7
4.0230484,855.8884618446612,0.027778327,1,599.19696,546546,0.027778327,0.006726275,0.0,763.7717022895813,-6.318092346191406e-06,309,866.7
4.0210247,855.8703998790685,0.030090071,1,599.1791,549546,0.030090071,0.008586768,0.0,768.1401360034943,-0.02129185199737549,310,866.7
3.9803538,855.6817630263595,0.035966877,1,598.83124,552546,0.035966877,0.010195106,0.0,772.5294103622437,-0.0040225982666015625,311,866.7
3.9802012,860.1455754501451,0.045234375,1,601.64795,555546,0.045234375,0.009007597,0.0,776.8507788181305,0.009085893630981445,312,870.975
3.958868,859.8557672444655,0.037980996,1,601.59863,558546,0.037980996,0.009010475,0.0,781.19007396698,0.025697529315948486,313,870.975
3.9335253,859.8440526415794,0.03177153,1,601.5238,561546,0.03177153,0.008684872,0.0,785.5149612426758,-0.0034946203231811523,314,870.975
3.9530332,859.8174595501026,0.027695812,1,601.6242,564546,0.027695812,0.008719364,0.0,789.8584675788879,-0.003407597541809082,315,870.975
3.951324,859.7622020195693,0.034395162,1,601.5908,567546,0.034395162,0.011970873,0.0,794.2526648044586,-0.0002995729446411133,316,870.975
3.9583206,859.9095687986385,0.031769227,1,601.5355,570546,0.031769227,0.009647766,0.0,798.5693459510803,0.0010907649993896484,317,870.975
3.9683537,859.9650665302988,0.042749748,1,601.59454,573546,0.042749748,0.008008404,0.0,802.9452564716339,-0.008359074592590332,318,870.975
3.9823933,884.1017508090299,0.024079744,1,617.77,576546,0.024079744,0.010278678,0.0,807.2560579776764,-0.011804819107055664,319,894.525
3.9813251,883.9085153527027,0.04141194,1,617.9616,579546,0.04141194,0.0096545,0.0,811.4997668266296,0.0035022497177124023,320,894.525
4.014587,908.3562164256206,0.027924692,1,634.84924,582546,0.027924692,0.009159977,0.0,815.850912809372,-0.004291176795959473,321,919.175
4.01281,932.7731297915841,0.023860047,1,651.7984,585546,0.023860047,0.008034751,0.0,820.1483974456787,-0.0030319690704345703,322,943.775
4.014771,957.1268595894296,0.04156142,1,668.7213,588546,0.04156142,0.0082543185,0.0,824.4646158218384,-0.004325151443481445,323,968.375
4.0351567,957.1597605072866,0.032949902,1,668.78796,591546,0.032949902,0.0099716,0.0,828.7545564174652,-0.002506256103515625,324,968.375
4.078493,959.4268084251032,0.030975008,1,670.0076,594546,0.030975008,0.0089369165,0.0,833.0689458847046,-0.0025113821029663086,325,970.25
4.075264,935.3613944330613,0.044272557,2,653.7621,597729,0.044272557,0.009303997,0.0,837.3378167152405,0.46353912353515625,327,946.775
4.131685,935.2513849335899,0.038244642,1,653.5513,600729,0.038244642,0.010059547,0.0,841.7034001350403,-0.05879199504852295,328,946.775
4.1652813,935.1806933338673,0.02399319,1,653.272,603729,0.02399319,0.0102358805,0.0,846.0145196914673,-0.00012493133544921875,329,946.775
4.1965885,942.3327092756623,0.033603694,1,657.91077,606729,0.033603694,0.00838865,0.0,850.3376386165619,-0.0015416145324707031,330,953.425
4.2221694,942.284517100039,0.028825212,1,657.6621,609729,0.028825212,0.008879991,0.0,854.6506791114807,-0.0033750534057617188,331,953.425
4.254972,942.025612078208,0.0243593,1,657.5309,612729,0.0243593,0.008709069,0.0,859.0123920440674,-0.0001989603042602539,332,953.425
4.2568974,942.0350796836352,0.03681103,1,657.30774,615729,0.03681103,0.0077081537,0.0,863.6836910247803,-0.00023257732391357422,333,953.425
4.3316255,941.7592213587877,0.023994884,1,656.9753,618729,0.023994884,0.008658142,0.0,868.0576360225677,-1.2874603271484375e-05,334,953.425
4.3549213,917.2937802883589,0.04429155,2,640.3375,621891,0.04429155,0.009746555,0.0,872.4114398956299,0.5606458187103271,336,929.775
4.3719206,917.0373897200276,0.04031734,2,640.07263,627891,0.04031734,0.010726259,0.0,876.7991995811462,-0.01578974723815918,338,929.775
4.3839445,917.121497692879,0.029384501,1,639.8081,630891,0.029384501,0.008393175,0.0,881.2208340167999,7.867813110351562e-06,339,929.775
4.35852,916.6858330072988,0.04362592,1,639.68054,633891,0.04362592,0.010347833,0.0,885.6084954738617,-9.322166442871094e-05,340,929.775
4.3952007,916.4849113098683,0.02902187,1,639.46906,636891,0.02902187,0.009094686,0.0,889.9781405925751,-5.257129669189453e-05,341,929.775
4.406435,916.0674157599354,0.045194723,1,639.439,639891,0.045194723,0.009879911,0.0,894.401257276535,-0.00010216236114501953,342,929.775
4.4371395,915.6298338731165,0.034908988,1,639.2934,642891,0.034908988,0.009241164,0.0,898.8006074428558,-1.049041748046875e-05,343,929.775
4.453103,938.8775561218524,0.03205252,1,655.11554,645891,0.03205252,0.009399326,0.0,903.1770172119141,-1.6689300537109375e-06,344,952.875
4.480687,914.7953998397567,0.035408847,2,638.9647,649128,0.035408847,0.008414866,0.0,907.6031038761139,0.42076683044433594,346,929.85
4.4733677,914.1261673180379,0.059662465,1,638.8397,652128,0.059662465,0.008969256,0.0,911.9753160476685,0.0626097321510315,347,929.85
4.455892,899.5694404212842,0.052750304,2,629.49884,656484,0.052750304,0.009625444,0.0,916.3192701339722,0.44179099798202515,349,916.15
4.4637656,899.4834057400752,0.034740392,1,629.33057,659484,0.034740392,0.009658873,0.0,920.6669943332672,-0.009372949600219727,350,916.15
4.4685044,899.1979786594038,0.040867046,1,629.2016,662484,0.040867046,0.009248076,0.0,925.0223090648651,-0.013189911842346191,351,916.15
