optimgain,TimestepsSoFar,surrgain,entropy,EpThisIter,TimeElapsed,EpLenMean,EpRewMean,EpTrueRewMean,entloss,EpisodesSoFar,ev_tdlam_before,meankl
0.11123653,743436,0.11123653,6.8728204,1,1074.2524664402008,762.85,611.03107,2532.379749627212,0.0,617,-0.3435029983520508,0.009784536
0.116147235,747990,0.116147235,6.882949,2,1078.8462562561035,771.95,618.3757,2556.508977463536,0.0,619,0.8810753151774406,0.009894791
0.09350592,751116,0.09350592,6.8914747,3,1083.4110686779022,723.0,581.42206,2364.457140612058,0.0,622,0.8139865100383759,0.010690871
0.10711228,754695,0.10711228,6.8679166,2,1087.9189138412476,704.95,568.69073,2277.2632669201603,0.0,624,0.460768461227417,0.010766454
0.094072804,757695,0.094072804,6.8459516,1,1092.4193415641785,704.95,569.465,2272.836022211468,0.0,625,-0.11053347587585449,0.010814132
0.10347031,762108,0.10347031,6.8693852,2,1096.9725365638733,704.125,567.8306,2270.7129478904353,0.0,627,0.780443400144577,0.010355567
0.107069954,766482,0.107069954,6.865309,3,1101.5660424232483,686.6,553.118,2201.3593805112405,0.0,630,0.6995216906070709,0.010372001
0.09565607,769482,0.09565607,6.8541274,1,1106.2116150856018,696.625,559.85504,2230.6652349023775,0.0,631,-0.09248661994934082,0.009966994
0.085844405,772482,0.085844405,6.8537164,1,1110.7991833686829,696.625,561.4782,2214.1608790399687,0.0,632,0.08753114938735962,0.010433871
0.09750627,775482,0.09750627,6.8885365,1,1115.3529529571533,699.65,564.2961,2229.6066858235654,0.0,633,-0.08147776126861572,0.009643713
0.10669139,778170,0.10669139,6.922926,1,1119.8900923728943,697.05,562.3287,2226.8728829316924,0.0,634,0.781716451048851,0.00899231
0.08651015,781170,0.08651015,6.9112515,1,1124.461508512497,714.125,575.02313,2288.726778968836,0.0,635,0.033939361572265625,0.011011181
0.076326326,784170,0.076326326,6.939147,1,1129.0875570774078,729.475,585.3316,2345.272554702467,0.0,636,0.03746938705444336,0.009419131
0.11296317,787134,0.11296317,6.9493413,2,1133.6554050445557,737.625,590.6837,2369.9180435976295,0.0,638,0.7935437858104706,0.011960392
0.11681215,788229,0.11681215,6.9273067,1,1138.310833454132,738.0,590.87524,2375.7725731032065,0.0,639,0.9091240391135216,0.0094384905
0.103554845,792687,0.103554845,6.935561,3,1142.9401860237122,700.15,560.1004,2236.305826812289,0.0,642,0.8576273322105408,0.009157483
0.13461277,793329,0.13461277,6.9524403,1,1147.5358667373657,680.5,545.17896,2160.7738533034344,0.0,643,0.8777282312512398,0.010103108
0.09673709,796329,0.09673709,6.951921,1,1152.0958354473114,685.325,548.271,2173.5087167247666,0.0,644,0.487787663936615,0.011757476
0.09133755,799329,0.09133755,6.933061,1,1156.750995874405,685.325,548.14575,2178.8193459378904,0.0,645,0.27768105268478394,0.009387822
0.07662271,802329,0.07662271,6.9356527,1,1161.3335423469543,698.1,556.8813,2229.615400101737,0.0,646,0.06085413694381714,0.0092809675
0.10576444,805329,0.10576444,6.903731,1,1165.9420392513275,717.175,571.0374,2304.075787671307,0.0,647,-0.09461164474487305,0.012982545
0.10482777,807204,0.10482777,6.8789496,1,1170.6348295211792,721.775,574.5578,2320.634989265735,0.0,648,0.8822409063577652,0.012178944
0.106367156,809430,0.106367156,6.8575444,1,1175.2262644767761,715.325,570.00323,2299.433773921305,0.0,649,0.6577573716640472,0.012346676
0.100672685,812430,0.100672685,6.836547,1,1179.7158706188202,715.325,568.71466,2299.3157473209017,0.0,650,-0.011291146278381348,0.00976382
0.083894536,815430,0.083894536,6.885728,1,1184.2464842796326,715.325,567.6882,2294.4221304991574,0.0,651,0.019056379795074463,0.012082089
0.08845563,820671,0.08845563,6.9128585,2,1188.8220899105072,718.1,568.83136,2313.8445729854348,0.0,653,0.5166628360748291,0.009946195
0.11325075,823605,0.11325075,6.919498,1,1193.3886218070984,722.45,571.8613,2328.0440266515316,0.0,654,0.6415182948112488,0.009917138
0.10150498,828102,0.10150498,6.9265704,2,1197.8879261016846,730.55,575.1422,2350.9792490172763,0.0,656,0.6894953548908234,0.010266689
0.08692975,829572,0.08692975,6.9402895,1,1202.4677402973175,717.8,565.6104,2301.0536317277592,0.0,657,0.7528211772441864,0.013645958
0.08881162,832572,0.08881162,6.921024,1,1207.0472736358643,719.15,565.39606,2312.949722769612,0.0,658,0.09284764528274536,0.010443854
0.11264552,834381,0.11264552,6.921448,1,1211.6029119491577,719.925,566.3703,2316.939166503026,0.0,659,0.9535567983984947,0.011263012
0.0757977,837381,0.0757977,6.903258,1,1216.2204940319061,730.1,572.77386,2348.3325275696398,0.0,660,0.023167073726654053,0.0101440195
0.100235485,840420,0.100235485,6.929933,2,1220.8012263774872,744.2,584.1243,2403.3897452376186,0.0,662,0.9386300668120384,0.011140125
0.13392094,841920,0.13392094,6.952211,1,1225.3964412212372,731.7,573.87695,2366.6874240546667,0.0,663,0.9350271373987198,0.010979561
0.107587606,843849,0.107587606,6.9586935,1,1229.9166808128357,742.95,581.97174,2410.7384603793294,0.0,664,0.9562295004725456,0.010794715
0.11683161,846264,0.11683161,6.90541,1,1234.5459384918213,738.075,577.0277,2397.3837183577525,0.0,665,0.8657525479793549,0.009958774
0.07953994,849264,0.07953994,6.9044175,1,1239.0587840080261,743.825,580.65173,2412.0504007240365,0.0,666,0.020701944828033447,0.0128921615
0.10750981,852264,0.10750981,6.8527265,1,1243.6535277366638,751.3,585.431,2438.771421338097,0.0,667,-0.012944817543029785,0.010061992
0.087929204,856125,0.087929204,6.839647,2,1248.300189256668,753.25,585.3986,2424.6167548381045,0.0,669,0.6420308947563171,0.010442253
0.10362379,859125,0.10362379,6.8190346,1,1252.925045490265,772.025,598.5949,2474.123489396113,0.0,670,-0.5033078193664551,0.011394214
0.08708113,862125,0.08708113,6.824599,1,1257.4916129112244,772.025,598.013,2473.6253721281637,0.0,671,-0.04230856895446777,0.009115642
0.106919296,865125,0.106919296,6.8547797,1,1262.0894231796265,772.025,597.2956,2475.9500489376805,0.0,672,-0.0055915117263793945,0.01134339
0.08483681,868125,0.08483681,6.8856206,1,1266.6493804454803,772.025,595.89734,2483.1108650703945,0.0,673,-0.008614301681518555,0.010220317
0.10727964,873396,0.10727964,6.901672,2,1271.2551419734955,768.55,590.42267,2452.9450445384637,0.0,675,0.4154071807861328,0.011664116
0.080074966,876396,0.080074966,6.936825,1,1275.7731838226318,768.55,592.2518,2450.9878037127564,0.0,676,-0.007216453552246094,0.011132365
0.07216367,879396,0.07216367,6.934492,1,1280.3128859996796,774.075,595.0872,2470.3991870645405,0.0,677,0.06356346607208252,0.010892667
0.096164435,880911,0.096164435,6.997786,1,1284.8827226161957,781.475,601.5136,2497.127977078718,0.0,678,0.8305489867925644,0.009449162
0.11757927,883026,0.11757927,6.975812,2,1289.4230647087097,772.675,595.53107,2458.5031627742437,0.0,680,0.8309953212738037,0.010905433
0.110383704,887112,0.110383704,6.9353495,2,1294.0765764713287,786.875,607.0614,2504.5339217807837,0.0,682,0.6318321824073792,0.011504568
0.09696442,892425,0.09696442,6.9479985,2,1298.6766333580017,800.8,619.56055,2552.190009200473,0.0,684,0.5412977337837219,0.009787245
0.09036487,895425,0.09036487,6.9551864,1,1303.242279291153,800.8,619.7814,2552.586700657521,0.0,685,0.0028611421585083008,0.012000167
0.09005349,898425,0.09005349,6.955506,1,1307.7847208976746,800.8,618.63995,2542.6414600280686,0.0,686,0.28571516275405884,0.014126074
0.08435941,901425,0.08435941,6.9563,1,1312.4009218215942,800.8,618.79407,2539.7404641404637,0.0,687,-0.00338900089263916,0.0110684
0.08948293,906945,0.08948293,6.918213,2,1316.9271018505096,812.625,626.94904,2585.895464596495,0.0,689,0.7314837872982025,0.009682482
0.09930185,909486,0.09930185,6.9419727,2,1321.4361453056335,783.8,607.14124,2491.1218408506893,0.0,691,0.8731053024530411,0.010065227
0.08242725,912486,0.08242725,6.9257812,1,1326.040818452835,783.8,606.2352,2492.8337799592764,0.0,692,0.060717880725860596,0.011761417
0.0896953,915486,0.0896953,6.912428,1,1330.5976629257202,790.125,611.2672,2509.3444562091677,0.0,693,0.10283935070037842,0.010580951
0.08740264,918486,0.08740264,6.9182124,1,1335.1674361228943,790.675,610.4972,2506.902103134625,0.0,694,-0.012795567512512207,0.010086456
0.1237242,919908,0.1237242,6.922804,1,1339.6730680465698,777.525,598.8908,2442.677069216964,0.0,695,0.8839263916015625,0.011748581
0.11085902,922587,0.11085902,6.948974,1,1344.1794693470001,787.375,606.3907,2481.8370781818035,0.0,696,0.9043554067611694,0.011291422
0.09866357,925587,0.09866357,6.95677,1,1348.66938996315,800.125,616.0654,2530.4873682591287,0.0,697,0.610403448343277,0.010637032
0.08101478,928587,0.08101478,6.948167,1,1353.3334596157074,800.125,616.712,2526.1508017306705,0.0,698,0.08004939556121826,0.010099012
0.12079871,931083,0.12079871,6.945312,1,1357.8700304031372,805.85,620.4705,2541.9819289366933,0.0,699,0.8890125304460526,0.011796592
0.097101085,934077,0.097101085,6.9581923,1,1362.3185563087463,805.8,621.1217,2536.576764237298,0.0,700,0.723802775144577,0.009534614
0.11003892,937152,0.11003892,6.921635,2,1366.8338632583618,806.1,620.0708,2539.0858951511455,0.0,702,0.9054009392857552,0.011239836
0.08924381,940152,0.08924381,6.9231095,1,1371.3176498413086,818.6,628.74915,2585.012810211537,0.0,703,-0.012065887451171875,0.009608846
0.11114521,942495,0.11114521,6.915911,2,1375.8933792114258,801.925,617.4803,2518.708163315104,0.0,705,0.9033757001161575,0.0100224335
0.10793625,945945,0.10793625,6.9098344,2,1380.4340469837189,780.675,599.7025,2446.217093477004,0.0,707,0.45710957050323486,0.010358018
0.09348526,948945,0.09348526,6.921644,1,1385.0492208003998,780.675,598.42957,2450.126155843434,0.0,708,0.05389326810836792,0.010546584
0.10172418,954222,0.10172418,6.951656,2,1389.5950016975403,792.475,609.4473,2524.682134353551,0.0,710,0.3587260842323303,0.012040235
0.0892516,957222,0.0892516,6.9649615,1,1394.1684501171112,792.475,608.4435,2530.6324302500207,0.0,711,0.1988343596458435,0.012066189
0.09999108,960222,0.09999108,6.91786,1,1398.710207939148,792.475,607.8952,2523.1916314357354,0.0,712,-0.03813445568084717,0.013093973
0.09643745,963222,0.09643745,6.910771,1,1403.248878479004,792.475,608.1252,2516.1647148304864,0.0,713,-0.07233309745788574,0.011391364
0.08787483,966222,0.08787483,6.9130206,1,1407.8013370037079,792.475,607.8905,2521.1415010124024,0.0,714,0.08658850193023682,0.0109771695
0.11315155,969444,0.11315155,6.8958097,3,1412.2875699996948,750.4,575.0687,2384.679692981591,0.0,717,0.8724586367607117,0.011268757
0.07281028,972444,0.07281028,6.9064283,1,1416.4549751281738,762.775,583.1605,2424.0768495288185,0.0,718,0.23901039361953735,0.0097188
0.07839973,975444,0.07839973,6.9472485,1,1420.537197113037,778.375,592.8649,2476.593205440377,0.0,719,0.03191173076629639,0.010887411
0.09500532,978444,0.09500532,6.947513,1,1424.5744524002075,795.15,606.41846,2536.534933220016,0.0,720,-0.04415559768676758,0.014599141
0.101774946,983364,0.101774946,6.917678,3,1428.3729271888733,777.1,589.89264,2476.712580814128,0.0,723,0.7764053344726562,0.0108836405
0.10848182,986955,0.10848182,6.9139543,2,1432.199869632721,762.75,577.1802,2422.4127827814373,0.0,725,0.43638354539871216,0.01200294
0.088627815,989955,0.088627815,6.9432387,1,1435.942494392395,762.75,577.1294,2421.3871939211836,0.0,726,0.07078206539154053,0.0115257455
0.080081396,992955,0.080081396,6.960445,1,1439.65034365654,762.75,578.4539,2426.4342217872254,0.0,727,-0.0871744155883789,0.00910223
0.08448909,997428,0.08448909,6.9493423,2,1443.210680961609,754.025,572.45886,2398.9031387236655,0.0,729,0.7260892391204834,0.012512214
0.08440387,1000428,0.08440387,6.931762,1,1446.6978754997253,771.275,585.04803,2456.8198451488297,0.0,730,-0.030559539794921875,0.009914767
