ev_tdlam_before,EpTrueRewMean,EpLenMean,meankl,EpisodesSoFar,TimeElapsed,TimestepsSoFar,EpRewMean,entloss,EpThisIter,optimgain,surrgain,entropy
-0.004351377487182617,20.775,20.775,0.008811548,47,9.96207046508789,1009,14.241681,0.0,47,0.017082786,0.017082786,0.68415785
0.022362112998962402,27.65,27.65,0.008002821,83,14.592515230178833,2040,17.81573,0.0,36,0.020571854,0.020571854,0.6642426
0.019101619720458984,33.0,33.0,0.0084085865,111,19.643508911132812,3069,19.975185,0.0,28,0.014165048,0.014165048,0.63425833
-0.06659197807312012,46.25,46.25,0.008267977,129,24.432371854782104,4084,27.43299,0.0,18,0.019227529,0.019227529,0.6167008
0.3052285313606262,63.55,63.55,0.00780912,140,29.23879098892212,5109,37.741917,0.0,11,0.014510905,0.014510905,0.5959861
0.48261749744415283,80.6,80.6,0.009324102,149,34.091904640197754,6130,45.979885,0.0,9,0.01712605,0.01712605,0.59772444
0.40493977069854736,97.525,97.525,0.00910002,155,38.726200103759766,7143,59.37738,0.0,6,0.011800915,0.011800915,0.5956074
0.27120041847229004,117.425,117.425,0.008842274,161,43.44606065750122,8104,71.56157,0.0,6,0.006804514,0.006804514,0.5813018
0.4038776159286499,125.3,125.3,0.007207446,168,48.64887356758118,9067,80.37492,0.0,7,0.011664475,0.011664475,0.5473312
0.0676569938659668,139.7,139.7,0.0058628675,174,53.61591577529907,10081,104.87057,0.0,6,0.01081399,0.01081399,0.5298765
0.008611738681793213,153.675,153.675,0.00614738,180,57.66457152366638,11256,128.72299,0.0,6,0.008034388,0.008034388,0.5810808
0.008190572261810303,159.8,159.8,0.008737164,186,62.04856538772583,12234,144.68391,0.0,6,0.011569736,0.011569736,0.53766435
-0.0015134811401367188,169.175,169.175,0.005548234,191,66.46699690818787,13234,153.82246,0.0,5,0.0073523205,0.0073523205,0.59174895
-0.018115758895874023,171.6,171.6,0.007704283,197,71.00583028793335,14332,154.59631,0.0,6,0.013459867,0.013459867,0.5687597
0.7544352859258652,172.7,172.7,0.0053966315,202,74.9353859424591,15212,157.6695,0.0,5,0.015704904,0.015704904,0.54654455
0.4662511944770813,182.8,182.8,0.0025486655,208,79.24367690086365,16379,159.13242,0.0,6,0.006287176,0.006287176,0.56247014
0.46935468912124634,186.25,186.25,0.008966423,213,84.17505669593811,17331,153.42697,0.0,5,0.015080134,0.015080134,0.5591022
0.3163590431213379,186.4,186.4,0.0070175044,218,88.79960942268372,18312,139.64053,0.0,5,0.006883334,0.006883334,0.5543976
0.18803346157073975,191.2,191.2,0.0074469643,223,93.3479676246643,19312,134.77646,0.0,5,0.007932851,0.007932851,0.54285026
0.13933312892913818,191.95,191.95,0.008584518,228,97.99023294448853,20312,128.67657,0.0,5,0.013151646,0.013151646,0.51479864
-0.012842178344726562,192.75,192.75,0.0071206167,233,102.60063147544861,21312,127.1616,0.0,5,0.0103141945,0.0103141945,0.57434225
0.22561019659042358,194.3,194.3,0.0060887956,239,107.67812490463257,22485,129.67451,0.0,6,0.012628099,0.012628099,0.5369854
0.37946832180023193,197.35,197.35,0.008831627,244,113.10726571083069,23485,133.57462,0.0,5,0.01486884,0.01486884,0.5515468
0.5175819993019104,197.925,197.925,0.0039249477,249,117.63434934616089,24485,131.48161,0.0,5,0.0055879457,0.0055879457,0.5672772
0.11438530683517456,198.85,198.85,0.0073930086,254,122.06275916099548,25485,131.27621,0.0,5,0.008608377,0.008608377,0.57109517
0.49185651540756226,199.0,199.0,0.0068490724,259,126.97399568557739,26472,134.81331,0.0,5,0.0063948133,0.0063948133,0.5580747
0.7581797391176224,199.0,199.0,0.008144931,264,132.20708990097046,27472,135.478,0.0,5,0.01064869,0.01064869,0.601208
0.5725410282611847,196.025,196.025,0.007951183,270,136.8738443851471,28553,137.33713,0.0,6,0.010756156,0.010756156,0.5853822
0.36102986335754395,196.025,196.025,0.007532309,275,142.11066937446594,29553,137.8737,0.0,5,0.0076002697,0.0076002697,0.57129264
0.6350245773792267,194.5,194.5,0.0035876243,281,146.50539922714233,30665,138.74417,0.0,6,0.008977206,0.008977206,0.56125605
0.32534897327423096,194.5,194.5,0.009022179,286,150.88975405693054,31665,140.66293,0.0,5,0.0073796255,0.0073796255,0.5759193
0.456978440284729,194.5,194.5,0.0095816795,291,155.97323942184448,32665,143.27734,0.0,5,0.010609774,0.010609774,0.61765593
0.5326545536518097,194.5,194.5,0.009482382,296,160.70194554328918,33665,142.7376,0.0,5,0.01214296,0.01214296,0.5933166
0.14614486694335938,194.825,194.825,0.007737579,301,165.33684825897217,34665,137.70065,0.0,5,0.0075134663,0.0075134663,0.5885096
0.13990521430969238,196.15,196.15,0.009769203,306,169.98693108558655,35665,134.60161,0.0,5,0.0068297293,0.0068297293,0.6249076
-0.017039060592651367,185.825,185.825,0.007820403,314,174.78247356414795,36786,120.75139,0.0,8,0.012718892,0.012718892,0.53718615
-0.17997848987579346,187.725,187.725,0.009320964,319,179.76944971084595,37786,116.78591,0.0,5,0.0072589596,0.0072589596,0.577668
0.16248351335525513,188.025,188.025,0.008057188,324,184.68510699272156,38786,113.558205,0.0,5,0.0070818337,0.0070818337,0.5842601
0.35120534896850586,187.525,187.525,0.0075860266,329,189.22176718711853,39766,111.4092,0.0,5,0.013497541,0.013497541,0.5418398
0.12408250570297241,182.575,182.575,0.0050910683,335,194.2575168609619,40768,105.70361,0.0,6,0.0063421703,0.0063421703,0.5308389
0.20036065578460693,177.9,177.9,0.0065051736,342,198.50656008720398,41981,99.93788,0.0,7,0.009651372,0.009651372,0.53905416
