TimeElapsed,entropy,EpisodesSoFar,entloss,EpLenMean,TimestepsSoFar,ev_tdlam_before,optimgain,meankl,EpThisIter,EpTrueRewMean,surrgain,EpRewMean
471.2453701496124,3.9027708,206,0.0,840.55,352017,0.35854047536849976,0.07182002,0.008160852,2,878.9874721691834,0.07182002,623.96606
475.39504075050354,3.9062514,207,0.0,860.825,355017,0.21099966764450073,0.06098209,0.008839987,1,899.4056904810604,0.06098209,638.5255
479.5490107536316,3.9001784,210,0.0,855.725,358347,0.2795422673225403,0.061054837,0.008427497,3,893.4558451610667,0.061054837,632.8912
483.7441236972809,3.902923,211,0.0,855.725,361347,-0.006642341613769531,0.052264825,0.0067588226,1,894.1488454505318,0.052264825,633.275
487.9043266773224,3.8976436,212,0.0,855.725,364347,-0.3721083402633667,0.07660268,0.008164786,1,895.1867822075477,0.07660268,634.3644
492.12358832359314,3.8961484,214,0.0,840.7,368544,0.16662633419036865,0.07127735,0.008550663,2,881.1457699582203,0.07127735,623.9873
496.26539373397827,3.8986492,215,0.0,829.175,370161,0.6933294832706451,0.081868544,0.008049611,1,870.0954540160765,0.081868544,615.2588
500.4201099872589,3.884346,217,0.0,819.3,374976,0.7508963793516159,0.04911432,0.008731684,2,858.51219138811,0.04911432,607.6322
504.6679689884186,3.8865116,218,0.0,819.3,377976,-0.10353505611419678,0.0478152,0.008287034,1,859.3484957110179,0.0478152,607.32263
508.85143280029297,3.885582,219,0.0,830.275,380976,-0.007555961608886719,0.04644105,0.008404822,1,868.4926726619639,0.04644105,614.1574
512.9311850070953,3.8789003,220,0.0,830.275,383976,-0.011179924011230469,0.06294656,0.009960277,1,869.4483781080396,0.06294656,613.202
517.1477055549622,3.903052,221,0.0,836.45,386976,0.8901806399226189,0.047463633,0.008084683,1,873.0588576212134,0.047463633,616.4696
521.431254863739,3.9311905,222,0.0,852.6,389976,-0.0070618391036987305,0.04189993,0.00800823,1,888.7442037259731,0.04189993,626.49744
525.7778680324554,3.9401321,224,0.0,868.5,393150,0.07407945394515991,0.056901768,0.008466222,2,902.2870114582192,0.056901768,633.3926
529.9380958080292,3.9394245,225,0.0,868.5,396150,0.721114844083786,0.07068931,0.009307836,1,903.1941203493577,0.07068931,634.1644
534.152560710907,3.9602032,226,0.0,868.5,399150,-0.009380817413330078,0.05778943,0.010922523,1,902.6609019522002,0.05778943,634.129
538.3705148696899,3.9697032,227,0.0,867.625,402045,0.042365849018096924,0.04803553,0.00813969,1,904.5337014394551,0.04803553,633.8245
542.6034941673279,3.966978,228,0.0,867.625,405045,0.0011156797409057617,0.053149804,0.008728855,1,905.4869748346786,0.053149804,633.38617
546.8713037967682,3.9583986,229,0.0,880.525,408045,-0.05274498462677002,0.05120389,0.007912783,1,918.4450311656612,0.05120389,640.65894
551.1269989013672,3.9237056,230,0.0,880.525,411045,-0.01941049098968506,0.050270855,0.0067954333,1,917.6902147618184,0.050270855,640.0763
555.3898706436157,3.9123306,231,0.0,883.15,414045,-0.0011748075485229492,0.0496163,0.008817482,1,919.2738622874392,0.0496163,641.1221
559.635294675827,3.903688,232,0.0,884.4,417045,-0.006852149963378906,0.04150246,0.0074931434,1,920.9048840916463,0.04150246,641.1556
563.8649604320526,3.897858,233,0.0,884.4,420045,0.0003339052200317383,0.04268586,0.009036109,1,920.9704679825242,0.04268586,641.01685
568.0457804203033,3.8970108,236,0.0,829.0,422397,0.7881040424108505,0.08160815,0.008613967,3,869.7056002859033,0.08160815,605.12585
572.2098541259766,3.9057677,237,0.0,829.0,425397,-0.0029878616333007812,0.04921101,0.008062275,1,871.2086278025566,0.04921101,605.2281
576.4529440402985,3.9137342,238,0.0,829.0,428397,-0.0013644695281982422,0.04602641,0.0087522445,1,871.698841877577,0.04602641,605.5354
580.6202471256256,3.9256597,239,0.0,829.0,431397,0.00021827220916748047,0.060981117,0.0076160617,1,873.1554075786742,0.060981117,605.6583
584.846001625061,3.9114916,240,0.0,813.05,432483,0.8339321464300156,0.11918722,0.009259822,1,857.5875654811647,0.11918722,596.9308
589.042112827301,3.9059677,241,0.0,813.05,435483,-0.005647897720336914,0.046997912,0.008717187,1,858.4568852982441,0.046997912,597.2261
593.3153827190399,3.9090288,242,0.0,813.05,438483,-0.028795957565307617,0.05402238,0.009544393,1,859.0813388692953,0.05402238,596.92645
597.5711839199066,3.8928225,243,0.0,813.05,441483,-0.04900312423706055,0.0516311,0.008667195,1,861.6586585061017,0.0516311,597.4414
601.7594854831696,3.8966749,244,0.0,813.05,444483,0.08387488126754761,0.06785117,0.007723758,1,859.8099846570989,0.06785117,596.8337
606.0849196910858,3.8876019,245,0.0,813.05,447483,-0.025113582611083984,0.05505767,0.0090953,1,860.4058057646387,0.05505767,596.5044
610.3485791683197,3.8865433,247,0.0,799.025,450900,0.5231869518756866,0.06295642,0.0076262145,2,846.3401579668807,0.06295642,585.13617
614.648220539093,3.8708797,248,0.0,799.025,453900,0.02799755334854126,0.059783645,0.010629264,1,847.6549796747635,0.059783645,584.996
618.9196946620941,3.859154,250,0.0,832.15,458205,0.16458380222320557,0.06051594,0.010166647,2,880.5750638723044,0.06051594,607.6659
623.1941831111908,3.8460023,251,0.0,832.15,461205,-0.06383943557739258,0.046840712,0.008490165,1,881.3116661366154,0.046840712,607.228
627.4447326660156,3.84118,252,0.0,832.15,464205,0.03415870666503906,0.049110144,0.009824749,1,880.9558736765296,0.049110144,605.8767
631.7223863601685,3.8367,253,0.0,832.15,467205,0.012342989444732666,0.060075246,0.008768624,1,882.6533437006829,0.060075246,606.1046
635.9306893348694,3.8342977,254,0.0,847.175,470205,0.007447957992553711,0.042097878,0.0073077553,1,898.3126675702739,0.042097878,615.9098
640.1357159614563,3.8402104,255,0.0,858.7,473205,-0.021296262741088867,0.0446586,0.007499185,1,910.4606757176109,0.0446586,623.6
644.315746307373,3.8478389,256,0.0,858.7,476205,-0.14176785945892334,0.048189286,0.008498445,1,911.088700272578,0.048189286,623.7082
648.4919710159302,3.8342571,257,0.0,868.575,479205,-0.0024039745330810547,0.051511258,0.00982148,1,924.1175671970863,0.051511258,630.8657
652.7274060249329,3.849365,258,0.0,868.575,482205,-0.008826851844787598,0.048874788,0.008005331,1,923.8230223175569,0.048874788,630.8548
