entloss,optimgain,EpTrueRewMean,meankl,TimestepsSoFar,EpRewMean,ev_tdlam_before,surrgain,EpThisIter,EpisodesSoFar,TimeElapsed,EpLenMean,entropy
0.0,0.014088775,191.85,0.0074867886,754557,81.84141,0.1226198673248291,0.014088775,6,3958,3679.760256052017,191.85,0.5083447
0.0,0.024095828,190.1,0.009708655,755687,89.21277,-0.13486909866333008,0.024095828,6,3964,3684.731884241104,190.1,0.54001
0.0,0.011398712,184.8,0.008140523,756675,94.174965,0.0775153636932373,0.011398712,6,3970,3689.8573956489563,184.8,0.52588886
0.0,0.009023003,186.45,0.007953771,757635,110.326004,0.11001461744308472,0.009023003,5,3975,3695.6713700294495,186.45,0.53760546
0.0,0.017047677,174.425,0.0061727515,758754,144.5666,0.04480421543121338,0.017047677,8,3983,3700.736436843872,174.425,0.51117486
0.0,0.008583901,177.175,0.0067477417,759754,169.63579,0.007406651973724365,0.008583901,5,3988,3705.54855799675,177.175,0.53938603
0.0,0.014599277,169.775,0.0077130166,760813,199.8041,0.1532536745071411,0.014599277,7,3995,3711.0590822696686,169.775,0.5397002
0.0,0.024767729,164.75,0.007480031,761747,220.91724,0.24859493970870972,0.024767729,6,4001,3716.1159427165985,164.75,0.53248054
0.0,0.024961315,160.225,0.009238463,762860,247.42094,0.36235880851745605,0.024961315,7,4008,3721.6445529460907,160.225,0.5129005
0.0,0.015284673,159.1,0.006922683,763839,254.20126,0.3664952516555786,0.015284673,6,4014,3727.2749688625336,159.1,0.5092808
0.0,0.017670311,163.925,0.0048521813,764819,249.1713,0.6991895735263824,0.017670311,5,4019,3732.1918847560883,163.925,0.51020527
0.0,0.013850011,164.825,0.006065973,765947,227.92758,0.6220320761203766,0.013850011,7,4026,3737.876100063324,164.825,0.52766126
0.0,0.014195129,167.025,0.0061481986,766880,216.976,0.6501307785511017,0.014195129,5,4031,3742.0935525894165,167.025,0.53891027
0.0,0.017233916,173.55,0.009301808,767986,200.37961,0.7322548925876617,0.017233916,6,4037,3746.763726234436,173.55,0.5137739
0.0,0.010592369,175.975,0.007362273,768986,179.14243,0.7492665648460388,0.010592369,5,4042,3752.5381603240967,175.975,0.52053475
0.0,0.0092996,183.15,0.0071363514,769986,172.94925,0.5535350441932678,0.0092996,5,4047,3757.826749563217,183.15,0.502923
0.0,0.011016937,185.775,0.006775558,770986,162.3334,0.4763774275779724,0.011016937,5,4052,3763.1196212768555,185.775,0.47007406
0.0,0.010905593,189.175,0.0062955283,771986,156.61577,0.42984527349472046,0.010905593,5,4057,3768.2161185741425,189.175,0.46422213
0.0,0.0060031572,191.55,0.006171939,772986,153.81572,0.6829245984554291,0.0060031572,5,4062,3773.4761719703674,191.55,0.47076172
0.0,0.0117040165,197.275,0.0074826605,773986,154.20895,0.7854401767253876,0.0117040165,5,4067,3777.815170288086,197.275,0.474851
0.0,0.01211186,199.075,0.008581806,774986,151.30272,0.6072463095188141,0.01211186,5,4072,3783.0080757141113,199.075,0.46823105
0.0,0.00805321,200.0,0.0064504975,776186,147.29434,0.49596107006073,0.00805321,6,4078,3788.526289463043,200.0,0.4943158
0.0,0.018516107,200.0,0.00785857,777186,140.15323,0.561273455619812,0.018516107,5,4083,3793.021236181259,200.0,0.47022098
0.0,0.0042617456,200.0,0.00475775,778186,130.72617,0.5598094463348389,0.0042617456,5,4088,3798.6671409606934,200.0,0.4742328
0.0,0.009139214,200.0,0.008235756,779186,124.7148,0.6177758872509003,0.009139214,5,4093,3803.199376344681,200.0,0.49255192
0.0,0.0075183194,200.0,0.0069150464,780186,118.82683,0.5130751132965088,0.0075183194,5,4098,3807.716621875763,200.0,0.49517587
0.0,0.004171655,200.0,0.0055608563,781186,114.50966,0.36509400606155396,0.004171655,5,4103,3812.907044172287,200.0,0.50892967
0.0,0.008622024,200.0,0.0049122297,782186,109.26552,0.32779330015182495,0.008622024,5,4108,3818.3465530872345,200.0,0.49422634
0.0,0.015414063,200.0,0.008090188,783186,105.103676,0.34977924823760986,0.015414063,5,4113,3823.20468378067,200.0,0.5189074
0.0,0.011109737,200.0,0.009191254,784186,100.799034,0.3040469288825989,0.011109737,5,4118,3828.12243103981,200.0,0.52157056
0.0,0.0060999664,200.0,0.009539751,785386,99.880005,0.17632132768630981,0.0060999664,6,4124,3832.445556640625,200.0,0.5356142
0.0,0.0069175586,200.0,0.005893911,786386,98.78645,0.21544867753982544,0.0069175586,5,4129,3837.4132072925568,200.0,0.48287335
0.0,0.009354515,200.0,0.00835075,787386,95.1697,0.11498624086380005,0.009354515,5,4134,3842.513881444931,200.0,0.5020358
0.0,0.007727194,200.0,0.0063512227,788386,95.77439,0.07068181037902832,0.007727194,5,4139,3847.9367439746857,200.0,0.5093732
0.0,0.007057174,200.0,0.0064413743,789386,101.62639,0.016474008560180664,0.007057174,5,4144,3852.537176847458,200.0,0.49305248
0.0,0.012065661,200.0,0.006822553,790386,116.57241,-0.0009704828262329102,0.012065661,5,4149,3857.965733528137,200.0,0.54603523
0.0,0.01214258,200.0,0.0050109215,791386,127.66105,0.09222078323364258,0.01214258,5,4154,3862.8829803466797,200.0,0.54083014
0.0,0.0110804,198.35,0.0051931636,792520,139.96071,0.3384820818901062,0.0110804,6,4160,3868.030755996704,198.35,0.54754484
0.0,0.00922925,196.975,0.0066315406,793465,149.19853,0.4803040027618408,0.00922925,5,4165,3872.9769117832184,196.975,0.53046274
0.0,0.012869362,196.275,0.0068277367,794437,162.05774,0.5118995308876038,0.012869362,5,4170,3877.9336297512054,196.275,0.5317479
0.0,0.014401745,196.275,0.008314241,795637,173.59038,0.6023034453392029,0.014401745,6,4176,3882.748548746109,196.275,0.52103174
