meankl,entropy,EpisodesSoFar,ev_tdlam_before,optimgain,entloss,EpLenMean,EpRewMean,surrgain,TimeElapsed,EpTrueRewMean,TimestepsSoFar,EpThisIter
0.014709797,23.05729,2992,0.8225139230489731,0.29499018,0.0,100.725,66.8994,0.29499018,1541.294870376587,510.744865649225,721110,9
0.004576343,23.057127,3002,0.8595912456512451,0.17509136,0.0,102.15,68.61283,0.17509136,1547.9085381031036,521.8539433295597,724143,10
0.0041561592,23.05298,3011,0.8871930316090584,0.17354056,0.0,102.475,68.70459,0.17354056,1554.389860868454,525.1626195803776,727053,9
0.0037764,23.054205,3020,0.8825319558382034,0.16482598,0.0,107.225,70.98103,0.16482598,1561.0886752605438,553.9015667854211,730263,9
0.0039300914,23.053627,3029,0.826637864112854,0.15947673,0.0,112.175,76.00734,0.15947673,1567.7014632225037,580.5046862516376,733614,9
0.003934881,23.05021,3039,0.796502560377121,0.15348922,0.0,113.525,75.585945,0.15348922,1574.298815727234,588.8010928873019,736788,10
0.0039060381,23.05713,3049,0.8393950462341309,0.17099275,0.0,112.9,75.02836,0.17099275,1580.9886605739594,584.1489395728449,739941,10
0.0147716105,23.057123,3058,0.8887551799416542,0.33323744,0.0,112.075,74.84149,0.33323744,1587.5436162948608,574.4399081797352,743064,9
0.0143279955,23.055666,3068,0.840024471282959,0.310253,0.0,107.475,72.21285,0.310253,1594.2381665706635,549.9990265143799,746148,10
0.0142322285,23.0506,3077,0.8377011865377426,0.25904307,0.0,107.8,73.38722,0.25904307,1600.9650931358337,547.0017775517265,749247,9
0.0040688575,23.046791,3088,0.8598578870296478,0.15853581,0.0,105.025,73.04607,0.15853581,1607.6695098876953,528.9550997320536,752298,11
0.003810521,23.045574,3099,0.8403478115797043,0.15586898,0.0,100.575,71.04777,0.15586898,1614.3872137069702,507.9657296291208,755487,11
0.0041692397,23.043455,3109,0.807521179318428,0.15605229,0.0,102.475,72.22133,0.15605229,1620.9931468963623,517.4833552168849,758724,10
0.0147505365,23.040447,3119,0.8668047785758972,0.26886332,0.0,98.325,67.63197,0.26886332,1627.6407899856567,498.3867178347185,761475,10
0.0038130763,23.040117,3129,0.868808388710022,0.13729605,0.0,98.25,66.29783,0.13729605,1634.406040430069,497.4455446175536,764367,10
0.004029788,23.031744,3139,0.8705670833587646,0.15492576,0.0,100.875,68.67204,0.15492576,1640.9962093830109,508.28259143976175,767592,10
0.004029868,23.031023,3148,0.8569218069314957,0.15762986,0.0,102.0,68.5881,0.15762986,1647.7076332569122,518.003904989323,770679,9
0.013968755,23.0315,3158,0.854814425110817,0.30389476,0.0,104.525,72.24898,0.30389476,1654.366054058075,532.4407456334288,773769,10
0.014769888,23.028008,3167,0.8694308549165726,0.3112896,0.0,108.125,74.15505,0.3112896,1661.0529806613922,546.98947827226,776841,9
0.014650637,23.02588,3177,0.9109098389744759,0.2922262,0.0,107.95,74.836105,0.2922262,1667.7585361003876,549.6169567892539,779925,10
0.0038304958,23.025167,3187,0.8569940626621246,0.15323868,0.0,106.025,72.23329,0.15323868,1674.4657349586487,533.1192153807428,782976,10
0.012952218,23.03045,3196,0.88880605250597,0.2831371,0.0,104.225,69.18049,0.2831371,1681.059549331665,518.5322797339122,785697,9
0.013005738,23.026388,3205,0.8243939429521561,0.2646637,0.0,102.6,67.70415,0.2646637,1687.7389433383942,513.3936158484039,788544,9
0.0039805127,23.027178,3215,0.8867988288402557,0.18518308,0.0,100.9,66.44313,0.18518308,1694.476634502411,508.3193823161813,791436,10
0.014453317,23.028803,3225,0.8774655312299728,0.31273216,0.0,101.275,68.26758,0.31273216,1701.1893830299377,512.0035084032166,794529,10
0.003800711,23.027838,3235,0.8827011808753014,0.14492495,0.0,100.525,66.726685,0.14492495,1707.8222966194153,509.84507408404806,797478,10
0.0037975465,23.027998,3246,0.900990292429924,0.14665571,0.0,98.775,64.57732,0.14665571,1714.5353693962097,503.54166525854237,800652,11
0.014667658,23.026434,3257,0.8862653821706772,0.29488152,0.0,97.9,64.79842,0.29488152,1721.1402082443237,498.8356667135302,803787,11
0.0038144952,23.02637,3267,0.8488451093435287,0.15863508,0.0,96.85,64.75307,0.15863508,1727.793979883194,491.0996379471758,806709,10
0.013720753,23.025629,3277,0.8825772926211357,0.31867987,0.0,95.55,64.36967,0.31867987,1734.4619722366333,481.6697925953813,809727,10
0.014788118,23.024176,3286,0.8509974330663681,0.34785628,0.0,100.9,70.16358,0.34785628,1741.0250658988953,508.45226633446373,812760,9
0.0039748373,23.023932,3296,0.9149346277117729,0.15193562,0.0,101.975,69.904175,0.15193562,1747.7090170383453,513.0100632453572,815730,10
0.014800386,23.021904,3308,0.8619877845048904,0.3300568,0.0,98.65,67.07993,0.3300568,1754.1621096134186,495.6406313355441,818889,12
0.003989842,23.021547,3317,0.8374262154102325,0.15623754,0.0,102.625,69.83327,0.15623754,1760.8333039283752,519.6841428461664,822042,9
0.013371561,23.01986,3327,0.8540968596935272,0.31873667,0.0,101.725,67.96834,0.31873667,1767.4802603721619,513.1463315823075,825309,10
0.003892822,23.020258,3337,0.89561877399683,0.15347794,0.0,103.475,68.330894,0.15347794,1774.1436326503754,518.1147476440843,828489,10
0.014771467,23.02435,3347,0.8845921158790588,0.31721982,0.0,109.3,72.3139,0.31721982,1780.9235298633575,543.9599621884574,831705,10
0.013788398,23.021261,3356,0.8172402381896973,0.31652614,0.0,108.375,71.05566,0.31652614,1787.5633413791656,540.6853913570261,834654,9
0.0040488653,23.01829,3365,0.8491614907979965,0.177526,0.0,107.75,70.37172,0.177526,1794.265071630478,539.3108361382976,837573,9
