surrgain,entropy,EpisodesSoFar,entloss,ev_tdlam_before,EpThisIter,TimeElapsed,EpTrueRewMean,TimestepsSoFar,optimgain,EpRewMean,meankl,EpLenMean
0.042257704,4.2393303,36,0.0,0.4373965263366699,36,28.05558967590332,29.695805649006175,3021,0.042257704,11.242317,0.0068236873,27.97222222222222
0.044479534,4.1995263,51,0.0,0.47757774591445923,15,52.888046979904175,59.81322877985131,5898,0.044479534,15.165367,0.007575056,41.125
0.04351814,4.1902213,62,0.0,0.6428195536136627,11,77.79636359214783,98.67974608885298,8910,0.04351814,20.56373,0.0071522007,58.75
0.047256123,4.16386,70,0.0,0.8448086082935333,8,103.09775447845459,139.85619373292855,12006,0.047256123,26.71166,0.0073412084,80.1
0.04261651,4.1346145,76,0.0,0.942413691431284,6,128.6418435573578,176.8703825237607,15150,0.04261651,31.4651,0.007383329,101.075
0.04352734,4.0980716,79,0.0,0.9164706021547318,3,153.2891721725464,190.2118159540154,17097,0.04352734,32.811226,0.007294583,110.65
0.041025095,4.048679,83,0.0,0.666832834482193,4,178.80681324005127,217.29643700989018,20922,0.041025095,37.255024,0.0058392524,135.7
0.03257426,4.0522275,84,0.0,0.8147369027137756,1,203.59301352500916,243.87018463664452,23922,0.03257426,41.473602,0.005477314,159.975
0.054739147,4.0103498,85,0.0,0.0561673641204834,1,228.8976616859436,252.29283403945183,25164,0.054739147,42.747643,0.005603668,168.975
0.026946042,4.013424,86,0.0,0.013652265071868896,1,253.47922563552856,277.4565144125847,28164,0.026946042,46.28752,0.0081195105,193.425
0.046200655,4.0290027,87,0.0,-0.020809292793273926,1,279.319993019104,300.710600020769,31164,0.046200655,49.322235,0.0053951563,217.125
0.024421506,4.07667,88,0.0,-0.10806441307067871,1,303.70532727241516,323.80083589792287,34164,0.024421506,51.985252,0.005977808,240.6
0.02402036,4.0918446,89,0.0,-0.038243889808654785,1,329.6693618297577,348.6579805967196,37164,0.02402036,54.69392,0.006714315,265.075
0.04092417,4.072289,91,0.0,0.09464144706726074,2,353.9524562358856,385.65467606909607,42492,0.04092417,57.56365,0.006248825,304.95
0.026226936,4.046166,92,0.0,-0.09686565399169922,1,379.26876401901245,405.31283451443824,45492,0.026226936,58.72161,0.006848101,326.725
0.025717797,4.0943904,93,0.0,-0.015506625175476074,1,403.78838992118835,425.71685802429863,48492,0.025717797,59.907646,0.0062426073,349.0
0.027122248,4.0973606,94,0.0,-0.00955510139465332,1,428.9743859767914,445.1819540505488,51492,0.027122248,60.828747,0.008158571,371.3
0.033125356,4.1120334,95,0.0,-0.004065394401550293,1,453.69525265693665,466.2694878583361,54492,0.033125356,62.08738,0.0066996296,393.975
0.029043956,4.1081004,96,0.0,0.012408792972564697,1,478.07543087005615,490.29493515743286,57492,0.029043956,63.652637,0.0044001644,417.85
0.03968428,4.0836754,97,0.0,0.7313433885574341,1,503.8178472518921,511.03219711524235,60132,0.03968428,64.93484,0.0045574,438.525
0.030795412,4.1122975,98,0.0,-0.09701550006866455,1,527.9090328216553,531.1736430607806,63132,0.030795412,65.6936,0.0066092256,460.325
0.042912304,4.061541,100,0.0,0.051018714904785156,2,553.613532781601,549.9329754124255,66351,0.042912304,66.01406,0.0060233423,482.35
0.051216483,4.0546002,101,0.0,0.20329618453979492,1,577.6240980625153,573.0761777832857,69351,0.051216483,67.099945,0.0073931543,505.1
0.03271874,4.0274334,102,0.0,-0.18470311164855957,1,603.2644205093384,596.5141712406963,72351,0.03271874,68.407974,0.0069231438,528.675
0.04388141,4.0164247,105,0.0,0.12542462348937988,3,627.7164723873138,614.4642193798469,75777,0.04388141,67.79091,0.006950937,548.95
0.03262852,3.9962828,106,0.0,-0.0254441499710083,1,653.689793586731,634.2824846412938,78777,0.03262852,68.02687,0.00630374,570.35
0.042645473,3.9992442,107,0.0,-0.023825526237487793,1,677.7016816139221,654.5602932897215,81777,0.042645473,68.5011,0.0060865283,592.425
0.0407928,4.0138125,108,0.0,0.13687288761138916,1,703.6906652450562,663.9000165077816,83532,0.0407928,68.45804,0.008384505,603.825
0.042835746,4.0217357,109,0.0,-0.03954112529754639,1,728.030846118927,681.7111812142143,86532,0.042835746,68.435074,0.007592456,624.775
0.049772482,4.0172977,111,0.0,0.10564738512039185,2,754.1169018745422,701.0904254516736,90117,0.049772482,67.955185,0.0065950453,647.925
0.037806857,4.0288677,112,0.0,0.008151233196258545,1,777.8355054855347,719.9500593625983,93117,0.037806857,68.10459,0.008203853,668.55
0.048075918,4.032331,113,0.0,0.22984641790390015,1,803.7999205589294,720.7241129671287,93930,0.048075918,67.47276,0.006270229,671.325
0.04486272,4.040556,114,0.0,-0.4391491413116455,1,828.7914941310883,737.1649833470412,96930,0.04486272,67.42494,0.0079265665,691.1
0.045194767,4.037611,115,0.0,-0.06268501281738281,1,854.2058527469635,755.82169212933,99930,0.045194767,67.572525,0.0067855883,711.525
0.09045342,4.0511303,116,0.0,-1.8192775249481201,1,878.5227098464966,773.5476534785589,102432,0.09045342,68.39256,0.00663933,727.35
0.0453541,4.059752,117,0.0,0.1764644980430603,1,904.6710648536682,791.7952691080305,105432,0.0453541,68.70174,0.0069742436,747.7
0.050651558,4.0434284,120,0.0,0.23780059814453125,3,928.9194457530975,795.0203563826086,109299,0.050651558,66.40822,0.00742896,758.725
0.056044277,4.046644,121,0.0,0.06976252794265747,1,954.9026446342468,793.087521890045,110376,0.056044277,64.54441,0.0070061474,754.95
0.060518477,4.0344815,123,0.0,0.2673213481903076,2,979.0671916007996,812.1348947594664,113652,0.060518477,64.573715,0.0064372644,772.75
0.04608726,4.035822,125,0.0,0.09391295909881592,2,1005.2915556430817,787.8364654128784,115047,0.04608726,59.183094,0.006979837,749.025
0.06637296,4.059116,128,0.0,0.7371570467948914,3,1029.7725930213928,745.6421901093531,118080,0.06637296,51.522377,0.0068246457,699.3
0.065122,4.0556445,132,0.0,0.4994819164276123,4,1055.6204137802124,692.468797876696,121881,0.065122,45.20648,0.0072681024,636.575
0.07104424,4.053244,138,0.0,0.41625386476516724,6,1079.515244960785,581.3098311818932,124995,0.07104424,36.80448,0.007927625,515.525
0.07400274,4.046255,145,0.0,0.6619089245796204,7,1105.5953669548035,509.9913298127514,128037,0.07400274,32.124634,0.0075377566,435.5
0.07513752,4.035137,151,0.0,0.36081331968307495,6,1130.1733939647675,424.4811419966409,131091,0.07513752,28.039997,0.0076097874,341.45
0.07002592,4.0343566,160,0.0,0.4030546545982361,9,1155.6759498119354,300.61839399013206,134529,0.07002592,21.897669,0.0073110308,210.25
0.055548586,4.0528984,166,0.0,0.4372924566268921,6,1179.944171667099,263.8660257819097,137733,0.055548586,20.017342,0.0072457734,171.5
0.069487914,4.0582957,174,0.0,0.600535124540329,8,1205.7960665225983,238.7582652270532,140766,0.069487914,17.071457,0.0075098453,147.425
