meankl,entropy,surrgain,EpisodesSoFar,EpLenMean,ev_tdlam_before,optimgain,EpTrueRewMean,TimestepsSoFar,TimeElapsed,entloss,EpRewMean,EpThisIter
0.0138887055,5.737245,0.17746851,1705,763.625,0.8528148829936981,0.17746851,2436.377931434622,928363,3939.7961938381195,0.0,410.30038,3
0.003823271,5.7560225,0.07527506,1706,766.975,0.9069448709487915,0.07527506,2446.132673053442,928836,3944.263982772827,0.0,411.6202,1
0.012809826,5.7887135,0.18272738,1708,760.95,0.7679771333932877,0.18272738,2432.9445256744366,929899,3948.709716320038,0.0,408.68073,2
0.004121885,5.809382,0.06164608,1709,760.95,0.06296569108963013,0.06164608,2434.191192360263,930899,3953.1381425857544,0.0,408.39154,1
0.012486214,5.770025,0.10246952,1710,762.275,-0.05460917949676514,0.10246952,2427.990909702873,931899,3957.5722019672394,0.0,407.19986,1
0.0048007527,5.80483,0.081414856,1711,753.9,0.825231522321701,0.081414856,2398.0787993293,932463,3961.9896280765533,0.0,403.09808,1
0.013967658,5.801884,0.18613516,1712,748.45,0.7623347789049149,0.18613516,2376.2880814140162,933148,3966.430324792862,0.0,399.72296,1
0.004258996,5.829345,0.07898086,1714,729.6,0.903178833425045,0.07898086,2302.3914802424138,934383,3970.8479418754578,0.0,388.1459,2
0.013123441,5.834102,0.15160283,1715,719.45,0.8507524877786636,0.15160283,2269.1732587388638,934977,3975.2923378944397,0.0,382.37762,1
0.00567194,5.8350635,0.084397264,1716,714.95,0.8148359954357147,0.084397264,2242.6114222761576,935797,3979.741906642914,0.0,379.1059,1
0.0038971633,5.8387465,0.0557411,1717,735.625,-0.16830706596374512,0.0557411,2309.7174530204675,936797,3984.216231584549,0.0,389.4258,1
0.014644083,5.87116,0.11780487,1718,730.975,0.8494676053524017,0.11780487,2301.806696946912,937479,3988.6456882953644,0.0,387.9472,1
0.0043150494,5.857162,0.070894554,1720,735.65,0.6129719614982605,0.070894554,2319.6274927906447,938883,3993.081664085388,0.0,389.39844,2
0.012909215,5.8267045,0.113889694,1722,708.1,0.8659636676311493,0.113889694,2221.905316164426,939781,3997.5271849632263,0.0,373.09155,2
0.003853162,5.8386283,0.063318186,1723,711.85,0.5565683543682098,0.063318186,2233.5285351832877,940781,4001.970580816269,0.0,377.5894,1
0.0046122624,5.800375,0.073530674,1725,710.95,0.5338189601898193,0.073530674,2239.7385071294916,942617,4006.3979268074036,0.0,379.80865,2
0.0039307578,5.78863,0.06964436,1726,726.25,0.14606600999832153,0.06964436,2293.4766464272698,943617,4010.8466024398804,0.0,388.8922,1
0.013594478,5.7755322,0.13697311,1728,697.725,0.8750704079866409,0.13697311,2200.499688976724,944320,4015.2863574028015,0.0,376.81805,2
0.01484911,5.7919316,0.15061466,1730,699.75,0.9178222566843033,0.15061466,2214.4737808406094,945759,4019.690346956253,0.0,381.11932,2
0.012331797,5.8209434,0.120373696,1731,693.025,0.8133891224861145,0.120373696,2190.2061767429154,946490,4024.1125230789185,0.0,376.51172,1
0.004303128,5.8330636,0.06104134,1732,693.025,0.6125838458538055,0.06104134,2201.5832617663336,947490,4028.563806295395,0.0,379.28033,1
0.0038742707,5.8352504,0.06706263,1733,671.85,0.8172997981309891,0.06706263,2124.284457133805,947643,4032.984563589096,0.0,366.64395,1
0.005099459,5.84318,0.10322108,1734,677.9,-0.07358348369598389,0.10322108,2145.8023433434,948643,4037.472689628601,0.0,368.92725,1
0.0037920051,5.8494067,0.06131742,1735,677.9,0.19704264402389526,0.06131742,2138.2399451251827,949643,4041.8957874774933,0.0,368.90973,1
0.005176819,5.8460736,0.07322424,1737,694.525,0.8106989115476608,0.07322424,2189.816978685416,950838,4046.3650193214417,0.0,377.31503,2
0.004236678,5.831925,0.065060765,1738,688.0,0.7971480041742325,0.065060765,2164.5929696303547,951577,4050.8169169425964,0.0,373.10797,1
0.0050377473,5.7823434,0.07573448,1740,664.5,0.8872811049222946,0.07573448,2081.879852210465,952637,4055.3001461029053,0.0,359.73077,2
0.0038591675,5.8056645,0.05200249,1741,675.8,0.01613330841064453,0.05200249,2119.494225411627,953637,4059.70868062973,0.0,365.0487,1
0.0051904162,5.7880864,0.0645076,1742,695.75,0.06439214944839478,0.0645076,2171.2784703796237,954637,4064.0939722061157,0.0,373.66058,1
0.0037940135,5.770793,0.076504774,1744,700.425,0.888348750770092,0.076504774,2198.323258194985,956189,4068.5479924678802,0.0,378.20816,2
0.013848176,5.74878,0.09863697,1745,720.65,0.05998063087463379,0.09863697,2265.3147633744816,957189,4072.9501111507416,0.0,388.69153,1
0.0039808727,5.7547593,0.07885477,1746,721.325,0.8054279685020447,0.07885477,2274.0484414667512,957689,4077.397598028183,0.0,389.77017,1
0.013529063,5.7386303,0.12220788,1747,709.45,0.8597085922956467,0.12220788,2227.838098375235,958107,4081.784224510193,0.0,383.0001,1
0.006241034,5.7270956,0.076032855,1748,727.175,0.879261814057827,0.076032855,2294.8654738134246,958986,4086.234524011612,0.0,394.5056,1
0.0038588159,5.739482,0.069168836,1750,718.575,0.5400287508964539,0.069168836,2265.43936480697,960642,4090.6986145973206,0.0,391.31003,2
0.003817037,5.744917,0.068939835,1751,724.425,0.803840383887291,0.068939835,2288.0462204741452,961440,4095.1288685798645,0.0,397.19922,1
0.013703813,5.760941,0.11584235,1753,722.05,0.812207505106926,0.11584235,2281.560608517377,962690,4099.586134433746,0.0,396.1955,2
0.0042414907,5.755411,0.05861807,1754,732.675,-0.028482675552368164,0.05861807,2328.393610312748,963690,4104.027252197266,0.0,405.23315,1
0.014467051,5.762755,0.09934254,1755,742.825,-0.0325770378112793,0.09934254,2353.1441289274226,964690,4108.474925994873,0.0,410.21222,1
0.004410157,5.7147007,0.069107324,1756,746.225,0.9074176177382469,0.069107324,2369.9763061237027,965646,4112.886929988861,0.0,413.15137,1
0.00419661,5.7031198,0.056682017,1757,746.225,-0.038532137870788574,0.056682017,2373.5629201896622,966646,4117.324851512909,0.0,413.74408,1
0.003883747,5.7133794,0.06506489,1758,754.175,-0.01399993896484375,0.06506489,2396.984041982642,967646,4121.792250394821,0.0,418.83096,1
0.014344956,5.684183,0.107634746,1760,763.625,0.5969928801059723,0.107634746,2417.0468629360826,969428,4126.227607011795,0.0,423.52905,2
0.004341703,5.68575,0.06603722,1762,777.1,0.607824981212616,0.06603722,2453.3132913040777,970865,4130.668326854706,0.0,429.2211,2
0.0053885756,5.693986,0.08087683,1764,764.975,0.8933966159820557,0.08087683,2406.504657438217,972380,4135.096129655838,0.0,419.80157,2
0.004177547,5.71491,0.06575188,1765,769.075,0.12812834978103638,0.06575188,2422.3130964517845,973380,4139.538998842239,0.0,420.82355,1
0.0137486905,5.721742,0.09627345,1767,769.125,0.6255784630775452,0.09627345,2419.050505513832,974908,4143.9304168224335,0.0,417.72128,2
0.0039665624,5.714228,0.060269065,1768,789.7,0.0013523697853088379,0.060269065,2486.9558064522153,975908,4148.349881887436,0.0,428.61835,1
0.0038511432,5.71588,0.06218169,1769,801.975,0.3530597686767578,0.06218169,2513.7248003341388,976908,4152.819751501083,0.0,431.8421,1
0.005563538,5.6906576,0.06399518,1771,796.7,0.6990594565868378,0.06399518,2484.349383268159,978358,4157.238929748535,0.0,427.4379,2
0.013316372,5.7046957,0.14204207,1772,789.9,0.8477500081062317,0.14204207,2459.700204747465,979086,4161.646080970764,0.0,424.52374,1
0.005181716,5.6845756,0.054090172,1773,811.075,0.005961596965789795,0.054090172,2531.39960733295,980086,4166.124533653259,0.0,436.09833,1
0.0043605417,5.6655107,0.074433595,1775,781.675,0.8585478514432907,0.074433595,2433.991158651616,980910,4170.566024303436,0.0,421.4454,2
0.014321428,5.6581025,0.13618523,1777,797.75,0.9219116345047951,0.13618523,2503.341340440131,982748,4175.026516914368,0.0,432.5905,2
0.0058244104,5.6687016,0.064242,1779,808.425,0.43561697006225586,0.064242,2542.542024567881,984399,4179.482002496719,0.0,439.29556,2
0.0049871523,5.663635,0.06493573,1780,819.05,0.4050109386444092,0.06493573,2581.150250898384,985399,4183.989418029785,0.0,446.33234,1
0.0054443115,5.665953,0.06627619,1782,810.375,0.8917480260133743,0.06627619,2576.4725912518065,987052,4190.585435628891,0.0,448.28476,2
0.0038166032,5.6509185,0.072482646,1783,805.65,0.8264710605144501,0.072482646,2546.803807284679,987850,4196.287857294083,0.0,444.40176,1
0.013564148,5.6649776,0.1273193,1784,804.125,0.8595199584960938,0.1273193,2541.203457887024,988354,4202.302366018295,0.0,442.74103,1
0.0037780316,5.643743,0.074647866,1786,811.575,0.8553901016712189,0.074647866,2568.619645331339,990152,4208.367418289185,0.0,448.94785,2
0.0044777123,5.6320744,0.07484519,1788,812.7,0.57998126745224,0.07484519,2562.5967452977748,991494,4214.592546224594,0.0,446.7331,2
0.0041764164,5.62382,0.08960055,1789,809.625,0.9149198532104492,0.08960055,2560.462863037364,992371,4220.651353359222,0.0,446.0743,1
0.0041755335,5.617309,0.0625457,1791,815.025,0.5528959035873413,0.0625457,2583.317872472595,994041,4226.628396272659,0.0,446.23456,2
0.004891683,5.6216607,0.067649215,1792,815.025,0.07060259580612183,0.067649215,2587.349130927262,995041,4232.620265483856,0.0,447.0843,1
0.0057119573,5.6096635,0.07152997,1794,833.775,0.1294872760772705,0.07152997,2637.0744028252193,997041,4238.747368335724,0.0,453.5125,2
0.014137353,5.598083,0.123153664,1796,823.175,0.798296257853508,0.123153664,2611.33135227002,998573,4244.987027645111,0.0,449.61328,2
0.0039369864,5.591226,0.073526174,1797,823.175,0.8799776881933212,0.073526174,2613.2036580253903,999573,4250.885418176651,0.0,451.03094,1
0.0040862095,5.6008916,0.07502928,1798,811.775,0.8049145489931107,0.07502928,2578.897134124022,1000117,4256.765999317169,0.0,444.6507,1
