EpTrueRewMean,TimeElapsed,entloss,meankl,entropy,surrgain,EpRewMean,EpLenMean,EpThisIter,EpisodesSoFar,optimgain,ev_tdlam_before,TimestepsSoFar
32.80157920217124,5.230186700820923,0.0,0.0075138574,4.2346125,0.04344229,41.46921,32.645161290322584,31,31,0.04344229,0.18478143215179443,3036
44.64298483067603,9.557255268096924,0.0,0.0070794625,4.231178,0.04803779,55.75222,43.8,17,48,0.04803779,0.3720950484275818,6021
72.61459483941101,13.762781620025635,0.0,0.0060606105,4.195869,0.046263922,76.22074,60.55,10,58,0.046263922,0.1544305682182312,9285
111.63934338187877,17.956758499145508,0.0,0.007030877,4.171577,0.046445657,103.05398,81.075,9,67,0.046445657,0.5309157073497772,12390
142.5515706247326,22.131284475326538,0.0,0.0061033093,4.10415,0.047168102,122.17839,97.125,8,75,0.047168102,0.5040487051010132,15453
177.05642691459826,26.364978790283203,0.0,0.0073352912,4.1158776,0.045313165,141.70505,115.45,6,81,0.045313165,0.7141629159450531,18510
215.21054247102293,30.53331184387207,0.0,0.0059252745,4.09481,0.048710767,160.97205,131.875,7,88,0.048710767,0.9043344631791115,21846
245.80179006395156,34.73200082778931,0.0,0.0073827244,4.0808034,0.04735785,174.18039,144.075,6,94,0.04735785,0.9375620596110821,25206
271.76892571860355,38.958128929138184,0.0,0.006513064,4.0638185,0.044100676,188.43295,157.325,5,99,0.044100676,0.9647472575306892,28395
291.77091720555535,43.168288230895996,0.0,0.0063341195,4.0247197,0.036534358,197.66824,166.95,5,104,0.036534358,0.8546516746282578,31134
309.0012556356873,47.35679793357849,0.0,0.0055943625,3.9328609,0.033802073,206.7273,179.6,4,108,0.033802073,0.8443334549665451,34512
339.90624666585586,51.614701986312866,0.0,0.0071012536,3.893347,0.04588632,224.64326,198.575,4,112,0.04588632,0.9843613542616367,38283
355.6541515881069,55.90508770942688,0.0,0.006229184,3.8462284,0.033189446,238.61142,215.1,2,114,0.033189446,0.00210726261138916,40845
374.7617301812393,60.095521211624146,0.0,0.007364692,3.8854084,0.029282438,256.40753,236.6,1,115,0.029282438,-0.0041620731353759766,43845
394.5975070093373,64.38727974891663,0.0,0.0065346286,3.8823013,0.043192014,272.05682,255.775,2,117,0.043192014,0.7361368834972382,47007
411.5105306757079,68.69633436203003,0.0,0.006274296,3.8534236,0.042524792,286.74835,274.1,1,118,0.042524792,0.2124783992767334,49551
431.05728164489955,72.97946691513062,0.0,0.006429534,3.8087764,0.032462668,302.74356,294.9,1,119,0.032462668,0.20576179027557373,52551
445.00551501548307,77.27577805519104,0.0,0.0075203665,3.7732844,0.024144603,313.28534,310.075,1,120,0.024144603,-0.01147472858428955,55551
468.9103810595267,81.5056266784668,0.0,0.007892676,3.7421799,0.026581723,331.77725,333.675,1,121,0.026581723,-0.0003426074981689453,58551
485.0208101731011,85.75621843338013,0.0,0.007051279,3.7444785,0.05035305,343.6718,347.9,1,122,0.05035305,0.9927361197769642,60732
509.4695187582656,90.0782413482666,0.0,0.0068160333,3.7395933,0.038183402,362.92636,376.1,2,124,0.038183402,0.07701236009597778,65004
