entropy,entloss,surrgain,optimgain,EpThisIter,EpisodesSoFar,TimestepsSoFar,EpRewMean,meankl,ev_tdlam_before,TimeElapsed,EpTrueRewMean,EpLenMean
24.112858,0.0,0.1194391,0.1194391,47,47,3030,103.69237743338344,0.0074773566,0.48057782649993896,9.77517318725586,103.69237743338344,21.9
24.098652,0.0,0.1398927,0.1398927,45,92,6252,107.97302630976529,0.006773372,0.20118564367294312,18.271475076675415,107.97302630976529,22.7
24.127203,0.0,0.14051059,0.14051059,42,134,9339,113.6956699563699,0.0069818115,0.33316296339035034,26.79952096939087,113.6956699563699,24.175
24.129963,0.0,0.16890368,0.16890368,40,174,12408,120.2213511322022,0.0065180995,0.3949788212776184,35.498796224594116,120.2213511322022,25.575
24.156256,0.0,0.20969823,0.20969823,33,207,15531,145.88246730473404,0.0065994426,0.3954719305038452,44.13768529891968,145.88246730473404,30.75
24.165035,0.0,0.15757538,0.15757538,33,240,18570,150.4527902684814,0.0070419637,0.5391521155834198,52.82485103607178,150.4527902684814,31.325
24.149979,0.0,0.21972126,0.21972126,33,273,21660,143.88369020414538,0.007152383,0.5422196686267853,61.58819937705994,143.88369020414538,30.4
24.123367,0.0,0.18712842,0.18712842,25,298,24645,173.65714640116826,0.0074197035,0.5704030394554138,70.28663206100464,173.65714640116826,36.675
24.112795,0.0,0.15674725,0.15674725,25,323,27708,190.54518517894135,0.0074696634,0.654585063457489,79.09068608283997,190.54518517894135,39.55
24.07025,0.0,0.19499332,0.19499332,24,347,30813,200.24010740320463,0.0072763003,0.6967234313488007,87.93053460121155,200.24010740320463,42.05
24.06512,0.0,0.17298669,0.17298669,21,368,33918,219.67949100298884,0.0071439417,0.6012946367263794,96.73835921287537,219.67949100298884,45.95
24.054022,0.0,0.1915299,0.1915299,22,390,36855,220.58317721573812,0.007492987,0.6372688710689545,105.6116943359375,220.58317721573812,45.925
24.053713,0.0,0.21083865,0.21083865,21,411,40032,229.46932966411404,0.007350413,0.5943291783332825,114.59847116470337,229.46932966411404,48.1
24.03538,0.0,0.16228887,0.16228887,19,430,43083,250.26996506866914,0.008050227,0.7350395321846008,123.46803450584412,250.26996506866914,51.9
24.026142,0.0,0.16332641,0.16332641,18,448,46071,267.50639482304945,0.008478236,0.7265156209468842,132.375417470932,267.50639482304945,54.825
24.011309,0.0,0.17568636,0.17568636,18,466,49185,274.4936677569778,0.008489027,0.7560252100229263,141.26033091545105,274.4936677569778,56.325
24.005539,0.0,0.17346562,0.17346562,17,483,52326,291.6732616199364,0.008100081,0.7964749783277512,150.21494889259338,291.6732616199364,60.4
23.982405,0.0,0.1915142,0.1915142,16,499,55362,283.0389623551331,0.008100839,0.7784256488084793,159.29294085502625,283.0389623551331,59.95
23.970379,0.0,0.17957136,0.17957136,15,514,58338,301.82728677252663,0.008719784,0.8008701950311661,168.24245762825012,301.82728677252663,64.6
23.973207,0.0,0.18625283,0.18625283,15,529,61515,317.75313380970255,0.008015657,0.8171771168708801,177.23418021202087,317.75313380970255,67.15
23.97581,0.0,0.1801743,0.1801743,17,546,64575,315.0078160544286,0.00831596,0.8173411637544632,186.19119906425476,315.0078160544286,64.95
23.947735,0.0,0.17735988,0.17735988,17,563,67758,304.61386952041875,0.008020006,0.7794026434421539,195.24244332313538,304.61386952041875,61.675
23.936935,0.0,0.1771092,0.1771092,14,577,70857,323.29711225968185,0.008668196,0.8257506787776947,204.13708209991455,323.29711225968185,65.6
23.922668,0.0,0.18020648,0.18020648,15,592,73995,349.30843023530036,0.00839912,0.8602006584405899,213.03348398208618,349.30843023530036,71.1
23.88259,0.0,0.19440389,0.19440389,14,606,76884,344.0297340032648,0.008854806,0.8017967492341995,221.93242859840393,344.0297340032648,70.425
23.845867,0.0,0.2153629,0.2153629,15,621,79989,336.7599114659202,0.008777006,0.8359939157962799,230.83455753326416,336.7599114659202,69.1
23.81697,0.0,0.22168916,0.22168916,13,634,82944,340.7409686316587,0.00934696,0.8056699335575104,239.71684455871582,340.7409686316587,69.9
23.783035,0.0,0.19566812,0.19566812,16,650,86055,333.0826493057939,0.009442779,0.8755139037966728,248.63644003868103,333.0826493057939,68.55
