# {"env_id": "CartPole-v0", "t_start": 1551115715.241735} 
r,l,t
11.0,11,10.043753
41.0,41,10.275301
30.0,30,10.418893
24.0,24,10.586091
17.0,17,10.664429
23.0,23,10.84659
22.0,22,10.978342
15.0,15,11.074985
32.0,32,11.221899
14.0,14,11.273978
17.0,17,11.3634
12.0,12,11.397672
12.0,12,11.460396
15.0,15,11.535074
37.0,37,11.667955
32.0,32,11.939635
15.0,15,12.01555
33.0,33,12.239081
23.0,23,12.37047
15.0,15,12.456195
25.0,25,12.590829
18.0,18,12.695581
18.0,18,12.76262
27.0,27,12.89103
17.0,17,12.985586
18.0,18,13.094749
25.0,25,13.262924
17.0,17,13.34986
18.0,18,13.400175
29.0,29,13.480008
21.0,21,13.552871
19.0,19,13.666685
27.0,27,13.940976
49.0,49,14.087517
46.0,46,14.384433
15.0,15,14.475335
40.0,40,14.670182
21.0,21,14.780829
9.0,9,14.831681
24.0,24,14.932326
49.0,49,15.195456
24.0,24,15.266409
25.0,25,15.468391
16.0,16,19.722985
13.0,13,19.820487
13.0,13,19.956921
14.0,14,20.026027
32.0,32,20.157853
20.0,20,20.212059
11.0,11,20.249533
41.0,41,20.417953
18.0,18,20.474161
23.0,23,20.54341
18.0,18,20.592911
16.0,16,20.648021
18.0,18,20.705759
21.0,21,20.833967
39.0,39,21.16359
31.0,31,21.303829
77.0,77,21.82958
13.0,13,21.909398
29.0,29,22.048757
52.0,52,22.340954
27.0,27,22.418687
16.0,16,22.45632
27.0,27,22.53453
20.0,20,22.703548
25.0,25,22.948358
19.0,19,23.035752
20.0,20,23.156274
30.0,30,23.306509
14.0,14,23.440628
50.0,50,23.745016
26.0,26,23.815611
29.0,29,23.932576
31.0,31,24.098554
27.0,27,24.209257
22.0,22,24.367607
29.0,29,24.529087
12.0,12,24.62384
21.0,21,24.724176
51.0,51,24.920111
20.0,20,27.155847
19.0,19,27.287581
18.0,18,27.386635
11.0,11,27.417785
42.0,42,27.540999
19.0,19,27.585291
28.0,28,27.656129
34.0,34,27.796056
16.0,16,27.888949
39.0,39,28.202372
28.0,28,28.400273
29.0,29,28.569524
23.0,23,28.723683
31.0,31,28.952667
25.0,25,29.070619
41.0,41,29.299617
55.0,55,29.507256
16.0,16,29.545082
42.0,42,29.670515
11.0,11,29.695743
12.0,12,29.756261
31.0,31,30.120531
17.0,17,30.228814
64.0,64,30.49558
52.0,52,30.831689
14.0,14,30.912424
20.0,20,31.019849
12.0,12,31.093197
22.0,22,31.209316
92.0,92,31.652904
18.0,18,31.755
104.0,104,32.354111
21.0,21,32.525946
36.0,36,34.799878
21.0,21,34.932419
12.0,12,35.000673
71.0,71,35.706674
33.0,33,35.886225
124.0,124,36.665535
63.0,63,36.893631
36.0,36,37.175749
112.0,112,37.820541
64.0,64,38.188087
72.0,72,38.539952
21.0,21,38.660829
20.0,20,38.780404
59.0,59,39.265018
101.0,101,39.887764
108.0,108,40.380779
80.0,80,40.796795
80.0,80,43.394839
35.0,35,43.54407
140.0,140,44.18158
82.0,82,44.783002
83.0,83,45.305127
200.0,200,46.386635
67.0,67,46.584718
81.0,81,46.861069
72.0,72,47.170757
41.0,41,47.377229
48.0,48,47.618942
80.0,80,48.219764
52.0,52,50.826599
138.0,138,51.876047
50.0,50,52.294061
91.0,91,52.671445
97.0,97,53.554729
140.0,140,54.426008
101.0,101,54.820173
175.0,175,55.96903
43.0,43,56.192801
200.0,200,59.623184
200.0,200,60.390296
184.0,184,61.482251
