TimeElapsed,ev_tdlam_before,EpLenMean,TimestepsSoFar,EpRewMean,EpTrueRewMean,meankl,surrgain,EpThisIter,entloss,optimgain,EpisodesSoFar,entropy
6104.389615058899,0.9587420858442783,403.9,742377,104.40074,1405.3666020982012,0.0105292015,0.06600925,1,0.0,0.06600925,871,2.948273
6129.98707318306,0.8147306591272354,381.45,745188,97.72144,1319.8450661465954,0.012318423,0.07383009,4,0.0,0.07383009,875,2.9093466
6154.695261001587,0.18111640214920044,397.275,748188,101.75106,1370.3343915428497,0.010839302,0.06191286,1,0.0,0.06191286,876,2.83555
6179.9949831962585,0.21452587842941284,417.3,751188,106.51781,1436.7945039542344,0.009186463,0.04597623,1,0.0,0.04597623,877,2.7796507
6204.905220031738,0.41715794801712036,439.925,754188,111.42253,1513.614155242468,0.010786349,0.05287362,1,0.0,0.05287362,878,2.7902184
6230.340742111206,0.6864740550518036,427.6,757767,108.21034,1461.368593122395,0.0110854,0.049926836,2,0.0,0.049926836,880,2.8298337
6255.407181739807,0.11779618263244629,433.125,760767,108.28542,1474.6219099979676,0.010867823,0.059303697,1,0.0,0.059303697,881,2.8226435
6280.067874670029,0.9351464509963989,433.075,762336,108.15556,1473.374034565641,0.011544225,0.07196684,1,0.0,0.07196684,882,2.860365
6305.476035833359,0.8905410245060921,409.35,764220,102.30113,1382.660400843206,0.009236017,0.064679936,3,0.0,0.064679936,885,2.8734527
6330.198665142059,0.931350938975811,409.975,768504,102.01848,1380.355132894445,0.011755307,0.07544701,3,0.0,0.07544701,888,2.8964758
6355.928860425949,0.7351443767547607,420.175,772116,102.993546,1410.5225088515267,0.011062321,0.056974594,2,0.0,0.056974594,890,2.8962877
6380.122141122818,0.7257581055164337,422.175,776007,102.4896,1414.5528142334383,0.011159408,0.053873435,2,0.0,0.053873435,892,2.908235
6405.903886556625,0.8301614075899124,440.625,780531,105.4078,1474.331490285885,0.010521145,0.060194783,3,0.0,0.060194783,895,2.8764117
6430.717741727829,0.7587781846523285,458.175,784395,109.102394,1536.2585971391795,0.010446499,0.0565427,2,0.0,0.0565427,897,2.862609
6456.286145448685,0.8306245058774948,479.675,788904,113.32362,1609.427693865669,0.0113280425,0.04758353,3,0.0,0.04758353,900,2.8560197
6480.67779135704,0.08565807342529297,497.4,791904,117.258316,1672.067738467161,0.009753494,0.053377453,1,0.0,0.053377453,901,2.8319921
6506.25287604332,0.1376911997795105,516.55,794904,121.76186,1740.1354885324083,0.010149706,0.050649393,1,0.0,0.050649393,902,2.7929945
6530.47225356102,0.987585786730051,535.475,798705,126.64929,1809.9013652114772,0.01187284,0.07663345,2,0.0,0.07663345,904,2.7813253
6556.822947502136,0.9477970823645592,554.875,801705,131.13345,1881.580442487952,0.01024157,0.05957576,1,0.0,0.05957576,905,2.8321702
6580.895996809006,0.9593341834843159,554.975,804657,131.20941,1885.1109352238623,0.012187991,0.071459055,2,0.0,0.071459055,907,2.847443
6606.856595754623,0.6487782597541809,569.475,808098,134.50407,1935.6089422377395,0.010787959,0.052361686,2,0.0,0.052361686,909,2.7915761
6631.102383136749,0.24603652954101562,589.05,811098,138.57214,2003.8621326863613,0.010927714,0.045343384,1,0.0,0.045343384,910,2.765701
6657.31093287468,0.21528398990631104,597.675,814098,139.93027,2034.7076803259654,0.010595766,0.046383493,1,0.0,0.046383493,911,2.766823
6681.182212591171,0.980166794732213,613.3,817536,143.76047,2095.1981594143417,0.009854772,0.072133385,2,0.0,0.072133385,913,2.7809281
6706.931973218918,0.9536908529698849,621.625,819054,146.18724,2129.1650810606425,0.011631062,0.06750562,1,0.0,0.06750562,914,2.7627661
6731.286853790283,0.7633804082870483,623.55,823014,145.91849,2141.988905209781,0.011208951,0.059947263,2,0.0,0.059947263,916,2.794097
6756.892106294632,0.979333583265543,592.525,825291,138.97559,2044.321508411748,0.010596551,0.06439237,2,0.0,0.06439237,918,2.7607272
6781.239055395126,0.7159594595432281,592.65,828885,139.20798,2052.0460627908537,0.010957772,0.05269905,2,0.0,0.05269905,920,2.7895308
6806.941443443298,0.18309855461120605,592.65,831885,139.09386,2056.849819318833,0.010468867,0.05257581,1,0.0,0.05257581,921,2.7832296
6831.72025346756,0.8596829622983932,612.15,837237,141.61356,2128.400586290257,0.010962885,0.05715323,3,0.0,0.05715323,924,2.747087
6858.064113855362,0.954721923917532,611.45,840282,141.99675,2132.5687161170126,0.010260227,0.08404918,2,0.0,0.08404918,926,2.7920613
6882.393659830093,0.8426209837198257,597.125,843159,140.5281,2088.1702198490266,0.009530246,0.06096918,3,0.0,0.06096918,929,2.8157465
6907.804807662964,0.847807988524437,583.5,845136,138.08795,2041.391779063598,0.009443748,0.055353437,2,0.0,0.055353437,931,2.8448763
6932.804693698883,0.9620235711336136,601.025,848130,142.46342,2108.937924785034,0.010203011,0.057874665,1,0.0,0.057874665,932,2.8113227
6958.861248970032,0.3231111764907837,600.5,851067,142.12753,2108.7580310466446,0.003808273,0.03049604,1,0.0,0.03049604,933,2.7936914
6983.011969089508,0.9802490044385195,622.2,855195,147.18835,2189.69493858455,0.010996468,0.08922218,2,0.0,0.08922218,935,2.8022823
7008.691637992859,0.9546165689826012,616.175,858336,146.85902,2174.057729818358,0.00999674,0.06728056,2,0.0,0.06728056,937,2.7953448
7033.894352912903,0.7068866789340973,617.275,862095,146.98874,2179.5930756268026,0.011600881,0.0688342,2,0.0,0.0688342,939,2.71774
7059.657586812973,0.9577358104288578,623.075,863673,148.61044,2201.3867298810055,0.010660544,0.073814824,1,0.0,0.073814824,940,2.72448
7083.998820304871,0.9742498807609081,621.375,866469,148.24593,2197.4389359789693,0.010141541,0.067446634,1,0.0,0.067446634,941,2.7272112
7109.505388736725,0.9855138268321753,602.175,869610,143.8189,2128.835144695383,0.01058783,0.065695025,2,0.0,0.065695025,943,2.715689
7134.3623678684235,0.8911975845694542,583.425,874668,140.47307,2060.024883802773,0.011733741,0.06359035,4,0.0,0.06359035,947,2.71921
7159.735812664032,0.9714936707168818,574.175,876999,139.44768,2031.276414319886,0.011778846,0.07605018,2,0.0,0.07605018,949,2.7312663
7184.005048036575,-0.01723480224609375,574.175,879999,139.32399,2032.0807757287762,0.011008646,0.052329704,1,0.0,0.052329704,950,2.6919641
