meankl,EpRewMean,EpisodesSoFar,entloss,optimgain,TimeElapsed,EpThisIter,TimestepsSoFar,EpLenMean,surrgain,EpTrueRewMean,entropy,ev_tdlam_before
0.0041127885,76.19847,3281,0.0,0.14934674,1744.896572113037,10,816423,106.475,0.14934674,537.1156625961472,23.310968,0.9104006886482239
0.0043740394,75.65075,3290,0.0,0.14301336,1751.6214349269867,9,819357,107.775,0.14301336,550.8242727489175,23.313414,0.9192813038825989
0.0039253645,68.1816,3301,0.0,0.14953834,1758.3298168182373,11,822468,100.875,0.14953834,508.93635683592754,23.3117,0.893829919397831
0.004274614,70.20937,3311,0.0,0.17169377,1765.0407013893127,10,825618,102.9,0.17169377,523.8543375476188,23.310238,0.8921418339014053
0.004600684,69.26611,3320,0.0,0.16545597,1771.618255853653,9,828537,103.5,0.16545597,523.9762887779158,23.310053,0.9011912047863007
0.004417923,69.00258,3329,0.0,0.15743205,1778.2484436035156,9,831690,105.675,0.15743205,536.5498481846123,23.310057,0.8589779138565063
0.0045218267,69.47859,3339,0.0,0.24010637,1785.001461982727,10,834762,106.8,0.24010637,547.3366226070196,23.311018,0.8304850608110428
0.0039156876,72.45482,3347,0.0,0.15337929,1791.7678806781769,8,837534,110.75,0.15337929,568.1920143641761,23.31199,0.8609189391136169
0.0043322463,69.36845,3356,0.0,0.15958732,1798.4669029712677,9,840438,108.975,0.15958732,564.5311752036909,23.311588,0.8391994833946228
0.0149993,68.2161,3366,0.0,0.2872442,1805.053055524826,10,843534,107.325,0.2872442,554.1826775769601,23.308413,0.8739373832941055
0.004087609,68.27242,3376,0.0,0.15409878,1811.7385334968567,10,846405,105.35,0.15409878,543.7828722505781,23.309088,0.8683393001556396
0.004207805,68.6063,3384,0.0,0.16615258,1818.379557132721,8,849186,105.65,0.16615258,546.7481985529452,23.307924,0.7902697771787643
0.004401697,64.983376,3395,0.0,0.15569943,1824.9265720844269,11,852261,101.4,0.15569943,526.4355153797967,23.309345,0.8884702175855637
0.003948417,70.16844,3403,0.0,0.14875937,1831.3984603881836,8,855258,105.55,0.14875937,546.9717477481732,23.310139,0.8207593560218811
0.004235939,71.246506,3412,0.0,0.15923364,1838.0105121135712,9,858150,107.275,0.15923364,556.3725877742438,23.309896,0.8934745490550995
0.0148677975,74.45485,3420,0.0,0.33440977,1844.687564611435,8,860985,110.35,0.33440977,563.3058320474258,23.310225,0.8640892952680588
0.004486827,75.08156,3429,0.0,0.17159002,1851.3929011821747,9,863976,110.5,0.17159002,564.9066552605111,23.308844,0.8730836510658264
0.0038934036,77.64305,3438,0.0,0.16396001,1857.9938142299652,9,867228,115.125,0.16396001,584.0858151058833,23.309263,0.8738488405942917
