TimeElapsed,surrgain,EpTrueRewMean,EpLenMean,EpisodesSoFar,entloss,optimgain,EpThisIter,ev_tdlam_before,TimestepsSoFar,EpRewMean,entropy,meankl
5171.670611143112,0.25580272,503.9842792418087,95.5,2470,0.0,0.25580272,11,0.8725434988737106,548838,17.363117,23.495514,0.012729209
5200.352014303207,0.26279795,513.9603308673703,98.225,2480,0.0,0.26279795,10,0.8419236093759537,551937,17.306883,23.492006,0.013449707
5228.690936803818,0.26513553,502.69597710194085,96.775,2490,0.0,0.26513553,10,0.7527949064970016,554835,16.609608,23.487001,0.013560298
5256.898036003113,0.29763922,514.0042986043749,99.375,2500,0.0,0.29763922,10,0.7913380861282349,557895,16.56648,23.482338,0.014521493
5285.110904455185,0.27050507,535.9033143991439,102.55,2509,0.0,0.27050507,9,0.751590833067894,560913,17.197697,23.479841,0.013705552
5314.318993806839,0.3494506,514.8037881543055,97.125,2521,0.0,0.3494506,12,0.7838635444641113,564012,17.555645,23.485182,0.013883337
5341.482928991318,0.13606846,513.1283858113254,96.2,2531,0.0,0.13606846,10,0.8288256078958511,566820,16.870827,23.486538,0.003812509
5370.6847150325775,0.35781214,496.9912662425668,93.025,2543,0.0,0.35781214,12,0.8174390494823456,569901,16.387579,23.486801,0.014971403
5398.257695913315,0.15213753,483.07846540876426,91.15,2554,0.0,0.15213753,11,0.7207813262939453,573057,16.051867,23.485497,0.0038570145
5427.520223617554,0.31080702,479.83021665340385,90.25,2565,0.0,0.31080702,11,0.712336391210556,576165,15.36097,23.486605,0.013898931
5454.866129875183,0.27162337,503.11163086231454,93.95,2575,0.0,0.27162337,10,0.8202551007270813,579300,16.107243,23.479475,0.0134331975
5483.598643541336,0.2642583,501.6858480173275,94.15,2587,0.0,0.2642583,12,0.8222332745790482,582444,16.160435,23.479214,0.013253823
5512.9797167778015,0.32297707,499.51719581841155,94.35,2598,0.0,0.32297707,11,0.7025478184223175,585342,16.39072,23.476713,0.013643186
5541.565137624741,0.29983708,467.5288929649846,88.1,2610,0.0,0.29983708,12,0.8235611021518707,588348,16.266678,23.47359,0.014078234
5569.895390033722,0.28315052,455.51576205702366,86.575,2621,0.0,0.28315052,11,0.7758347541093826,591312,15.833715,23.467592,0.013948995
5597.726665019989,0.29906252,471.6246954032737,88.7,2632,0.0,0.29906252,11,0.7960038334131241,594459,15.7499485,23.464996,0.014332313
5627.060532808304,0.29750708,462.6793475462317,87.675,2645,0.0,0.29750708,13,0.7519460916519165,597681,14.910596,23.461138,0.014163466
5654.813056945801,0.14473154,474.02924764325917,90.175,2656,0.0,0.14473154,11,0.662219762802124,600798,14.853973,23.463545,0.0039225533
5683.070732593536,0.4235536,479.70586409651935,91.125,2666,0.0,0.4235536,10,0.7610577791929245,603744,15.068573,23.452013,0.013719003
5711.999051809311,0.29352823,504.4994376551969,95.45,2676,0.0,0.29352823,10,0.7739733308553696,606837,17.196838,23.45041,0.012685731
5740.3548192977905,0.27956223,514.224976860013,97.425,2687,0.0,0.27956223,11,0.7943538278341293,610161,17.56448,23.452913,0.014150827
5769.178213596344,0.2887679,513.8152428546259,97.525,2699,0.0,0.2887679,12,0.785010039806366,613353,17.778957,23.45372,0.013961267
5797.010943889618,0.31375173,497.5901523310648,94.0,2711,0.0,0.31375173,12,0.7740306109189987,616479,15.896808,23.453566,0.01414135
5826.579872846603,0.30051485,462.87322970148955,87.375,2723,0.0,0.30051485,12,0.8080888092517853,619629,14.734308,23.453474,0.013874456
5854.977428436279,0.3705402,463.08334338583046,88.475,2733,0.0,0.3705402,10,0.7565260380506516,622569,15.396625,23.456861,0.0148792695
5883.54870724678,0.3513392,453.28002636690536,86.6,2746,0.0,0.3513392,13,0.806926429271698,625674,15.922888,23.45778,0.014760004
5911.880754709244,0.15526843,464.0599442758361,89.175,2757,0.0,0.15526843,11,0.7749037146568298,628635,16.475471,23.460163,0.003776542
5940.395783901215,0.14746132,444.82998703533667,84.575,2769,0.0,0.14746132,12,0.7609743028879166,631770,15.866498,23.462812,0.003794811
5969.631180524826,0.31970838,456.31583885493757,87.25,2781,0.0,0.31970838,12,0.8193692415952682,635064,16.132717,23.465763,0.014211166
5996.871784687042,0.14243123,480.91080037614086,91.8,2792,0.0,0.14243123,11,0.797675833106041,638184,16.434258,23.462233,0.003789967
6026.3965718746185,0.40548837,489.22467451455304,93.075,2802,0.0,0.40548837,10,0.5435695648193359,641181,16.528812,23.461424,0.014363674
6054.793221235275,0.14246127,513.8214646396946,97.3,2812,0.0,0.14246127,10,0.7540324032306671,644343,16.685606,23.46138,0.0037614317
6082.736396551132,0.160756,544.2860616094376,102.65,2821,0.0,0.160756,9,0.767935037612915,647382,17.429844,23.460358,0.0040501216
6110.897120952606,0.26922363,565.039254922069,106.375,2830,0.0,0.26922363,9,0.8046876937150955,650406,17.706062,23.454882,0.014705825
6139.90048456192,0.288593,563.2238350675318,106.425,2841,0.0,0.288593,11,0.8166072964668274,653514,18.62548,23.449572,0.014689217
6167.981022596359,0.14157228,533.6603422758986,102.05,2852,0.0,0.14157228,11,0.8588955849409103,656589,17.849983,23.451872,0.003839925
6196.288877248764,0.36442918,502.3183770877682,95.65,2863,0.0,0.36442918,11,0.8451778292655945,659553,16.501328,23.452164,0.014958817
6225.073817491531,0.1613545,495.9775426788935,94.8,2873,0.0,0.1613545,10,0.7215676605701447,662592,16.223146,23.456696,0.0039172466
6253.600705862045,0.35317868,511.3822168285022,98.075,2883,0.0,0.35317868,10,0.7760962694883347,665961,16.134262,23.457094,0.014764193
6282.351661682129,0.29847574,514.2145969576601,97.8,2894,0.0,0.29847574,11,0.8147192150354385,668844,16.903778,23.454624,0.01438738
6310.306795835495,0.27571392,521.6672421222557,99.2,2904,0.0,0.27571392,10,0.7919699102640152,671751,17.604052,23.45208,0.014624831
6339.228925943375,0.31360638,528.1325638177707,100.825,2913,0.0,0.31360638,9,0.7779667526483536,674691,18.489388,23.448973,0.014102827
6367.380014181137,0.2896029,518.0007887133786,97.65,2923,0.0,0.2896029,10,0.828058049082756,677679,17.61859,23.451878,0.014663447
6395.972351312637,0.32082465,528.8197554543016,99.8,2934,0.0,0.32082465,11,0.8698844313621521,680820,17.763454,23.445768,0.014239477
6423.978861570358,0.28281176,523.6948169687068,99.0,2945,0.0,0.28281176,11,0.8670513927936554,683934,16.116491,23.442131,0.014765025
