EpLenMean,TimestepsSoFar,EpTrueRewMean,TimeElapsed,meankl,optimgain,EpThisIter,entropy,EpisodesSoFar,EpRewMean,entloss,ev_tdlam_before,surrgain
379.425,337389,900.9704213939904,484.63404059410095,0.009644847,0.103207365,1,7.371158,447,364.22974,0.0,0.9244570508599281,0.103207365
384.225,339858,913.4938582981389,489.077397108078,0.009110349,0.100290164,2,7.349902,449,370.5586,0.0,0.9304029121994972,0.100290164
387.7,343986,935.9431275645845,493.60175824165344,0.00892818,0.10591721,3,7.3198895,452,377.61395,0.0,0.9587882608175278,0.10591721
389.725,346860,931.6803389557738,498.0638084411621,0.009563571,0.0907269,2,7.2922235,454,375.09644,0.0,0.9334883019328117,0.0907269
390.775,349659,936.5323330546111,502.60526490211487,0.009506266,0.09489943,2,7.3030353,456,376.28644,0.0,0.9083767533302307,0.09489943
384.25,351102,924.7393556514129,507.117858171463,0.009692149,0.124397695,1,7.3273916,457,370.07098,0.0,0.87467822432518,0.124397695
388.775,354537,940.0667963145276,511.63097620010376,0.008957583,0.09945074,3,7.3402843,460,374.892,0.0,0.9341265931725502,0.09945074
382.475,357975,942.4527241703374,516.0773210525513,0.0086252615,0.09238632,5,7.3350353,465,377.72214,0.0,0.9438988231122494,0.09238632
358.25,360423,889.0290806974019,520.4960486888885,0.008538985,0.095251426,3,7.3231854,468,355.42633,0.0,0.9308277666568756,0.095251426
364.55,362925,932.8836169873473,524.8342547416687,0.008657956,0.100606345,2,7.3339224,470,367.5861,0.0,0.8763392716646194,0.100606345
360.75,366447,951.6651089758227,529.2052760124207,0.010001334,0.10191107,4,7.3153205,474,367.52597,0.0,0.94131975248456,0.10191107
363.425,369612,965.4660730345179,533.6157689094543,0.008867865,0.111404784,3,7.308354,477,369.24643,0.0,0.9657182171940804,0.111404784
354.35,373071,950.5817761197453,538.0474996566772,0.010369865,0.08728724,4,7.2858877,481,359.61008,0.0,0.9478751383721828,0.08728724
365.05,376677,999.2263716673715,542.4091501235962,0.009805603,0.09687853,3,7.277653,484,370.83438,0.0,0.9683254100382328,0.09687853
360.55,380655,994.8560274334219,546.8267283439636,0.00897171,0.11250073,3,7.3108563,487,363.7116,0.0,0.96101313829422,0.11250073
340.525,383766,947.8838496808997,551.2062649726868,0.0087908525,0.10225483,4,7.3048863,491,341.84308,0.0,0.9303844273090363,0.10225483
345.925,385497,961.3784069015298,555.5546696186066,0.009475423,0.09918992,1,7.29814,492,343.63974,0.0,0.9657362848520279,0.09918992
339.925,389094,974.6698894510816,559.9274368286133,0.01016218,0.105151944,3,7.2825794,495,344.59906,0.0,0.9604720920324326,0.105151944
347.55,391365,988.4820564292957,564.3294179439545,0.009705456,0.0946009,1,7.2807574,496,347.46957,0.0,0.8730383068323135,0.0946009
348.3,392898,994.2932141575051,568.7079937458038,0.00920925,0.1076919,1,7.269605,497,347.41718,0.0,0.9555448926985264,0.1076919
362.5,395898,1014.7597640410353,573.0902602672577,0.009445104,0.09237438,1,7.2874155,498,354.47382,0.0,0.23940521478652954,0.09237438
377.475,398898,1046.395915166014,577.5066001415253,0.008768522,0.090624675,1,7.2849774,499,363.2728,0.0,0.47044920921325684,0.090624675
394.675,401898,1081.8999320515352,581.8910899162292,0.011943473,0.077030405,1,7.3135853,500,372.99692,0.0,-0.0031920671463012695,0.077030405
409.725,405000,1122.2932967699703,586.2860016822815,0.0091329515,0.09427713,2,7.325121,502,385.39142,0.0,0.9160604253411293,0.09427713
418.35,408177,1144.0132229022051,590.647745847702,0.010655895,0.1492374,3,7.328735,505,392.28757,0.0,0.9468033313751221,0.1492374
427.45,410955,1163.5393663554387,595.0361084938049,0.009357432,0.1382249,2,7.3129115,507,400.80365,0.0,0.8977668285369873,0.1382249
433.225,413514,1182.2320178341138,599.3621199131012,0.01032546,0.09950544,2,7.295606,509,407.66113,0.0,0.8852182924747467,0.09950544
439.725,416595,1198.9452328856162,603.7805621623993,0.010692816,0.11199516,2,7.30382,511,415.21158,0.0,0.9430320970714092,0.11199516
433.55,419814,1184.1410972795034,608.1430826187134,0.0097834915,0.12336685,4,7.323988,515,414.84076,0.0,0.9281365498900414,0.12336685
436.975,422049,1194.668713757574,612.5500977039337,0.009448865,0.10248372,2,7.3225574,517,417.83374,0.0,0.9525727331638336,0.10248372
439.875,425856,1205.0494052523977,616.8790512084961,0.009616148,0.1070278,4,7.3337407,521,423.57184,0.0,0.9475765451788902,0.1070278
435.1,427764,1189.8958831949524,621.2638776302338,0.00830987,0.12931013,2,7.3358893,523,420.69125,0.0,0.9843086302280426,0.12931013
440.3,432177,1201.2794119746634,625.6572158336639,0.010189207,0.11310619,3,7.347062,526,427.1902,0.0,0.952546201646328,0.11310619
439.225,435870,1186.042429725299,630.0826818943024,0.009532626,0.09629238,4,7.3250766,530,426.2335,0.0,0.9444851502776146,0.09629238
437.65,439158,1184.0488775792164,634.4864912033081,0.0095004495,0.11357311,3,7.327336,533,427.53793,0.0,0.9398184008896351,0.11357311
437.7,440028,1184.3955438950725,638.8934614658356,0.009660318,0.09848328,1,7.29738,534,427.61514,0.0,0.8855955898761749,0.09848328
438.6,443997,1182.1103484687358,643.3012046813965,0.009697298,0.09166589,2,7.290829,536,430.13828,0.0,0.9041198119521141,0.09166589
414.85,445680,1134.2715709048236,647.704270362854,0.008625599,0.112394676,2,7.294804,538,415.4355,0.0,0.9152010604739189,0.112394676
414.85,448680,1123.532380896496,652.0720119476318,0.009456651,0.06858184,1,7.3155365,539,415.0415,0.0,0.16786456108093262,0.06858184
421.225,453984,1141.4987357321547,656.4485936164856,0.010135741,0.14080939,2,7.288635,541,423.5874,0.0,0.9123594462871552,0.14080939
433.2,456984,1159.4599951261112,660.8182783126831,0.008977623,0.07180985,1,7.3688517,542,428.81006,0.0,0.25295960903167725,0.07180985
449.55,459984,1195.879391656278,665.249568939209,0.009337762,0.0842407,1,7.3974133,543,438.9416,0.0,0.029414117336273193,0.0842407
454.475,463569,1198.5214795289016,669.6316828727722,0.00934547,0.12401444,3,7.404662,546,440.1049,0.0,0.9308525398373604,0.12401444
