entropy,EpThisIter,entloss,ev_tdlam_before,TimeElapsed,EpRewMean,surrgain,optimgain,EpisodesSoFar,meankl,EpTrueRewMean,TimestepsSoFar,EpLenMean
4.2427707,41,0.0,0.33150410652160645,4.291795015335083,28.198652827721315,0.047911603,0.047911603,41,0.007069883,28.198652827721315,3036,24.85
4.185793,19,0.0,-0.006849408149719238,7.787537097930908,61.274972918366885,0.0522999,0.0522999,60,0.0071070343,61.274972918366885,6315,41.95
4.1277704,15,0.0,0.22008508443832397,11.351981163024902,97.42622994950685,0.043378446,0.043378446,75,0.0071653994,97.42622994950685,9423,57.65
4.153893,13,0.0,0.47815871238708496,14.903810977935791,127.09856256828348,0.040852927,0.040852927,88,0.006760011,127.09856256828348,12630,68.9
4.1286345,12,0.0,0.6541706919670105,18.389182806015015,154.36525116223555,0.0385821,0.0385821,100,0.006852149,154.36525116223555,15597,77.35
4.1363544,12,0.0,0.7920560240745544,21.950058460235596,176.3466208969778,0.031550437,0.031550437,112,0.006356828,176.3466208969778,18750,84.35
4.1026278,12,0.0,0.8939031362533569,25.43649697303772,189.77137901708883,0.039937593,0.039937593,124,0.0069870027,189.77137901708883,22059,87.125
4.109308,12,0.0,0.8317974805831909,29.032201766967773,194.86927074689044,0.045921136,0.045921136,136,0.006563385,194.86927074689044,25341,89.55
4.1180716,10,0.0,0.945769052952528,32.52733540534973,202.13675124791277,0.03927108,0.03927108,146,0.0064639775,202.13675124791277,28401,92.925
4.0849614,11,0.0,0.9476939588785172,36.069499254226685,206.0027631876732,0.038755544,0.038755544,157,0.006133153,206.0027631876732,31605,95.375
4.081092,10,0.0,0.893559642136097,39.62042307853699,210.17200216756834,0.04968256,0.04968256,167,0.0062645897,210.17200216756834,34677,98.375
4.0594406,10,0.0,0.9561112932860851,43.049896240234375,218.6814705969037,0.05054784,0.05054784,177,0.007209729,218.6814705969037,37845,101.025
4.038124,9,0.0,0.8749137371778488,46.69401669502258,233.76013008210595,0.05312558,0.05312558,186,0.0063761445,233.76013008210595,41097,105.8
4.049074,8,0.0,0.7566615343093872,50.10798716545105,255.94019737682683,0.056848187,0.056848187,194,0.0064633433,255.94019737682683,44310,113.9
4.024421,8,0.0,0.7473185658454895,53.59183144569397,275.0936196685211,0.0534375,0.0534375,202,0.0062357318,275.0936196685211,47535,120.65
3.9791865,7,0.0,0.8794349059462547,57.05934143066406,300.01957242527385,0.051328246,0.051328246,209,0.0070862295,300.01957242527385,50643,127.55
3.9883733,6,0.0,0.7221635282039642,60.61229133605957,325.8808504977913,0.0434758,0.0434758,215,0.006708282,325.8808504977913,53550,135.6
4.0034733,4,0.0,0.9335542395710945,64.07905888557434,361.8214409895164,0.088115096,0.088115096,219,0.0066326493,361.8214409895164,56187,147.275
3.9635923,5,0.0,0.9200749322772026,67.62501239776611,387.5389739217114,0.05315614,0.05315614,224,0.0060385605,387.5389739217114,59355,158.7
3.9594173,5,0.0,0.8811086714267731,71.14652419090271,421.12543590228415,0.04856544,0.04856544,229,0.006530391,421.12543590228415,62559,168.4
3.9224224,4,0.0,0.9338873773813248,74.70170211791992,449.9533818934184,0.046045914,0.046045914,233,0.0066974484,449.9533818934184,65202,176.65
3.9245586,5,0.0,0.8679285943508148,78.36623620986938,487.5650969581093,0.045028422,0.045028422,238,0.007024263,487.5650969581093,68448,186.625
3.8769,5,0.0,0.9368157237768173,81.79467511177063,532.465471126571,0.046643354,0.046643354,243,0.006883364,532.465471126571,72000,200.775
3.8546526,3,0.0,0.7601995468139648,85.2828905582428,559.6080322918745,0.042149875,0.042149875,246,0.006325942,559.6080322918745,74328,207.6
3.8634663,2,0.0,0.9215356111526489,88.81428217887878,604.4465352692553,0.0524266,0.0524266,248,0.006862453,604.4465352692553,76656,220.85
3.8315754,3,0.0,0.8857064545154572,92.25177669525146,651.878238759152,0.048737288,0.048737288,251,0.0072167413,651.878238759152,79584,234.55
3.8130734,3,0.0,0.9537851884961128,95.7264609336853,698.8728084051021,0.051812045,0.051812045,254,0.0072397464,698.8728084051021,82830,248.4
3.8199773,2,0.0,0.9650187455117702,99.19374775886536,731.0058847584621,0.052371982,0.052371982,256,0.0068192445,731.0058847584621,85401,258.525
3.8486407,3,0.0,0.7169482111930847,102.7053325176239,760.092264759791,0.03904693,0.03904693,259,0.00571961,760.092264759791,88404,268.475
3.8237836,4,0.0,0.8749438673257828,106.22077465057373,765.0188129854789,0.0486061,0.0486061,263,0.0067599006,765.0188129854789,91377,270.35
3.8315964,1,0.0,0.9559384845197201,109.76133823394775,802.3010608691804,0.047153287,0.047153287,264,0.0072050365,802.3010608691804,93189,281.95
3.8234882,1,0.0,0.8843315616250038,113.34907984733582,825.0349029064903,0.057158753,0.057158753,265,0.0063834,825.0349029064903,94524,288.975
3.825127,4,0.0,0.6051239669322968,116.892333984375,849.5924263476005,0.056417506,0.056417506,269,0.007133607,849.5924263476005,98115,296.3
3.8451521,2,0.0,0.8870521411299706,120.35680556297302,899.7209941766838,0.07482262,0.07482262,271,0.0065832585,899.7209941766838,101361,312.4
3.82995,3,0.0,0.8506583422422409,123.84516072273254,956.9197753105582,0.05766368,0.05766368,274,0.0064773867,956.9197753105582,106254,334.925
3.8416212,3,0.0,0.5985426008701324,127.34380102157593,993.0402497483956,0.046182744,0.046182744,277,0.0072960583,993.0402497483956,109986,353.825
3.8614137,2,0.0,0.917132630944252,130.8491711616516,1046.4355286983712,0.04966119,0.04966119,279,0.0069791954,1046.4355286983712,113730,372.5
3.8469164,1,0.0,0.9541860930621624,134.3153839111328,1079.8290655410485,0.049133226,0.049133226,280,0.0069802445,1079.8290655410485,115959,384.2
3.8706973,1,0.0,0.9587585851550102,137.71425652503967,1107.1600865034798,0.050769754,0.050769754,281,0.006864162,1107.1600865034798,117417,392.45
3.8729002,1,0.0,0.8297882527112961,141.30677819252014,1142.580641275197,0.06319674,0.06319674,282,0.007558437,1142.580641275197,119916,405.725
3.8740542,1,0.0,0.12976741790771484,144.86674213409424,1184.7870735231718,0.050012738,0.050012738,283,0.00819185,1184.7870735231718,122916,424.3
3.8952045,1,0.0,0.948627632111311,148.29798531532288,1219.0433130490717,0.05138597,0.05138597,284,0.006986823,1219.0433130490717,124992,436.95
3.8851683,2,0.0,0.732515424489975,151.79006505012512,1247.648499408813,0.055644814,0.055644814,286,0.007772648,1247.648499408813,127923,446.625
3.8708797,2,0.0,0.6709287166595459,155.21817421913147,1253.2356807555852,0.043631494,0.043631494,288,0.007408984,1253.2356807555852,130797,451.175
3.8705425,2,0.0,0.8678711205720901,158.7186529636383,1273.070980267572,0.05577995,0.05577995,290,0.0064567206,1273.070980267572,134250,460.35
3.8794255,2,0.0,0.565906822681427,162.20855283737183,1297.7343709158401,0.048642326,0.048642326,292,0.0061236443,1297.7343709158401,137610,471.275
3.8794327,2,0.0,0.9248597845435143,165.80572319030762,1336.1139489352827,0.05308353,0.05308353,294,0.0067396257,1336.1139489352827,141168,486.15
3.8715286,2,0.0,0.38590043783187866,169.26405692100525,1351.188292122338,0.045320246,0.045320246,296,0.007832236,1351.188292122338,145404,500.025
3.8880386,1,0.0,-0.05001115798950195,172.704341173172,1376.8099807888386,0.036136225,0.036136225,297,0.00707855,1376.8099807888386,148404,513.025
3.8803465,1,0.0,0.025079846382141113,176.19661808013916,1426.960994324289,0.043041624,0.043041624,298,0.007852487,1426.960994324289,151404,532.2
3.8798141,1,0.0,-0.04195857048034668,179.58350014686584,1459.5568111079078,0.05078936,0.05078936,299,0.006887486,1459.5568111079078,154404,550.0
3.8649828,1,0.0,0.1072312593460083,183.057471036911,1486.1987772225511,0.04299734,0.04299734,300,0.0071493024,1486.1987772225511,157404,566.6
3.8335187,1,0.0,-0.19826138019561768,186.60975646972656,1537.2850979058087,0.05138839,0.05138839,301,0.0071466696,1537.2850979058087,160404,587.8
3.8343737,1,0.0,-0.020705580711364746,190.15628957748413,1577.1478759960567,0.0402739,0.0402739,302,0.0067609777,1577.1478759960567,163404,607.3
3.8468692,1,0.0,-0.014101982116699219,193.69420671463013,1615.8390323483286,0.032148644,0.032148644,303,0.0076737064,1615.8390323483286,166404,625.225
3.8761275,2,0.0,0.017551839351654053,197.2828471660614,1635.876133725435,0.050683197,0.050683197,305,0.0070662685,1635.876133725435,171507,641.525
3.8901675,1,0.0,0.9073789343237877,200.72807717323303,1653.8703749531815,0.0567377,0.0567377,306,0.0071150977,1653.8703749531815,173934,650.05
3.8978653,2,0.0,0.6693282127380371,204.2586703300476,1756.4308864484585,0.059121095,0.059121095,308,0.0066929907,1756.4308864484585,179430,690.825
3.8818364,1,0.0,-0.042308688163757324,208.00169801712036,1773.5303961098048,0.04877313,0.04877313,309,0.007640131,1773.5303961098048,182430,702.625
3.8770466,1,0.0,0.07087826728820801,211.6934516429901,1782.4357575986498,0.04965069,0.04965069,310,0.007251639,1782.4357575986498,185430,712.675
3.858946,1,0.0,0.17139965295791626,215.44182801246643,1803.0548612283433,0.05375682,0.05375682,311,0.007991562,1803.0548612283433,188430,725.575
3.8878238,1,0.0,-0.043601274490356445,219.1139166355133,1809.117839846464,0.048118584,0.048118584,312,0.007729171,1809.117839846464,191430,730.05
3.887352,1,0.0,0.1819063425064087,222.93739819526672,1831.407138786982,0.04547905,0.04547905,313,0.006719631,1831.407138786982,194430,743.0
3.8819582,1,0.0,0.5648388564586639,226.75566792488098,1815.0991836696958,0.055005632,0.055005632,314,0.007676346,1815.0991836696958,194967,739.275
3.8689592,1,0.0,0.09181314706802368,230.6075029373169,1830.5736153849143,0.054236878,0.054236878,315,0.00781822,1830.5736153849143,197967,747.55
3.8687208,1,0.0,0.09130942821502686,234.38315844535828,1875.2632212926485,0.04338835,0.04338835,316,0.0074817548,1875.2632212926485,200967,761.575
3.876921,3,0.0,0.5632286071777344,238.0847373008728,1882.8908438588974,0.04905199,0.04905199,319,0.007925872,1882.8908438588974,205896,768.05
3.861778,1,0.0,0.9455065056681633,241.75794744491577,1894.5203063877118,0.06181646,0.06181646,320,0.00682973,1894.5203063877118,208728,773.075
3.8252277,1,0.0,0.1755542755126953,245.42328572273254,1924.2418495180405,0.049766924,0.049766924,321,0.008294699,1924.2418495180405,211728,785.925
3.8146648,1,0.0,0.23349279165267944,249.06867742538452,1931.52357641536,0.045164164,0.045164164,322,0.007240721,1931.52357641536,214728,790.1
3.8052983,2,0.0,0.43915092945098877,252.66316723823547,1895.1934413053357,0.046853315,0.046853315,324,0.008868355,1895.1934413053357,218343,777.925
3.8254411,1,0.0,0.38147521018981934,256.31947779655457,1907.3541761155043,0.048054148,0.048054148,325,0.008376363,1907.3541761155043,221343,787.525
3.843622,1,0.0,0.17410790920257568,259.94311237335205,1942.6488664250865,0.050505273,0.050505273,326,0.007964163,1942.6488664250865,224343,803.5
3.854407,1,0.0,0.17305779457092285,263.6182963848114,1956.1012481618677,0.046866916,0.046866916,327,0.007085165,1956.1012481618677,227343,811.35
3.8229296,1,0.0,0.8303162902593613,267.310751914978,1997.3585420377408,0.071050316,0.071050316,328,0.008359043,1997.3585420377408,229749,824.6
3.7970948,1,0.0,0.14865225553512573,270.94669675827026,2027.3121854134038,0.049800657,0.049800657,329,0.007737878,2027.3121854134038,232749,833.875
3.8064275,3,0.0,0.731304794549942,274.6663324832916,2020.891584050039,0.058703512,0.058703512,332,0.008673232,2020.891584050039,237702,834.1
3.779877,1,0.0,0.09976935386657715,278.54114270210266,2039.9089785233712,0.05767753,0.05767753,333,0.009732025,2039.9089785233712,240099,840.7
3.7782292,2,0.0,0.49710845947265625,282.30409598350525,2011.98325396927,0.059957754,0.059957754,335,0.0076195346,2011.98325396927,243705,829.475
3.7643356,1,0.0,-0.35913777351379395,285.9183523654938,2061.220845295766,0.062687084,0.062687084,336,0.008019473,2061.220845295766,246705,844.175
3.7590938,1,0.0,0.007242143154144287,289.5370399951935,2067.451337533888,0.043033272,0.043033272,337,0.008208318,2067.451337533888,249705,844.175
3.797156,1,0.0,-0.06025373935699463,293.19281029701233,2071.2818191060724,0.047971733,0.047971733,338,0.0084315315,2071.2818191060724,252705,844.175
3.7892764,1,0.0,0.8144999295473099,296.8649048805237,2080.0456097722335,0.071924955,0.071924955,339,0.008129418,2080.0456097722335,255705,844.175
3.7699888,1,0.0,0.4308674931526184,300.5539779663086,2091.5116240357665,0.06517247,0.06517247,340,0.0078278715,2091.5116240357665,258705,844.175
3.7616334,2,0.0,0.9389275051653385,304.1594748497009,2065.226992201333,0.06078045,0.06078045,342,0.009065937,2065.226992201333,262404,825.0
3.7517924,1,0.0,0.602547287940979,307.82200384140015,2053.921082414748,0.054547228,0.054547228,343,0.008279852,2053.921082414748,264750,819.55
3.7583537,1,0.0,0.9570972137153149,311.3993995189667,2059.1488274348594,0.05600355,0.05600355,344,0.008120533,2059.1488274348594,267735,819.425
3.776329,2,0.0,0.002749502658843994,315.0151767730713,2070.073057270071,0.05511117,0.05511117,346,0.008340689,2070.073057270071,272727,823.275
3.7776792,1,0.0,-0.06054353713989258,318.7789237499237,2074.4019110464797,0.04739639,0.04739639,347,0.008157463,2074.4019110464797,275727,823.275
3.7783751,1,0.0,0.8639918267726898,322.44861006736755,2077.8617266312417,0.054797895,0.054797895,348,0.007772233,2077.8617266312417,278727,827.475
3.7808595,1,0.0,0.7507640421390533,326.22750329971313,2052.3450595041513,0.059901312,0.059901312,349,0.008115997,2052.3450595041513,280248,815.15
3.8204648,1,0.0,0.3514629602432251,329.82452940940857,2056.7062237834034,0.06965154,0.06965154,350,0.0072989203,2056.7062237834034,283248,815.15
3.7900326,1,0.0,0.005033433437347412,333.5230710506439,2064.410020974953,0.044394914,0.044394914,351,0.008919056,2064.410020974953,286248,815.15
3.7805157,1,0.0,0.4751166105270386,337.1493766307831,2010.2769668336884,0.048406117,0.048406117,352,0.007266494,2010.2769668336884,286857,795.225
3.7784805,2,0.0,0.008565068244934082,340.81695008277893,2069.2402361888135,0.050228737,0.050228737,354,0.007864846,2069.2402361888135,292857,815.75
3.7518375,1,0.0,0.1975361704826355,344.4262328147888,2075.8882434313964,0.05134894,0.05134894,355,0.0076566506,2075.8882434313964,295857,815.75
3.7619405,1,0.0,-0.0021921396255493164,348.12823271751404,2060.5896630153666,0.036230482,0.036230482,356,0.007889831,2060.5896630153666,298857,815.75
3.7587523,1,0.0,0.1741020679473877,351.8626501560211,2059.8763924921986,0.056315012,0.056315012,357,0.0074537224,2059.8763924921986,301857,815.75
3.7609477,1,0.0,-0.08668959140777588,355.56980061531067,2099.1873454997426,0.050203465,0.050203465,358,0.007907559,2099.1873454997426,304857,831.75
3.792299,1,0.0,-0.3372431993484497,359.2255265712738,2141.673098953859,0.055247135,0.055247135,359,0.008526729,2141.673098953859,307857,849.675
3.809257,1,0.0,0.07014971971511841,363.10140585899353,2138.4419890587724,0.051406138,0.051406138,360,0.008027785,2138.4419890587724,310857,851.075
3.811989,2,0.0,0.5411398112773895,366.8111207485199,2140.0762465104413,0.04415228,0.04415228,362,0.00778699,2140.0762465104413,316401,847.275
3.8344748,1,0.0,-0.016750454902648926,370.5687255859375,2140.433291745623,0.04260203,0.04260203,363,0.008307372,2140.433291745623,319401,847.275
3.820557,3,0.0,0.03553205728530884,374.19419026374817,2099.9753348310337,0.06728861,0.06728861,366,0.00932686,2099.9753348310337,324039,830.8
3.8041692,2,0.0,0.6860381662845612,377.87575125694275,2063.500046330616,0.05494971,0.05494971,368,0.007441905,2063.500046330616,327762,816.775
3.8010635,1,0.0,0.8538288027048111,381.6385223865509,2023.896263982917,0.060420416,0.060420416,369,0.0073503884,2023.896263982917,329439,805.75
3.7785358,1,0.0,0.0498661994934082,385.3273231983185,2020.1884047382277,0.04685002,0.04685002,370,0.008361544,2020.1884047382277,332439,805.75
3.7694721,1,0.0,-0.12709510326385498,389.06058621406555,2068.5385819709327,0.048732847,0.048732847,371,0.007640914,2068.5385819709327,335439,822.875
3.7492962,1,0.0,0.9386494792997837,392.76155042648315,2111.165318836668,0.048280474,0.048280474,372,0.0074469307,2111.165318836668,338328,838.55
3.7582946,1,0.0,0.8606501072645187,396.4232771396637,2074.1854969510046,0.05739311,0.05739311,373,0.008034399,2074.1854969510046,339273,826.45
3.7396257,1,0.0,-0.2078864574432373,400.1231155395508,2086.802651297119,0.04934974,0.04934974,374,0.008200726,2086.802651297119,342273,833.375
3.739722,1,0.0,-0.013792753219604492,403.6851053237915,2120.832876158844,0.046537556,0.046537556,375,0.008199358,2120.832876158844,345273,846.4
3.7212522,2,0.0,0.39654600620269775,407.3739061355591,2083.261721281751,0.048475675,0.048475675,377,0.008068174,2083.261721281751,350199,837.45
3.7054815,1,0.0,0.029638946056365967,411.0571196079254,2084.0239587022834,0.03860671,0.03860671,378,0.008127281,2084.0239587022834,353199,837.45
3.7034323,1,0.0,0.05122298002243042,414.7337031364441,2085.6833154740334,0.059768297,0.059768297,379,0.008782349,2085.6833154740334,356199,837.45
3.7135248,1,0.0,-0.05294382572174072,418.50318932533264,2086.0205101796064,0.046568938,0.046568938,380,0.007881967,2086.0205101796064,359199,837.45
3.714028,1,0.0,-0.07154572010040283,422.2222971916199,2103.6911543404717,0.050594244,0.050594244,381,0.0076035364,2103.6911543404717,362199,845.575
3.7433186,1,0.0,0.01736283302307129,425.874968290329,2131.90266138816,0.03792327,0.03792327,382,0.00813519,2131.90266138816,365199,856.625
3.7286074,1,0.0,0.06175023317337036,429.50263118743896,2149.2531059164985,0.046282303,0.046282303,383,0.006734332,2149.2531059164985,368199,862.075
3.72571,1,0.0,0.027632713317871094,433.1718661785126,2147.7939321157414,0.03904581,0.03904581,384,0.008981388,2147.7939321157414,371199,862.2
3.7282329,1,0.0,-9.143352508544922e-05,436.7799563407898,2159.9285658423937,0.039457273,0.039457273,385,0.008890325,2159.9285658423937,374199,862.2
3.7704768,1,0.0,0.057022273540496826,440.41193175315857,2183.4030276130825,0.050030425,0.050030425,386,0.0077922116,2183.4030276130825,377199,870.6
3.7954412,2,0.0,0.6657520234584808,444.12817001342773,2188.1365622162134,0.052822,0.052822,388,0.009007208,2188.1365622162134,382590,865.525
3.7943664,1,0.0,-0.2825871706008911,447.7641453742981,2226.205875484974,0.048599936,0.048599936,389,0.0066186045,2226.205875484974,385590,877.85
3.8048031,1,0.0,0.008437633514404297,451.5116391181946,2236.9680779222667,0.047956213,0.047956213,390,0.0079300655,2236.9680779222667,388590,877.85
3.808718,2,0.0,0.0014781355857849121,455.24978160858154,2304.287563781682,0.04002757,0.04002757,392,0.008230692,2304.287563781682,394590,897.775
3.8099897,1,0.0,-0.01903820037841797,458.8340599536896,2311.485861778877,0.03907974,0.03907974,393,0.007925384,2311.485861778877,397590,897.775
3.795103,1,0.0,0.9843399524688721,462.56062626838684,2284.3576971380016,0.065038994,0.065038994,394,0.0077947997,2284.3576971380016,398913,883.8
3.794562,1,0.0,-0.11941111087799072,466.2562520503998,2285.471994375921,0.052605618,0.052605618,395,0.008035548,2285.471994375921,401913,883.8
3.8110027,2,0.0,0.6785254776477814,469.94244360923767,2296.29282703085,0.043063954,0.043063954,397,0.008011153,2296.29282703085,406935,875.65
