surrgain,EpRewMean,EpLenMean,TimestepsSoFar,optimgain,EpThisIter,meankl,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entropy,TimeElapsed,entloss
0.1141451,103.12628507432359,21.8,3042,0.1141451,46,0.0070242276,46,103.12628507432359,0.30320054292678833,24.094242,10.404210805892944,0.0
0.12957753,115.36625978185137,24.625,6102,0.12957753,42,0.0069162343,88,115.36625978185137,0.22032976150512695,24.086672,19.491777181625366,0.0
0.15856697,119.53040736965924,25.35,9144,0.15856697,40,0.0066741244,128,119.53040736965924,0.2622506022453308,24.107424,28.541480541229248,0.0
0.16200182,128.10163892334384,27.5,12252,0.16200182,37,0.006794958,165,128.10163892334384,0.45632219314575195,24.12964,37.689610719680786,0.0
0.16067585,143.43600243860683,30.875,15327,0.16067585,32,0.0069990833,197,143.43600243860683,0.4755382537841797,24.122538,46.802204608917236,0.0
0.17105898,146.4160459765413,31.05,18294,0.17105898,31,0.006401849,228,146.4160459765413,0.47397565841674805,24.074688,55.392454385757446,0.0
0.24114731,148.72871547209758,31.3,21285,0.24114731,31,0.006950726,259,148.72871547209758,0.5639931559562683,24.09593,63.66304016113281,0.0
0.2692882,159.9573211882617,34.1,24225,0.2692882,27,0.0071191066,286,159.9573211882617,0.472936749458313,24.0862,71.95666527748108,0.0
0.16676678,176.36844236132575,37.425,27306,0.16676678,27,0.007193447,313,176.36844236132575,0.6134027540683746,24.028055,80.25395965576172,0.0
0.15585686,173.2903878437399,36.625,30324,0.15585686,27,0.007591483,340,173.2903878437399,0.688630998134613,23.990236,88.57651948928833,0.0
0.15785033,197.14695721245283,41.825,33396,0.15785033,22,0.008164453,362,197.14695721245283,0.6947857141494751,23.96995,96.94325375556946,0.0
0.20224544,218.51467998250774,46.0,36465,0.20224544,22,0.007517785,384,218.51467998250774,0.6777929365634918,23.96761,105.22558951377869,0.0
0.16284609,245.0930146580351,51.225,39543,0.16284609,18,0.0072759897,402,245.0930146580351,0.706960529088974,23.979742,113.5664222240448,0.0
0.23773178,253.39064203042912,53.125,42570,0.23773178,20,0.0072190585,422,253.39064203042912,0.719958633184433,23.967546,121.93348288536072,0.0
0.2628797,257.3186919243948,54.15,45750,0.2628797,18,0.007408457,440,257.3186919243948,0.7738503962755203,23.949295,130.27280378341675,0.0
0.1731278,270.76786596218744,56.125,48774,0.1731278,18,0.00803994,458,270.76786596218744,0.7707029432058334,23.918451,138.62943053245544,0.0
0.1902748,277.22911260409376,57.25,51729,0.1902748,17,0.008523183,475,277.22911260409376,0.7892889529466629,23.896011,147.04365706443787,0.0
0.21521527,278.25933546939183,57.675,54855,0.21521527,18,0.00872094,493,278.25933546939183,0.7855471521615982,23.871317,155.54430723190308,0.0
0.19321927,288.1441104849756,59.5,57999,0.19321927,17,0.008029336,510,288.1441104849756,0.816907599568367,23.879456,164.3378303050995,0.0
0.39969182,304.2126134579404,63.125,61020,0.39969182,16,0.008526465,526,304.2126134579404,0.7488688230514526,23.865723,173.21145486831665,0.0
0.21122718,302.8906893770644,62.65,63933,0.21122718,16,0.008445305,542,302.8906893770644,0.7666990458965302,23.842693,182.1144037246704,0.0
0.254899,299.4258549568101,62.2,66909,0.254899,16,0.0077754944,558,299.4258549568101,0.8081461191177368,23.823074,191.01117753982544,0.0
0.17920244,303.0755837025037,62.35,69789,0.17920244,15,0.008221603,573,303.0755837025037,0.8464939445257187,23.802752,199.98501205444336,0.0
0.22028087,325.15947946855,66.5,72966,0.22028087,16,0.00889462,589,325.15947946855,0.8781927153468132,23.78538,208.91661381721497,0.0
0.18221614,311.3213558569815,64.225,76125,0.18221614,17,0.009012934,606,311.3213558569815,0.8470796495676041,23.76319,217.86654663085938,0.0
0.29101202,316.44759295383,66.0,79287,0.29101202,15,0.008418093,621,316.44759295383,0.873760998249054,23.772398,226.79148364067078,0.0
0.19909729,319.9432252560713,66.125,82266,0.19909729,15,0.008903343,636,319.9432252560713,0.8549322336912155,23.747053,235.68844485282898,0.0
0.20432013,326.60694597757083,67.375,85386,0.20432013,16,0.008774163,652,326.60694597757083,0.8586770296096802,23.761393,244.64736080169678,0.0
0.20782755,332.1362168991754,67.75,88644,0.20782755,15,0.009894479,667,332.1362168991754,0.8436898738145828,23.748533,253.61770582199097,0.0
0.25004467,343.0700556328461,69.95,91839,0.25004467,15,0.0091030495,682,343.0700556328461,0.9070730656385422,23.714619,262.5360107421875,0.0
0.23686087,322.7617135978027,65.5,94980,0.23686087,17,0.009585602,699,322.7617135978027,0.89217758923769,23.690248,271.4851772785187,0.0
0.3173363,328.59808035825,65.275,97959,0.3173363,15,0.010044778,714,328.59808035825,0.8542831242084503,23.68685,280.3598425388336,0.0
0.27492622,338.17394486300566,67.875,101001,0.27492622,13,0.009876048,727,338.17394486300566,0.8492052257061005,23.660643,289.3209149837494,0.0
0.2158426,350.6090049789536,70.975,104043,0.2158426,15,0.009723809,742,350.6090049789536,0.8873138278722763,23.63875,298.24758863449097,0.0
0.20367143,346.9517739275151,71.2,107115,0.20367143,15,0.009821855,757,346.9517739275151,0.8667620271444321,23.661394,307.1292576789856,0.0
0.21900678,338.43193466496945,68.625,110199,0.21900678,14,0.009811629,771,338.43193466496945,0.8958089426159859,23.665464,316.0542221069336,0.0
0.50746536,340.04163757060263,69.025,113196,0.50746536,15,0.01129785,786,340.04163757060263,0.8583494126796722,23.700766,324.98547625541687,0.0
0.19307266,343.232648979775,69.3,116259,0.19307266,15,0.010597286,801,343.232648979775,0.9069439023733139,23.682371,333.9719111919403,0.0
0.2143167,347.91198164503004,70.325,119421,0.2143167,14,0.009730328,815,347.91198164503004,0.9239422753453255,23.682453,343.02537655830383,0.0
0.22731882,364.016757246015,73.8,122433,0.22731882,13,0.009529114,828,364.016757246015,0.8559268116950989,23.654055,352.0558376312256,0.0
0.20932506,377.52720784803455,76.45,125433,0.20932506,13,0.010496777,841,377.52720784803455,0.9058807715773582,23.618631,361.1202881336212,0.0
0.20672078,371.0576970703484,74.675,128382,0.20672078,14,0.010163351,855,371.0576970703484,0.8258437961339951,23.613527,370.1006603240967,0.0
0.25242865,372.76665750405266,75.25,131463,0.25242865,13,0.009690959,868,372.76665750405266,0.8290189355611801,23.60229,379.1701624393463,0.0
0.24139485,368.63397267042285,74.425,134547,0.24139485,14,0.009442614,882,368.63397267042285,0.8868912234902382,23.579592,388.1745545864105,0.0
0.22960815,385.88222416217036,78.625,137574,0.22960815,12,0.009048073,894,385.88222416217036,0.8227442353963852,23.550947,397.262246131897,0.0
0.21184988,374.8636655283429,75.925,140802,0.21184988,15,0.010036673,909,374.8636655283429,0.9165899381041527,23.54533,406.2659332752228,0.0
0.20418784,372.3326467995229,75.725,143877,0.20418784,14,0.009714017,923,372.3326467995229,0.9065759852528572,23.559996,415.29962372779846,0.0
0.22657874,371.12837709422894,75.325,146991,0.22657874,13,0.010231019,936,371.12837709422894,0.9062265679240227,23.567629,424.548335313797,0.0
0.26036662,376.25428321481235,76.2,149946,0.26036662,13,0.010471725,949,376.25428321481235,0.9095907136797905,23.578615,433.65752243995667,0.0
0.24176547,384.1392940516091,77.0,152913,0.24176547,13,0.0101161,962,384.1392940516091,0.8758018016815186,23.55853,442.737731218338,0.0
0.19220573,367.33460273018807,73.375,156018,0.19220573,15,0.011128784,977,367.33460273018807,0.9047961011528969,23.556902,451.8049066066742,0.0
0.24918032,369.75466425896155,74.4,159108,0.24918032,13,0.010162244,990,369.75466425896155,0.9295347109436989,23.55932,460.9290692806244,0.0
0.22809292,352.62080863472863,71.95,162021,0.22809292,14,0.0101046655,1004,352.62080863472863,0.8845821619033813,23.554693,469.9505627155304,0.0
0.21302849,370.7313155932854,75.95,165132,0.21302849,13,0.009532725,1017,370.7313155932854,0.9106306582689285,23.517828,479.0393397808075,0.0
0.23941481,361.0734312228309,74.8,168303,0.23941481,14,0.010093983,1031,361.0734312228309,0.9137404784560204,23.488947,488.1448516845703,0.0
0.19654068,371.5307029168863,77.5,171321,0.19654068,13,0.010125382,1044,371.5307029168863,0.9303047508001328,23.491472,497.2306830883026,0.0
0.25778693,364.07923586635013,75.525,174495,0.25778693,14,0.010470391,1058,364.07923586635013,0.9124981388449669,23.509928,506.3297002315521,0.0
0.2655203,373.27404655391535,77.2,177567,0.2655203,13,0.011681501,1071,373.27404655391535,0.9318123757839203,23.4826,515.2767200469971,0.0
0.23548958,374.5747269720774,76.8,180306,0.23548958,12,0.010777326,1083,374.5747269720774,0.9199573993682861,23.508795,524.3040723800659,0.0
0.20534322,380.05193508537013,78.075,183468,0.20534322,13,0.0101907505,1096,380.05193508537013,0.9120537340641022,23.495283,533.3230745792389,0.0
0.23075572,375.43555186149024,76.45,186531,0.23075572,14,0.010289799,1110,375.43555186149024,0.9058042988181114,23.464762,542.4495921134949,0.0
0.22306284,382.20894732046133,77.65,189624,0.22306284,13,0.010248489,1123,382.20894732046133,0.9229596331715584,23.443584,551.5259737968445,0.0
0.21618144,381.4138424084419,76.725,192939,0.21618144,14,0.010067702,1137,381.4138424084419,0.9148673266172409,23.447027,560.5768642425537,0.0
0.29062635,386.83014503856646,77.875,196092,0.29062635,14,0.011440454,1151,386.83014503856646,0.9363784939050674,23.452864,569.6511745452881,0.0
0.21298474,384.3092760660421,77.325,199203,0.21298474,13,0.0113433935,1164,384.3092760660421,0.9352467730641365,23.437258,578.7569189071655,0.0
0.23510143,378.2006518467907,76.525,202293,0.23510143,14,0.011747474,1178,378.2006518467907,0.9135022088885307,23.445086,587.8303735256195,0.0
0.23348136,386.5252832098822,78.6,205284,0.23348136,12,0.011063929,1190,386.5252832098822,0.8916815146803856,23.432367,596.9722430706024,0.0
0.23357922,383.46326374652904,78.025,208305,0.23357922,13,0.011218227,1203,383.46326374652904,0.8982301875948906,23.429037,606.1153321266174,0.0
0.22837523,396.38983771994447,81.05,211608,0.22837523,13,0.010659258,1216,396.38983771994447,0.9073703065514565,23.439947,615.2850661277771,0.0
0.31990975,414.09543587096715,83.95,214935,0.31990975,12,0.011358212,1228,414.09543587096715,0.9350134208798409,23.454855,624.4315123558044,0.0
0.2858526,414.9230329283806,83.625,218100,0.2858526,14,0.012537599,1242,414.9230329283806,0.9168741479516029,23.443377,633.5394916534424,0.0
0.23375395,404.8327077338131,81.7,221115,0.23375395,13,0.010758638,1255,404.8327077338131,0.9109100103378296,23.44847,642.7499809265137,0.0
0.23370793,373.5011491894464,75.075,224229,0.23370793,14,0.010883911,1269,373.5011491894464,0.924583911895752,23.43976,651.8198890686035,0.0
0.21738309,379.3020105068178,76.925,227508,0.21738309,14,0.010736113,1283,379.3020105068178,0.9196193814277649,23.42853,660.8998484611511,0.0
0.24955861,387.77188814639885,79.025,230598,0.24955861,12,0.012431877,1295,387.77188814639885,0.9017294123768806,23.408627,669.945319890976,0.0
0.31667486,376.30330872179104,76.85,233772,0.31667486,15,0.011859132,1310,376.30330872179104,0.9216873943805695,23.388933,679.0105073451996,0.0
0.24510866,392.8093073210988,80.55,236475,0.24510866,10,0.012350714,1320,392.8093073210988,0.9181772992014885,23.388895,688.1004865169525,0.0
0.2564922,398.23053944500685,80.6,239733,0.2564922,13,0.011573166,1333,398.23053944500685,0.9086730107665062,23.414125,697.2004864215851,0.0
0.23142266,419.90041541722184,84.7,242604,0.23142266,11,0.01213282,1344,419.90041541722184,0.917635940015316,23.412922,706.2220575809479,0.0
0.23228356,414.0619387178458,83.025,245637,0.23228356,13,0.011201281,1357,414.0619387178458,0.9509959146380424,23.394533,715.2869608402252,0.0
0.23793462,408.4434886557548,82.225,248751,0.23793462,12,0.011447419,1369,408.4434886557548,0.8759109526872635,23.398909,724.3224895000458,0.0
0.26419312,393.7061230865804,79.225,251652,0.26419312,13,0.011883201,1382,393.7061230865804,0.883959136903286,23.38444,733.3311970233917,0.0
0.2587221,404.1268244414242,81.45,254766,0.2587221,12,0.011014455,1394,404.1268244414242,0.9147865101695061,23.388918,742.4132497310638,0.0
0.2467078,392.80939221151687,79.55,257751,0.2467078,13,0.012847805,1407,392.80939221151687,0.8924929350614548,23.365969,751.4185237884521,0.0
0.28223544,396.8804452991395,80.8,260673,0.28223544,12,0.01249459,1419,396.8804452991395,0.8731605857610703,23.361406,760.5119707584381,0.0
0.23997271,391.0786753625421,80.35,263820,0.23997271,13,0.011159762,1432,391.0786753625421,0.9140687808394432,23.362612,769.4805424213409,0.0
0.24228106,378.9616311893725,79.5,267009,0.24228106,14,0.011307292,1446,378.9616311893725,0.9071277976036072,23.357355,778.5627567768097,0.0
0.2531734,396.9012034455727,82.35,269958,0.2531734,10,0.012867847,1456,396.9012034455727,0.9091161042451859,23.375895,787.64723777771,0.0
0.27880913,413.8268221750724,85.975,272880,0.27880913,11,0.012730897,1467,413.8268221750724,0.9040929079055786,23.359552,796.7175364494324,0.0
