EpisodesSoFar,TimeElapsed,entloss,optimgain,TimestepsSoFar,EpRewMean,entropy,ev_tdlam_before,EpTrueRewMean,EpThisIter,meankl,surrgain,EpLenMean
34,5.243871450424194,0.0,0.048564803,3027,35.70438232566361,4.22541,0.2942272424697876,35.70438232566361,34,0.008004343,0.048564803,29.676470588235293
48,9.486950635910034,0.0,0.043944694,6078,62.52555408792789,4.1846333,0.14283114671707153,62.52555408792789,14,0.0069634933,0.043944694,43.8
61,13.70136308670044,0.0,0.045628004,9273,101.3149064450846,4.1659155,0.31354355812072754,101.3149064450846,13,0.0062069697,0.045628004,60.225
71,17.918147325515747,0.0,0.043577846,12318,144.5385812637673,4.1246614,0.6176624000072479,144.5385812637673,10,0.0061162445,0.043577846,79.375
82,22.090368509292603,0.0,0.04376051,15453,170.16885942672246,4.097664,0.7411546409130096,170.16885942672246,11,0.006328763,0.04376051,86.65
92,26.806533098220825,0.0,0.042768627,18402,191.69392762971262,4.1021667,0.7970805913209915,191.69392762971262,10,0.0075783245,0.042768627,93.475
102,31.590243816375732,0.0,0.038239405,21435,207.5610900161361,4.056923,0.7960865050554276,207.5610900161361,10,0.006591767,0.038239405,99.075
112,35.90363097190857,0.0,0.041802105,24438,210.08712847086218,4.024376,0.8117306381464005,210.08712847086218,10,0.00674975,0.041802105,98.75
121,40.07705020904541,0.0,0.04391555,27297,217.09684869850958,4.0404367,0.8889018893241882,217.09684869850958,9,0.006938292,0.04391555,101.025
129,43.996060609817505,0.0,0.050538234,30198,231.3672686199051,4.0082417,0.8872053846716881,231.3672686199051,8,0.0073762382,0.050538234,105.15
138,47.836453437805176,0.0,0.04212006,33531,253.90760038883673,4.036834,0.9348419010639191,253.90760038883673,9,0.0069565745,0.04212006,111.725
147,51.43067264556885,0.0,0.043794714,36501,261.9426685570937,4.0213337,0.8188481479883194,261.9426685570937,9,0.0063225636,0.043794714,113.3
155,55.05338382720947,0.0,0.040757194,39345,273.65092859705584,4.0632553,0.8824940025806427,273.65092859705584,8,0.006785112,0.040757194,116.425
163,58.6491756439209,0.0,0.04293239,42372,285.7218286560119,4.0815754,0.9541225880384445,285.7218286560119,8,0.0060435142,0.04293239,119.425
171,62.25860619544983,0.0,0.0487056,45471,290.4149173654422,4.068359,0.9607379026710987,290.4149173654422,8,0.006705834,0.0487056,121.05
178,65.99225068092346,0.0,0.04316526,48213,293.80995505262945,4.0394006,0.9679956696927547,293.80995505262945,7,0.0075149704,0.04316526,122.35
186,69.73460960388184,0.0,0.042708114,51351,303.99798083264096,4.023247,0.9673475064337254,303.99798083264096,8,0.0072954474,0.042708114,125.125
194,73.34649133682251,0.0,0.048495248,54171,309.6194380215864,4.021423,0.8756426051259041,309.6194380215864,8,0.0070504844,0.048495248,126.825
202,77.0955240726471,0.0,0.044408984,57372,313.82094025867593,4.0246334,0.9811481945216656,313.82094025867593,8,0.0075764256,0.044408984,128.1
210,80.69468951225281,0.0,0.04646648,60471,319.1953459736718,4.025353,0.9741820301860571,319.1953459736718,8,0.0066150036,0.04646648,128.075
218,84.36104559898376,0.0,0.037146315,63474,320.0206307213745,3.976799,0.869233101606369,320.0206307213745,8,0.008414438,0.037146315,127.175
226,87.96006941795349,0.0,0.04701472,66609,323.42735196192746,3.9788451,0.9732528738677502,323.42735196192746,8,0.008047145,0.04701472,127.15
233,91.65139865875244,0.0,0.05012989,69513,338.0880940010189,3.9198284,0.990065747871995,338.0880940010189,7,0.0078511,0.05012989,130.925
240,95.32885313034058,0.0,0.049073417,72369,342.28811103376677,3.8863225,0.9883966986089945,342.28811103376677,7,0.007708191,0.049073417,131.25
247,98.97403597831726,0.0,0.04512334,75393,352.47050597710813,3.9071424,0.9932341617532074,352.47050597710813,7,0.00700642,0.04512334,133.825
254,102.58269762992859,0.0,0.043033674,78384,363.777031510146,3.884346,0.9870314784348011,363.777031510146,7,0.008072218,0.043033674,137.2
261,106.26655387878418,0.0,0.050075673,81375,370.52843853332814,3.8362713,0.9926489437930286,370.52843853332814,7,0.0076464084,0.050075673,139.0
268,109.93928575515747,0.0,0.04457316,84363,379.10599742789014,3.8219604,0.995608433149755,379.10599742789014,7,0.007848675,0.04457316,141.1
275,113.62303638458252,0.0,0.04891376,87303,381.95158983701066,3.8004394,0.9935383591800928,381.95158983701066,7,0.008433433,0.04891376,141.3
282,117.238201379776,0.0,0.044343054,90297,388.16798057529775,3.7661822,0.995949705131352,388.16798057529775,7,0.008646507,0.044343054,142.525
289,120.9543228149414,0.0,0.048247885,93300,389.02743932805856,3.741921,0.9957476258277893,389.02743932805856,7,0.008139176,0.048247885,141.975
296,124.67318439483643,0.0,0.04811515,96369,395.1049904270203,3.7210383,0.9974264013580978,395.1049904270203,7,0.00953525,0.04811515,143.125
303,128.24220252037048,0.0,0.051200226,99435,398.1781654730108,3.7423723,0.9977672894019634,398.1781654730108,7,0.0077309688,0.051200226,143.225
310,131.84801602363586,0.0,0.045189057,102477,401.5763111458806,3.718512,0.9973435918800533,401.5763111458806,7,0.009007777,0.045189057,144.1
317,135.5985631942749,0.0,0.04510667,105579,407.77799527967824,3.734345,0.9981507122283801,407.77799527967824,7,0.007871604,0.04510667,145.425
324,139.33939838409424,0.0,0.05279681,108672,410.23192004555796,3.731171,0.9983661692822352,410.23192004555796,7,0.007826874,0.05279681,145.625
331,143.03899765014648,0.0,0.038409583,111777,413.6989604176915,3.7186823,0.9987094651442021,413.6989604176915,7,0.0069996305,0.038409583,146.675
338,146.6475007534027,0.0,0.04766018,114894,415.65717778661536,3.6758485,0.9984760485822335,415.65717778661536,7,0.009615412,0.04766018,147.25
345,150.36011242866516,0.0,0.03733249,118026,417.12781002232884,3.6426916,0.9850694602355361,417.12781002232884,7,0.008018219,0.03733249,147.7
352,153.97675681114197,0.0,0.04868062,121206,420.1048867135916,3.5962603,0.9974384442903101,420.1048867135916,7,0.0075594774,0.04868062,148.75
359,157.74935817718506,0.0,0.055409446,124329,421.71351054272407,3.6174688,0.9984278795309365,421.71351054272407,7,0.0072807595,0.055409446,149.025
366,161.34698486328125,0.0,0.044088174,127458,422.44109354932004,3.5893633,0.9974748238455504,422.44109354932004,7,0.0078659775,0.044088174,149.075
373,165.03409075737,0.0,0.04765732,130560,423.5500512061359,3.5550215,0.9992888980777934,423.5500512061359,7,0.0077081975,0.04765732,149.225
380,168.77627062797546,0.0,0.04834199,133605,421.34081377581134,3.5471804,0.9763899054378271,421.34081377581134,7,0.0074810665,0.04834199,148.475
387,172.4050600528717,0.0,0.04624824,136722,422.3256049370049,3.5086381,0.9992326789069921,422.3256049370049,7,0.00873765,0.04624824,148.575
393,176.04839849472046,0.0,0.06284596,139452,422.02154958478343,3.4925146,0.9988810556242242,422.02154958478343,6,0.00866997,0.06284596,148.4
400,179.59274339675903,0.0,0.042298157,142659,423.86763767086666,3.4754922,0.9991029800730757,423.86763767086666,7,0.008352868,0.042298157,149.05
407,183.34772086143494,0.0,0.046615086,145872,426.7954670344785,3.4032881,0.9992814613506198,426.7954670344785,7,0.009234132,0.046615086,149.85
413,187.03342247009277,0.0,0.03953376,148686,430.65143853868966,3.3418865,0.9994125195662491,430.65143853868966,6,0.008134073,0.03953376,151.05
420,190.75225114822388,0.0,0.037004717,151689,428.94396424518965,3.291964,0.8700623363256454,428.94396424518965,7,0.007905915,0.037004717,150.7
427,194.42446875572205,0.0,0.0427975,155085,435.9564349938264,3.2519841,0.9988310730550438,435.9564349938264,7,0.0092920605,0.0427975,153.025
434,198.0976002216339,0.0,0.05196975,158553,443.0204824369815,3.2175574,0.9974712191615254,443.0204824369815,7,0.009078726,0.05196975,155.45
440,201.78773951530457,0.0,0.04366243,161700,451.0932352233582,3.2504275,0.9982407920761034,451.0932352233582,6,0.008974136,0.04366243,158.675
446,205.37570762634277,0.0,0.078779206,164877,460.33550164605793,3.2638156,0.9959686240181327,460.33550164605793,6,0.008781783,0.078779206,162.325
451,209.02249765396118,0.0,0.05115989,167832,475.0768683610013,3.2343447,0.9623178653419018,475.0768683610013,5,0.008998867,0.05115989,167.475
457,212.6792917251587,0.0,0.04594097,171027,481.2655575099383,3.247312,0.9969817860983312,481.2655575099383,6,0.00859153,0.04594097,170.325
461,216.25744891166687,0.0,0.049571924,173655,510.48377472584815,3.2385037,0.9837601333856583,510.48377472584815,4,0.008479917,0.049571924,179.075
466,219.88194584846497,0.0,0.0641063,176802,530.525996060597,3.2324238,0.9828933756798506,530.525996060597,5,0.009308412,0.0641063,185.025
470,223.56547451019287,0.0,0.05587785,179628,553.7693946786277,3.1936343,0.9837895538657904,553.7693946786277,4,0.008930981,0.05587785,192.2
475,227.2231228351593,0.0,0.049127765,183207,583.2125718844252,3.232542,0.9897776218131185,583.2125718844252,5,0.008878415,0.049127765,201.275
478,230.92894458770752,0.0,0.054851532,185658,607.40580864357,3.1942441,0.9821618683636189,607.40580864357,3,0.008702035,0.054851532,208.75
481,234.54423141479492,0.0,0.053395726,190002,678.7198375361744,3.1601484,0.9717080816626549,678.7198375361744,3,0.009112368,0.053395726,231.875
485,238.16643738746643,0.0,0.05230882,193866,723.219924035325,3.1402378,0.9701346345245838,723.219924035325,4,0.009001654,0.05230882,245.8
488,241.80922985076904,0.0,0.04211875,196413,738.4457117446025,3.1004848,0.5278430581092834,738.4457117446025,3,0.009234475,0.04211875,252.775
489,245.42054271697998,0.0,0.045053463,197415,750.2477683608907,3.1260095,0.9211031943559647,750.2477683608907,1,0.008878257,0.045053463,256.7
492,249.06764006614685,0.0,0.0456179,200670,788.1401441835962,3.1610415,0.971407562494278,788.1401441835962,3,0.008047691,0.0456179,269.375
494,252.69710779190063,0.0,0.05680825,203568,834.8399951882704,3.1314182,0.9508328661322594,834.8399951882704,2,0.009376662,0.05680825,284.7
496,256.38886523246765,0.0,0.041372456,207762,909.2120059696308,3.0875263,0.9411976188421249,909.2120059696308,2,0.009091089,0.041372456,310.475
498,260.05420112609863,0.0,0.059398532,210654,949.6474259325514,3.1028821,0.9445302560925484,949.6474259325514,2,0.009267636,0.059398532,324.925
502,263.76213097572327,0.0,0.040541183,216633,1025.3447738208804,3.075256,0.8252888470888138,1025.3447738208804,4,0.008750462,0.040541183,352.45
505,267.3596546649933,0.0,0.056286536,219777,1051.4237163088237,3.1005251,0.9601680487394333,1051.4237163088237,3,0.00995772,0.056286536,362.375
506,270.96425557136536,0.0,0.048674963,222777,1109.120380110558,3.1108916,-0.020029306411743164,1109.120380110558,1,0.009319012,0.048674963,383.125
508,274.5725677013397,0.0,0.0439032,226062,1158.587153585803,3.0775547,0.9584909565746784,1158.587153585803,2,0.00901226,0.0439032,400.225
510,278.21412682533264,0.0,0.033791486,231291,1242.863199980056,3.0658898,0.7000923752784729,1242.863199980056,2,0.008931524,0.033791486,430.525
512,281.8951108455658,0.0,0.044730928,234999,1292.546846983171,3.0790002,0.705664724111557,1292.546846983171,2,0.008431738,0.044730928,449.5
513,285.5716931819916,0.0,0.04090496,237999,1343.5145184705511,3.0330837,-0.08385539054870605,1343.5145184705511,1,0.008954706,0.04090496,467.825
514,289.2488615512848,0.0,0.051979393,238647,1340.2361406508505,3.0548382,0.9556235112249851,1340.2361406508505,1,0.0082916,0.051979393,466.8
515,292.8765585422516,0.0,0.070016995,240399,1367.4473317817512,3.05607,0.9105119705200195,1367.4473317817512,1,0.008769153,0.070016995,476.6
519,296.5197796821594,0.0,0.060112968,244866,1359.9358541817487,3.005684,0.682613730430603,1359.9358541817487,4,0.009893423,0.060112968,476.675
524,300.17600989341736,0.0,0.059464686,248109,1306.1845372772655,3.0498734,0.9089792892336845,1306.1845372772655,5,0.008843506,0.059464686,458.275
525,303.824524641037,0.0,0.038284216,251109,1358.553805259152,2.9631984,-0.03682518005371094,1358.553805259152,1,0.0089921355,0.038284216,477.025
526,307.53709149360657,0.0,0.034278534,254109,1408.4059464369918,2.9820333,0.07333236932754517,1408.4059464369918,1,0.008626289,0.034278534,495.45
528,311.27508783340454,0.0,0.047595162,257499,1447.5883864194334,2.9858499,0.6952679455280304,1447.5883864194334,2,0.011344761,0.047595162,509.05
529,314.84245252609253,0.0,0.039893977,260499,1494.513254741411,2.9643762,-0.021927952766418457,1494.513254741411,1,0.008788867,0.039893977,525.7
530,318.57063150405884,0.0,0.0366488,263499,1539.5961745702446,2.926839,0.14406758546829224,1539.5961745702446,1,0.009303434,0.0366488,542.275
532,322.19188594818115,0.0,0.02985028,269499,1624.0824791801685,2.8806658,-0.013029217720031738,1624.0824791801685,2,0.008553377,0.02985028,573.575
534,325.8315534591675,0.0,0.041568313,273153,1641.0023512871903,2.9105322,0.7111087739467621,1641.0023512871903,2,0.0089968145,0.041568313,579.875
535,329.4580636024475,0.0,0.034239754,276153,1643.8207786587122,2.8921301,0.02102816104888916,1643.8207786587122,1,0.009022102,0.034239754,580.975
536,333.04457902908325,0.0,0.031155482,279153,1685.7436803170003,2.9272683,-0.01483297348022461,1685.7436803170003,1,0.009278353,0.031155482,594.925
538,336.730548620224,0.0,0.033347424,282807,1706.9777934682395,2.9670403,0.7316217422485352,1706.9777934682395,2,0.008723624,0.033347424,601.275
539,340.4029402732849,0.0,0.040650517,285807,1707.7531577329123,2.9207132,0.02115178108215332,1707.7531577329123,1,0.010254087,0.040650517,601.275
541,344.067822933197,0.0,0.049651466,291807,1814.482393990053,2.9061484,0.0008308291435241699,1814.482393990053,2,0.008997958,0.049651466,637.1
544,347.6997082233429,0.0,0.0513049,296901,1851.9665292242425,2.8849263,0.7871277183294296,1851.9665292242425,3,0.009814991,0.0513049,648.45
545,351.34273195266724,0.0,0.038441613,299901,1906.84426886118,2.856537,0.0028490424156188965,1906.84426886118,1,0.009610079,0.038441613,667.7
546,354.9830803871155,0.0,0.045419015,302901,1911.1711507197542,2.850442,-0.016058802604675293,1911.1711507197542,1,0.008577347,0.045419015,667.7
548,358.5501730442047,0.0,0.06155302,306462,1918.2264206983477,2.82425,0.728619247674942,1918.2264206983477,2,0.009713195,0.06155302,670.0
550,362.20574283599854,0.0,0.050207376,310131,1884.256687924914,2.7417276,0.7330117225646973,1884.256687924914,2,0.0099666985,0.050207376,657.0
551,365.88193440437317,0.0,0.03897564,313131,1889.7631645027723,2.7629504,0.0027625560760498047,1889.7631645027723,1,0.008690535,0.03897564,657.0
552,369.51498579978943,0.0,0.050589122,316131,1948.2133739293465,2.7646706,0.6354354023933411,1948.2133739293465,1,0.009012149,0.050589122,676.1
553,373.22170972824097,0.0,0.03828356,319131,1950.9029549132842,2.8575845,0.009463071823120117,1950.9029549132842,1,0.010051975,0.03828356,676.1
554,377.12226605415344,0.0,0.044604443,322131,2005.6991057182786,2.8143008,-0.015156030654907227,2005.6991057182786,1,0.009398758,0.044604443,695.7
555,380.849529504776,0.0,0.04818338,325131,2035.9274784646666,2.8402684,-0.009926438331604004,2035.9274784646666,1,0.009116987,0.04818338,706.1
557,384.38920164108276,0.0,0.04174568,330270,2078.075766408543,2.8389199,0.20951485633850098,2078.075766408543,2,0.009235762,0.04174568,720.175
558,388.0070152282715,0.0,0.052151248,333270,2139.1925603699333,2.827822,0.06413716077804565,2139.1925603699333,1,0.01001782,0.052151248,741.25
559,391.6798949241638,0.0,0.0489228,336120,2196.0584526071393,2.811127,0.8841395527124405,2196.0584526071393,1,0.0092877345,0.0489228,760.45
560,395.3636758327484,0.0,0.048736263,336537,2184.5985887033453,2.7790937,0.8470549881458282,2184.5985887033453,1,0.008675773,0.048736263,757.825
562,399.05314803123474,0.0,0.041459575,341031,2259.9383171431086,2.7557685,0.7464910745620728,2259.9383171431086,2,0.010217639,0.041459575,784.825
563,402.6981678009033,0.0,0.046896014,342798,2285.8844817655963,2.7100832,0.9243332520127296,2285.8844817655963,1,0.009052975,0.046896014,794.3
565,406.31529331207275,0.0,0.048275307,346821,2292.146493937461,2.6276863,0.7061896324157715,2292.146493937461,2,0.009357361,0.048275307,797.6
567,409.9964108467102,0.0,0.054997984,349995,2265.9830329730903,2.6357422,0.021294891834259033,2265.9830329730903,2,0.009252922,0.054997984,788.7
568,413.67919087409973,0.0,0.04538224,351663,2254.071638603172,2.6761582,0.8941121101379395,2254.071638603172,1,0.00977098,0.04538224,784.7
570,417.3066964149475,0.0,0.051543653,356073,2220.8886290153596,2.6798184,0.09725368022918701,2220.8886290153596,2,0.009794321,0.051543653,771.45
571,420.8950629234314,0.0,0.04563102,358224,2203.9092814189084,2.634519,0.9427241683006287,2203.9092814189084,1,0.01040964,0.04563102,764.375
572,424.60609197616577,0.0,0.054517865,360708,2191.1269319426247,2.6860135,0.919132299721241,2191.1269319426247,1,0.009329589,0.054517865,760.075
574,428.3074824810028,0.0,0.057089273,363585,2172.4635717245083,2.7244678,0.9517324790358543,2172.4635717245083,2,0.008576915,0.057089273,753.6
576,431.9856929779053,0.0,0.060967155,367101,2106.269322385792,2.7101414,0.7393540143966675,2106.269322385792,2,0.009269487,0.060967155,732.9
577,435.6149744987488,0.0,0.035659,370101,2101.989694707423,2.8198855,0.11019480228424072,2101.989694707423,1,0.0096001215,0.035659,732.9
578,439.17344641685486,0.0,0.05205814,373101,2156.389672497354,2.7800186,0.1444222331047058,2156.389672497354,1,0.01001226,0.05205814,752.45
579,442.83608388900757,0.0,0.05613008,375186,2135.567842085216,2.7767951,0.8949093073606491,2135.567842085216,1,0.009204092,0.05613008,744.825
580,446.45263624191284,0.0,0.05347455,378186,2131.4974080350266,2.7316504,0.07973778247833252,2131.4974080350266,1,0.011104137,0.05347455,744.825
583,450.0577621459961,0.0,0.059450325,380832,2015.4280608523557,2.6397986,0.9394760802388191,2015.4280608523557,3,0.009291704,0.059450325,707.2
585,453.6988956928253,0.0,0.049163423,384516,2006.4656290346181,2.6117969,0.7421303987503052,2006.4656290346181,2,0.010859413,0.049163423,705.125
588,457.3278601169586,0.0,0.049287707,387666,1921.7529221725677,2.5894446,0.7940123528242111,1921.7529221725677,3,0.009987682,0.049287707,676.7
589,460.96016907691956,0.0,0.053544622,390666,1917.6774140292648,2.5698965,0.7527687549591064,1917.6774140292648,1,0.00939443,0.053544622,676.7
590,464.5741331577301,0.0,0.035383075,393666,1972.0406847468082,2.5486143,-0.07389867305755615,1972.0406847468082,1,0.009749741,0.035383075,696.125
592,468.2898066043854,0.0,0.065605246,396303,1885.2595182293965,2.5718594,0.9584944806993008,1885.2595182293965,2,0.009227889,0.065605246,668.1
593,471.9393582344055,0.0,0.055712968,399006,1877.0483623114512,2.5588098,0.9521317705512047,1877.0483623114512,1,0.009538921,0.055712968,665.625
594,475.6511037349701,0.0,0.07273167,401892,1874.6514130714718,2.5670748,0.9330938383936882,1874.6514130714718,1,0.010091481,0.07273167,664.675
595,479.4025728702545,0.0,0.04848375,404892,1872.0661023885568,2.5413,-0.0012447834014892578,1872.0661023885568,1,0.008910085,0.04848375,664.675
596,483.1129324436188,0.0,0.04315381,407892,1868.3416404317243,2.5527678,0.009983181953430176,1868.3416404317243,1,0.011140463,0.04315381,664.675
597,486.791784286499,0.0,0.044183373,410892,1891.545441071309,2.521778,-0.008651018142700195,1891.545441071309,1,0.009622915,0.044183373,671.85
599,490.5167946815491,0.0,0.04520155,415122,1844.6448187194778,2.523837,0.4263477325439453,1844.6448187194778,2,0.008767761,0.04520155,658.35
600,494.1337685585022,0.0,0.032957207,418122,1903.5524794237804,2.5834463,0.02364802360534668,1903.5524794237804,1,0.009269901,0.032957207,679.875
603,497.8774502277374,0.0,0.05167947,422286,1848.7254097174991,2.6020598,0.7546665221452713,1848.7254097174991,3,0.008803196,0.05167947,662.4
604,501.6277377605438,0.0,0.04076118,425286,1849.2894882705527,2.6161594,-0.05947887897491455,1849.2894882705527,1,0.01048388,0.04076118,662.4
605,505.2363500595093,0.0,0.04254391,428286,1894.3809931331853,2.5918794,-0.052910804748535156,1894.3809931331853,1,0.00976539,0.04254391,678.875
606,508.88850569725037,0.0,0.04968979,431286,1921.6993996945544,2.6052365,-0.19718456268310547,1921.6993996945544,1,0.00985938,0.04968979,687.375
607,512.6008679866791,0.0,0.03580207,434286,1966.2049345844462,2.625996,0.012562215328216553,1966.2049345844462,1,0.00959751,0.03580207,702.425
608,516.3113470077515,0.0,0.04681564,437286,1996.3978548740656,2.705414,0.12202823162078857,1996.3978548740656,1,0.008985184,0.04681564,713.525
609,519.910749912262,0.0,0.04213789,440286,1992.3580230932428,2.6684563,-0.0583040714263916,1992.3580230932428,1,0.0075913486,0.04213789,713.525
610,523.6078546047211,0.0,0.031440657,443286,2028.8192625105635,2.7219148,-0.07744359970092773,2028.8192625105635,1,0.0093359165,0.031440657,726.775
612,527.2050402164459,0.0,0.045933682,447270,2014.639007372231,2.7274802,0.7311953008174896,2014.639007372231,2,0.00870284,0.045933682,721.35
613,530.8320891857147,0.0,0.049281288,450270,2056.649371270698,2.7899475,-0.07589805126190186,2056.649371270698,1,0.01035572,0.049281288,735.575
615,534.4875123500824,0.0,0.044095173,455397,2069.8782922975624,2.7751243,0.5353831052780151,2069.8782922975624,2,0.011123504,0.044095173,740.1
616,538.1370480060577,0.0,0.03909257,458397,2130.6443886472402,2.8041909,0.023549258708953857,2130.6443886472402,1,0.010203918,0.03909257,760.8
617,541.8853600025177,0.0,0.02998446,461397,2133.733656403525,2.810488,0.02919083833694458,2133.733656403525,1,0.009823433,0.02998446,760.8
618,545.4231510162354,0.0,0.035936713,464397,2135.0628983079564,2.7386563,0.030049443244934082,2135.0628983079564,1,0.0094655305,0.035936713,760.8
619,549.0480968952179,0.0,0.036078453,467397,2152.5789756501144,2.7886631,-0.11136925220489502,2152.5789756501144,1,0.010104781,0.036078453,768.425
621,552.7408258914948,0.0,0.037068814,473397,2186.915237559456,2.8028233,0.0026131272315979004,2186.915237559456,2,0.009699439,0.037068814,780.5
622,556.43865442276,0.0,0.047606707,474990,2210.9129287714704,2.840659,-0.016010284423828125,2210.9129287714704,1,0.009598338,0.047606707,789.0
623,560.0526044368744,0.0,0.037058353,477990,2267.757632525681,2.8568122,0.02313101291656494,2267.757632525681,1,0.007991951,0.037058353,809.65
624,563.7699122428894,0.0,0.04221787,480990,2269.76857496588,2.8964765,-0.015062332153320312,2269.76857496588,1,0.009530634,0.04221787,809.65
625,567.4886128902435,0.0,0.048894294,483990,2323.0324805096407,2.9181516,-0.015633106231689453,2323.0324805096407,1,0.009239479,0.048894294,828.95
626,571.1612644195557,0.0,0.056604754,486990,2352.400832484365,2.954323,-0.0649796724319458,2352.400832484365,1,0.008939753,0.056604754,841.075
627,574.9113149642944,0.0,0.039069146,489990,2411.9443308686045,2.935,0.0011121034622192383,2411.9443308686045,1,0.009978768,0.039069146,862.8
628,578.5312657356262,0.0,0.05205786,492939,2450.417455386996,2.8912961,0.9564153775572777,2450.417455386996,1,0.009474438,0.05205786,877.275
629,582.2683598995209,0.0,0.039724354,495939,2448.0087408960317,2.872863,-0.019106745719909668,2448.0087408960317,1,0.009862021,0.039724354,877.275
630,585.9277994632721,0.0,0.04564516,498939,2444.8831660554415,2.8736246,-0.0010575056076049805,2444.8831660554415,1,0.009092988,0.04564516,877.275
631,589.6307997703552,0.0,0.036983356,501939,2483.5436573676334,2.963969,0.007841885089874268,2483.5436573676334,1,0.009202959,0.036983356,891.95
632,593.4020285606384,0.0,0.037766073,504939,2518.7919537816606,2.9463813,-0.01765596866607666,2518.7919537816606,1,0.009467271,0.037766073,905.3
633,597.0939717292786,0.0,0.039421793,507939,2519.3480762867557,2.8641055,0.02349025011062622,2519.3480762867557,1,0.009539916,0.039421793,907.775
635,600.7313477993011,0.0,0.052547928,511545,2462.918956926694,2.8441746,0.6968267858028412,2462.918956926694,2,0.009215004,0.052547928,888.775
636,604.420595407486,0.0,0.05461775,512913,2424.6432126330637,2.858622,0.9390852004289627,2424.6432126330637,1,0.0090336725,0.05461775,875.175
638,608.0172100067139,0.0,0.05600446,516129,2355.412548032719,2.8116732,0.7785127460956573,2355.412548032719,2,0.009747861,0.05600446,851.975
639,611.6526980400085,0.0,0.048608847,519129,2393.7400106517334,2.816844,0.6301452815532684,2393.7400106517334,1,0.010404715,0.048608847,866.725
640,615.3159847259521,0.0,0.052859843,522129,2396.1067752158488,2.818179,-0.22727692127227783,2396.1067752158488,1,0.009547123,0.052859843,866.725
641,618.9671473503113,0.0,0.054560583,525129,2394.775341504951,2.862986,0.6069580316543579,2394.775341504951,1,0.00964274,0.054560583,866.8
642,622.741509437561,0.0,0.048206568,528129,2444.2876429484554,2.8171606,-0.11609554290771484,2444.2876429484554,1,0.009079437,0.048206568,885.575
643,626.4062082767487,0.0,0.057219505,531129,2503.042120002713,2.819394,-0.11178886890411377,2503.042120002713,1,0.009752285,0.057219505,907.025
644,630.1228265762329,0.0,0.035311572,534129,2502.3918383914956,2.818662,-0.016889452934265137,2502.3918383914956,1,0.009362323,0.035311572,907.025
645,633.7635717391968,0.0,0.042995848,537129,2505.829571509278,2.819608,0.2797183394432068,2505.829571509278,1,0.009574855,0.042995848,907.025
646,637.4510896205902,0.0,0.06293245,538263,2463.5648479214005,2.8533933,0.7609235048294067,2463.5648479214005,1,0.009648686,0.06293245,891.475
647,641.1299026012421,0.0,0.034617968,541263,2459.271850485196,2.787626,-0.028290390968322754,2459.271850485196,1,0.009621726,0.034617968,891.475
648,644.7605588436127,0.0,0.060232006,543396,2442.0574379045447,2.7816184,0.9158303588628769,2442.0574379045447,1,0.009169299,0.060232006,884.25
651,648.3963465690613,0.0,0.05690153,548295,2342.155208300011,2.763151,0.8048798888921738,2342.155208300011,3,0.010108102,0.05690153,850.075
652,652.0758073329926,0.0,0.0476337,551295,2385.7382135553016,2.7562761,-0.03085005283355713,2385.7382135553016,1,0.008816347,0.0476337,866.875
653,655.6386091709137,0.0,0.053711846,553383,2364.606251810993,2.7594326,0.9471290335059166,2364.606251810993,1,0.009586752,0.053711846,859.275
654,659.3224291801453,0.0,0.04722721,556383,2382.3570723366697,2.7500618,0.03082817792892456,2382.3570723366697,1,0.010274851,0.04722721,866.55
655,663.0535323619843,0.0,0.043000408,559383,2377.68744947522,2.6866767,0.0864260196685791,2377.68744947522,1,0.009235416,0.043000408,866.55
656,666.6469218730927,0.0,0.059421588,562383,2376.33189944728,2.6883936,0.9002603143453598,2376.33189944728,1,0.0109252315,0.059421588,866.55
657,670.3222219944,0.0,0.04781438,565383,2369.864010156261,2.640811,0.08548891544342041,2369.864010156261,1,0.01016975,0.04781438,866.55
658,673.9962825775146,0.0,0.04051296,568383,2364.5645554733455,2.6442893,0.5693057477474213,2364.5645554733455,1,0.009966389,0.04051296,866.55
660,677.7170357704163,0.0,0.047782738,574383,2360.2055603904664,2.623324,0.021646738052368164,2360.2055603904664,2,0.008732915,0.047782738,866.55
661,681.3691093921661,0.0,0.032044664,577383,2357.2863182634146,2.6020901,-0.0490877628326416,2357.2863182634146,1,0.009275705,0.032044664,866.55
662,685.1001434326172,0.0,0.039616264,580383,2388.0755664788194,2.6217623,0.04000288248062134,2388.0755664788194,1,0.009933105,0.039616264,878.275
663,688.8062324523926,0.0,0.042791206,583383,2386.5256170201346,2.6221037,-0.012701630592346191,2386.5256170201346,1,0.008412123,0.042791206,878.275
664,692.4754772186279,0.0,0.032211624,586383,2382.5812089622245,2.6887014,-0.009799480438232422,2382.5812089622245,1,0.009198793,0.032211624,878.275
665,696.1387050151825,0.0,0.05012349,589383,2379.5577389393516,2.701222,0.41021281480789185,2379.5577389393516,1,0.009777881,0.05012349,878.275
666,699.8355078697205,0.0,0.05222123,592383,2378.594845667961,2.7217414,-0.02294158935546875,2378.594845667961,1,0.010307312,0.05222123,878.275
