surrgain,EpisodesSoFar,TimeElapsed,entropy,EpRewMean,TimestepsSoFar,meankl,entloss,optimgain,EpTrueRewMean,EpThisIter,ev_tdlam_before,EpLenMean
0.06277199,49,9.64949083328247,8.54503,2.935124391879147,3063,0.007879106,0.0,0.06277199,2.935124391879147,49,0.17525875568389893,20.525
0.059748583,85,17.752060174942017,8.519901,7.9497830414900506,6141,0.0069414163,0.0,0.059748583,7.9497830414900506,36,0.25838786363601685,27.45
0.074555725,106,25.749614238739014,8.506049,21.20064498093769,9147,0.0061221397,0.0,0.074555725,21.20064498093769,21,0.3313525915145874,39.025
0.056260936,120,33.7956600189209,8.479804,42.512114308178454,12459,0.0061637266,0.0,0.056260936,42.512114308178454,14,0.4617854952812195,57.45
0.0614407,130,41.220789194107056,8.42963,63.263800933758944,15567,0.006711019,0.0,0.0614407,63.263800933758944,10,0.3255584239959717,74.55
0.06326215,139,48.3352370262146,8.422805,78.01545411505626,18624,0.006308082,0.0,0.06326215,78.01545411505626,9,0.6719531714916229,88.1
0.06749918,145,55.43852949142456,8.459594,90.56159083343952,21444,0.0067583257,0.0,0.06749918,90.56159083343952,6,0.6496566534042358,104.175
0.061196655,153,62.56639099121094,8.412551,118.91370652458563,24942,0.0065335035,0.0,0.061196655,118.91370652458563,8,0.7188053727149963,118.975
0.06091796,159,69.63192939758301,8.4151745,140.9781920655812,28023,0.0055305054,0.0,0.06091796,140.9781920655812,6,0.6275684535503387,131.35
0.062468752,164,76.75269794464111,8.3631115,171.47691538307157,31098,0.0059620216,0.0,0.062468752,171.47691538307157,5,0.8467223197221756,147.025
0.06797275,167,83.77652549743652,8.341186,177.14275696439844,33588,0.0062826965,0.0,0.06797275,177.14275696439844,3,0.6956450939178467,152.7
0.06674726,172,90.82535195350647,8.362548,196.71609928570896,36450,0.0061045093,0.0,0.06674726,196.71609928570896,5,0.8165102452039719,166.075
0.0687692,178,97.89889287948608,8.360581,217.06157735090483,39036,0.0057647885,0.0,0.0687692,217.06157735090483,6,0.943734847009182,170.975
0.06398756,179,105.0418930053711,8.337824,228.72371448105042,40746,0.0068331296,0.0,0.06398756,228.72371448105042,1,0.7902778834104538,184.35
0.062437292,182,112.0025897026062,8.301204,251.572524799358,43371,0.0062218653,0.0,0.062437292,251.572524799358,3,0.8823474422097206,196.925
0.055909835,186,118.17508149147034,8.286129,255.478220135468,45594,0.006165565,0.0,0.055909835,255.478220135468,4,0.8981146141886711,195.65
0.09946554,190,124.38530206680298,8.228016,274.6999707665883,48681,0.0056803855,0.0,0.09946554,274.6999707665883,4,0.8356397300958633,207.375
0.06606949,192,130.5605673789978,8.246627,284.2283159853044,50739,0.0060733585,0.0,0.06606949,284.2283159853044,2,0.9530614987015724,215.275
0.07136403,195,136.70713758468628,8.241522,311.8485220248256,54789,0.0057924204,0.0,0.07136403,311.8485220248256,3,0.9271053373813629,241.125
0.057345696,197,142.91482615470886,8.246947,306.447973907271,55839,0.0062875785,0.0,0.057345696,306.447973907271,2,0.9015146940946579,240.025
0.06569399,200,149.17054986953735,8.185972,315.5802701074176,58227,0.0058352253,0.0,0.06569399,315.5802701074176,3,0.9211246892809868,247.15
0.06595027,202,155.33431935310364,8.169812,336.5716340851212,62478,0.0066415183,0.0,0.06595027,336.5716340851212,2,0.3997523784637451,270.4
0.08782369,205,161.54309940338135,8.147156,342.75772426858646,64944,0.0058008563,0.0,0.08782369,342.75772426858646,3,0.9364521130919456,272.075
0.063916355,209,167.84694027900696,8.133116,368.7741026126464,70515,0.0061390568,0.0,0.063916355,368.7741026126464,4,0.7352964282035828,295.525
0.07899544,212,174.08682894706726,8.102107,392.5637553088962,73113,0.0059976,0.0,0.07899544,392.5637553088962,3,0.9551690705120564,305.525
0.07455628,217,180.32234358787537,8.06171,416.2586004098488,76374,0.00634217,0.0,0.07455628,416.2586004098488,5,0.9567665159702301,315.225
0.07954505,222,186.61243224143982,8.054825,425.0308150430199,80235,0.0064802505,0.0,0.07954505,425.0308150430199,5,0.9837387669831514,307.2
0.07043434,224,192.84508228302002,8.041019,437.5168416212162,82374,0.0063131754,0.0,0.07043434,437.5168416212162,2,0.9371838495135307,316.125
0.07531019,227,199.0647041797638,7.9798117,450.1363176047968,84555,0.0065209754,0.0,0.07531019,450.1363176047968,3,0.9575175195932388,313.9
0.06338819,231,205.3124647140503,7.9947386,448.08455426045964,87438,0.0068302443,0.0,0.06338819,448.08455426045964,4,0.8821563124656677,316.1
0.061389707,235,211.52340412139893,8.026074,431.0354284444341,90354,0.005835064,0.0,0.061389707,431.0354284444341,4,0.9306198358535767,296.375
0.06998488,238,217.82944107055664,7.9751015,438.45293866126815,93642,0.006470272,0.0,0.06998488,438.45293866126815,3,0.8241178840398788,306.325
0.07043502,241,224.18642330169678,7.930599,435.6952595972196,96825,0.0060771843,0.0,0.07043502,435.6952595972196,3,0.6355950832366943,296.65
0.08943786,244,230.4930899143219,7.90825,436.18442756131134,99435,0.006383827,0.0,0.08943786,436.18442756131134,3,0.908254437148571,297.1
0.08191049,249,236.78813314437866,7.890183,411.2673286701147,102798,0.0062829033,0.0,0.08191049,411.2673286701147,5,0.8313344419002533,269.025
0.06986899,253,243.10343885421753,7.914013,405.0927009148418,106674,0.0067734653,0.0,0.06986899,405.0927009148418,4,0.9115746021270752,272.8
0.085913986,258,249.40768575668335,7.913209,402.3097556201993,109914,0.0069330996,0.0,0.085913986,402.3097556201993,5,0.9543702341616154,271.25
0.07193988,262,255.65659165382385,7.908618,398.87448490247647,113163,0.006455099,0.0,0.07193988,398.87448490247647,4,0.8444269448518753,274.4
0.057284333,266,261.94120502471924,7.9243197,387.93655208045016,115977,0.006910498,0.0,0.057284333,387.93655208045016,4,0.9165009334683418,268.9
0.09923271,271,268.20869874954224,7.9147806,396.3675345315033,119226,0.0070176693,0.0,0.09923271,396.3675345315033,5,0.9061404466629028,264.9
0.085026905,274,274.49481225013733,7.9013186,406.02207591884644,121935,0.006646019,0.0,0.085026905,406.02207591884644,3,0.8124079704284668,269.4
0.09346394,278,280.7081515789032,7.8825803,419.54514534745766,125928,0.006533581,0.0,0.09346394,419.54514534745766,4,0.8770460411906242,269.05
0.09658697,281,287.00138664245605,7.87634,423.7021031930857,128337,0.0066308174,0.0,0.09658697,423.7021031930857,3,0.84488445520401,262.6
0.07657789,286,293.3201937675476,7.8636622,418.9408216175998,131544,0.007103242,0.0,0.07657789,418.9408216175998,5,0.9140478670597076,256.45
0.077219546,289,299.6174123287201,7.88623,419.9552322175905,134829,0.006680711,0.0,0.077219546,419.9552322175905,3,0.8726309984922409,266.925
0.09180983,293,305.86374258995056,7.894531,422.3168789092994,137874,0.0070318957,0.0,0.09180983,422.3168789092994,4,0.9224783405661583,260.0
0.08425459,298,312.1858355998993,7.8915863,431.1710641524669,142137,0.007288802,0.0,0.08425459,431.1710641524669,5,0.8836273923516273,268.525
0.085530385,299,318.48327684402466,7.9026976,444.00714578649206,144234,0.0069224737,0.0,0.085530385,444.00714578649206,1,0.7001281380653381,277.325
0.100509614,301,324.77914547920227,7.8939066,441.5548612103381,146685,0.0072885742,0.0,0.100509614,441.5548612103381,2,0.7871251106262207,284.55
0.08248704,304,331.0557746887207,7.9019156,468.94807423882975,149775,0.0072038807,0.0,0.08248704,468.94807423882975,3,0.852352574467659,292.25
0.09096797,307,337.33553171157837,7.9110756,468.10878334919573,152529,0.006893927,0.0,0.09096797,468.10878334919573,3,0.7602045834064484,297.125
0.077194765,310,343.5992388725281,7.900449,470.48826989247755,155652,0.006609748,0.0,0.077194765,470.48826989247755,3,0.7396050691604614,308.525
0.08186392,312,349.83079624176025,7.880933,490.15095638466875,159396,0.007666746,0.0,0.08186392,490.15095638466875,2,0.4117475152015686,327.325
0.09287159,315,356.1529657840729,7.877258,494.51049003435975,162687,0.0069819028,0.0,0.09287159,494.51049003435975,3,0.8360505998134613,326.475
0.09371826,319,362.40492701530457,7.868592,498.41864285216127,166098,0.0074463836,0.0,0.09371826,498.41864285216127,4,0.8609269559383392,327.075
0.08393617,320,368.7688145637512,7.8740273,517.8883676685774,169098,0.0065160664,0.0,0.08393617,517.8883676685774,1,0.021611928939819336,347.275
0.13140786,324,375.1041934490204,7.877625,552.1928381305855,173541,0.0072360216,0.0,0.13140786,552.1928381305855,4,0.8875151947140694,361.35
0.09089202,326,381.3741524219513,7.853211,580.5504246483206,177513,0.0074180607,0.0,0.09089202,580.5504246483206,2,0.9056326672434807,383.075
0.09060484,328,387.6592938899994,7.835877,591.9600132104454,179670,0.0072670486,0.0,0.09060484,591.9600132104454,2,0.871392548084259,379.675
0.08322297,331,393.92809557914734,7.844314,602.8218955272862,183669,0.007874101,0.0,0.08322297,602.8218955272862,3,0.558945506811142,396.4
0.09342185,333,400.22328543663025,7.8249364,622.9934801732836,186663,0.00758093,0.0,0.09342185,622.9934801732836,2,0.9008387699723244,406.575
0.07853928,335,406.4909143447876,7.8029666,637.3703457403583,190269,0.0068408595,0.0,0.07853928,637.3703457403583,2,0.6348866522312164,417.775
0.090438,338,412.8041639328003,7.7832637,683.8658089588713,194445,0.006816323,0.0,0.090438,683.8658089588713,3,0.8195295184850693,435.9
0.089359924,342,419.08335423469543,7.78009,705.6077053079223,198657,0.006809381,0.0,0.089359924,705.6077053079223,4,0.8975232765078545,426.1
0.10379394,345,425.44112372398376,7.762222,713.9071270532488,201486,0.007901488,0.0,0.10379394,713.9071270532488,3,0.7463055551052094,426.15
