optimgain,EpThisIter,EpRewMean,surrgain,EpTrueRewMean,meankl,entropy,entloss,ev_tdlam_before,TimeElapsed,TimestepsSoFar,EpisodesSoFar,EpLenMean
0.04805419,29,57.22871,0.04805419,36.80485813029915,0.0083484035,4.215615,0.0,0.30523133277893066,4.696234464645386,3000,29,34.48275862068966
0.03745658,16,68.83071,0.03745658,52.43672659652954,0.0058918037,4.199761,0.0,0.12470042705535889,8.573235511779785,5841,45,43.45
0.046388254,10,97.15028,0.046388254,83.79103233531343,0.0070117773,4.1671433,0.0,0.252549946308136,12.391313791275024,9015,55,63.5
0.041621514,7,123.344154,0.041621514,118.4252177065002,0.005984584,4.1753535,0.0,0.7218540608882904,16.13093400001526,12240,62,81.15
0.04248359,8,156.07828,0.04248359,160.05052743342867,0.005806489,4.221197,0.0,0.5253751277923584,19.793790102005005,15771,70,104.7
0.04004295,7,172.58182,0.04004295,188.65093013466534,0.006576787,4.2434316,0.0,0.7818315327167511,23.431851625442505,18660,77,116.275
0.041186795,6,198.06255,0.041186795,224.75840060812416,0.0055465708,4.267184,0.0,0.8916136771440506,27.095069646835327,21789,83,134.975
0.04950843,7,217.37265,0.04950843,261.8852619341439,0.0069024228,4.2125316,0.0,0.9310242384672165,30.845799207687378,25293,90,148.9
0.043925487,5,233.72261,0.043925487,288.955462750655,0.007077182,4.2011776,0.0,0.940492294728756,34.549152851104736,28575,95,163.0
0.043050542,4,243.58386,0.043050542,306.5785896211416,0.0061264955,4.1773667,0.0,0.9515534117817879,38.15045619010925,31662,99,173.65
0.04284299,4,250.63155,0.04284299,322.4250010298589,0.0065654484,4.149603,0.0,0.9608693718910217,41.78131628036499,34896,103,182.3
0.062200658,2,266.83017,0.062200658,339.9074862230872,0.0059780017,4.120424,0.0,0.7380993962287903,45.49147653579712,37218,105,197.025
0.049255222,5,276.5189,0.049255222,360.15855783566315,0.0068418398,4.1187153,0.0,0.8456373363733292,49.13568091392517,40635,110,207.2
0.046076953,3,285.8436,0.046076953,376.46063648490315,0.007265417,4.164179,0.0,0.9717135094106197,52.77313852310181,43446,113,217.525
0.055828072,1,291.40762,0.055828072,384.27595000892745,0.007146339,4.1051044,0.0,0.9622872732579708,56.487380027770996,44526,114,223.5
0.0518666,2,300.09726,0.0518666,390.08597082135174,0.0066571822,4.094841,0.0,0.06578868627548218,60.10802364349365,46197,116,232.9
0.049731243,3,313.7378,0.049731243,407.9759371472667,0.005699771,4.1053095,0.0,0.9623836204409599,63.88510179519653,49296,119,246.675
0.03659035,1,335.63623,0.03659035,428.49520221887144,0.007438223,4.0915766,0.0,0.0681983232498169,67.53251838684082,52296,120,268.6
0.04399025,2,344.1988,0.04399025,439.2642298052532,0.006693992,4.116004,0.0,0.6098143756389618,71.14541935920715,54876,122,279.275
0.054012053,2,351.65265,0.054012053,449.27559881534415,0.006551125,4.067161,0.0,0.7717385441064835,74.90631628036499,56907,124,287.575
0.030296283,1,371.14224,0.030296283,467.69379956763134,0.0069101183,4.118867,0.0,-0.009598135948181152,78.55434846878052,59907,125,308.025
0.037704855,1,392.81308,0.037704855,489.08877232221005,0.00622956,4.118896,0.0,-0.022440195083618164,82.24319314956665,62907,126,330.05
0.036927573,1,412.2907,0.036927573,506.9080813360847,0.006809907,4.0897455,0.0,-0.014679670333862305,85.91332054138184,65907,127,351.0
0.039340064,1,432.55386,0.039340064,528.1288454274363,0.006259259,4.0873337,0.0,0.4726840853691101,89.57703304290771,68907,128,372.35
0.047623083,1,432.1683,0.047623083,526.8788812444527,0.0050510517,4.1234465,0.0,0.003451228141784668,93.30078411102295,69654,129,373.975
0.027285384,1,450.727,0.027285384,545.0013591849349,0.0070829196,4.176934,0.0,-0.012647867202758789,97.02410411834717,72654,130,394.675
0.037634082,1,465.1128,0.037634082,559.6927695999068,0.007034029,4.201179,0.0,-0.014509439468383789,100.64655375480652,75654,131,411.45
0.03588971,1,483.992,0.03588971,578.0403552782404,0.0086737275,4.2600713,0.0,-0.006220340728759766,104.38805985450745,78654,132,432.325
0.041056618,1,500.66406,0.041056618,595.7428659473715,0.0070115956,4.2560353,0.0,-0.0001500844955444336,108.08307671546936,81654,133,451.3
0.04025896,1,520.38416,0.04025896,615.6054903220509,0.0060006045,4.2764673,0.0,0.0022272467613220215,111.76523995399475,84654,134,472.45
0.031061193,1,537.9484,0.031061193,632.9408481583562,0.006170431,4.2732162,0.0,-0.010400652885437012,115.47847390174866,87654,135,492.325
0.024939382,1,550.1476,0.024939382,645.9256379879464,0.006790337,4.315491,0.0,-0.04604387283325195,119.09490656852722,90654,136,507.45
0.039419927,2,563.14484,0.039419927,656.7432072334026,0.0068538436,4.2717824,0.0,-0.0032559633255004883,122.82288193702698,93924,138,524.2
0.035414167,1,580.66516,0.035414167,673.6762507836554,0.007160684,4.3123436,0.0,-0.021431922912597656,126.47770833969116,96924,139,543.85
0.04477744,1,596.3432,0.04477744,689.146097973237,0.006908459,4.309592,0.0,0.008838832378387451,130.18661165237427,99924,140,562.0
0.031634804,1,613.1569,0.031634804,706.2978733100168,0.0058850525,4.376426,0.0,0.0030279159545898438,133.94867134094238,102924,141,580.75
0.048826456,3,626.204,0.048826456,718.309912407992,0.006835542,4.3715215,0.0,0.05444234609603882,137.55595707893372,108243,144,600.15
0.044441655,1,640.283,0.044441655,733.0441214864062,0.0069276374,4.3685026,0.0,-0.013385653495788574,141.40581011772156,111243,145,616.875
0.031546064,1,657.9652,0.031546064,750.6813955197322,0.0057237474,4.3613825,0.0,-0.11124777793884277,145.20012164115906,114243,146,636.575
0.0631444,1,673.1942,0.0631444,765.1638249224437,0.0067272596,4.36483,0.0,0.46368175745010376,148.87409138679504,117243,147,654.825
0.0437204,1,684.9315,0.0437204,779.1040709411507,0.005730538,4.3698735,0.0,0.008014261722564697,152.6119508743286,119529,148,668.15
0.034425065,1,703.3545,0.034425065,797.2562458137439,0.0058314814,4.354552,0.0,0.003878772258758545,156.33435893058777,122529,149,688.675
0.037648555,1,719.5319,0.037648555,812.3704952693118,0.006193531,4.319542,0.0,0.01053851842880249,160.10574316978455,125529,150,707.45
0.052352577,1,732.34827,0.052352577,823.9793818270788,0.006508505,4.30447,0.0,-0.20329535007476807,163.7441062927246,128529,151,723.1
0.027381131,1,748.65906,0.027381131,840.3390563263354,0.0068850494,4.353393,0.0,0.044457435607910156,167.5133512020111,131529,152,741.95
0.05168852,1,763.15155,0.05168852,855.2746107690906,0.0076203183,4.3513865,0.0,0.01448887586593628,171.23110795021057,134529,153,759.025
0.031916734,1,777.02,0.031916734,868.5433372586697,0.007257318,4.367166,0.0,-0.03188002109527588,174.9156858921051,137529,154,775.025
0.04883942,1,775.8769,0.04883942,869.5447958046085,0.0059348186,4.3618755,0.0,0.002221524715423584,178.6059489250183,138894,155,775.375
0.060642116,1,796.4334,0.060642116,894.0386682218566,0.0067807655,4.3587914,0.0,-0.3274378776550293,182.3246772289276,141894,156,797.475
0.054151013,1,804.63165,0.054151013,900.840536608998,0.0055766744,4.3462925,0.0,0.5422067046165466,185.95929312705994,144240,157,807.75
0.04999405,3,795.9474,0.04999405,893.1676150005575,0.006660832,4.3331356,0.0,0.3353283405303955,189.56008625030518,148971,160,805.625
0.042640235,2,798.87854,0.042640235,895.7913916876566,0.00630904,4.3369684,0.0,0.04906964302062988,193.285630941391,152283,162,811.725
0.03323396,1,804.6156,0.03323396,900.361457626402,0.006749753,4.3243623,0.0,0.018589437007904053,196.94853138923645,155283,163,820.925
0.046832487,1,827.31464,0.046832487,925.2771375383385,0.006301876,4.3582172,0.0,-0.03642845153808594,200.5922658443451,158283,164,844.8
0.027754331,1,825.6654,0.027754331,924.8816269925537,0.0071676066,4.4009748,0.0,0.007714629173278809,204.26865363121033,161283,165,844.8
0.030776571,1,823.2853,0.030776571,924.2733931919335,0.00783015,4.3855047,0.0,0.025268912315368652,207.89610934257507,164283,166,844.8
0.03746865,1,821.51544,0.03746865,924.3551158115904,0.006693747,4.392763,0.0,-0.01729440689086914,211.59411478042603,167283,167,844.8
0.03285591,1,819.7248,0.03285591,922.0942817208779,0.0067886133,4.416015,0.0,0.011399030685424805,215.149893283844,170283,168,844.8
