EpTrueRewMean,EpisodesSoFar,TimestepsSoFar,ev_tdlam_before,entropy,entloss,surrgain,TimeElapsed,EpThisIter,meankl,EpRewMean,optimgain,EpLenMean
2618.0058700968457,519,562470,0.22892242670059204,6.535099,0.0,0.082241304,797.0209765434265,1,0.009784969,564.6627,0.082241304,777.575
2507.900719400453,522,565719,0.9429950974881649,6.5241694,0.0,0.11407381,801.4252161979675,3,0.009535521,547.66956,0.11407381,751.025
2496.720812939723,523,568719,0.27416568994522095,6.5129385,0.0,0.09152282,805.8745632171631,1,0.010330453,548.3963,0.09152282,751.025
2393.900817142975,526,573171,0.8259786814451218,6.5242968,0.0,0.097271524,810.2798936367035,3,0.009023545,533.1249,0.097271524,728.7
2365.288910984778,528,577188,0.48240286111831665,6.4952955,0.0,0.10622728,814.6987006664276,2,0.011990428,527.65356,0.10622728,719.75
2388.1787811155805,529,578934,0.9354863911867142,6.501158,0.0,0.12241383,819.0666439533234,1,0.009891499,532.4382,0.12241383,725.15
2380.0381257755744,530,581934,0.1207239031791687,6.507628,0.0,0.06933303,823.4678690433502,1,0.009444875,533.5946,0.06933303,725.15
2341.1768784823616,531,583830,0.9256884679198265,6.4368324,0.0,0.122299924,827.8179397583008,1,0.01021068,528.9723,0.122299924,715.95
2346.3122584381044,533,587997,0.6912811100482941,6.4447584,0.0,0.08304655,832.2285108566284,2,0.009973816,530.8204,0.08304655,719.075
2268.4948967768696,535,591258,0.9464690834283829,6.449275,0.0,0.12717095,836.6031315326691,2,0.010174582,518.3091,0.12717095,696.25
2309.1458191285797,537,596013,0.7002081274986267,6.444462,0.0,0.09294939,841.0501203536987,2,0.009338338,527.4396,0.09294939,711.275
2272.5895763755057,539,600060,0.7390953898429871,6.4248,0.0,0.08359627,845.4798164367676,2,0.010166168,519.8242,0.08359627,699.35
2297.648695213506,540,603060,0.17098408937454224,6.410278,0.0,0.073779166,849.8895020484924,1,0.009984074,525.89923,0.073779166,708.275
2272.079015826267,542,606951,0.6412741839885712,6.42149,0.0,0.08247578,854.3137092590332,2,0.010216467,519.4884,0.08247578,699.575
2251.8752401341285,544,610731,0.6486208438873291,6.404128,0.0,0.080646664,858.6578497886658,2,0.009786654,514.10254,0.080646664,692.975
2247.137907817283,545,613653,0.8874075040221214,6.4232364,0.0,0.0999503,863.0481653213501,1,0.010235191,514.9457,0.0999503,692.325
2293.1802296247215,546,616653,-0.044832587242126465,6.485761,0.0,0.07390441,867.4906866550446,1,0.00848213,522.9173,0.07390441,706.95
2295.3866466269264,547,619653,0.005729794502258301,6.4764414,0.0,0.087956354,871.9343819618225,1,0.010107999,522.6013,0.087956354,706.95
2247.2433851578635,549,623286,0.5369091331958771,6.4615464,0.0,0.09311981,876.3629019260406,2,0.010114549,513.84406,0.09311981,695.3
2194.0076858679263,550,624657,0.9227227866649628,6.465317,0.0,0.11396559,880.76509308815,1,0.010711935,505.96436,0.11396559,681.725
2182.2774296662874,551,627657,0.16856884956359863,6.4775963,0.0,0.07379961,885.4365966320038,1,0.011325298,506.68134,0.07379961,681.725
2193.699398900821,552,630075,0.9138938039541245,6.516602,0.0,0.09115507,889.8782155513763,1,0.009729639,509.24863,0.09115507,686.3
2188.9461222133514,554,633960,0.6420675814151764,6.481826,0.0,0.09350389,894.3071618080139,2,0.009213885,510.33658,0.09350389,687.35
2179.1306125377896,556,638355,0.6506001949310303,6.4739227,0.0,0.08330129,898.728865146637,2,0.010260055,511.9959,0.08330129,688.95
2176.9278633012996,557,641355,0.2361081838607788,6.4882817,0.0,0.07234497,903.2382378578186,1,0.009189025,511.4103,0.07234497,688.95
2178.2124007417647,559,645198,0.9555645361542702,6.5132914,0.0,0.1298003,907.7407534122467,2,0.009637246,513.50134,0.1298003,689.4
2257.343303582663,562,650643,0.7923319488763809,6.4811397,0.0,0.09028526,912.2097306251526,3,0.00904819,525.55035,0.09028526,707.7
2243.302525700212,563,652944,0.8390520662069321,6.450238,0.0,0.11353418,916.6315088272095,1,0.010629677,522.3586,0.11353418,701.875
2271.968559028809,565,657750,0.6247115731239319,6.43512,0.0,0.09868918,921.0895509719849,2,0.009361625,526.0365,0.09868918,710.15
2358.7378573097944,566,660750,0.3646842837333679,6.4347715,0.0,0.092909105,925.524777173996,1,0.009736162,543.05634,0.092909105,729.825
2367.3134482373694,568,665076,0.6849123537540436,6.422589,0.0,0.09821446,930.0122413635254,2,0.010274735,544.02356,0.09821446,732.4
2358.6044721643148,569,666615,0.9142482057213783,6.4014273,0.0,0.11826761,934.482106924057,1,0.01096281,542.2003,0.11826761,730.675
2356.661731705837,570,669615,-0.07232248783111572,6.396908,0.0,0.08368869,938.974417924881,1,0.01091183,541.5062,0.08368869,730.675
2339.276746774012,571,670866,0.9252374619245529,6.4036875,0.0,0.11502549,943.4739265441895,1,0.010264114,537.34344,0.11502549,725.3
2398.410406969586,573,676866,0.004934549331665039,6.3860426,0.0,0.0901337,947.9308123588562,2,0.010037988,545.9098,0.0901337,740.575
2426.3975269676343,574,679866,0.10366106033325195,6.3705015,0.0,0.08042062,952.3837201595306,1,0.010802016,549.83496,0.08042062,749.2
2334.7296830443047,577,682941,0.8991854786872864,6.377609,0.0,0.10233845,956.8436317443848,3,0.01047201,531.52484,0.10233845,724.4
2258.923317480751,578,683652,0.8718429207801819,6.4129076,0.0,0.10579433,961.3275556564331,1,0.010148764,518.24927,0.10579433,705.325
2288.2459839801877,580,688533,0.7047624886035919,6.3701315,0.0,0.0836463,965.8176507949829,2,0.0109978095,522.8275,0.0836463,712.275
2281.7385360345124,581,691533,0.04092949628829956,6.320192,0.0,0.08917405,970.3529372215271,1,0.01115798,522.8918,0.08917405,712.275
2274.5148380863166,583,695148,0.9152713716030121,6.2695503,0.0,0.10712248,974.7851333618164,2,0.011121368,521.5075,0.10712248,709.975
2320.8027494895623,584,697416,0.8374295085668564,6.2454033,0.0,0.11408234,979.2154052257538,1,0.011439037,530.89276,0.11408234,722.375
2279.9205948843337,586,701769,0.5741992890834808,6.233661,0.0,0.100537434,983.6757159233093,2,0.010813301,522.46985,0.100537434,709.3
2249.644514404243,588,706944,0.6942479312419891,6.2146797,0.0,0.09171087,988.1302437782288,2,0.0103285555,519.0744,0.09171087,702.425
2320.628764118951,589,709944,-0.007635951042175293,6.2053237,0.0,0.07686444,992.5956225395203,1,0.011223538,532.754,0.07686444,722.15
2319.9045112444087,590,711282,0.9426406733691692,6.2560267,0.0,0.10487423,997.037912607193,1,0.009843679,531.7501,0.10487423,721.875
2324.5121289931703,591,714216,0.85806804895401,6.2241635,0.0,0.09441647,1001.4627537727356,1,0.010185534,532.44806,0.09441647,721.325
2342.796591117998,592,717216,0.12689721584320068,6.243118,0.0,0.11998288,1005.9040563106537,1,0.011088065,535.7401,0.11998288,726.175
2341.261873895642,593,720201,0.8931064233183861,6.2797084,0.0,0.11175477,1010.3717932701111,1,0.009577034,536.06824,0.11175477,726.05
2372.397608368584,594,722256,0.884402222931385,6.249207,0.0,0.11979136,1014.8223595619202,1,0.011261913,541.90106,0.11979136,735.8
2358.5849746928275,596,725955,0.9342207312583923,6.2189336,0.0,0.11269827,1019.2978825569153,2,0.010040499,538.05304,0.11269827,730.0
2354.5677730382176,597,728955,0.06146228313446045,6.2177544,0.0,0.091595024,1023.740674495697,1,0.011259731,538.2253,0.091595024,730.0
2399.8499327373997,598,731955,0.22930294275283813,6.258225,0.0,0.08283243,1028.1572761535645,1,0.009806082,545.24084,0.08283243,741.525
2384.402708165207,599,733740,0.8492548018693924,6.27557,0.0,0.09723056,1032.5547556877136,1,0.0096738115,540.94543,0.09723056,737.85
2338.3461264968196,601,736866,0.9367339685559273,6.2318873,0.0,0.14065805,1036.9862477779388,2,0.009231443,530.89386,0.14065805,726.25
2399.0110637517546,602,739866,-0.019278764724731445,6.2173657,0.0,0.08188616,1041.403555393219,1,0.00974017,541.1141,0.08188616,743.525
2384.8988744946355,603,741858,0.961634699255228,6.231206,0.0,0.12548763,1045.8266069889069,1,0.010315092,538.3155,0.12548763,740.95
2375.967845998959,604,744858,-0.05390667915344238,6.1925807,0.0,0.08317139,1050.2917957305908,1,0.01153438,537.94006,0.08317139,740.95
2366.6735234371663,606,749241,0.6555613577365875,6.2184644,0.0,0.082643956,1054.8781995773315,2,0.008666966,535.0563,0.082643956,737.425
2364.2991682430556,607,752094,0.8947501257061958,6.2080536,0.0,0.11820562,1059.363603591919,1,0.010034371,533.89246,0.11820562,736.2
2418.9736506752442,609,756804,0.679094135761261,6.182236,0.0,0.09543722,1063.824414730072,2,0.009584686,543.66864,0.09543722,751.575
2421.6303760253713,610,759804,-0.03131532669067383,6.167522,0.0,0.11950715,1068.1708335876465,1,0.009805471,543.6703,0.11950715,751.575
2475.9699086969645,611,762804,0.07459121942520142,6.1843224,0.0,0.08500871,1072.5314857959747,1,0.009615852,552.9118,0.08500871,766.15
2403.304528522219,613,766668,0.8730785697698593,6.201518,0.0,0.12919399,1076.9344782829285,2,0.012175941,540.9828,0.12919399,748.35
2379.1975842278107,615,769743,0.930388055741787,6.169978,0.0,0.119974494,1081.3918678760529,2,0.011035699,535.9274,0.119974494,740.575
2438.5378952451474,616,772743,0.3956667184829712,6.160298,0.0,0.10192281,1085.7651669979095,1,0.012452193,548.0124,0.10192281,757.95
2487.014339710041,617,775461,0.930663138628006,6.152729,0.0,0.14337061,1090.1631643772125,1,0.010653427,557.7443,0.14337061,771.0
2556.3728886521794,618,778461,-0.13810014724731445,6.1525874,0.0,0.10667091,1094.514963388443,1,0.010957413,570.7462,0.10667091,790.075
2530.091087375937,620,782661,0.6278542280197144,6.1732745,0.0,0.10712961,1098.9116609096527,2,0.010384224,565.04614,0.10712961,784.4
2486.7381308997897,622,786402,0.8847707808017731,6.1793876,0.0,0.111373514,1103.333378791809,2,0.010675361,554.9665,0.111373514,769.825
2536.62515199564,623,789402,0.05181586742401123,6.187871,0.0,0.08271436,1107.693184375763,1,0.012395626,564.9831,0.08271436,785.45
2548.3743544728727,624,792336,0.8716401308774948,6.2039332,0.0,0.10997875,1112.112957239151,1,0.010645425,567.7953,0.10997875,791.0
2525.588808330622,625,794484,0.9338946864008904,6.2288632,0.0,0.18257757,1116.5859112739563,1,0.009624697,564.3171,0.18257757,783.9
2561.376695083138,626,797484,0.3159225583076477,6.224472,0.0,0.10843095,1121.0610733032227,1,0.011625444,572.14954,0.10843095,797.625
2566.701843138145,628,802890,0.6107980310916901,6.20195,0.0,0.09336738,1125.530816078186,2,0.010650467,573.018,0.09336738,799.55
