EpThisIter,optimgain,EpTrueRewMean,EpisodesSoFar,TimeElapsed,TimestepsSoFar,EpLenMean,EpRewMean,surrgain,entropy,entloss,meankl,ev_tdlam_before
1,0.04606743,902.0866286405574,341,756.4584753513336,632172,914.4,866.9461,0.04606743,4.183572,0.0,0.0071581136,-0.00027108192443847656
1,0.05501228,901.6180775265723,342,760.2514851093292,635172,914.4,867.425,0.05501228,4.1846037,0.0,0.007231553,-0.06868171691894531
1,0.04254153,901.5922688965195,343,764.1030008792877,638172,914.4,867.1125,0.04254153,4.188164,0.0,0.007519256,-0.03435873985290527
1,0.039288662,901.7375157332415,344,767.9379372596741,641172,914.4,866.43097,0.039288662,4.1857634,0.0,0.007085518,-0.04481649398803711
1,0.0395806,902.1490077068571,345,771.6923348903656,644172,914.4,865.7345,0.0395806,4.1819453,0.0,0.008168496,-0.0001652240753173828
1,0.050499048,901.8472166862648,346,775.4431948661804,647172,914.4,865.97687,0.050499048,4.1744933,0.0,0.009338148,0.001255333423614502
1,0.042140827,901.373938995726,347,779.2188739776611,650172,914.4,866.47363,0.042140827,4.1518927,0.0,0.010074827,-0.0016666650772094727
2,0.047023475,887.1130863933911,349,783.0280313491821,654561,900.975,855.40985,0.047023475,4.1331716,0.0,0.008420068,0.3368454575538635
1,0.049669094,886.9498623881358,350,786.7806854248047,657561,900.975,855.29706,0.049669094,4.139626,0.0,0.007879991,-0.10365378856658936
1,0.06640901,886.9324813624569,351,790.5073788166046,660561,900.975,856.849,0.06640901,4.145745,0.0,0.00943891,0.06868326663970947
1,0.048842683,886.885485174115,352,794.1282482147217,663561,900.975,856.3285,0.048842683,4.127586,0.0,0.008418941,0.015337646007537842
2,0.044199683,887.1759539195853,354,797.8535914421082,669561,900.975,857.3021,0.044199683,4.141119,0.0,0.006416605,-0.045559048652648926
1,0.036188826,887.2950576265833,355,801.5925998687744,672561,900.975,856.7147,0.036188826,4.1461787,0.0,0.009111638,-0.016269803047180176
1,0.04590708,907.9308157189516,356,805.4460971355438,675561,921.55,876.22595,0.04590708,4.1340404,0.0,0.008872326,0.00816488265991211
1,0.047095623,907.5020256276621,357,809.1306481361389,678561,921.55,875.7008,0.047095623,4.1354146,0.0,0.009417405,-0.017200827598571777
1,0.047357872,907.8886878272584,358,812.9110805988312,681561,921.55,876.43884,0.047357872,4.128235,0.0,0.010467049,-0.0075550079345703125
2,0.055575285,884.1531598607786,360,816.6353499889374,684738,898.025,853.6882,0.055575285,4.130669,0.0,0.007874609,0.26904749870300293
1,0.042875096,883.8443999043157,361,820.4077897071838,687738,898.025,853.57697,0.042875096,4.1186295,0.0,0.008465871,-0.0004845857620239258
1,0.045605354,882.9576943688611,362,824.0865190029144,690738,898.025,852.8812,0.045605354,4.102394,0.0,0.008876268,-0.022980809211730957
1,0.04803797,883.0832391411928,363,827.8374590873718,693738,898.025,852.80066,0.04803797,4.1027293,0.0,0.00965999,-0.00018203258514404297
1,0.047443874,882.6615743106502,364,831.6489071846008,696738,898.025,852.458,0.047443874,4.1169195,0.0,0.008527505,-0.007416367530822754
1,0.058592733,901.495291833314,365,835.3363046646118,699738,916.75,870.03796,0.058592733,4.10336,0.0,0.007911984,0.26205354928970337
1,0.056334198,918.8856939991576,366,839.0305435657501,702738,934.0,886.00195,0.056334198,4.1070175,0.0,0.008073837,0.015561938285827637
1,0.04134378,918.6075258401745,367,842.7217361927032,705738,934.0,885.5802,0.04134378,4.110688,0.0,0.009375593,-0.010999798774719238
1,0.048316576,918.1264511418904,368,846.4606368541718,708738,934.0,884.73486,0.048316576,4.099022,0.0,0.009209333,0.01740783452987671
1,0.053359836,917.6706648119673,369,850.1959044933319,711738,934.0,884.32776,0.053359836,4.0959787,0.0,0.009010629,-0.0074121952056884766
1,0.04119319,917.0288513516495,370,853.9012868404388,714738,934.0,884.07874,0.04119319,4.1004105,0.0,0.00699077,-0.009020209312438965
1,0.04362188,916.7775783030168,371,857.596195936203,717738,934.0,883.76465,0.04362188,4.100471,0.0,0.008919485,-0.027528047561645508
2,0.07350226,882.8321091715527,373,861.3230113983154,719853,901.625,853.97644,0.07350226,4.094795,0.0,0.014604146,0.5328585505485535
1,0.04156787,882.7976485888066,374,865.0750622749329,722853,901.625,853.5164,0.04156787,4.109834,0.0,0.008483182,-0.03458964824676514
