entloss,surrgain,EpLenMean,EpTrueRewMean,EpisodesSoFar,TimestepsSoFar,TimeElapsed,EpThisIter,EpRewMean,ev_tdlam_before,entropy,meankl,optimgain
0.0,0.11874255,690.05,1988.1242307374953,667,863787,1253.6170058250427,2,482.42148,0.8126833736896515,7.0877686,0.010013729,0.11874255
0.0,0.22256048,668.825,1913.721911577255,668,864240,1258.1996047496796,1,465.36588,0.8376010209321976,7.0812373,0.011123365,0.22256048
0.0,0.09500066,660.025,1855.8385384526678,670,868161,1262.7141997814178,2,454.01675,0.8084534853696823,7.07213,0.01249326,0.09500066
0.0,0.11616008,669.075,1891.5097036955462,671,871005,1267.255357503891,1,461.1065,0.8188642263412476,7.068678,0.00924005,0.11616008
0.0,0.18541439,687.325,1954.340482640301,672,874005,1271.7407279014587,1,474.1461,-0.11511385440826416,7.0867877,0.010515676,0.18541439
0.0,0.10815821,687.325,1953.9584300221395,673,877005,1276.3934321403503,1,474.3415,-0.14973235130310059,7.078552,0.0096534,0.10815821
0.0,0.10937117,672.7,1893.316826157848,674,878100,1280.9759423732758,1,464.2397,0.779260516166687,7.085873,0.014633942,0.10937117
0.0,0.112308115,667.875,1867.0628743647806,676,881154,1285.5679714679718,2,458.8991,0.858274832367897,7.070678,0.009609412,0.112308115
0.0,0.089575335,667.875,1878.2689759812802,677,884154,1290.0810770988464,1,460.9953,-0.01982700824737549,7.053939,0.008832572,0.089575335
0.0,0.11202726,687.1,1952.9588368866644,678,887154,1294.6917099952698,1,475.5622,-0.23074781894683838,7.041016,0.011060213,0.11202726
0.0,0.102722146,685.475,1956.1342849402288,679,889959,1299.245887041092,1,472.67368,0.7693459838628769,7.064467,0.013089128,0.102722146
0.0,0.10420835,685.475,1964.4133153281284,680,892959,1303.7945647239685,1,473.29678,0.010222017765045166,7.0631275,0.010510394,0.10420835
0.0,0.089384004,685.475,1972.6636015304175,681,895959,1308.325751543045,1,472.82098,-0.3365516662597656,7.069885,0.010134464,0.089384004
0.0,0.091607705,701.9,2013.6297177059162,682,898446,1312.8497860431671,1,482.2159,0.7928210347890854,7.0912952,0.009318721,0.091607705
0.0,0.13106999,709.875,2025.2971162293256,683,901446,1317.3831686973572,1,485.94946,0.8446370363235474,7.0944386,0.010414047,0.13106999
0.0,0.1041564,709.875,2032.3815298212164,684,904446,1321.9213862419128,1,486.37784,-0.15394866466522217,7.1145663,0.010517785,0.1041564
0.0,0.08495744,717.025,2050.4367947216306,685,907446,1326.450344324112,1,489.87573,-0.004002690315246582,7.1055894,0.01229208,0.08495744
0.0,0.10447763,730.7,2089.2578388060156,687,910887,1330.9251325130463,2,498.03632,0.7035104334354401,7.0781245,0.010323833,0.10447763
0.0,0.083130136,730.7,2084.6858008770105,688,913887,1335.4619348049164,1,496.6048,-0.04052543640136719,7.083754,0.0111117195,0.083130136
0.0,0.100843966,722.7,2059.5023496816543,689,915927,1339.982662677765,1,491.8382,0.765056386590004,7.061113,0.011109181,0.100843966
0.0,0.096541576,722.7,2065.709161059075,690,918927,1344.823795080185,1,492.087,0.02502983808517456,7.056209,0.009934466,0.096541576
0.0,0.102065444,722.7,2079.424589505898,691,921927,1349.3840262889862,1,494.20343,0.03151905536651611,7.0526605,0.012709607,0.102065444
0.0,0.1361506,721.85,2074.1837994700654,692,924825,1353.9286856651306,1,494.13608,0.8021513074636459,7.0374594,0.009892437,0.1361506
0.0,0.0916356,738.95,2124.8192751333468,693,927825,1358.4574818611145,1,504.84198,0.03978836536407471,7.0498652,0.010731274,0.0916356
0.0,0.10739498,741.525,2140.351431244807,694,930027,1362.9235479831696,1,506.29932,0.7190110385417938,7.051823,0.012772058,0.10739498
0.0,0.11286357,732.7,2115.364715002076,696,933690,1367.3884479999542,2,499.16992,0.8893826678395271,7.032881,0.009870524,0.11286357
0.0,0.1205379,729.8,2095.628171163551,697,935577,1371.9116978645325,1,495.98682,0.8650176972150803,7.0321794,0.011110258,0.1205379
