EpLenMean,EpTrueRewMean,surrgain,EpisodesSoFar,TimeElapsed,entropy,TimestepsSoFar,EpRewMean,EpThisIter,meankl,entloss,optimgain,ev_tdlam_before
200.0,200.0,0.0053645554,1227,1019.6569900512695,0.39858198,218056,61.229393,5,0.006241129,0.0,0.0053645554,0.5533348619937897
200.0,200.0,0.004161145,1232,1025.132578611374,0.42690852,219056,60.033974,5,0.009228313,0.0,0.004161145,0.5456684827804565
200.0,200.0,0.0065944185,1237,1030.182690858841,0.42821062,220056,63.071106,5,0.010404488,0.0,0.0065944185,0.47560977935791016
200.0,200.0,0.011163823,1242,1035.2611138820648,0.444991,221056,66.014915,5,0.006023369,0.0,0.011163823,0.42714500427246094
198.675,198.675,0.0053264108,1248,1040.4514906406403,0.38701499,222203,72.33427,6,0.008079415,0.0,0.0053264108,0.3793504238128662
198.675,198.675,0.011249267,1253,1045.5376102924347,0.42774934,223203,76.6973,5,0.00940644,0.0,0.011249267,0.5729866921901703
198.675,198.675,0.010985093,1258,1050.700236082077,0.43753862,224203,79.23311,5,0.00726741,0.0,0.010985093,0.6500969231128693
195.25,195.25,0.006809125,1264,1055.191549539566,0.3616427,225266,84.96147,6,0.0062489375,0.0,0.006809125,0.5366506576538086
192.175,192.175,0.012331762,1269,1060.1265037059784,0.3933056,226143,89.88948,5,0.006253546,0.0,0.012331762,0.37283384799957275
189.3,189.3,0.01148748,1275,1064.5614123344421,0.40777916,227228,90.04498,6,0.008022659,0.0,0.01148748,0.5351606011390686
182.3,182.3,0.0105307,1282,1069.3454427719116,0.35660017,228348,88.7053,7,0.008313563,0.0,0.0105307,0.4335179924964905
181.675,181.675,0.004619902,1287,1074.3814580440521,0.36726806,229287,84.06494,5,0.0076063937,0.0,0.004619902,0.4768015146255493
182.1,182.1,0.0039745187,1292,1079.4351210594177,0.3517981,230287,84.08901,5,0.0054403897,0.0,0.0039745187,0.8432240635156631
182.1,182.1,0.016649662,1297,1084.7708005905151,0.3809746,231287,83.47254,5,0.007723665,0.0,0.016649662,0.8961785361170769
185.525,185.525,0.0040308717,1302,1089.7164237499237,0.37718022,232287,83.89941,5,0.0048169256,0.0,0.0040308717,0.7663336545228958
185.875,185.875,0.00726416,1307,1094.6229753494263,0.35722163,233287,80.02853,5,0.008424478,0.0,0.00726416,0.8176564872264862
191.475,191.475,0.005777577,1313,1099.4889492988586,0.4208496,234487,80.92138,6,0.0059314626,0.0,0.005777577,0.7931187301874161
191.475,191.475,0.011468266,1318,1104.6670706272125,0.42970628,235487,79.60273,5,0.008033905,0.0,0.011468266,0.8684147447347641
198.475,198.475,0.012564676,1323,1109.6576883792877,0.39379832,236487,84.26726,5,0.008609846,0.0,0.012564676,0.7812738418579102
200.0,200.0,0.008326957,1328,1115.001734495163,0.403105,237487,84.834915,5,0.010545228,0.0,0.008326957,0.8325235396623611
200.0,200.0,0.009975024,1333,1120.3523988723755,0.42960596,238487,84.63511,5,0.008731676,0.0,0.009975024,0.9114970266819
196.95,196.95,0.015083399,1339,1125.0408101081848,0.40364268,239565,83.33818,6,0.00833104,0.0,0.015083399,0.7415047287940979
196.4,196.4,0.0038164244,1344,1130.1816868782043,0.37687367,240543,84.307396,5,0.003463251,0.0,0.0038164244,0.7888611555099487
196.4,196.4,0.013621064,1349,1135.5462954044342,0.42540756,241543,85.17406,5,0.010060383,0.0,0.013621064,0.880669005215168
196.4,196.4,0.01407649,1354,1140.7403070926666,0.3922571,242543,86.480125,5,0.008993557,0.0,0.01407649,0.8729296624660492
193.85,193.85,0.005533833,1360,1146.0571410655975,0.3945706,243641,87.55135,6,0.006006032,0.0,0.005533833,0.7415333390235901
193.85,193.85,0.01652858,1365,1151.1837451457977,0.38249397,244641,88.22941,5,0.008628879,0.0,0.01652858,0.6748720109462738
187.85,187.85,0.012745397,1371,1155.909411430359,0.3569528,245601,86.98458,6,0.006403608,0.0,0.012745397,0.6735484302043915
186.875,186.875,0.014189353,1377,1160.4962067604065,0.35174644,246762,85.62827,6,0.009273066,0.0,0.014189353,0.7863744795322418
189.925,189.925,0.00664451,1382,1165.6281287670135,0.39460132,247762,86.541855,5,0.007949827,0.0,0.00664451,0.9017434045672417
190.475,190.475,0.00951375,1387,1169.7181935310364,0.4301892,248762,84.23802,5,0.008546406,0.0,0.00951375,0.8673442602157593
190.475,190.475,0.0046513416,1392,1174.4292364120483,0.39855337,249762,83.53854,5,0.0046070563,0.0,0.0046513416,0.9016844928264618
193.025,193.025,0.010565299,1397,1179.3793461322784,0.42329782,250762,85.14758,5,0.0075877695,0.0,0.010565299,0.8317945301532745
193.025,193.025,0.01120655,1402,1184.375785112381,0.4224373,251762,83.85893,5,0.006381573,0.0,0.01120655,0.8550796508789062
193.225,193.225,0.0045062616,1407,1189.0639340877533,0.41701072,252762,84.76773,5,0.005836688,0.0,0.0045062616,0.8387122750282288
199.025,199.025,0.00685083,1412,1193.677416563034,0.3849185,253762,87.42553,5,0.00562514,0.0,0.00685083,0.7735374867916107
200.0,200.0,0.014410932,1418,1198.1681027412415,0.44118178,254962,87.1392,6,0.009131763,0.0,0.014410932,0.8513949811458588
200.0,200.0,0.008626227,1423,1203.4454963207245,0.4314566,255962,87.70208,5,0.008390811,0.0,0.008626227,0.9208014979958534
200.0,200.0,0.013477062,1428,1207.6792159080505,0.41110379,256962,90.66618,5,0.008538485,0.0,0.013477062,0.9625602141022682
200.0,200.0,0.014246369,1433,1213.5131556987762,0.4017002,257962,90.77115,5,0.007964036,0.0,0.014246369,0.877779982984066
200.0,200.0,0.008254017,1438,1218.1410915851593,0.4209823,258962,89.35777,5,0.0063580796,0.0,0.008254017,0.9579984284937382
197.575,197.575,0.024541162,1444,1222.8848104476929,0.39326993,260065,87.86206,6,0.0070517315,0.0,0.024541162,0.7629979103803635
197.575,197.575,0.007743459,1449,1228.1947782039642,0.36449832,261065,87.4261,5,0.006710912,0.0,0.007743459,0.8096718341112137
197.575,197.575,0.005888069,1454,1232.9690747261047,0.4164604,262065,87.23667,5,0.006313846,0.0,0.005888069,0.9273061603307724
197.575,197.575,0.00823009,1459,1237.129041671753,0.40620303,263065,88.37947,5,0.0067515476,0.0,0.00823009,0.8273457437753677
197.575,197.575,0.009179879,1464,1241.5229115486145,0.4588036,264065,89.47079,5,0.005667744,0.0,0.009179879,0.8706478178501129
197.575,197.575,0.01020792,1469,1246.0542721748352,0.42770857,265065,91.46425,5,0.008370502,0.0,0.01020792,0.8681535571813583
197.575,197.575,0.003109721,1474,1250.559651374817,0.43226993,266065,92.588974,5,0.007318815,0.0,0.003109721,0.9171333312988281
197.575,197.575,0.006215783,1479,1254.9799168109894,0.4012025,267065,93.63735,5,0.007827141,0.0,0.006215783,0.8520813435316086
200.0,200.0,0.0063623213,1485,1259.7574610710144,0.43696073,268265,95.6456,6,0.0059675304,0.0,0.0063623213,0.820711150765419
200.0,200.0,0.007910173,1490,1264.5775554180145,0.4481827,269265,97.28581,5,0.0054249,0.0,0.007910173,0.891677238047123
200.0,200.0,0.009353455,1495,1269.1624393463135,0.45097077,270265,97.232765,5,0.0053053237,0.0,0.009353455,0.7553431689739227
