EpLenMean,EpTrueRewMean,EpisodesSoFar,TimeElapsed,ev_tdlam_before,optimgain,entloss,TimestepsSoFar,entropy,meankl,EpThisIter,EpRewMean,surrgain
488.4,1221.206907719585,419,520.1659188270569,0.9203397259116173,0.094684586,0.0,359820,7.2646527,0.0083543835,3,452.89142,0.094684586
482.725,1195.7330475936458,422,524.6262469291687,0.79478320479393,0.10499412,0.0,363114,7.2550654,0.008221092,3,445.204,0.10499412
471.275,1184.5362656241525,424,529.0842969417572,0.9553089067339897,0.11180339,0.0,365553,7.237411,0.007916331,2,440.17978,0.11180339
462.45,1168.76589138481,427,533.5352909564972,0.9473035745322704,0.095862366,0.0,368643,7.2219853,0.008596911,3,436.55624,0.095862366
438.9,1104.7573360923993,430,537.9462652206421,0.8245304375886917,0.10099627,0.0,371127,7.224117,0.008847711,3,415.11914,0.10099627
415.725,1060.5104701198636,433,542.4129881858826,0.8745455741882324,0.10584317,0.0,374997,7.2621303,0.008057184,3,402.99878,0.10584317
404.975,1033.2826639890966,436,546.8628451824188,0.9223157912492752,0.10512601,0.0,378063,7.2568316,0.008559949,3,390.20294,0.10512601
395.325,1009.7461498685738,439,551.3032186031342,0.9671162478625774,0.12793013,0.0,381411,7.2434087,0.008577287,3,381.56085,0.12793013
376.275,971.2122883693995,442,555.7441866397858,0.9277883172035217,0.11073306,0.0,385119,7.2076583,0.0093595795,3,370.43692,0.11073306
367.725,941.6309982077437,445,560.1958837509155,0.947368249297142,0.11856823,0.0,388176,7.205814,0.008561181,3,361.82465,0.11856823
352.325,911.3480367704881,448,564.5427060127258,0.9624984338879585,0.11924395,0.0,390891,7.195557,0.008224715,3,351.9041,0.11924395
358.975,938.1486134530475,450,568.9274139404297,0.9790739547461271,0.117069356,0.0,393786,7.1688714,0.009305432,2,360.30652,0.117069356
358.125,944.2328057330982,452,573.3066806793213,0.9131636470556259,0.11580789,0.0,396120,7.1984873,0.009149361,2,361.28857,0.11580789
364.35,960.4345163886148,454,577.7220439910889,0.8817088454961777,0.105162226,0.0,398790,7.1978717,0.008596461,2,365.32236,0.105162226
387.225,1042.6868183525125,457,582.1248466968536,0.9722058828920126,0.10019578,0.0,404097,7.197005,0.009007737,3,391.6813,0.10019578
383.9,1038.0782991096357,460,586.5222580432892,0.9613367468118668,0.12008384,0.0,407646,7.172408,0.008985925,3,387.54932,0.12008384
396.075,1075.6555098162855,462,590.86621260643,0.9446548856794834,0.10357597,0.0,410643,7.139588,0.00891068,2,399.45084,0.10357597
400.1,1081.2055483213103,464,595.2384204864502,0.9534212425351143,0.102387756,0.0,413565,7.147322,0.010317762,2,400.59042,0.102387756
409.85,1097.205324740797,466,599.5872447490692,0.8904733881354332,0.11787051,0.0,416799,7.121383,0.008246181,2,407.1477,0.11787051
414.7,1119.835233395782,468,603.9844846725464,0.9768912699073553,0.11436315,0.0,419229,7.119872,0.009764912,2,413.68353,0.11436315
420.425,1139.8975640337803,470,608.4343967437744,0.9338340163230896,0.103183165,0.0,421578,7.119677,0.009136778,2,419.85938,0.103183165
425.25,1153.9240233663731,472,612.8718824386597,0.9563987217843533,0.2897348,0.0,423915,7.1331315,0.008815704,2,422.93823,0.2897348
419.05,1150.3110748012343,475,617.2899174690247,0.944666925817728,0.105313726,0.0,427035,7.1180463,0.009139742,3,419.18945,0.105313726
413.875,1144.1924542305467,477,621.6832354068756,0.9424602687358856,0.097531416,0.0,428841,7.121033,0.008355936,2,417.107,0.097531416
432.0,1209.0753686788416,479,626.0839278697968,0.40901196002960205,0.07923624,0.0,433251,7.1107745,0.008775885,2,435.03613,0.07923624
