EpTrueRewMean,EpLenMean,ev_tdlam_before,optimgain,TimestepsSoFar,EpRewMean,entloss,surrgain,meankl,EpThisIter,entropy,EpisodesSoFar,TimeElapsed
25.870360481987902,28.37837837837838,0.3213922381401062,0.043961346,3150,8.833112,0.0,0.043961346,0.0074845767,37,4.229714,37,28.43284821510315
36.121000707405145,39.275,0.44560152292251587,0.04148574,6156,11.778428,0.0,0.04148574,0.0070307474,19,4.1486263,56,53.36405158042908
59.69365701744597,55.675,0.3733784556388855,0.042269636,9225,16.562155,0.0,0.042269636,0.006879107,12,4.107004,68,78.63083910942078
86.36836943472701,71.025,0.4555932283401489,0.04002219,12345,20.668354,0.0,0.04002219,0.006847555,13,4.0514627,81,103.66400909423828
107.09612114538213,86.45,0.23846435546875,0.046808958,14997,23.632357,0.0,0.046808958,0.006483281,5,4.037855,86,129.11783146858215
132.59233601736278,110.4,0.02994924783706665,0.0417154,17973,28.472614,0.0,0.0417154,0.0050718184,1,3.9704611,87,153.82687664031982
158.64725601253843,134.825,0.21850961446762085,0.0411562,20973,33.04262,0.0,0.0411562,0.006143079,1,3.932844,88,179.188862323761
182.2349186395947,158.25,0.01713263988494873,0.026133418,23973,36.638985,0.0,0.026133418,0.0044285506,1,3.9673574,89,204.55956840515137
207.23358195297934,181.95,-0.06033158302307129,0.02760853,26973,40.068035,0.0,0.02760853,0.0068871034,1,3.9787545,90,229.93571186065674
230.71505220495615,205.4,-0.147283673286438,0.03242576,29973,43.09281,0.0,0.03242576,0.006449418,1,3.9867115,91,254.8464035987854
250.63621245960363,224.625,0.03925144672393799,0.053888712,32382,45.21527,0.0,0.053888712,0.005620026,1,3.9644508,92,280.89633226394653
274.05354680075163,246.55,-0.038054823875427246,0.033144873,35382,47.114563,0.0,0.033144873,0.0067857713,1,4.0025744,93,305.1354727745056
300.57131543952346,270.35,-0.009443044662475586,0.038751118,38382,49.585938,0.0,0.038751118,0.008822758,1,3.9852033,94,331.4586133956909
325.2370612730462,294.25,0.003417372703552246,0.034831174,41382,51.66612,0.0,0.034831174,0.0057195006,1,3.9958498,95,355.9330816268921
345.43877127514054,311.775,0.14535778760910034,0.050114073,43569,53.64385,0.0,0.050114073,0.0051956093,1,4.0116515,96,381.20360589027405
380.35321262898975,343.375,0.010612130165100098,0.057465695,47910,56.0429,0.0,0.057465695,0.006952471,2,4.0090466,98,406.0070958137512
395.72918398374816,355.525,-0.7863980531692505,0.07597154,50223,56.82424,0.0,0.07597154,0.006686978,3,4.0063357,101,431.85837864875793
433.058726235,386.625,0.05162125825881958,0.050107703,54810,58.91964,0.0,0.050107703,0.0068387184,3,4.0120244,104,456.9492766857147
458.5123455421115,410.5,0.04471486806869507,0.049813185,57810,60.532677,0.0,0.049813185,0.005287008,1,4.025493,105,481.8750956058502
466.0418847850735,416.325,0.003031313419342041,0.06924203,58854,61.02887,0.0,0.06924203,0.0067080185,2,4.0186915,107,507.60238099098206
488.7312313657899,438.575,0.16870266199111938,0.049806457,61854,61.832294,0.0,0.049806457,0.006042731,1,4.0174637,108,532.0944361686707
540.0016182411853,481.7,0.06661343574523926,0.05898662,67527,65.931656,0.0,0.05898662,0.0069769844,2,4.002547,110,557.9474451541901
567.3162578018619,501.8,0.47654080390930176,0.075216174,70428,68.87431,0.0,0.075216174,0.007948503,2,3.9919434,112,582.6361231803894
604.3838185745748,523.125,0.732849508523941,0.05879366,73830,74.317276,0.0,0.05879366,0.0075605875,4,3.9964201,116,608.4435167312622
639.7425869728527,537.075,0.8896045759320259,0.06382622,76794,78.75035,0.0,0.06382622,0.007493924,5,4.003078,121,632.8026320934296
662.1198108373004,539.45,0.9692704733461142,0.051146746,79731,79.41616,0.0,0.051146746,0.0069762655,5,3.9826453,126,658.5994999408722
515.5594253757241,372.3,0.8903354331851006,0.057204388,83058,55.84901,0.0,0.057204388,0.0071842,8,3.9896617,134,682.5984599590302
461.1441511340523,306.475,0.9468533769249916,0.05796209,86193,49.098507,0.0,0.05796209,0.006581289,6,3.9822123,140,708.5200917720795
427.56998508754157,258.425,0.9563353955745697,0.05982472,89310,45.51581,0.0,0.05982472,0.0075036907,6,3.9703336,146,732.8415830135345
364.11300210594607,191.825,0.9352334812283516,0.0619933,92268,38.599907,0.0,0.0619933,0.00705673,5,3.9883842,151,758.7101120948792
347.6527733982375,176.475,0.9195171967148781,0.06202709,95007,31.708801,0.0,0.06202709,0.0072452864,5,3.986727,156,783.2289626598358
347.15664618300497,173.125,0.8643389195203781,0.063402325,98115,27.322033,0.0,0.063402325,0.008061347,6,3.9641187,162,808.9411005973816
345.875871300644,168.975,0.8002852201461792,0.057338797,100761,24.969452,0.0,0.057338797,0.0068143792,6,3.95105,168,833.5817396640778
365.0980224794151,176.475,0.8690822124481201,0.05844183,103833,25.943256,0.0,0.05844183,0.007810762,5,3.9528692,173,859.0596752166748
368.7643380007301,176.45,0.5500358939170837,0.061463118,106872,26.440973,0.0,0.061463118,0.008329653,6,3.95447,179,884.0229835510254
390.99365649424374,180.175,0.8161140233278275,0.059719548,110319,29.407734,0.0,0.059719548,0.0075251553,6,3.9374425,185,910.2435286045074
411.9379258009105,181.775,0.8247265964746475,0.059181042,113562,32.42863,0.0,0.059181042,0.007982817,5,3.9228632,190,935.0269033908844
436.62595781430116,186.0,0.7547272890806198,0.070813484,116898,36.602497,0.0,0.070813484,0.007749887,5,3.9139974,195,960.6910316944122
459.8733998867544,193.95,0.7674114108085632,0.06466517,119595,39.48417,0.0,0.06466517,0.0070871306,3,3.9018555,198,985.6041264533997
